tenant,agency,program,primary_funder,database,table,primary_topic,secondary_topics,n_columns,column_names,has_more_columns
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000072,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000073,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000080,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000452,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000454,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000457,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000458,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000459,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000460,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000461,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000462,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000476,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000477,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000478,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000479,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000510,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000517,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000520,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000521,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000522,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000528,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000529,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000928,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000929,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000930,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000931,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000932,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000933,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000934,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000935,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000936,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000937,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000938,field_observational,,0,,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000939,field_observational,,0,,False
