tenant_a,topic_a,tenant_b,topic_b,shared_keys,keys
arkinlab,genome,msyscolo,genome,1,genome_id
kbase,multiomics,protect,integration,1,feature_id
nmdc,taxonomy,planetmicrobe,taxonomy,1,ncbi_taxon_id
kbase,multiomics,nmdc,integration,1,feature_id
nmdc,integration,arkinlab,field_observational,1,sample_id
protect,taxonomy,kbase,taxonomy,1,ncbi_taxon_id
protect,annotation,kbase,multiomics,1,feature_id
protect,annotation,kbase,genome,1,feature_id
protect,taxonomy,planetmicrobe,taxonomy,1,ncbi_taxon_id
msyscolo,field_observational,refdata,mobile_phage,1,lat_lon
nmdc,multiomics,kbase,biochemistry,1,compound_id
nmdc,multiomics,planetmicrobe,annotation,1,pfam
nmdc,multiomics,planetmicrobe,taxonomy,1,ncbi_taxon_id
nmdc,multiomics,kbase,taxonomy,1,ncbi_taxon_id
msyscolo,field_observational,usgs,field_observational,1,lat_lon
nmdc,integration,protect,taxonomy,1,sample_id
nmdc,multiomics,refdata,mobile_phage,1,pfam
nmdc,multiomics,protect,taxonomy,1,ncbi_taxon_id
nmdc,multiomics,enigma,taxonomy,1,ncbi_taxon_id
nmdc,multiomics,refdata,literature,1,ncbi_taxon_id
refdata,mobile_phage,planetmicrobe,annotation,1,pfam
nmdc,multiomics,kescience,literature,1,compound_id
protect,multiomics,refdata,multiomics,1,protein_id
nmdc,multiomics,kbase,multiomics,1,feature_id
nmdc,multiomics,kbase,genome,1,feature_id
protect,multiomics,nmdc,pathway,1,kegg_pathway
kbase,taxonomy,planetmicrobe,taxonomy,1,ncbi_taxon_id
refdata,mobile_phage,usgs,field_observational,1,lat_lon
nmdc,fitness_phenotype,planetmicrobe,field_observational,1,sample_id
refdata,structural,ese,literature,1,pmid_doi
refdata,structural,arkinlab,literature,1,pmid_doi
refdata,structural,protect,integration,1,feature_id
nmdc,fitness_phenotype,protect,environment,1,sample_id
refdata,structural,nmdc,integration,1,feature_id
refdata,structural,kbase,genome,1,feature_id
nmdc,fitness_phenotype,kbase,taxonomy,1,ncbi_taxon_id
protect,annotation,nmdc,pathway,1,kegg_ko
protect,annotation,msyscolo,taxonomy,1,species
protect,annotation,arkinlab,taxonomy,1,species
planetmicrobe,field_observational,protect,taxonomy,1,sample_id
protect,annotation,planetmicrobe,field_observational,1,sample_id
protect,annotation,nmdc,fitness_phenotype,1,sample_id
protect,annotation,nmdc,field_observational,1,sample_id
planetmicrobe,field_observational,protect,environment,1,sample_id
protect,annotation,netl,taxonomy,1,sample_id
protect,annotation,ese,environment,1,sample_id
protect,annotation,ese,integration,1,sample_id
protect,annotation,enigma,taxonomy,1,sample_id
protect,annotation,arkinlab,field_observational,1,sample_id
protect,annotation,netl,literature,1,sample_id
protect,annotation,kescience,literature,1,species
nmdc,fitness_phenotype,planetmicrobe,taxonomy,1,ncbi_taxon_id
arkinlab,field_observational,usgs,field_observational,1,lat_lon
enigma,taxonomy,ese,integration,1,sample_id
enigma,taxonomy,ese,environment,1,sample_id
netl,literature,nmdc,fitness_phenotype,1,sample_id
netl,literature,nmdc,field_observational,1,sample_id
netl,literature,nmdc,taxonomy,1,sample_id
netl,literature,ese,environment,1,sample_id
netl,literature,ese,integration,1,sample_id
netl,literature,enigma,taxonomy,1,sample_id
enigma,taxonomy,netl,taxonomy,1,sample_id
netl,literature,refdata,literature,1,pmid_doi
protect,integration,ese,environment,1,sample_id
kescience,structural,refdata,reference_protein,1,gene_cluster_id
kescience,structural,kbase,reference_protein,1,gene_cluster_id
kescience,structural,planetmicrobe,taxonomy,1,ncbi_taxon_id
kescience,structural,kbase,taxonomy,1,ncbi_taxon_id
kescience,structural,refdata,multiomics,1,protein_id
kescience,structural,protect,multiomics,1,protein_id
kescience,structural,refdata,mobile_phage,1,pfam
kescience,structural,protect,taxonomy,1,ncbi_taxon_id
enigma,taxonomy,nmdc,field_observational,1,sample_id
arkinlab,genome,kescience,taxonomy,1,genome_id
kescience,structural,nmdc,fitness_phenotype,1,ncbi_taxon_id
kescience,structural,nmdc,taxonomy,1,ncbi_taxon_id
kescience,structural,planetmicrobe,annotation,1,pfam
arkinlab,field_observational,netl,taxonomy,1,sample_id
arkinlab,field_observational,ese,environment,1,sample_id
arkinlab,field_observational,ese,integration,1,sample_id
arkinlab,field_observational,enigma,taxonomy,1,sample_id
arkinlab,field_observational,nmdc,taxonomy,1,sample_id
refdata,literature,nmdc,environment,1,biosample_id
refdata,literature,planetmicrobe,taxonomy,1,ncbi_taxon_id
arkinlab,field_observational,nmdc,field_observational,1,sample_id
refdata,literature,kbase,taxonomy,1,ncbi_taxon_id
arkinlab,field_observational,nmdc,fitness_phenotype,1,sample_id
refdata,literature,protect,taxonomy,1,ncbi_taxon_id
arkinlab,field_observational,refdata,mobile_phage,1,lat_lon
refdata,literature,nmdc,taxonomy,1,ncbi_taxon_id
refdata,literature,enigma,taxonomy,1,ncbi_taxon_id
arkinlab,field_observational,planetmicrobe,field_observational,1,sample_id
netl,literature,usgs,field_observational,1,lat_lon
netl,literature,refdata,mobile_phage,1,lat_lon
arkinlab,field_observational,protect,environment,1,sample_id
netl,literature,msyscolo,field_observational,1,lat_lon
netl,literature,protect,taxonomy,1,sample_id
arkinlab,field_observational,protect,taxonomy,1,sample_id
netl,literature,protect,environment,1,sample_id
arkinlab,field_observational,msyscolo,field_observational,1,lat_lon
netl,literature,planetmicrobe,field_observational,1,sample_id
refdata,literature,nmdc,fitness_phenotype,1,ncbi_taxon_id
protect,integration,nmdc,pathway,1,kegg_ko
ese,integration,nmdc,fitness_phenotype,1,sample_id
protect,integration,planetmicrobe,field_observational,1,sample_id
ese,integration,planetmicrobe,field_observational,1,sample_id
protect,integration,nmdc,fitness_phenotype,1,sample_id
ese,integration,protect,environment,1,sample_id
ese,integration,protect,taxonomy,1,sample_id
ese,environment,netl,taxonomy,1,sample_id
ese,environment,nmdc,taxonomy,1,sample_id
ese,environment,nmdc,field_observational,1,sample_id
protect,integration,nmdc,field_observational,1,sample_id
kescience,structural,enigma,taxonomy,1,ncbi_taxon_id
ese,environment,planetmicrobe,field_observational,1,sample_id
ese,environment,protect,environment,1,sample_id
protect,integration,nmdc,taxonomy,1,sample_id
ese,environment,protect,taxonomy,1,sample_id
protect,integration,netl,taxonomy,1,sample_id
protect,integration,ese,integration,1,sample_id
netl,taxonomy,nmdc,taxonomy,1,sample_id
protect,integration,enigma,taxonomy,1,sample_id
protect,integration,arkinlab,field_observational,1,sample_id
protect,integration,netl,literature,1,sample_id
netl,taxonomy,nmdc,field_observational,1,sample_id
nmdc,integration,kbase,biochemistry,1,compound_id
ese,environment,nmdc,fitness_phenotype,1,sample_id
enigma,taxonomy,planetmicrobe,field_observational,1,sample_id
enigma,taxonomy,protect,environment,1,sample_id
enigma,taxonomy,kbase,taxonomy,1,ncbi_taxon_id
kescience,structural,netl,literature,1,pmid_doi
