orgId	locusId	sysName	geneName	desc	set1IT002 L-tyrosine (C)	set1IT003 L-Tryptophan (C)	set1IT006 casaminos (C)	set1IT009 Glucuronamide (C)	set1IT010 D-Maltose (C)	set1IT011 D-Galactose (C)	set1IT014 D-Glucuronic Acid (C)	set1IT016 D-Glucose-6-Phosphate (C)	set1IT017 acetate (C)	set1IT018 Fumarate (C)	set1IT019 D-Cellobiose (C)	set1IT023 pyruvate (C)	set1IT024 succinate (C)	set1IT031 L-Asparagine (C)	set1IT032 L-Glutamine (C)	set1IT054 casaminos (C)	set1IT058 D-Maltose (C)	set1IT059 D-Galactose (C)	set1IT064 D-Glucose-6-Phosphate (C)	set1IT065 acetate (C)	set1IT066 Fumarate (C)	set1IT068 2-Deoxy-D-Ribose (C)	set1IT071 pyruvate (C)	set1IT073 propionate (C)	set1IT076 L-Malic (C)
Lysobacter_OAE881	ABIE51_RS00305	ABIE51_RS00305		cupin domain-containing protein	0.024	-0.325	-0.135	0.169	-0.639	0.443	-0.774	0.188	0.838	0.272	0.573	0.193	1.109	0.243	1.319	-0.014	1.805	-0.098	-0.334	0.129	-1.073	-0.855	0.495	-0.506	1.037
Lysobacter_OAE881	ABIE51_RS00310	ABIE51_RS00310		PLP-dependent aminotransferase family protein	-0.452	-0.626	0.603	-1.005	0.974	0.236	-1.095	-1.457	-0.729	-1.111	1.431	0.258	1.078	-1.334	-0.227	0.018	0.530	0.111	-0.151	-0.593	0.500	0.685	-1.136	-0.053	-0.944
Lysobacter_OAE881	ABIE51_RS00315	ABIE51_RS00315		MBL fold metallo-hydrolase	0.179	0.132	-0.443	0.112	-0.583	-0.772	-1.012	-0.497	-0.668	-0.293	-0.202	-0.413	0.485	-0.469	-0.302	-0.455	-1.098	0.419	-0.104	-0.507	0.163	0.015	-0.573	0.175	0.357
Lysobacter_OAE881	ABIE51_RS00320	ABIE51_RS00320		calcium-dependent protein kinase 21	-1.500	-2.428	-0.859	-2.010	-1.240	-2.156	-0.646	-0.895	-1.232	-0.522	-1.949	-0.664	0.204	-1.896	-0.229	-0.575	-0.534	-1.515	-1.350	-1.038	0.929	-1.355	-0.824	-0.544	-0.577
Lysobacter_OAE881	ABIE51_RS00325	ABIE51_RS00325		fatty acid desaturase	0.185	-2.057	-3.980	-0.345	-0.160	-2.596	0.739	-1.263	-1.599	-0.655	-3.926	-3.677	-0.956	-0.903	-1.020	-3.444	-1.127	-0.284	-1.094	0.658	0.047	-2.067	-0.302	-1.044	-1.235
Lysobacter_OAE881	ABIE51_RS00330	ABIE51_RS00330		CHAD domain-containing protein	-0.345	-0.695	-0.275	-1.078	-0.218	-1.816	-1.589	-1.492	-1.942	0.544	0.730	-1.653	0.036	0.014	-1.083	-0.123	-1.463	0.298	0.361	-1.370	-0.092	-0.459	-0.066	-1.054	0.020
Lysobacter_OAE881	ABIE51_RS00335	ABIE51_RS00335		bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	0.394	0.361	-0.419	1.681	0.159	0.320	0.526	0.208	0.285	0.805	1.121	-0.322	-0.178	0.118	1.251	0.073	-0.536	0.507	0.619	0.515	-0.330	-0.680	0.345	0.394	0.279
Lysobacter_OAE881	ABIE51_RS00340	ABIE51_RS00340		ECF-type sigma factor	0.469	-0.322	0.184	-0.571	-0.258	0.152	0.665	0.334	-0.159	-0.753	0.371	-0.146	0.793	0.109	-1.478	-0.212	-0.276	-0.208	-0.171	-1.614	0.036	-0.571	0.066	-0.630	-0.570
Lysobacter_OAE881	ABIE51_RS00345	ABIE51_RS00345		serine/threonine-protein kinase	-0.616	0.040	0.725	-0.239	-1.076	0.573	-0.751	0.514	-0.557	-0.056	0.560	-0.958	-0.755	-1.181	-0.966	0.089	-0.009	-0.684	0.413	0.556	0.717	-0.794	-0.634	-0.439	-0.072
Lysobacter_OAE881	ABIE51_RS00350	ABIE51_RS00350		thymidine kinase	-1.791	-1.418	0.139	-0.771	1.077	-1.194	-0.143	-0.976	-0.627	-1.343	-1.357	-0.740	-0.115	-0.906	-1.757	-0.629	-1.384	1.080	-0.707	-1.427	0.107	0.010	-1.059	-1.626	-0.883
Lysobacter_OAE881	ABIE51_RS00355	ABIE51_RS00355		methylglyoxal synthase	-1.521	0.411	-0.013	0.538	-1.602	0.288	-0.367	0.501	1.076	0.402	0.038	0.423	0.874	0.364	-0.844	-0.902	0.038	-3.065	1.597	0.129	-0.472	0.881	1.537	-1.298	0.466
Lysobacter_OAE881	ABIE51_RS00360	ABIE51_RS00360		SEL1-like repeat protein	-0.330	-0.618	-0.116	0.026	-0.963	-0.108	0.106	-0.339	-0.687	0.282	-0.211	-0.796	0.769	0.712	-0.508	-0.458	0.464	-1.100	0.087	-0.582	1.087	-1.038	-0.815	0.102	-0.138
Lysobacter_OAE881	ABIE51_RS00365	ABIE51_RS00365		SEL1-like repeat protein	0.434	-0.233	-0.247	-0.993	-0.838	-0.269	0.443	-0.944	-1.155	-0.450	-0.066	-1.420	-1.137	-0.130	-1.413	0.528	0.043	1.099	-0.633	-0.070	0.892	-0.818	-0.156	-0.375	-0.608
