orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS00720	A4249_RS00720		DUF1294 domain-containing protein	0.377	0.289	-0.231	0.011
Brev2	A4249_RS00730	A4249_RS00730		hypothetical protein	0.509	0.037	-0.023	-0.813
Brev2	A4249_RS00735	A4249_RS00735		TonB-dependent receptor	-4.621	-7.247	-9.877	-10.441
Brev2	A4249_RS00740	A4249_RS00740		HAD family hydrolase	0.332	-1.145	-1.656	-0.219
Brev2	A4249_RS00745	A4249_RS00745		SDR family NAD(P)-dependent oxidoreductase	0.484	0.720	0.195	-0.255
Brev2	A4249_RS00750	A4249_RS00750		S41 family peptidase	-0.948	-0.976	-1.901	-0.152
Brev2	A4249_RS00755	A4249_RS00755		YbdD/YjiX family protein	1.878	0.731	0.231	1.305
Brev2	A4249_RS00760	A4249_RS00760		carbon starvation CstA family protein	-1.376	-1.669	-1.888	-3.274
Brev2	A4249_RS00765	A4249_RS00765		formate-dependent phosphoribosylglycinamide formyltransferase	2.828	2.447	5.636	4.237
Brev2	A4249_RS00770	A4249_RS00770		VOC family protein	1.530	-0.019	0.809	2.020
Brev2	A4249_RS00775	A4249_RS00775		alpha/beta hydrolase-fold protein	1.015	-0.289	1.520	1.008
Brev2	A4249_RS00790	A4249_RS00790		cell division protein ZapA	-0.169	-0.169	-0.109	-0.294
Brev2	A4249_RS00800	A4249_RS00800		5-formyltetrahydrofolate cyclo-ligase	-0.744	-2.313	-2.200	-4.071
Brev2	A4249_RS00810	A4249_RS00810		glycosyltransferase family 4 protein	0.165	1.083	1.574	2.030
Brev2	A4249_RS00815	A4249_RS00815		tyrosine-protein phosphatase	0.038	0.139	-1.053	1.312
Brev2	A4249_RS00820	A4249_RS00820		hypothetical protein	0.601	1.010	0.935	0.748
Brev2	A4249_RS00825	A4249_RS00825		cytochrome P450	0.546	1.072	1.035	0.588
Brev2	A4249_RS00830	A4249_RS00830		hypothetical protein	1.650	1.166	0.354	0.852
Brev2	A4249_RS00835	A4249_RS00835		DUF305 domain-containing protein	0.309	-0.048	0.304	-0.559
Brev2	A4249_RS00850	A4249_RS00850		hypothetical protein	0.372	0.045	-0.352	0.572
Brev2	A4249_RS00855	A4249_RS00855		hypothetical protein	1.168	-0.200	-0.092	1.958
Brev2	A4249_RS00860	A4249_RS00860		hypothetical protein	0.599	0.179	-0.907	-0.434
Brev2	A4249_RS00865	A4249_RS00865		hypothetical protein	0.445	0.469	0.227	-0.599
Brev2	A4249_RS00875	A4249_RS00875		MFS transporter	-0.889	0.154	-1.319	-0.954
Brev2	A4249_RS00880	A4249_RS00880		YbhB/YbcL family Raf kinase inhibitor-like protein	-0.555	-0.904	0.449	-0.345
Brev2	A4249_RS00895	A4249_RS00895		DUF1476 domain-containing protein	0.211	-1.799	-1.449	-2.126
Brev2	A4249_RS00900	A4249_RS00900		fasciclin domain-containing protein	-0.630	-0.400	-0.456	1.167
Brev2	A4249_RS00905	A4249_RS00905		DNA-deoxyinosine glycosylase	0.109	-0.167	-1.149	0.399
Brev2	A4249_RS00910	A4249_RS00910		2OG-Fe(II) oxygenase family protein	-1.344	-0.399	-2.693	-1.604
Brev2	A4249_RS00915	A4249_RS00915		hypothetical protein	0.189	1.598	0.496	0.859
Brev2	A4249_RS00925	A4249_RS00925		multidrug efflux SMR transporter	0.197	-0.646	0.152	-1.382
Brev2	A4249_RS00930	A4249_RS00930		glutathione S-transferase family protein	-1.078	0.772	0.212	-0.712
Brev2	A4249_RS00935	A4249_RS00935		lytic transglycosylase domain-containing protein	-0.941	-3.443	-1.125	-7.618
Brev2	A4249_RS00950	A4249_RS00950		tetratricopeptide repeat protein	-2.060	-2.342	-3.738	-3.290
Brev2	A4249_RS00960	A4249_RS00960		fasciclin domain-containing protein	-1.046	-1.784	-0.415	-1.440
