orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS00560	A4249_RS00560		class I SAM-dependent DNA methyltransferase	0.056	0.042	0.009	0.070
Brev2	A4249_RS00565	A4249_RS00565		helix-turn-helix transcriptional regulator	-0.103	-0.015	-0.204	-0.173
Brev2	A4249_RS00570	A4249_RS00570		hypothetical protein	0.024	0.082	0.110	0.180
Brev2	A4249_RS00575	A4249_RS00575		hypothetical protein	-0.438	-0.222	-0.368	-0.291
Brev2	A4249_RS00580	A4249_RS00580		helix-turn-helix transcriptional regulator	-0.178	-0.392	-0.147	-0.565
Brev2	A4249_RS00585	A4249_RS00585		Ada metal-binding domain-containing protein	-0.094	-0.154	0.183	-0.247
Brev2	A4249_RS00590	A4249_RS00590		methylated-DNA--[protein]-cysteine S-methyltransferase	0.033	-0.029	-0.086	-0.003
Brev2	A4249_RS00595	A4249_RS00595		tetratricopeptide repeat protein	-0.048	-0.055	0.160	0.014
Brev2	A4249_RS00600	A4249_RS00600		LamG domain-containing protein	0.037	0.033	-0.471	0.194
Brev2	A4249_RS00605	A4249_RS00605		host attachment protein	-0.542	-0.741	-0.054	-1.044
Brev2	A4249_RS00610	A4249_RS00610		methyl-accepting chemotaxis protein	-0.003	0.076	-0.049	-0.070
Brev2	A4249_RS00615	A4249_RS00615		threonine ammonia-lyase, biosynthetic	-3.925	-2.879	-3.963	-3.067
Brev2	A4249_RS00620	A4249_RS00620		quinolinate synthase NadA	0.001	0.111	0.204	0.001
Brev2	A4249_RS00625	A4249_RS00625		peptidase M50	0.100	0.047	0.126	0.032
Brev2	A4249_RS00630	A4249_RS00630		L-aspartate oxidase	-0.207	0.103	-0.026	0.041
Brev2	A4249_RS00635	A4249_RS00635		carboxylating nicotinate-nucleotide diphosphorylase	-0.094	-0.036	0.050	-0.025
Brev2	A4249_RS00640	A4249_RS00640		cell wall hydrolase	0.270	0.202	0.287	-0.344
Brev2	A4249_RS00655	A4249_RS00655		PAS domain S-box protein	0.019	-0.069	0.628	0.077
Brev2	A4249_RS00660	A4249_RS00660		cell wall hydrolase	-0.026	-0.027	-0.078	-0.161
Brev2	A4249_RS00665	A4249_RS00665		PAS domain-containing protein	-0.097	0.024	-0.234	-0.077
Brev2	A4249_RS00675	A4249_RS00675		aldo/keto reductase	-0.023	0.080	0.001	0.169
Brev2	A4249_RS00685	A4249_RS00685		hypothetical protein	0.069	0.360	-0.028	-0.456
Brev2	A4249_RS00700	A4249_RS00700		hypothetical protein	0.004	0.286	0.111	-0.175
Brev2	A4249_RS00705	A4249_RS00705		glutathione S-transferase	-0.001	0.076	0.253	0.084
Brev2	A4249_RS00710	A4249_RS00710		hypothetical protein	-0.739	-0.347	-0.688	-0.926
Brev2	A4249_RS00715	A4249_RS00715		cation:dicarboxylase symporter family transporter	0.854	0.231	2.307	0.270
Brev2	A4249_RS00720	A4249_RS00720		DUF1294 domain-containing protein	0.234	0.211	-0.225	0.007
Brev2	A4249_RS00730	A4249_RS00730		hypothetical protein	0.096	0.007	-0.004	-0.138
