ko_id,gene_name,subcategory,D,lambda,is_resistance,is_double_signal,n_ncbi_total,n_ncbi_plasmid,plasmid_frac
K08154,emrD,Unknown,-0.3178850672683334,0.9616484743136844,False,False,,,
K08160,mdfA,Resistance/Detoxification,-0.3847327888942652,0.779887391946795,True,False,506314.0,33.0,6.517694553182413e-05
K08161,mdtG,Resistance/Detoxification,-0.1281418934523305,0.682988269770346,True,False,1204871.0,82.0,6.805707830962817e-05
K08167,smvA,Resistance/Detoxification,-0.0410637766983518,0.8297695984496107,True,False,563032.0,19.0,3.374586169169781e-05
K08170,norB,Resistance/Detoxification,0.2388247547189204,0.0332455178537299,True,True,186677.0,128.0,0.0006856763286318
K08225,entS,Transport/Homeostasis,0.0342700405135055,0.4171390725213793,False,False,,,
K08300,rne,Unknown,-0.0901595229394723,0.4637362423907866,False,False,,,
K08355,aoxA,Resistance/Detoxification,0.4234318815466451,0.8776552691142935,True,False,89.0,3.0,0.0337078651685393
K08356,aoxB,Resistance/Detoxification,0.562213100734908,0.0001059596688143,True,True,718.0,3.0,0.0041782729805013
K08641,vanX,Transport/Homeostasis,0.1742309135969895,0.7208072305262997,False,False,,,
K08721,oprJ,Resistance/Detoxification,0.0670769593809649,0.9998940403311856,True,False,53404.0,37.0,0.0006928319976031
K08928,pufL,Unknown,0.091377894116529,0.6748906153835573,False,False,,,
K08929,pufM,Unknown,0.0741789405242257,0.6785841731186145,False,False,,,
K08973,hemJ,Unknown,-0.1991767480036956,0.4237837341187188,False,False,,,
K09771,TC.SMR3,Resistance/Detoxification,0.1264053450991196,0.4911916577549345,True,False,4.0,0.0,0.0
K09823,zur,Transport/Homeostasis,-0.1969734738627017,0.599755631313719,False,False,,,
K09883,cobT,Transport/Homeostasis,-0.1190615744783561,0.846628805205085,False,False,,,
K10678,nfsA,Unknown,-0.5468376222528298,0.0001059596688143,False,False,,,
K11601,mntC,Transport/Homeostasis,-0.0082436561765201,0.0001059596688143,False,False,,,
K11602,mntB,Transport/Homeostasis,-0.047526032916395,0.0001059596688143,False,False,,,
K11604,sitA,Transport/Homeostasis,-0.0883338147416445,0.3168208363272951,False,False,,,
K11605,sitC,Transport/Homeostasis,-0.0707024151018375,0.1810812746006144,False,False,,,
K11606,sitD,Transport/Homeostasis,-0.0490804632976025,0.3064857252891996,False,False,,,
K11645,fbaB,Unknown,0.0113366617083376,0.5762058360624382,False,False,,,
K11707,troA,Transport/Homeostasis,0.0782004891620548,0.1427548455398582,False,False,,,
K11708,troC,Transport/Homeostasis,0.1027299173028072,0.1610462487044206,False,False,,,
K11709,troD,Transport/Homeostasis,0.1106187397447144,0.2209258229638139,False,False,,,
K11741,sugE,Resistance/Detoxification,0.186325589818198,0.4777012817507137,True,False,1204943.0,1595.0,0.0013237140678023
K11742,mdtI,Unknown,-0.2265518936294216,0.0001059596688143,False,False,,,
K11743,mdtJ,Unknown,-0.2504202565230123,0.0001059596688143,False,False,,,
K11811,arsH,Resistance/Detoxification,0.1379157977997354,0.4581856903980537,True,False,295200.0,6145.0,0.0208163956639566
K11923,cueR,Resistance/Detoxification,-0.294617326999611,0.6505933885761739,True,False,1322669.0,2017.0,0.0015249469065956
K11924,mntR,Sensing/Regulation,-0.075033957413261,0.6726313569613943,False,False,,,
K11942,icmF,Unknown,-0.1189518641704888,0.5917044514730645,False,False,,,
K12573,rnr,Unknown,-0.0647667849665867,0.5118585211899723,False,False,,,
K12942,abgT,Unknown,0.1369389255025538,0.6611558531884212,False,False,,,
K13283,fieF,Resistance/Detoxification,0.1478374422177544,0.5649536204293847,True,False,1346557.0,141.0,0.0001047114975452
K13541,cbiGH-cobJ,Transport/Homeostasis,-0.178803028443031,0.7042413376478089,False,False,,,
K13542,cobA-hemD,Unknown,-0.0646992626798763,0.5298167252944427,False,False,,,
K13638,zntR,Sensing/Regulation,-0.3684254382895105,0.9113917988122212,False,False,,,
K13639,soxR,Sensing/Regulation,0.015781496784741,0.6328918216548725,False,False,,,
K13787,idsA,Unknown,-0.2144552036306237,0.5908065501256329,False,False,,,
K13995,nicF,Unknown,0.3853739019949737,0.6068584701641939,False,False,,,
K14166,ycnJ,Transport/Homeostasis,-0.0542208514028334,0.7155824609279614,False,False,,,
K14393,actP,Unknown,-0.0049579016326975,0.752258341866959,False,False,,,
K14449,mch,Unknown,-0.2034261535562204,0.6999727394636975,False,False,,,
K14470,mct,Resistance/Detoxification,0.0544611658552588,0.3668441075881008,True,False,919.0,4.0,0.0043525571273122
K14588,cueO,Resistance/Detoxification,-0.2750601014573124,0.0001059596688143,True,False,1435843.0,95.0,6.616322258074177e-05
K14974,nicC,Transport/Homeostasis,0.2235582149347867,0.0001059596688143,False,True,1836.0,9.0,0.0049019607843137
K15234,ccl,Unknown,0.2053141533812007,0.9998940403311856,False,False,,,
K15357,nicD,Unknown,0.2219318170380237,0.5826855752952629,False,False,,,
