ko_id,gene_name,n_bvbrc_total,n_bvbrc_plasmid,bvbrc_plasmid_frac,subcategory,D,lambda,is_resistance,is_double_signal,estimated
K11924,mntR,161877,291,0.0017976611871976871,Sensing/Regulation,-0.075033957413261,0.6726313569613943,False,False,True
K13541,cbiGH-cobJ,9,0,0.0,Transport/Homeostasis,-0.178803028443031,0.7042413376478089,False,False,False
K13638,zntR,163911,90,0.0005490784633124074,Sensing/Regulation,-0.3684254382895105,0.9113917988122212,False,False,True
K13639,soxR,235006,212,0.0009021046271159034,Sensing/Regulation,0.015781496784741,0.6328918216548725,False,False,True
K14166,ycnJ,2552,1,0.00039184952978056425,Transport/Homeostasis,-0.0542208514028334,0.7155824609279614,False,False,False
K15974,emrR,82518,4,4.84742722799874e-05,Sensing/Regulation,-0.0202085724357872,0.4590398431716034,False,False,True
K16090,fiu,52971,11,0.00020766079552962942,Transport/Homeostasis,-0.0750798516822969,0.5478342609502955,False,False,True
K17225,soxC,21128,54,0.0025558500567966678,Metal-dependent Metabolism,0.0795023932182171,0.0333607563995614,False,False,True
K17226,soxY,17837,22,0.0012333912653473117,Sensing/Regulation,-0.0655117692942268,0.6246110815548812,False,False,True
K17229,fccB,7247,3,0.0004139643990616807,Metal-dependent Metabolism,0.0002637020448409,0.1739220940104036,False,False,False
K18030,nicB,1579,13,0.008233058898036731,Metal-dependent Metabolism,0.1550559954592135,0.0001044725606823,False,False,False
K18367,CoADR,1,1,1.0,Sensing/Regulation,0.1830027672230872,0.7128730592412164,False,False,False
K18844,aph,54531,3842,0.0704553373310594,Transport/Homeostasis,0.2229179678022562,0.3519043979322498,False,False,True
K19575,bmrR,5335,4,0.0007497656982193065,Sensing/Regulation,0.2073623204422558,0.3128244738874182,False,False,False
K19777,hdeA,84894,25,0.00029448488703559734,Transport/Homeostasis,-0.1075923271349068,0.1681924912677725,False,False,True
K19778,hdeB,144824,43,0.0002969121140142518,Transport/Homeostasis,-0.0167934968959433,0.9998940403311856,False,False,True
K21479,cbiH60,4,0,0.0,Transport/Homeostasis,-0.1539442808600602,0.9702512546347516,False,False,False
K21600,csoR,50323,43,0.0008544800588200227,Sensing/Regulation,0.0231580096390583,0.5781311820518632,False,False,True
K21886,nmtR,1321,0,0.0,Sensing/Regulation,-0.0274074140952015,0.0001059596688143,False,False,False
K22041,comR,98584,20,0.0002028726771078471,Sensing/Regulation,0.1031203286621385,0.8869294497528942,False,False,True
K22225,ahbAB,8,0,0.0,Cofactor Biosynthesis,0.032203834830974,0.2610686054383207,False,False,False
K22227,ahbD,2722,1,0.0003673769287288758,Transport/Homeostasis,0.035336752821542,0.0774549957525301,False,False,False
K22316,rhnA-cobC,2,0,0.0,Transport/Homeostasis,-0.2939888662158723,0.0001059596688143,False,False,False
K22552,mmcO,1707,16,0.009373169302870533,Metal-dependent Metabolism,0.2836041002775478,0.5742650549409458,False,False,False
K23240,rcnR,112056,314,0.002802170343399729,Sensing/Regulation,0.0452162829382457,0.5111728068075281,False,False,True
K23243,rcnB,104968,5,4.763356451489978e-05,Transport/Homeostasis,-0.1343424037313657,0.0715832608422556,False,False,True
K23375,sbnC,14302,6,0.0004195217452104601,Transport/Homeostasis,0.1304260912115131,0.9764671262169426,False,False,True
K24112,asbE,867,2,0.002306805074971165,Transport/Homeostasis,0.0472202079260357,0.8140538059336071,False,False,False
K25287,desE,2528,0,0.0,Transport/Homeostasis,-0.2178191844843847,0.4857973225457566,False,False,False
