ko_id,gene_name,n_bvbrc_total,n_bvbrc_plasmid,bvbrc_plasmid_frac,subcategory,D,lambda,is_resistance,is_double_signal
K11923,cueR,208271,784,0.0037643262864248983,Resistance/Detoxification,-0.294617326999611,0.6505933885761739,True,False
K13283,fieF,182928,46,0.00025146505729030003,Resistance/Detoxification,0.1478374422177544,0.5649536204293847,True,False
K14470,mct,289,0,0.0,Resistance/Detoxification,0.0544611658552588,0.3668441075881008,True,False
K14588,cueO,185645,28,0.00015082550028279782,Resistance/Detoxification,-0.2750601014573124,0.0001059596688143,True,False
K14974,nicC,839,1,0.0011918951132300357,Transport/Homeostasis,0.2235582149347867,0.0001059596688143,False,True
K15549,mdtN,114356,39,0.00034104026023995245,Resistance/Detoxification,0.102572649087899,0.4762804026475084,True,False
K15585,nikB,142048,1063,0.007483385897724713,Transport/Homeostasis,0.2024132376423988,0.0001059596688143,False,True
K15726,czcA,16633,172,0.010340888594961822,Resistance/Detoxification,0.0629903868592324,0.6546049730743905,True,False
K17686,copA,255308,120,0.000470020524229558,Resistance/Detoxification,0.2720130105606624,0.5113467748694513,True,False
K18145,adeA,7930,1,0.00012610340479192938,Resistance/Detoxification,0.2811968044745545,0.7242339125871968,True,False
K18146,adeB,8166,3,0.0003673769287288758,Resistance/Detoxification,0.2449384539045696,0.9998940403311856,True,False
K18299,mexF,8276,5,0.0006041565973900435,Resistance/Detoxification,-0.2591550125706336,0.4917056643781625,True,False
K18303,mexK,7832,3,0.00038304392236976505,Resistance/Detoxification,-0.1360590745255005,0.7666319808804644,True,False
K18307,mexI,9896,4,0.0004042037186742118,Resistance/Detoxification,-0.0646140616033749,0.9211421877068048,True,False
K18324,acrD,139671,19,0.00013603396553328893,Resistance/Detoxification,-0.4667761002929723,0.1340633223130827,True,False
K18902,bpeF,306,1,0.0032679738562091504,Resistance/Detoxification,-0.1358921127088616,0.7791661089051799,True,False
K18903,oprC,974,2,0.002053388090349076,Resistance/Detoxification,-0.1270858331746445,0.4066748384720279,True,False
K18908,mepA,211964,74,0.0003491158876035553,Resistance/Detoxification,0.0516268784620033,0.0001044336939894,True,False
K18925,ykkD,5818,0,0.0,Resistance/Detoxification,-0.2800771871913264,0.7643067411161605,True,False
K18989,vexF,1416,0,0.0,Resistance/Detoxification,-0.0597118612284155,0.4865882490330308,True,False
K18990,vexE,2635,0,0.0,Resistance/Detoxification,-0.1200709728104688,0.3875024274777491,True,False
K19057,merD,37311,2681,0.07185548497762054,Resistance/Detoxification,0.7011488787956072,0.1653921090790372,True,True
K19059,merE,32577,2442,0.074960861957823,Transport/Homeostasis,0.7276838362930834,0.1024970858452611,False,True
K19578,bmr,23570,17,0.0007212558336868901,Resistance/Detoxification,-0.3403491055725927,0.0001059596688143,True,False
K19592,golS,14368,5,0.0003479955456570156,Sensing/Regulation,0.2645941390066298,0.1348458699567263,False,True
K19594,gesB,1,0,0.0,Resistance/Detoxification,0.5965383911186886,0.1559578884302989,True,True
K19595,gesA,1,0,0.0,Resistance/Detoxification,0.4577217595751774,0.1610584292276534,True,True
K19784,chrR,58889,16,0.00027169760057056496,Resistance/Detoxification,0.1823005471765238,0.2778590353694758,True,False
K23242,mntP,155345,60,0.0003862370851974637,Resistance/Detoxification,0.0362197015193176,0.4822164272725218,True,False
K24073,cnrH,1088,2,0.001838235294117647,Resistance/Detoxification,-0.1328141749642716,0.6795430379388929,True,False
K24078,cnrR,41,0,0.0,Resistance/Detoxification,-0.0887315107668025,0.8980248062522506,True,False
K25119,shp,5202,0,0.0,Transport/Homeostasis,0.3853935161179785,0.0001055442208782,False,True
K27501,alcA,1093,4,0.0036596523330283625,Resistance/Detoxification,0.0098410756300328,0.7757741468914529,True,False
