orgId	locusId	sysName	geneName	desc	set1IT067 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set1IT070 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set2IT059 M63_quarter_strength	set2IT062 CPG	set2IT063 M63_quarter_strength	set4IT033 CPG	set4IT034 M63_quarter_strength
RalstoniaGMI1000	RS_RS00110	RS_RS00110		carbon starvation protein A	-0.849	-1.169	0.754	0.216	-0.322	0.848	0.747
RalstoniaGMI1000	RS_RS00115	RS_RS00115		DUF466 domain-containing protein	-1.997	-0.639	-0.392	-1.007	-0.774	1.341	-0.813
RalstoniaGMI1000	RS_RS00120	RS_RS00120		sel1 repeat family protein	-1.099	-0.292	-0.514	0.287	0.076	0.470	-0.945
RalstoniaGMI1000	RS_RS00125	RS_RS00125		hypothetical protein	-0.010	-0.214	2.533	2.762	0.949	1.763	1.532
RalstoniaGMI1000	RS_RS00130	RS_RS00130		methionine biosynthesis protein MetW	-2.751	-2.507	-3.990	0.562	-5.040	0.029	-6.079
RalstoniaGMI1000	RS_RS00135	RS_RS00135		homoserine O-acetyltransferase	-16.046	-10.992	-13.645	0.893	-15.733	0.590	-14.105
RalstoniaGMI1000	RS_RS00140	RS_RS00140		NAD-dependent succinate-semialdehyde dehydrogenase	-5.870	-5.239	1.000	-1.110	-0.206	-1.059	-0.018
RalstoniaGMI1000	RS_RS00145	RS_RS00145		4-aminobutyrate--2-oxoglutarate transaminase	-0.994	-0.778	-1.012	-0.651	-0.698	0.084	-0.605
RalstoniaGMI1000	RS_RS00150	RS_RS00150		PLP-dependent aminotransferase family protein	-0.035	-0.154	-0.266	0.403	-0.760	0.072	-0.938
RalstoniaGMI1000	RS_RS00155	RS_RS00155		nucleoid occlusion factor SlmA	-0.927	-0.695	-0.402	1.459	-0.503	1.011	-0.048
RalstoniaGMI1000	RS_RS00160	RS_RS00160		pyrimidine 5'-nucleotidase	-0.196	-0.436	-0.274	0.166	-0.114	-1.521	-1.087
RalstoniaGMI1000	RS_RS00170	RS_RS00170		RNA polymerase sigma factor	-0.268	-0.825	-0.235	-0.474	-0.606	0.417	-1.187
RalstoniaGMI1000	RS_RS00175	RS_RS00175		anti-sigma factor	-0.013	0.613	0.463	-0.770	-2.221	0.308	1.190
RalstoniaGMI1000	RS_RS00190	RS_RS00190		copper chaperone PCu(A)C	0.422	-0.922	1.014	0.636	-0.494	-1.788	0.223
RalstoniaGMI1000	RS_RS00195	RS_RS00195		sensor histidine kinase	-0.895	-0.056	-0.175	-1.821	-2.183	-1.285	-0.183
RalstoniaGMI1000	RS_RS00200	RS_RS00200		DNA-binding response regulator	-1.466	-0.059	-0.765	0.145	0.501	-1.138	0.161
RalstoniaGMI1000	RS_RS00205	RS_RS00205		hypothetical protein	0.579	0.266	-0.224	0.254	-0.849	-0.999	0.403
RalstoniaGMI1000	RS_RS00210	RS_RS00210		HslU--HslV peptidase ATPase subunit	-3.026	-1.198	-0.507	1.169	1.880	0.606	-0.441
RalstoniaGMI1000	RS_RS00215	RS_RS00215		HslU--HslV peptidase proteolytic subunit	-0.634	-0.223	0.119	0.001	-1.538	-0.327	-0.204
RalstoniaGMI1000	RS_RS00220	RS_RS00220		ABC transporter substrate-binding protein	-1.293	-2.831	-0.736	-1.969	1.349	-3.699	-0.361
RalstoniaGMI1000	RS_RS00225	RS_RS00225		GTP-binding protein	-1.083	-0.396	-0.188	2.220	1.679	-0.008	0.431
RalstoniaGMI1000	RS_RS00230	RS_RS00230		RNA polymerase-binding protein DksA	-0.621	-0.972	-2.157	-2.521	-2.428	-1.106	-1.287
RalstoniaGMI1000	RS_RS00235	RS_RS00235		GTP-binding protein	-1.240	-0.743	-1.393	0.090	-0.823	-0.407	-1.426
RalstoniaGMI1000	RS_RS00240	RS_RS00240		transcriptional repressor	-0.316	-0.346	-1.257	2.164	0.857	0.081	-0.470
RalstoniaGMI1000	RS_RS00245	RS_RS00245		6-phosphogluconolactonase	-1.070	-0.049	-2.898	0.134	-2.256	0.172	-1.894
RalstoniaGMI1000	RS_RS00250	RS_RS00250		FAD-binding oxidoreductase	0.091	-0.528	0.060	0.766	1.552	0.969	0.159
RalstoniaGMI1000	RS_RS00255	RS_RS00255		class I SAM-dependent rRNA methyltransferase	-0.863	-0.864	0.987	0.972	0.389	-0.531	-0.793
RalstoniaGMI1000	RS_RS00260	RS_RS00260		Tyrosine recombinase XerC 1	-3.046	-0.324	-0.762	-1.507	-1.555	-0.630	-1.056
RalstoniaGMI1000	RS_RS00275	RS_RS00275		dienelactone hydrolase	0.339	-0.828	0.794	0.553	1.542	-0.875	-0.938
RalstoniaGMI1000	RS_RS00280	RS_RS00280		hypothetical protein	-1.652	-1.034	-0.345	-0.131	-0.957	-1.166	-1.256
RalstoniaGMI1000	RS_RS00320	RS_RS00320		AMP-dependent synthetase	-0.184	0.666	-0.699	0.132	0.235	1.071	-0.112
RalstoniaGMI1000	RS_RS00325	RS_RS00325		LysR family transcriptional regulator	-0.557	0.551	0.774	2.172	-0.099	1.489	1.731
RalstoniaGMI1000	RS_RS00340	RS_RS00340		DNA-protecting protein DprA	-0.845	-0.023	1.056	1.049	0.455	0.408	0.015
RalstoniaGMI1000	RS_RS00345	RS_RS00345		LysM peptidoglycan-binding domain-containing protein	-0.980	-1.951	-0.688	-0.073	-0.431	1.490	-1.063
RalstoniaGMI1000	RS_RS00350	RS_RS00350		peptide deformylase	-1.444	-0.523	2.229	0.431	0.711	1.413	1.400
RalstoniaGMI1000	RS_RS00355	RS_RS00355		glycosyltransferase family 39 protein	-0.388	-1.227	-1.406	-1.590	0.151	-3.165	-0.880
RalstoniaGMI1000	RS_RS00365	RS_RS00365		LysE family translocator	-0.223	0.496	1.970	-0.219	-0.161	0.140	0.374
RalstoniaGMI1000	RS_RS00370	RS_RS00370		protease HtpX	-0.816	-0.788	-0.272	-1.069	-0.634	-1.563	-0.394
RalstoniaGMI1000	RS_RS00375	RS_RS00375		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	-0.562	0.466	-0.336	-0.683	0.694	0.266	-1.650
RalstoniaGMI1000	RS_RS00385	RS_RS00385		PAS domain-containing sensor histidine kinase	-2.390	-1.560	-1.557	-1.450	-0.931	0.636	-0.534
RalstoniaGMI1000	RS_RS00400	RS_RS00400		hypothetical protein	-0.475	-1.058	0.468	-1.058	0.537	-0.513	-0.329
RalstoniaGMI1000	RS_RS00405	RS_RS00405		hypothetical protein	0.620	-0.841	0.924	-0.014	0.689	1.348	0.796
RalstoniaGMI1000	RS_RS00410	RS_RS00410		MurR/RpiR family transcriptional regulator	-0.619	1.171	-0.034	-1.537	-1.495	-0.292	-0.427
RalstoniaGMI1000	RS_RS00415	RS_RS00415		aspartate aminotransferase family protein	-0.307	0.077	-0.340	1.248	0.728	0.241	0.209
RalstoniaGMI1000	RS_RS00420	RS_RS00420		3-keto-5-aminohexanoate cleavage protein	-0.821	-1.419	0.406	-1.868	-1.116	1.348	0.746
RalstoniaGMI1000	RS_RS00425	RS_RS00425		amino acid ABC transporter substrate-binding protein	0.881	2.674	0.042	-0.132	0.146	-0.840	1.285
RalstoniaGMI1000	RS_RS00435	RS_RS00435		glutathione S-transferase	-0.301	-2.769	-0.413	-0.127	-1.122	-0.541	-0.877
RalstoniaGMI1000	RS_RS00440	RS_RS00440		complex I NDUFA9 subunit family protein	0.879	1.220	1.610	-0.951	-1.059	-0.772	-1.662
RalstoniaGMI1000	RS_RS00445	RS_RS00445		lytic transglycosylase	0.061	-1.697	0.249	0.466	-0.339	0.959	0.351
RalstoniaGMI1000	RS_RS00450	RS_RS00450		5-formyltetrahydrofolate cyclo-ligase	-0.882	-2.049	-2.159	0.073	-3.333	-0.996	-2.733
RalstoniaGMI1000	RS_RS00455	RS_RS00455		competence protein TfoX	0.766	-1.256	-0.995	0.042	0.623	-0.707	-1.006
RalstoniaGMI1000	RS_RS00460	RS_RS00460		methylenetetrahydrofolate reductase [NAD(P)H]	-11.038	-5.217	-6.798	-0.583	-7.089	0.091	-4.759
RalstoniaGMI1000	RS_RS00465	RS_RS00465		phage holin family protein	-2.462	-0.857	-2.246	0.759	-1.540	-1.120	-3.389
RalstoniaGMI1000	RS_RS00475	RS_RS00475		hypothetical protein	1.061	0.036	0.244	1.162	0.946	-0.025	-0.368
RalstoniaGMI1000	RS_RS00480	RS_RS00480		alkaline phosphatase	-0.808	-1.039	0.407	-0.177	1.340	0.643	0.505
RalstoniaGMI1000	RS_RS00485	RS_RS00485		alkaline phosphatase	-0.534	1.428	0.364	-0.049	0.624	-0.678	-0.249
RalstoniaGMI1000	RS_RS00490	RS_RS00490		hypothetical protein	1.302	-0.824	0.261	-1.513	-0.161	0.634	0.136
RalstoniaGMI1000	RS_RS00500	RS_RS00500		hypothetical protein	0.701	0.517	-0.967	-0.939	-1.217	0.277	-0.159
RalstoniaGMI1000	RS_RS00505	RS_RS00505		hypothetical protein	-0.067	-0.481	-0.583	0.691	-0.520	-1.127	-0.955
RalstoniaGMI1000	RS_RS00515	RS_RS00515		hemolysin	0.217	2.126	-1.684	0.552	0.779	0.107	0.545
RalstoniaGMI1000	RS_RS00520	RS_RS00520		hypothetical protein	-2.477	-4.622	0.596	-1.676	-1.981	-0.738	-1.387
RalstoniaGMI1000	RS_RS00525	RS_RS00525		VOC family protein	-0.342	-0.516	1.106	-0.594	0.129	-1.036	-1.617
RalstoniaGMI1000	RS_RS00555	RS_RS00555		phosphomethylpyrimidine synthase	-8.785	-7.187	-0.003	-0.452	-0.504	-0.387	-0.136
RalstoniaGMI1000	RS_RS00560	RS_RS00560		nitronate monooxygenase	-0.780	0.025	0.158	0.903	0.099	1.036	-0.627
RalstoniaGMI1000	RS_RS00565	RS_RS00565		autotransporter domain-containing protein	0.131	0.125	-0.045	1.031	0.144	-0.109	-0.832
RalstoniaGMI1000	RS_RS00570	RS_RS00570		hypothetical protein	-0.216	-0.195	1.139	0.917	1.202	-0.049	-0.329
RalstoniaGMI1000	RS_RS00575	RS_RS00575		hypothetical protein	0.663	-0.528	-0.151	-1.510	-0.568	-0.878	-0.375
RalstoniaGMI1000	RS_RS00580	RS_RS00580		hypothetical protein	0.343	0.861	-0.122	-0.156	-1.239	-0.548	-1.258
RalstoniaGMI1000	RS_RS00585	RS_RS00585		hypothetical protein	-1.468	-0.077	1.047	-0.535	-0.027	-1.801	-0.057
RalstoniaGMI1000	RS_RS00590	RS_RS00590		GNAT family N-acetyltransferase	-0.119	-0.879	-1.632	0.925	-1.668	0.411	0.084
RalstoniaGMI1000	RS_RS00595	RS_RS00595		acyl-CoA dehydrogenase	0.027	0.825	1.380	-1.513	-0.181	-0.960	1.016
RalstoniaGMI1000	RS_RS00600	RS_RS00600		amino acid ABC transporter substrate-binding protein	-0.088	-0.260	-0.615	0.928	1.669	-0.842	-0.606
RalstoniaGMI1000	RS_RS00605	RS_RS00605		FAD-binding protein	0.671	-0.277	0.932	1.065	-0.269	0.823	-0.050
RalstoniaGMI1000	RS_RS00615	RS_RS00615		transcriptional regulator	-0.075	0.285	0.165	0.574	0.236	-1.880	-0.282
RalstoniaGMI1000	RS_RS00620	RS_RS00620		hypothetical protein	1.074	0.061	-2.065	-0.092	-0.516	-0.580	-1.030
RalstoniaGMI1000	RS_RS00625	RS_RS00625		YncE family protein	0.156	1.090	1.320	0.421	-0.218	0.230	-0.025
RalstoniaGMI1000	RS_RS00630	RS_RS00630		Lrp/AsnC family transcriptional regulator	-0.426	-0.755	-0.813	-1.610	-1.688	0.793	1.609
RalstoniaGMI1000	RS_RS00635	RS_RS00635		glutathione S-transferase	-0.073	1.327	0.729	-0.270	-0.145	-0.031	0.358
RalstoniaGMI1000	RS_RS00640	RS_RS00640		HPP family protein	-0.046	-1.449	-0.787	-0.144	-0.251	0.874	0.088
RalstoniaGMI1000	RS_RS00645	RS_RS00645		phosphatase PAP2 family protein	0.135	0.179	-0.061	0.338	0.795	0.007	0.678
RalstoniaGMI1000	RS_RS00650	RS_RS00650		AraC family transcriptional regulator	-0.481	0.196	0.578	-0.933	-1.018	0.608	-0.459
RalstoniaGMI1000	RS_RS00655	RS_RS00655		GYD domain-containing protein	-1.284	-0.997	-1.333	-0.822	-0.747	1.253	-1.402
RalstoniaGMI1000	RS_RS00665	RS_RS00665		lauroyl acyltransferase	-4.907	-4.051	-1.617	-6.626	-2.799	-6.841	-1.208
RalstoniaGMI1000	RS_RS00680	RS_RS00680		polyphosphate kinase 2 family protein	1.108	-0.276	-0.044	-0.079	0.327	0.424	0.409
RalstoniaGMI1000	RS_RS00690	RS_RS00690		exodeoxyribonuclease III	-1.135	1.657	0.044	0.306	-1.672	-0.011	-1.383
RalstoniaGMI1000	RS_RS00695	RS_RS00695		hypothetical protein	0.683	0.110	-0.427	0.000	0.315	-0.181	-0.601
RalstoniaGMI1000	RS_RS00705	RS_RS00705		SRPBCC domain-containing protein	0.458	1.176	0.415	-0.549	-0.562	-0.630	-0.298
RalstoniaGMI1000	RS_RS00710	RS_RS00710		transcriptional regulator	0.176	0.224	-0.146	-1.684	-0.704	-1.337	-1.132
RalstoniaGMI1000	RS_RS00715	RS_RS00715		membrane protein	0.061	0.691	0.050	0.727	-0.396	-0.391	-0.361
RalstoniaGMI1000	RS_RS00720	RS_RS00720		YdcF family protein	1.252	0.466	0.329	-0.705	-0.474	1.893	0.424
RalstoniaGMI1000	RS_RS00730	RS_RS00730		hypothetical protein	-0.263	-1.117	-0.589	-1.141	1.146	0.299	-0.695
RalstoniaGMI1000	RS_RS00735	RS_RS00735		MarR family transcriptional regulator	1.065	0.796	0.714	-0.618	-1.457	0.329	1.009
RalstoniaGMI1000	RS_RS00740	RS_RS00740		hypothetical protein	-0.449	0.865	0.138	-1.417	-1.630	-2.805	-1.421
RalstoniaGMI1000	RS_RS00750	RS_RS00750		hypothetical protein	-0.213	0.520	-1.430	0.358	-1.726	-0.251	0.341
RalstoniaGMI1000	RS_RS00755	RS_RS00755		M48 family peptidase	-1.416	1.826	1.220	2.968	0.525	0.061	-0.674
RalstoniaGMI1000	RS_RS00760	RS_RS00760		MFS transporter	-0.934	0.023	-1.739	-1.592	-1.473	-1.616	-1.998
RalstoniaGMI1000	RS_RS00770	RS_RS00770		short chain dehydrogenase	-0.731	-0.316	-0.679	0.937	0.711	-1.177	-1.230
RalstoniaGMI1000	RS_RS00780	RS_RS00780		arginase	-1.902	-1.058	-0.445	-1.511	-0.987	0.025	-0.390
RalstoniaGMI1000	RS_RS00785	RS_RS00785		ornithine--oxo-acid transaminase	0.095	0.130	-0.756	-2.080	-0.462	0.813	1.454
RalstoniaGMI1000	RS_RS00790	RS_RS00790		LysR family transcriptional regulator	0.155	0.816	0.862	-1.167	-0.811	-0.854	-0.341
RalstoniaGMI1000	RS_RS00795	RS_RS00795		aldehyde dehydrogenase family protein	0.161	1.748	-0.140	-0.607	-0.180	0.525	0.406
RalstoniaGMI1000	RS_RS00800	RS_RS00800		TetR/AcrR family transcriptional regulator	-0.564	-0.929	0.825	-0.598	0.105	-1.392	0.636
RalstoniaGMI1000	RS_RS00805	RS_RS00805		secretion protein HlyD	-0.316	0.345	0.052	0.261	-0.441	0.138	0.209
RalstoniaGMI1000	RS_RS00810	RS_RS00810		ABC transporter ATP-binding protein	-0.046	2.551	0.214	0.195	-0.364	0.944	-0.580
RalstoniaGMI1000	RS_RS00815	RS_RS00815		ABC transporter permease	-0.278	1.680	0.069	1.207	0.797	-0.575	0.085
RalstoniaGMI1000	RS_RS00820	RS_RS00820		RND transporter	0.193	0.599	-0.250	1.281	0.396	-1.623	-1.897
RalstoniaGMI1000	RS_RS00825	RS_RS00825		GtrA family protein	1.282	-1.228	0.845	-0.414	1.793	-1.598	0.706
RalstoniaGMI1000	RS_RS00830	RS_RS00830		FAD-dependent oxidoreductase	-4.192	-2.065	1.287	-1.885	-2.662	-2.008	-1.758
RalstoniaGMI1000	RS_RS00835	RS_RS00835		oxidoreductase	-3.398	-2.599	-0.491	-1.344	3.655	-0.802	-0.986
RalstoniaGMI1000	RS_RS00840	RS_RS00840		hypothetical protein	-0.964	-0.240	0.350	0.067	0.731	-0.132	-0.910
RalstoniaGMI1000	RS_RS00845	RS_RS00845		short-chain dehydrogenase	-2.777	-1.298	-1.657	-1.552	-1.298	-0.834	-1.167
RalstoniaGMI1000	RS_RS00850	RS_RS00850		FAD-binding oxidoreductase	-2.899	-3.041	-0.376	-0.244	-0.450	0.122	-0.008
RalstoniaGMI1000	RS_RS00855	RS_RS00855		membrane protein	0.810	-0.746	0.530	-0.462	-1.012	-1.672	0.235
RalstoniaGMI1000	RS_RS00860	RS_RS00860		2-dehydropantoate 2-reductase	0.824	0.741	-0.350	-0.740	0.100	0.814	0.489
RalstoniaGMI1000	RS_RS00865	RS_RS00865		tRNA 2-thiocytidine(32) synthetase TtcA	-0.110	-0.247	-0.074	0.497	0.907	-0.208	-0.647
RalstoniaGMI1000	RS_RS00870	RS_RS00870		hypothetical protein	-0.548	0.358	1.977	0.068	-0.479	-0.194	0.277
RalstoniaGMI1000	RS_RS00885	RS_RS00885		universal stress protein	-0.060	-0.939	0.111	-0.581	0.836	-0.267	-0.044
RalstoniaGMI1000	RS_RS00890	RS_RS00890		alcohol dehydrogenase	-0.094	-1.424	-0.331	0.752	1.625	-1.149	-0.228
RalstoniaGMI1000	RS_RS00895	RS_RS00895		DUF4010 domain-containing protein	-0.066	0.337	0.127	-0.616	0.405	0.557	0.398
RalstoniaGMI1000	RS_RS00910	RS_RS00910		universal stress protein	-1.234	1.578	1.016	-0.288	-0.877	-1.428	-0.613
RalstoniaGMI1000	RS_RS00915	RS_RS00915		universal stress protein	-1.073	-0.417	0.251	0.397	-0.687	-0.233	-0.033
RalstoniaGMI1000	RS_RS00920	RS_RS00920		BON domain-containing protein	0.267	0.728	0.993	-0.831	-0.098	0.022	1.267
RalstoniaGMI1000	RS_RS00925	RS_RS00925		hypothetical protein	0.784	0.278	0.481	-0.718	-0.211	0.598	-0.502
RalstoniaGMI1000	RS_RS00930	RS_RS00930		conjugal transfer protein TraR	0.672	-0.175	-0.014	-0.843	2.231	1.721	0.648
RalstoniaGMI1000	RS_RS00935	RS_RS00935		BON domain-containing protein	-0.891	-1.130	-0.050	0.510	-0.034	-0.947	-0.078
RalstoniaGMI1000	RS_RS00940	RS_RS00940		Crp/Fnr family transcriptional regulator	0.124	-0.664	0.958	-0.438	1.095	0.071	0.350
RalstoniaGMI1000	RS_RS00945	RS_RS00945		PAS domain S-box protein	-0.553	0.072	-0.628	-0.436	0.080	-1.872	-2.616
RalstoniaGMI1000	RS_RS00950	RS_RS00950		DNA-binding response regulator	0.775	1.051	-0.908	-1.877	-0.398	0.117	0.752
RalstoniaGMI1000	RS_RS00955	RS_RS00955		hypothetical protein	-1.067	-1.476	2.204	-1.528	-0.727	0.008	0.014
RalstoniaGMI1000	RS_RS00960	RS_RS00960		alcohol dehydrogenase	-0.553	0.121	-0.123	-0.067	-1.309	0.085	-0.464
RalstoniaGMI1000	RS_RS00965	RS_RS00965		ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	0.781	-0.287	-0.970	0.517	-0.102	0.435	0.219
RalstoniaGMI1000	RS_RS00970	RS_RS00970		hypothetical protein	0.571	0.256	-0.096	-0.478	-0.150	0.012	-1.435
RalstoniaGMI1000	RS_RS00975	RS_RS00975		cytochrome c4	1.427	-1.304	0.034	0.090	0.340	0.900	-0.640
RalstoniaGMI1000	RS_RS00980	RS_RS00980		hypothetical protein	-0.263	0.437	-0.741	-0.592	-0.230	0.051	-0.441
RalstoniaGMI1000	RS_RS00985	RS_RS00985		cytochrome b	0.571	-1.349	-0.368	-0.990	-0.933	0.192	0.257
RalstoniaGMI1000	RS_RS00990	RS_RS00990		Hsp20/alpha crystallin family protein	0.005	-0.396	1.961	-0.889	-0.896	-0.669	-0.478
RalstoniaGMI1000	RS_RS00995	RS_RS00995		MBL fold metallo-hydrolase	0.870	-0.234	-0.198	0.586	-0.022	-1.623	-0.114
RalstoniaGMI1000	RS_RS01000	RS_RS01000		phosphoribosylpyrophosphate synthetase	0.265	1.109	-0.434	0.082	-0.673	-1.432	-0.325
RalstoniaGMI1000	RS_RS01005	RS_RS01005		DUF1488 domain-containing protein	-1.169	-0.014	1.745	-0.054	0.216	-0.272	-0.078
RalstoniaGMI1000	RS_RS01010	RS_RS01010		thymidine phosphorylase	0.065	1.734	0.380	0.399	-0.699	-0.607	-1.059
RalstoniaGMI1000	RS_RS01015	RS_RS01015		LysR family transcriptional regulator	1.367	0.438	0.205	-0.159	-0.303	0.201	-0.027
RalstoniaGMI1000	RS_RS01020	RS_RS01020		alpha/beta hydrolase	-1.347	-0.142	-1.297	-0.424	0.099	-1.532	-0.482
RalstoniaGMI1000	RS_RS01025	RS_RS01025		MFS transporter	0.044	-1.121	-2.053	1.377	-2.244	-1.161	-0.722
RalstoniaGMI1000	RS_RS01035	RS_RS01035		membrane protein	-0.230	1.048	-0.237	-0.259	0.351	-0.380	0.333
RalstoniaGMI1000	RS_RS01040	RS_RS01040		transcriptional regulator	0.273	2.339	1.083	-0.554	-1.112	-2.248	0.584
RalstoniaGMI1000	RS_RS01045	RS_RS01045		membrane protein	-0.247	-0.024	-0.096	0.964	0.842	-0.432	-0.485
RalstoniaGMI1000	RS_RS01050	RS_RS01050		aspartate/glutamate racemase family protein	1.331	-0.577	0.908	2.385	-0.340	0.255	1.540
RalstoniaGMI1000	RS_RS01055	RS_RS01055		GMP synthase	-0.520	1.213	0.734	0.599	-0.758	-1.547	-0.828
RalstoniaGMI1000	RS_RS01060	RS_RS01060		LysR family transcriptional regulator	-1.181	0.973	-0.722	-0.459	0.181	-0.237	-1.409
RalstoniaGMI1000	RS_RS01070	RS_RS01070		MFS transporter	-0.427	1.083	0.114	0.381	-0.247	-0.526	-1.243
RalstoniaGMI1000	RS_RS01075	RS_RS01075		aldo/keto reductase	0.287	1.325	-1.523	0.441	0.837	-0.701	-0.828
RalstoniaGMI1000	RS_RS01080	RS_RS01080		hypothetical protein	-1.139	0.611	-1.300	-0.395	0.692	0.056	0.611
RalstoniaGMI1000	RS_RS01090	RS_RS01090		cupin domain-containing protein	-0.293	0.477	0.691	0.264	0.619	0.362	-0.468
RalstoniaGMI1000	RS_RS01095	RS_RS01095		hypothetical protein	-0.269	-1.602	-2.184	1.805	0.331	-0.943	0.435
RalstoniaGMI1000	RS_RS01100	RS_RS01100		sigma 54-dependent transcriptional regulator	-0.984	-0.347	-0.896	0.442	1.415	-0.647	-0.791
RalstoniaGMI1000	RS_RS01105	RS_RS01105		hypothetical protein	0.218	0.177	-0.072	-0.087	0.300	0.286	-1.266
RalstoniaGMI1000	RS_RS01110	RS_RS01110		RtcB family protein	-0.045	-1.388	-0.221	-0.100	-0.464	-0.106	0.380
RalstoniaGMI1000	RS_RS01115	RS_RS01115		nucleotidyltransferase domain-containing protein	-0.136	-1.044	0.461	-0.283	0.424	-0.031	0.100
RalstoniaGMI1000	RS_RS01120	RS_RS01120		RNA 3'-terminal phosphate cyclase	-0.096	-0.891	0.453	-0.509	-0.726	-2.263	0.156
RalstoniaGMI1000	RS_RS01125	RS_RS01125		PLP-dependent aminotransferase family protein	0.143	0.943	-0.084	-0.465	0.239	1.670	0.649
RalstoniaGMI1000	RS_RS01130	RS_RS01130		membrane protein	0.184	1.254	0.411	0.433	0.718	-0.184	-0.733
RalstoniaGMI1000	RS_RS01135	RS_RS01135		LysE family translocator	-0.004	-1.150	-1.197	1.595	0.007	0.551	1.439
RalstoniaGMI1000	RS_RS01140	RS_RS01140		hypothetical protein	0.013	-1.466	1.093	0.977	0.624	-0.998	-1.279
RalstoniaGMI1000	RS_RS01145	RS_RS01145		EamA/RhaT family transporter	-0.484	-0.316	0.723	1.171	0.551	-1.430	-1.506
RalstoniaGMI1000	RS_RS01150	RS_RS01150		AraC family transcriptional regulator	-1.154	0.381	0.286	-1.620	-0.633	0.362	-0.585
RalstoniaGMI1000	RS_RS01155	RS_RS01155		DUF427 domain-containing protein	-1.519	0.385	0.667	1.061	-0.485	0.657	-0.083
RalstoniaGMI1000	RS_RS01160	RS_RS01160		hypothetical protein	-1.009	0.098	0.080	1.857	1.011	0.862	0.212
RalstoniaGMI1000	RS_RS01165	RS_RS01165		methylmalonyl-CoA mutase	-0.242	-1.266	0.196	1.362	0.554	-0.571	0.643
RalstoniaGMI1000	RS_RS01175	RS_RS01175		amidohydrolase	0.364	-0.766	-0.758	-0.137	0.772	-0.323	-0.251
RalstoniaGMI1000	RS_RS01180	RS_RS01180		DoxX family protein	0.370	0.408	1.097	0.501	0.097	0.452	-0.398
RalstoniaGMI1000	RS_RS01185	RS_RS01185		DUF1427 domain-containing protein	0.029	-0.386	-0.468	-0.772	-0.563	2.186	-0.533
