orgId	locusId	sysName	geneName	desc	set1IT067 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set1IT070 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set2IT059 M63_quarter_strength	set2IT062 CPG	set2IT063 M63_quarter_strength	set4IT033 CPG	set4IT034 M63_quarter_strength
RalstoniaGMI1000	RS_RS00255	RS_RS00255		class I SAM-dependent rRNA methyltransferase	-0.103	-0.172	0.134	0.139	0.046	-0.068	-0.108
RalstoniaGMI1000	RS_RS00260	RS_RS00260		Tyrosine recombinase XerC 1	-0.684	-0.196	-0.352	-0.463	-0.516	-0.240	-0.374
RalstoniaGMI1000	RS_RS00275	RS_RS00275		dienelactone hydrolase	0.119	-1.114	0.321	0.237	0.595	-0.409	-0.434
RalstoniaGMI1000	RS_RS00280	RS_RS00280		hypothetical protein	-0.971	-2.716	-0.243	-0.063	-0.676	-0.515	-0.543
RalstoniaGMI1000	RS_RS00320	RS_RS00320		AMP-dependent synthetase	-0.025	0.150	-0.105	0.022	0.036	0.179	-0.016
RalstoniaGMI1000	RS_RS00325	RS_RS00325		LysR family transcriptional regulator	-0.111	0.176	0.126	0.337	-0.019	0.253	0.314
RalstoniaGMI1000	RS_RS00340	RS_RS00340		DNA-protecting protein DprA	-0.250	-0.021	0.516	0.278	0.201	0.200	0.007
RalstoniaGMI1000	RS_RS00345	RS_RS00345		LysM peptidoglycan-binding domain-containing protein	-0.151	-0.458	-0.101	-0.011	-0.062	0.195	-0.139
RalstoniaGMI1000	RS_RS00350	RS_RS00350		peptide deformylase	-1.475	-0.642	1.048	0.193	0.391	0.591	0.520
RalstoniaGMI1000	RS_RS00355	RS_RS00355		glycosyltransferase family 39 protein	-0.045	-0.323	-0.271	-0.290	0.029	-0.535	-0.165
RalstoniaGMI1000	RS_RS00365	RS_RS00365		LysE family translocator	-0.044	0.136	0.364	-0.035	-0.035	0.032	0.059
