genus_lower,n_species_with_size,mean_genome_size_bp,sd_genome_size_bp
variibacter,1,4586237,0
variovorax,1,6765052,0
veillonella,1,2097818,0
vibrio,1,5146637,0
vicingus,1,2276345,0
virgibacillus,1,3874697,0
weissella,1,1980223,0
wenzhouxiangella,1,1902161,0
williamsia,1,5748041,0
woeseia,1,3286579,0
xanthomonas,1,5084477,0
xenorhabdus,1,4555188,0
yoonia,1,3009573,0
zoogloea,1,4605859,0
zymomonas,1,2143461,0
