genus_lower,biome_H_std,ko_per_mb_total_z,disc_per_mb_z
georgenia,0.5846949450751481,-0.5786598094683745,0.23448582520470546
geothrix,0.4046236567346176,0.5057159266318282,-0.6924964392992716
gillisia,0.4868406083139722,0.5995628070777246,0.015134961508198555
glaciecola,0.6138164193050177,1.984871024699135,1.442357344189719
glutamicibacter,0.6419754440354327,-0.26963740511233836,-0.19357349510405678
glycomyces,0.4919485825433095,-0.9775628297266454,0.1462331165636787
gordonia,0.588076031531957,-0.7867215507452311,-0.2816323015585471
gracilibacillus,0.5387509457390205,-0.6574355611319856,0.5519151342780875
gracilimonas,0.6659520682520876,1.1989822689322351,0.038779904828521485
gramella,0.5539680950446965,0.7469939939356168,0.49636696368147987
granulicatella,0.24718396107292684,-0.8476959211492441,0.8936118857484889
granulosicoccus,0.568821822603001,-0.19368788158207276,0.4598486781768949
gulosibacter,0.5484730391130204,1.0691374540776193,0.6490034872509973
haemophilus,0.2893727171097738,2.4359665206083423,2.4145702764844823
hahella,0.6243535999743711,-0.426111650514974,-0.07871865595464538
halanaerobium,0.778368109235011,-0.16198704523021787,0.22528168052412922
haliea,0.5321549925810348,0.8791977807005847,0.6920640215162408
halioglobus,0.3296076563008321,0.6578814238295878,-0.05114019458106231
haloarcula,0.4070590179693871,-1.2706684546838645,0.014628839553285788
halobacterium,0.15294071831434422,-0.7242236712571076,0.27182673462342327
halococcus,0.2548719076776295,-0.9225374283379933,0.5968166259687082
haloferula,0.5837820712873274,-0.17790996088873778,-1.729939997828949
halolamina,0.5761398890488455,-0.7681537877739041,0.9278286978170007
halomicroarcula,0.49451169035015163,-1.6578286891117509,0.24819827833350044
halomonas,0.5520971831773064,0.39863887640930185,0.8029497899937234
halorhodospira,0.46185692839748893,0.6773231183875195,0.5381733964130042
halorientalis,0.285826843417588,-1.5345550579823333,0.1841960133637793
halorubrum,0.6154863842612739,-1.0682327341933135,0.5588481800478478
halorussus,0.404791721830902,-0.9989256518927881,0.4330335719398296
haloterrigena,0.34064739335814354,-1.337646265128034,-0.046392310275602144
helcococcus,0.13802742214373578,0.2639897629994322,0.3131171942533582
helicobacter,0.4002994668834214,3.09227547760171,1.0818683927516055
hoeflea,0.43143199090223705,-0.28703174129576464,0.5923418726314925
holophaga,0.3854270733521546,0.9150671236213548,-1.0681590737834614
hydrogenophaga,0.6474363151278605,0.12078793949341726,0.3851334295015396
