otu_id,domain,phylum,class,order,family,genus
OTU_10041,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Brennerbacteria,Candidatus_Brennerbacteria,Candidatus_Brennerbacteria
OTU_10042,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
OTU_10043,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Curtissbacteria,Candidatus_Curtissbacteria,Candidatus_Curtissbacteria
OTU_10044,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10045,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,cvE6
OTU_10046,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria
OTU_10047,Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria
OTU_10048,Bacteria,Patescibacteria,ABY1,,,
OTU_10049,Bacteria,,,,,
OTU_1005,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10050,Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25
OTU_10051,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190
OTU_10052,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067
OTU_10053,Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25
OTU_10054,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,
OTU_10055,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophales,Omnitrophales
OTU_10056,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10057,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10058,Bacteria,Elusimicrobiota,,,,
OTU_10059,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Woesearchaeales,Woesearchaeales
OTU_1006,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10060,Bacteria,,,,,
OTU_10061,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria
OTU_10062,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10063,Bacteria,Verrucomicrobiota,,,,
OTU_10064,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,
OTU_10065,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10066,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
OTU_10067,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10068,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Daviesbacteria,Candidatus_Daviesbacteria,Candidatus_Daviesbacteria
OTU_10069,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC_AAA011-D5,SCGC_AAA011-D5
OTU_1007,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,
OTU_10070,Bacteria,,,,,
OTU_10071,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_10072,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophales,Omnitrophales
OTU_10073,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10074,Bacteria,,,,,
OTU_10075,Bacteria,Nitrospirota,Thermodesulfovibrionia,,,
OTU_10076,Bacteria,Planctomycetota,Pla4_lineage,Pla4_lineage,Pla4_lineage,Pla4_lineage
OTU_10077,Bacteria,,,,,
OTU_10078,Archaea,Aenigmarchaeota,Aenigmarchaeia,Aenigmarchaeales,Aenigmarchaeales,
OTU_10079,Bacteria,,,,,
OTU_1008,Bacteria,,,,,
OTU_10080,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,
OTU_10081,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata
OTU_10082,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_10083,Bacteria,,,,,
OTU_10084,Bacteria,Bacteroidota,Bacteroidia,,,
OTU_10085,Bacteria,,,,,
OTU_10086,Bacteria,,,,,
OTU_10087,,,,,,
OTU_10088,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_10089,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria
OTU_1009,Bacteria,Patescibacteria,Parcubacteria,GWA2-38-13b,GWA2-38-13b,GWA2-38-13b
OTU_10090,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis
OTU_10091,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
OTU_10092,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,,
OTU_10093,Bacteria,,,,,
OTU_10094,Archaea,,,,,
OTU_10095,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,,
OTU_10096,Bacteria,Patescibacteria,ABY1,,,
OTU_10097,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae
OTU_10098,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_10099,Bacteria,Planctomycetota,Phycisphaerae,CCM11a,CCM11a,CCM11a
OTU_101,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Pelosinus
OTU_1010,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10100,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria
OTU_10101,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,
OTU_10102,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
OTU_10103,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella
OTU_10104,Bacteria,,,,,
OTU_10105,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,,
OTU_10106,Bacteria,,,,,
OTU_10107,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10108,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13
OTU_10109,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_1011,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,Micrarchaeales,Micrarchaeales
OTU_10110,Bacteria,Planctomycetota,Phycisphaerae,S-70,S-70,S-70
OTU_10111,Bacteria,Patescibacteria,,,,
OTU_10112,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium
OTU_10113,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix
OTU_10114,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13
OTU_10115,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10116,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
OTU_10117,Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,,
OTU_10118,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13
OTU_10119,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,Methylomirabilaceae,Candidatus_Methylomirabilis
OTU_1012,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_10120,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
OTU_10121,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13
OTU_10122,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13
OTU_10123,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10124,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
OTU_10125,Bacteria,Chloroflexi,Dehalococcoidia,,,
OTU_10126,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Polycyclovorans
OTU_10127,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliales,Babeliales
OTU_10128,Bacteria,Proteobacteria,Alphaproteobacteria,,,
OTU_10129,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU_1013,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,
OTU_10130,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
OTU_10131,Bacteria,Elusimicrobiota,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium
OTU_10132,Bacteria,Planctomycetota,Phycisphaerae,,,
OTU_10133,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,
OTU_10134,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10135,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
OTU_10136,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,
OTU_10137,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
OTU_10138,Bacteria,,,,,
OTU_10139,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,GIF3,GIF3
OTU_1014,Bacteria,,,,,
OTU_10140,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10141,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26
OTU_10142,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10143,Bacteria,,,,,
OTU_10144,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,,
OTU_10145,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_10146,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,
OTU_10147,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae
OTU_10148,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
OTU_10149,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_1015,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10_marine_group
OTU_10150,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10151,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC_AAA011-D5,SCGC_AAA011-D5
OTU_10152,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
OTU_10153,Bacteria,,,,,
OTU_10154,Bacteria,Proteobacteria,Magnetococcia,Magnetococcales,Magnetococcaceae,Magnetococcus
OTU_10155,Bacteria,Chloroflexi,,,,
OTU_10156,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,Micrarchaeales,Micrarchaeales
OTU_10157,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
OTU_10158,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Daviesbacteria,Candidatus_Daviesbacteria,Candidatus_Daviesbacteria
OTU_10159,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,GIF3,GIF3
