genus_clean,n_otus_gw,mean_gw_prevalence_pct,mean_fold_enrichment_gw,genus_lower,genus_clean_lower,is_nitrifier,mean_n_metal_types
Crenobacter,2,1.0160098522167489,0.9691702291022336,crenobacter,crenobacter,0,1.0
Croceibacterium,2,1.7241379310344829,0.8123164789282761,croceibacterium,croceibacterium,0,1.0
Croceicoccus,1,0.06157635467980296,0.276280880021999,croceicoccus,croceicoccus,0,1.3333333333333333
Croceivirga,1,0.3694581280788177,2.3100327834539756,croceivirga,croceivirga,0,1.0
Cryobacterium,1,0.24630541871921183,1.0145446565481602,cryobacterium,cryobacterium,0,1.1875
Cupriavidus,7,3.9848698099929623,1.9641810020524215,cupriavidus,cupriavidus,0,1.8888888888888888
Curtobacterium,3,0.3078817733990148,0.3516113277867336,curtobacterium,curtobacterium,0,1.0
Curvibacter,13,0.7152330428192498,2.126636807204518,curvibacter,curvibacter,0,1.0
Cutibacterium,27,0.20069330414158001,12.699135741994764,cutibacterium,cutibacterium,0,1.6
Cyclobacterium,2,0.18472906403940886,3.2662048655600273,cyclobacterium,cyclobacterium,0,1.0
Cytobacillus,3,0.2257799671592775,0.6391087261075147,cytobacillus,cytobacillus,0,1.5
Daejeonella,6,2.6067323481116587,0.7099392055650896,daejeonella,daejeonella,0,1.0
Deefgea,1,3.4482758620689653,0.6607289566930643,deefgea,deefgea,0,2.0
Dehalobacter,6,2.42200328407225,7.031556128157032,dehalobacter,dehalobacter,0,1.0
Dehalococcoides,1,2.832512315270936,11.383305209575505,dehalococcoides,dehalococcoides,0,1.0
Deinococcus,45,0.5651340996168582,1.5914484572983383,deinococcus,deinococcus,0,1.125
Demequina,2,0.9236453201970444,0.550481085981867,demequina,demequina,0,1.0
Denitratisoma,10,3.8546798029556655,4.027314724285728,denitratisoma,denitratisoma,0,1.0
Desemzia,3,1.1494252873563218,2.301188003943237,desemzia,desemzia,0,3.0
Desulfitobacterium,15,0.5254515599343186,11.617021470414533,desulfitobacterium,desulfitobacterium,0,1.0
Desulfosporosinus,22,0.4730183609493954,10.620419452859908,desulfosporosinus,desulfosporosinus,0,1.0
Desulfotomaculum,9,0.1573617952928298,2.452717848496537,desulfotomaculum,desulfotomaculum,0,1.0
Desulfovibrio,41,1.5769554247266613,3.755164389585453,desulfovibrio,desulfovibrio,0,1.0
Desulfurispirillum,1,0.06157635467980296,0.9869469839265655,desulfurispirillum,desulfurispirillum,0,2.0
Desulfurivibrio,2,0.21551724137931033,11.572409936427457,desulfurivibrio,desulfurivibrio,0,1.0
Devosia,38,1.523204563131968,1.5183982286069153,devosia,devosia,0,1.5
Dialister,9,0.8073344280240833,1.9867026152813179,dialister,dialister,0,1.3333333333333333
Diaphorobacter,2,0.49261083743842365,1.6067984859657118,diaphorobacter,diaphorobacter,0,3.0
Dickeya,1,0.9236453201970444,0.5923403797523559,dickeya,dickeya,0,1.875
Dietzia,3,1.683087027914614,0.769692733917104,dietzia,dietzia,0,1.1111111111111112
Dokdonella,5,2.413793103448276,0.9615916809543921,dokdonella,dokdonella,0,1.3333333333333333
Dokdonia,1,0.3078817733990148,0.14039060187009403,dokdonia,dokdonia,0,1.2
Dolosigranulum,2,0.49261083743842365,0.9673445645093846,dolosigranulum,dolosigranulum,0,2.0
Domibacillus,4,1.1699507389162562,0.5940382169633884,domibacillus,domibacillus,0,1.0
Donghicola,1,0.06157635467980296,0.19736878728911916,donghicola,donghicola,0,2.0
