genus_lower,biome_H_std,ko_per_mb_total_z,ko_per_mb_tier1_z,ko_per_mb_tier2_z,abr_per_mb_z
amycolatopsis,0.6194546417696719,-1.4481579714439838,-1.0971193798847378,-0.2378218083611777,0.13535511645090273
amylibacter,0.3997855444337425,1.4308786727946914,1.1634431592660708,-0.31227176988365163,-0.2582805125838608
anabaena,0.24672559049984422,-1.2252164920424473,-1.0602822819907918,-0.49840908311064613,-0.2556712530092527
anaerobutyricum,0.2504957002321394,-1.1782614873381425,-0.4086066550106113,-0.41181975372893465,0.008375176724083876
anaerococcus,0.2632783573383076,0.6458604018797758,0.6237818906836282,0.7687417812912879,0.21735974958045023
anaerocolumna,0.6107248092757855,-1.1957772910278583,-0.8134237000459904,-0.5786866708665248,-0.05221749571104531
anaeromyxobacter,0.26950646797795164,-0.09173323801362572,-0.40872549613526454,-0.44766711792997993,-0.24828194481914612
anaerostipes,0.42792316806437963,-1.1648685733360353,-0.39088915195392687,-0.7052926659854272,0.10070865308877758
anaerotignum,0.4431913236537561,-0.8034806351913195,-0.3813100493657756,-1.1177821803904817,0.016231655307713876
anaerotruncus,0.34342208333877056,-1.08121554796821,-0.5151582974852486,-0.8491984664652156,-0.06007228673032906
anaerovibrio,0.12809755332216044,0.10085602215753181,-0.3678530557471581,-0.3618326516977892,-0.1697341718965484
ancylomarina,0.4133817221950415,-0.4414140331209117,-0.5378418713745486,-1.3321519151951204,-0.2543295163219522
aneurinibacillus,0.49644472549630986,-0.6864905004139787,-0.6390047314118024,0.28858884161587617,-0.19273276206350712
anoxybacillus,0.6658083593266552,1.0767168582309072,-0.46709153660007574,2.5781999171196754,-0.22029118608151055
aquicella,0.5963911168785871,1.5649732551432545,-0.6938274976821992,-0.5459894785130752,-0.25156925254713336
aquimarina,0.547707702750724,-0.6707608815203882,-0.9029544818453058,-0.20895751295167747,-0.20221369605881742
arachnia,0.6354915128799341,-0.22210862096497921,-0.8525978365292879,0.43214616299917064,-0.15929364975597535
arcanobacterium,0.24195476309381428,0.23019110490890743,-0.5397047890057252,0.44130633935181696,-0.24940676936679676
arenicella,0.2597937920221769,0.7853831526127524,-0.6327920355379529,-0.11018318454357463,-0.25289762714940067
arenimonas,0.6046235277531994,2.089221726128567,0.4679814411281995,0.9494795231274288,-0.20375034004708456
aridibacter,0.5848976853587126,0.4947769320518272,-0.658302636436572,-0.7629667195643554,-0.2540910469299724
aromatoleum,0.4470569486704996,0.2502973561806956,0.4995363104634325,0.5031325529776045,-0.24108385315973035
arsenophonus,0.5035248924357199,1.211939898836356,-0.045020391942836815,-0.1264995359948007,-0.21329081181055448
arthrobacter,0.5918301346717605,-0.44828378645793476,-0.6972169997366815,0.5550591466077223,-0.14698121735038586
asticcacaulis,0.7480632108310825,-0.6055820976694667,-0.34513443593667614,-0.42002742337974946,-0.2502464742209634
