otu_genus,n_otus,mean_levins_B_std,sd_levins_B_std,mean_n_envs,n_nitrifier_otus,nitrifier_role,is_nitrifier,kingdom,phylum,genus_lower,bac_rep_acc,arc_rep_acc,gtdb_genus_lower,n_species_with_amr,mean_n_metal_amr_clusters,mean_n_unique_metal_genes,mean_metal_core_fraction,mean_n_metal_types,mean_n_Hg,mean_n_As,mean_n_Cu,mean_n_Zn,mean_n_Cd,mean_n_Cr,mean_n_Ni,mean_n_metal_amr_clusters_z,mean_metal_core_fraction_z,mean_n_metal_types_z,mean_levins_B_std_filtered,n_otus_filtered
Aliarcobacter,11,0.220505861529641,0.101685032134019,7.636363636363637,0,,0,Bacteria,Proteobacteria,aliarcobacter,GB_GCA_017995775.1,,aliarcobacter,3.0,1.6666666666666667,1.0,0.3333333333333333,1.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,-0.2341703127683455,-0.2091346051380667,-0.6658412241973445,0.23856777932373108,8.0
Alicyclobacillus,29,0.4566936821750929,0.2028607968600893,9.862068965517242,0,,0,Bacteria,Firmicutes,alicyclobacillus,RS_GCF_000024285.1,,alicyclobacillus,2.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,0.2285367192797442,-0.6658412241973445,0.46340559394880143,23.0
Aliidiomarina,13,0.4927473461153525,0.1845782970990734,7.153846153846154,0,,0,Bacteria,Proteobacteria,aliidiomarina,GB_GCA_001458075.1,,aliidiomarina,2.0,2.5,2.5,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0565597196851888,-1.0844772539736884,-0.6658412241973445,0.40302096896214257,5.0
Aliikangiella,7,0.1356719441542296,0.1476367132659133,4.0,0,,0,Bacteria,Proteobacteria,aliikangiella,GB_GCA_016743995.1,,aliikangiella,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-1.0844772539736884,-0.6658412241973445,0.08913916273283806,3.0
Alishewanella,6,0.3726227002183664,0.2241132020118223,6.666666666666667,0,,0,Bacteria,Proteobacteria,alishewanella,RS_GCF_000245735.1,,alishewanella,3.0,7.0,6.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902537482963857,-1.0844772539736884,-0.6658412241973445,0.4471472402620398,5.0
Alistipes,47,0.3285354662472854,0.1850707424698585,8.148936170212766,0,,0,Bacteria,Bacteroidetes,alistipes,GB_GCA_000434235.1,,alistipes,5.0,1.2,1.2,0.3,1.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-0.3336322448949132,-0.2966688700216288,-0.206406271564747,0.32889504060896213,19.0
Alkalibacterium,8,0.3421699101309096,0.184742377179816,6.5,0,,0,Bacteria,Firmicutes,alkalibacterium,GB_GCA_007692455.1,,alkalibacterium,5.0,2.0,1.8,0.4,1.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,-0.0340660753709422,1.1718985863330451,0.29984539116608866,5.0
Alkalihalobacillus,47,0.5375999360311059,0.2284652528709738,7.659574468085107,0,,0,Bacteria,Firmicutes,alkalihalobacillus,GB_GCA_001038565.1,,alkalihalobacillus,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,1.5415506925331772,1.6313335389656427,0.5163808535126807,11.0
Alkalilimnicola,3,0.3875751701519614,0.288569377531259,7.666666666666667,0,,0,Bacteria,Proteobacteria,alkalilimnicola,RS_GCF_000014785.1,,alkalilimnicola,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-1.0844772539736884,-0.6658412241973445,0.5418512383913658,2.0
Alkalispirochaeta,11,0.3895850154662035,0.3138914048715845,3.363636363636364,0,,0,Bacteria,Spirochaetes,alkalispirochaeta,GB_GCA_007117185.1,,alkalispirochaeta,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-1.0844772539736884,-0.6658412241973445,0.28070914348971054,2.0
Alloiococcus,3,0.1795079829602181,0.2523268224257399,11.0,0,,0,Bacteria,Firmicutes,alloiococcus,RS_GCF_000315445.1,,alloiococcus,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,1.5415506925331772,-0.6658412241973445,0.1795079829602181,3.0
Alteromonas,46,0.1830629321517893,0.2741798372755364,2.9782608695652173,0,,0,Bacteria,Proteobacteria,alteromonas,GB_GCA_001562115.1,,alteromonas,17.0,4.529411764705882,2.764705882352941,0.2833333333333333,1.411764705882353,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3759743128820279,-0.3404360024634099,0.2800542665168269,0.1482958011118747,13.0
Altibacter,8,0.1688688948701658,0.1210964480580667,5.125,0,,0,Bacteria,Bacteroidetes,altibacter,GB_GCA_002696485.1,,altibacter,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-1.0844772539736884,-0.6658412241973445,0.14092746350441132,3.0
Aminivibrio,4,0.2784371771738998,0.1722528851062688,7.25,0,,0,Bacteria,Synergistetes,aminivibrio,GB_GCA_012519165.1,,aminivibrio,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-1.0844772539736884,-0.6658412241973445,0.22041678292638028,2.0
Amphiplicatus,9,0.4624296929823485,0.1776026390110816,8.333333333333334,0,,0,Bacteria,Proteobacteria,amphiplicatus,RS_GCF_900199215.1,,amphiplicatus,1.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0500066361647051,1.5415506925331772,1.6313335389656427,0.3360338382569202,3.0
Amphritea,4,0.1263212476291531,0.0370482906838081,8.25,0,,0,Bacteria,Proteobacteria,amphritea,GB_GCA_016744155.1,,amphritea,2.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,1.5415506925331772,-0.6658412241973445,0.12632124762915314,4.0
Amycolatopsis,20,0.5340160413014412,0.1331136123557333,9.85,0,,0,Bacteria,Actinobacteria,amycolatopsis,RS_GCF_000220945.1,,amycolatopsis,2.0,4.5,2.0,0.0,1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.369705703714387,-1.0844772539736884,-0.6658412241973445,0.5780664808939184,5.0
Amylibacter,13,0.1153339459402014,0.1217069452843068,5.538461538461538,0,,0,Bacteria,Proteobacteria,amylibacter,GB_GCA_000153745.1,,amylibacter,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,1.5415506925331772,-0.6658412241973445,0.10643187100066782,8.0
Anaerobiospirillum,3,0.498228016394127,0.2387561993337522,7.666666666666667,0,,0,Bacteria,Proteobacteria,anaerobiospirillum,GB_GCA_018884035.1,,anaerobiospirillum,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-1.0844772539736884,-0.6658412241973445,0.5453692303799024,1.0
Anaerococcus,39,0.3025664223791448,0.2584058821738545,7.717948717948718,0,,0,Bacteria,Firmicutes,anaerococcus,GB_GCA_000308255.3,,anaerococcus,9.0,1.5555555555555556,1.3333333333333333,0.4814814814814814,1.2222222222222223,0.2222222222222222,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.257851725179433,0.1799065721222095,-0.1553579434944581,0.3019142354415737,19.0
Anaerocolumna,10,0.539050378842693,0.2116670810921967,8.8,0,,0,Bacteria,Firmicutes,anaerocolumna,GB_GCA_002294045.1,,anaerocolumna,5.0,1.2,1.0,0.4,1.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,-0.3336322448949132,-0.0340660753709422,-0.6658412241973445,0.5256397894590454,4.0
Anaeromyxobacter,18,0.2121584848485138,0.1634612230481122,9.77777777777778,0,,0,Bacteria,Proteobacteria,anaeromyxobacter,GB_GCA_020028115.1,,anaeromyxobacter,2.0,2.0,1.5,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,0.6662080436975552,-0.6658412241973445,0.22754530616327834,9.0
Anaerotignum,20,0.4010975326746424,0.2762349712024015,7.35,0,,0,Bacteria,Firmicutes,anaerotignum,GB_GCA_001304995.1,,anaerotignum,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,-1.0844772539736884,-0.6658412241973445,0.30340849413098153,9.0
Anaerotruncus,5,0.3254879481793137,0.2001184402300074,9.6,0,,0,Bacteria,Firmicutes,anaerotruncus,GB_GCA_003612625.1,,anaerotruncus,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,1.5415506925331772,-0.6658412241973445,0.2185198719482346,3.0
Anaerovibrio,6,0.1250727404258766,0.0993191397302184,7.666666666666667,0,,0,Bacteria,Firmicutes,anaerovibrio,GB_GCA_002372665.1,,anaerovibrio,2.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,0.2285367192797442,-0.6658412241973445,0.19426444053402694,2.0
Ancylobacter,3,0.7952791367375148,0.129429342926414,10.333333333333334,0,,0,Bacteria,Proteobacteria,ancylobacter,GB_GCA_000378025.1,,ancylobacter,3.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.3052145500016082,-0.2091346051380667,0.0998836968569844,0.7250324553565846,1.0
Ancylomarina,11,0.1218213653790127,0.1500946528633584,4.545454545454546,0,,0,Bacteria,Bacteroidetes,ancylomarina,GB_GCA_016744515.1,,ancylomarina,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,1.5415506925331772,-0.6658412241973445,0.10271790444253347,7.0
Anoxybacillus,15,0.5471147478490413,0.2254591586346656,7.066666666666666,0,,0,Bacteria,Firmicutes,anoxybacillus,GB_GCA_002243705.1,,anoxybacillus,6.0,2.0,1.5,0.1666666666666666,1.1666666666666667,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,-0.6468059295558778,-0.2829787636701797,0.6796933239293182,4.0
Aquaticitalea,3,0.3232652381811794,0.3478635154513074,5.333333333333333,0,,0,Bacteria,Bacteroidetes,aquaticitalea,GB_GCA_002426015.1,,aquaticitalea,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,-1.0844772539736884,-0.6658412241973445,0.7248569761534337,1.0
Aquimarina,28,0.1436912386382521,0.1513259876364256,3.321428571428572,0,,0,Bacteria,Bacteroidetes,aquimarina,GB_GCA_002697475.1,,aquimarina,9.0,1.2222222222222223,1.2222222222222223,0.8888888888888888,1.2222222222222223,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-0.3288959624126957,1.2497698095879697,-0.1553579434944581,0.10800075103137902,12.0
Arachnia,8,0.583397454667769,0.3026849434657302,5.75,0,,0,Bacteria,Actinobacteria,arachnia,GB_GCA_000619965.1,,arachnia,4.0,1.5,1.5,0.5,1.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0,-0.2696924313849768,0.2285367192797442,0.4827461573841491,0.5891710895975752,1.0
Arenibacter,5,0.2101873743765802,0.1814799018059701,6.4,0,,0,Bacteria,Bacteroidetes,arenibacter,RS_GCF_000424985.1,,arenibacter,3.0,1.6666666666666667,1.3333333333333333,0.4444444444444444,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.2341703127683455,0.0826462778071405,0.0998836968569844,0.25695328195888445,4.0
Arenicella,8,0.106379762735885,0.0578310481636189,6.625,0,,0,Bacteria,Proteobacteria,arenicella,GB_GCA_002470515.1,,arenicella,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,1.5415506925331772,-0.6658412241973445,0.12197137865735999,5.0
Arenimonas,22,0.5661810820725005,0.1539879831787459,10.045454545454543,0,,0,Bacteria,Proteobacteria,arenimonas,GB_GCA_001724815.1,,arenimonas,3.0,2.0,1.6666666666666667,0.4444444444444444,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,0.0826462778071405,0.0998836968569844,0.5411016823382293,9.0
Aridibacter,11,0.5051480479756513,0.151814997505559,10.909090909090908,0,,0,Bacteria,Acidobacteria,aridibacter,GB_GCA_003385635.1,,aridibacter,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,1.5415506925331772,-0.6658412241973445,0.6312472514232748,1.0
Aromatoleum,9,0.4195708205892799,0.1574475580969307,7.111111111111111,0,,0,Bacteria,Proteobacteria,aromatoleum,GB_GCA_001190925.1,,aromatoleum,5.0,3.8,2.6,0.79,2.2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2205128055245354,0.9900848237667356,2.0907684915982405,0.36008715945364034,3.0
Arthrobacter,30,0.5035077802951478,0.1685183473602619,9.166666666666666,0,,0,Bacteria,Actinobacteria,arthrobacter,GB_GCA_001423525.1,,arthrobacter,19.0,1.947368421052632,1.5263157894736843,0.2456140350877192,1.105263157894737,1.736842105263158,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,-0.1743435866771768,-0.43948793377902,-0.4240333543907139,0.551261284111219,9.0
Aurantimonas,5,0.5505430241516673,0.1272920326175534,11.2,0,,0,Bacteria,Proteobacteria,aurantimonas,GB_GCA_011050685.1,,aurantimonas,3.0,2.0,1.3333333333333333,0.75,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,0.8850437059064608,0.0998836968569844,0.5949556659104843,3.0
Aureimonas,11,0.5390161352581442,0.2338994286244854,9.090909090909092,0,,0,Bacteria,Proteobacteria,aureimonas,GB_GCA_023419535.1,,aureimonas,3.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-0.2091346051380667,-0.6658412241973445,0.5682209376647988,4.0
Azoarcus,13,0.5391430688178082,0.1545856940914131,8.0,0,,0,Bacteria,Proteobacteria,azoarcus,RS_GCF_001682385.1,,azoarcus,1.0,2.0,2.0,0.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,0.2285367192797442,1.6313335389656427,0.5039260018115043,8.0
Azonexus,14,0.3421433407038895,0.1840367369237092,8.785714285714286,0,,0,Bacteria,Proteobacteria,azonexus,GB_GCA_002345845.1,,azonexus,9.0,2.6666666666666665,2.6666666666666665,0.5,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,-0.0210376010685575,0.2285367192797442,0.0998836968569844,0.2728563192807957,6.0
