genus_lower,mean_B_soil_std,n_otus
erythrobacter,0.5779613082003392,12
escherichia,0.5065789470522745,23
eubacterium,0.3833400110298017,42
facklamia,0.11048427312481209,6
faecalibacterium,0.45233070696323313,39
faecalicatena,0.2892242180299906,16
faecalimonas,0.4683224226096147,5
ferrimonas,0.46606641339579213,9
ferruginibacter,0.5649177316449907,50
fibrobacter,0.41546980886166807,19
fimbriimonas,0.5995167716118215,5
finegoldia,0.40353068263863323,8
fischerella,0.3963429024758343,7
flavipsychrobacter,0.5478900058640966,18
flavisolibacter,0.5510071243921572,47
flavitalea,0.5656876002668171,25
flavobacterium,0.5670922577691232,208
flexibacter,0.5153030915115726,5
fluviicola,0.581366630656288,22
fournierella,0.3679446682358798,5
friedmanniella,0.5775249774757093,7
fulvivirga,0.686179483665842,12
fundicoccus,0.21410592581182558,5
fusibacter,0.3571290111498332,10
fusicatenibacter,0.47469844287123847,12
fusobacterium,0.3667075177876459,33
gaiella,0.6226085440129846,49
gallionella,0.49031790921978663,13
gemmata,0.5807852235595886,16
gemmatimonas,0.6388172731963989,12
gemmobacter,0.5067933670688385,10
geobacillus,0.5547201987939698,15
geobacter,0.3163722727352489,69
geodermatophilus,0.5334207401942496,7
georgenia,0.5846949450751481,10
georgfuchsia,0.43155012011595917,7
geothrix,0.4046236567346176,12
gillisia,0.4868406083139722,6
gilvibacter,0.34712317103446316,5
glaciecola,0.6138164193050177,6
glutamicibacter,0.6419754440354327,6
glycomyces,0.4919485825433095,13
gordonia,0.588076031531957,7
gracilibacillus,0.5387509457390205,10
gracilibacter,0.47511375761076524,7
gracilimonas,0.6659520682520876,10
gramella,0.5539680950446965,6
granulicatella,0.24718396107292684,13
granulicella,0.42676880611169776,16
granulosicoccus,0.568821822603001,7
gulosibacter,0.5484730391130204,8
haemophilus,0.2893727171097738,45
hahella,0.6243535999743711,6
halanaerobium,0.778368109235011,5
haliea,0.5321549925810348,6
halioglobus,0.3296076563008321,9
haloarchaeobius,0.6012298819648253,5
haloarcula,0.4070590179693871,13
halobacterium,0.15294071831434422,5
halococcus,0.2548719076776295,5
haloferula,0.5837820712873274,7
halofilum,0.3598147911502091,8
halolamina,0.5761398890488455,10
halomicroarcula,0.49451169035015163,9
halomonas,0.5520971831773064,62
halorhodospira,0.46185692839748893,6
