genus	relab	sample_id	macro_env	env_medium	env_broad	gold_ecosystem_type	gold_specific	lat	lon	n_compounds	pathways
Candidimonas	0.0033665878921661017	nmdc:bsm-11-89q03t84	soil			Soil	Agricultural land	1.294588	103.776828	1	Shikimates and Phenylpropanoids
Pigmentiphaga	0.0033587572099758943	nmdc:bsm-11-407zcq77	soil			Soil	Agricultural land	1.435343635	103.7115584	3	Shikimates and Phenylpropanoids
Alcaligenes	0.0032668742689738843	nmdc:bsm-12-yytfs289	freshwater	stream water	freshwater stream biome			44.953606	-110.589396	3	Alkaloids,Shikimates and Phenylpropanoids
Pigmentiphaga	0.0030456267067536912	nmdc:bsm-11-30npyx54	soil			Soil	Unclassified	40.8008	-76.34145	3	Shikimates and Phenylpropanoids
Micrococcus	0.003030065909091604	nmdc:bsm-11-ec3gfh22	soil	soil	terrestrial biome	Soil	Unclassified	42.537308	-72.179312	1	Shikimates and Phenylpropanoids
Ferrovibrio	0.002990717040650547	nmdc:bsm-11-hncxy943	soil			Soil	Bulk soil	44.230556	-122.191464	1	Shikimates and Phenylpropanoids
Pigmentiphaga	0.00293430245682888	nmdc:bsm-12-xrqxg668	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	3	Shikimates and Phenylpropanoids
Herbaspirillum	0.002906577481270229	nmdc:bsm-12-xrqxg668	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	2	Shikimates and Phenylpropanoids
Comamonas	0.002886476187305311	nmdc:bsm-12-yk221594	freshwater	stream water	freshwater stream biome			39.758359	-102.448595	3	Alkaloids,Shikimates and Phenylpropanoids
Comamonas	0.002761903059651703	nmdc:bsm-12-kvbxw112	freshwater	stream water	freshwater stream biome			32.961588	-87.408223	3	Alkaloids,Shikimates and Phenylpropanoids
Filimonas	0.002672248143010323	nmdc:bsm-12-zcfkaz45	other	epixylon	freshwater river biome			35.957378	-84.279251	1	Shikimates and Phenylpropanoids
Rhizorhabdus	0.002665006675771046	nmdc:bsm-12-59hfe214	periphyton	epilithon	freshwater river biome			18.11352	-66.98676	1	Shikimates and Phenylpropanoids
Staphylococcus	0.0025692136245365925	nmdc:bsm-11-v08hbc47	soil	soil	terrestrial biome	Soil	Unclassified	31.194314	-84.477077	2	Shikimates and Phenylpropanoids
Pusillimonas	0.002564534790626038	nmdc:bsm-11-72f2yc02	soil			Soil	Agricultural land	1.294588	103.776828	2	Shikimates and Phenylpropanoids
Aminobacter	0.0025389831505776613	nmdc:bsm-11-y3vbkk56	soil	soil	terrestrial biome	Soil	Unclassified	38.897609	-78.152007	1	Shikimates and Phenylpropanoids
Alteromonas	0.0025114648442865067	nmdc:bsm-11-x2xvvc38	soil	soil	terrestrial biome	Soil	Unclassified	47.131002	-99.242763	1	Shikimates and Phenylpropanoids
Pandoraea	0.0024662397466582277	nmdc:bsm-11-72f2yc02	soil			Soil	Agricultural land	1.294588	103.776828	1	Shikimates and Phenylpropanoids
Intrasporangium	0.0024078233277564126	nmdc:bsm-11-p71ap597	soil	soil	terrestrial biome	Soil	Unclassified	71.281245	-156.603377	1	Alkaloids
Shinella	0.0022888972186479424	nmdc:bsm-11-c7daje72	soil	soil	terrestrial biome	Soil	Bulk soil	32.922166	-87.428895	1	Shikimates and Phenylpropanoids
Starkeya	0.0022625252657928157	nmdc:bsm-11-tvhbxs22	soil	soil	terrestrial biome	Soil	Unclassified	42.45243	-72.250472	2	Shikimates and Phenylpropanoids
Intrasporangium	0.0021754096640850384	nmdc:bsm-11-ncna5c73	soil	soil	terrestrial biome	Soil	Unclassified	38.883308	-78.120371	1	Alkaloids
Herbaspirillum	0.002131846237219056	nmdc:bsm-12-18a1tv89	other	epipelon	freshwater river biome			39.095637	-77.983216	2	Shikimates and Phenylpropanoids
Aminobacter	0.0020889236845118508	nmdc:bsm-12-g36ma920	periphyton	epilithon	freshwater river biome			38.89431	-78.147258	1	Shikimates and Phenylpropanoids
Filimonas	0.0020812634930367736	nmdc:bsm-11-p2nnmv96	soil	soil	terrestrial biome	Soil	Unclassified	42.45243	-72.250472	1	Shikimates and Phenylpropanoids
Pandoraea	0.0020136258643573095	nmdc:bsm-12-jnhhhq74	freshwater	stream water	freshwater stream biome			36.955224	-119.023553	1	Shikimates and Phenylpropanoids
Filimonas	0.0019467213478982937	nmdc:bsm-12-s676a041	other	epixylon	freshwater river biome			32.960365	-87.407688	1	Shikimates and Phenylpropanoids
Rhizorhabdus	0.0019257911985541573	nmdc:bsm-11-yf1w8w09	soil	soil	terrestrial biome	Soil	Unclassified	31.194504	-84.460062	1	Shikimates and Phenylpropanoids
Rhizorhabdus	0.0018945514563827582	nmdc:bsm-11-cp8crw45	soil			Soil	Desert	28.72122816	83.91438789	1	Shikimates and Phenylpropanoids
Staphylococcus	0.0018893338680416479	nmdc:bsm-11-yh8qdb53	soil	soil	terrestrial biome	Soil	Unclassified	38.883308	-78.120371	2	Shikimates and Phenylpropanoids
Pseudarthrobacter	0.001826274743835263	nmdc:bsm-11-p71ap597	soil	soil	terrestrial biome	Soil	Unclassified	71.281245	-156.603377	1	Shikimates and Phenylpropanoids
Hylemonella	0.001820731926481516	nmdc:bsm-12-3y4xcp84	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	2	Shikimates and Phenylpropanoids
Xylophilus	0.0017771346473510567	nmdc:bsm-12-8ad2jj17	periphyton	epilithon	freshwater river biome			39.105061	-96.603829	1	Shikimates and Phenylpropanoids
Citrobacter	0.0016913847640892647	nmdc:bsm-12-m6cnke49	periphyton	epilithon	freshwater river biome			38.89431	-78.147258	1	Shikimates and Phenylpropanoids
Paenarthrobacter	0.001674213743365368	nmdc:bsm-11-rvbmgd94	soil	soil	terrestrial biome	Soil	Unclassified	33.414259	-97.597098	1	Shikimates and Phenylpropanoids
Hylemonella	0.001653823423665289	nmdc:bsm-12-xrqxg668	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	2	Shikimates and Phenylpropanoids
Roseococcus	0.0016506718729850196	nmdc:bsm-11-tvhbxs22	soil	soil	terrestrial biome	Soil	Unclassified	42.45243	-72.250472	1	Shikimates and Phenylpropanoids
Pseudarthrobacter	0.0016231447193584478	nmdc:bsm-11-ew5t0k44	soil	soil	terrestrial biome	Soil	Unclassified	39.124964	-96.647329	1	Shikimates and Phenylpropanoids
Xylophilus	0.0015536706578400158	nmdc:bsm-12-kzfen933	periphyton	epilithon	freshwater river biome			44.95011	-110.58715	1	Shikimates and Phenylpropanoids
Hylemonella	0.00155021434756416	nmdc:bsm-12-kzfen933	periphyton	epilithon	freshwater river biome			44.95011	-110.58715	2	Shikimates and Phenylpropanoids
Roseococcus	0.001539697005468034	nmdc:bsm-12-wfjzxk89	other	epixylon	freshwater river biome			32.960365	-87.407688	1	Shikimates and Phenylpropanoids
Alteromonas	0.0014951148637838431	nmdc:bsm-12-pg1br178	freshwater	stream water	freshwater stream biome			40.783659	-111.798106	1	Shikimates and Phenylpropanoids
Roseococcus	0.0014797154330648296	nmdc:bsm-11-4b8h0j70	other			Volcanic	Unclassified	19.389305	-155.2485	1	Shikimates and Phenylpropanoids
Rhodospirillum	0.0014692861410712762	nmdc:bsm-12-vnn1w979	periphyton	epilithon	freshwater river biome			39.105061	-96.603829	1	Shikimates and Phenylpropanoids
Starkeya	0.0014408601055530836	nmdc:bsm-11-pd0av537	soil	soil	terrestrial biome	Soil	Unclassified	31.196458	-84.461913	2	Shikimates and Phenylpropanoids
Citrobacter	0.001376863893618453	nmdc:bsm-12-vkxx8d53	other	epixylon	freshwater river biome			32.960365	-87.407688	1	Shikimates and Phenylpropanoids
Starkeya	0.0013709636835799693	nmdc:bsm-11-p37dc885	soil			Soil	Bulk soil	65.16121249	-147.4844485	2	Shikimates and Phenylpropanoids
Paenarthrobacter	0.001338749508286897	nmdc:bsm-11-1ymf2v75	soil	soil	terrestrial biome	Soil	Unclassified	39.215958	-96.594339	1	Shikimates and Phenylpropanoids
Pseudacidovorax	0.0013178553575557035	nmdc:bsm-12-w9rb7k53	periphyton	epilithon	freshwater river biome			39.105061	-96.603829	1	Shikimates and Phenylpropanoids
Pseudacidovorax	0.0011420836179549408	nmdc:bsm-11-dbr4yn11	soil			Soil	Bulk soil	65.1612536	-147.4846824	1	Shikimates and Phenylpropanoids
Castellaniella	0.001112670655954353	nmdc:bsm-11-pksg9b77	soil	soil	terrestrial biome	Soil	Bulk soil	45.834307	-90.085088	1	Shikimates and Phenylpropanoids
Ferrovibrio	0.0010886149910981442	nmdc:bsm-11-g3a6t898	soil	soil	terrestrial biome	Soil	Unclassified	63.887138	-149.301221	1	Shikimates and Phenylpropanoids
Ferrovibrio	0.0010861815039878552	nmdc:bsm-11-823zf212	soil			Soil	Agricultural land	1.294588	103.776828	1	Shikimates and Phenylpropanoids
Klebsiella	0.0010645765044819712	nmdc:bsm-12-e5jx0g04	periphyton	epilithon	freshwater river biome			45.790835	-121.933788	1	Shikimates and Phenylpropanoids
Rhodospirillum	0.0010600803039202778	nmdc:bsm-12-za7a4t49	other	epixylon	freshwater river biome			32.960365	-87.407688	1	Shikimates and Phenylpropanoids
Pseudacidovorax	0.0010196320213796287	nmdc:bsm-12-1cwnj150	periphyton	epilithon	freshwater river biome			39.105061	-96.603829	1	Shikimates and Phenylpropanoids
Shinella	0.0009962654584973714	nmdc:bsm-12-e36jqk24	periphyton	epilithon	freshwater river biome			39.891366	-105.915395	1	Shikimates and Phenylpropanoids
Cytobacillus	0.0009914548947169632	nmdc:bsm-11-zhxzwt61	soil	soil	terrestrial biome	Soil	Unclassified	40.205921	-112.430276	1	Shikimates and Phenylpropanoids
Cytobacillus	0.0009866705332051634	nmdc:bsm-11-pcvbhg47	soil	soil	terrestrial biome	Soil	Unclassified	44.041571	-71.28692	1	Shikimates and Phenylpropanoids
Rhodospirillum	0.0008951340672929592	nmdc:bsm-11-1frj0t76	soil	soil	terrestrial biome	Soil	Unclassified	40.850866	-104.699535	1	Shikimates and Phenylpropanoids
Paenarthrobacter	0.0008722976378595919	nmdc:bsm-11-yf1w8w09	soil	soil	terrestrial biome	Soil	Unclassified	31.194504	-84.460062	1	Shikimates and Phenylpropanoids
Shinella	0.0008392009426314175	nmdc:bsm-12-w9rb7k53	periphyton	epilithon	freshwater river biome			39.105061	-96.603829	1	Shikimates and Phenylpropanoids
Cytobacillus	0.0006924400633497729	nmdc:bsm-11-dbr4yn11	soil			Soil	Bulk soil	65.1612536	-147.4846824	1	Shikimates and Phenylpropanoids
Micrococcus	0.0006472661128960666	nmdc:bsm-11-bne5j332	soil	soil	terrestrial biome	Soil	Unclassified	39.108366	-96.614399	1	Shikimates and Phenylpropanoids
Micrococcus	0.000541478103561269	nmdc:bsm-11-v790dw64	soil	soil	terrestrial biome	Soil	Unclassified	40.473273	-103.018333	1	Shikimates and Phenylpropanoids
