compound_id	name	npc_pathway	inchikey	kegg_id	chebi_id	best_tier	was_dark	deep_tier	rescued	kegg_n_rxn	kegg_n_degpw	kegg_deg_maps	new_kegg	kegg_via	analog	analog_kind	analog_tier	analog_pathway	lit_n	lit_screened	lit_top_pmids	lit_top_title	fb_carbon	msd_match	msd_n_rxn	has_kegg	lit_strong
Cc1_109	3-hydroxybenzyl alcohol	Shikimates and Phenylpropanoids	OKVJCVWFVRATSG-UHFFFAOYSA-N	C03351	CHEBI:17069	T2_3_reaction	False	T2_kegg_degrad	False	2	2	00623:Toluene degradation;01220:Degradation of aromatic compounds							0	0			False	inchikey	13	True	True
Cc1_172	4-(4-Hydroxyphenyl)butan-2-one	Shikimates and Phenylpropanoids	NJGBTKGETPDVIK-UHFFFAOYSA-N	D70581	CHEBI:68656	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	1	True	False
Cc1_30	zingerone	Shikimates and Phenylpropanoids	OJYLAHXKWMRDGS-UHFFFAOYSA-N	C17497	CHEBI:68657	T3_kegg	False	T3_kegg	False	0	0								0	0			False	inchikey	0	True	False
Cc1_108	3-(2-Hydroxyphenyl)propionic acid	Shikimates and Phenylpropanoids	CJBDUOMQLFKVQC-UHFFFAOYSA-N	C01198	CHEBI:16104	T2_3_reaction	False	T2_kegg_degrad	False	5	1	00624:Polycyclic aromatic hydrocarbon degradation							0	0			False	connectivity	11	True	False
Cc1_113	6-aminochromen-2-one	Shikimates and Phenylpropanoids	ZOJAINJCZSVZGW-UHFFFAOYSA-N			T0_dark	True	T0_dark	False	0	0								0	0			False		0	False	False
Cc1_220	2-Hydroxychalcone 	Shikimates and Phenylpropanoids	UDOOPSJCRMKSGL-ZHACJKMWSA-N	D90823		T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	1	True	False
Cc1_33	7-hydroxyflavanone	Shikimates and Phenylpropanoids	SWAJPHCXKPCPQZ-UHFFFAOYSA-N	D90988	CHEBI:34483	T3_kegg	False	T3_kegg	False	0	0								0	0			False	inchikey	0	True	False
Cc1_112	4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	RGHHSNMVTDWUBI-UHFFFAOYSA-N	C00633	CHEBI:17597	T2_3_reaction	False	T2_kegg_degrad	False	12	3	00363:Bisphenol degradation;00623:Toluene degradation;00627:Aminobenzoate degradation							0	0			False	inchikey	34	True	True
Cc1_38	salicylic acid	Shikimates and Phenylpropanoids	YGSDEFSMJLZEOE-UHFFFAOYSA-N	C00805	CHEBI:16914	T2_3_reaction	False	T2_kegg_degrad	False	17	4	00621:Dioxin degradation;00624:Polycyclic aromatic hydrocarbon degradation;00626:Naphthalene degradation;01220:Degradation of aromatic compounds							0	0			False	connectivity	67	True	True
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	IJFXRHURBJZNAO-UHFFFAOYSA-N	C00587	CHEBI:30764	T2_3_reaction	False	T2_kegg_degrad	False	9	4	00362:Benzoate degradation;00623:Toluene degradation;00624:Polycyclic aromatic hydrocarbon degradation;01220:Degradation of aromatic compounds							0	0			False	connectivity	19	True	True
