compound_id	name	npc_pathway	inchikey	kegg_id	chebi_id	fb_carbon	fb_conditions	fb_n_orgs	fb_orgs	msd_cpd	msd_match	msd_n_rxn	msd_rxn	has_kegg	lit	lit_hits	lit_generic	lit_strong	lit_example	any_linkage	best_tier
Cc1_96	4,6,8-trimethylhydroquinolin-2-one	Alkaloids	UHXASMSNKAVYHU-UHFFFAOYSA-N			False		0				0	False	False	False			False		False	T0_dark
Cc1_147	Indole-3-butyric acid	Alkaloids	JTEDVYBZBROSJT-UHFFFAOYSA-N	D78109	CHEBI:33070	False		0		seed.compound:cpd08145	connectivity	5	True	True	True	5.0	False	True	Enoyl-CoA delta isomerase 2, peroxisomal; Delta(3),Delta(2)-enoyl CoA isomerase 2; AtECI2; Indole-3-butyric acid response 10; EC 5.3.3.8	True	T2_3_reaction
Cc1_72	indole-3-acetonitrile	Alkaloids	DMCPFOBLJMLSNX-UHFFFAOYSA-N	C02938	CHEBI:17566	False		0		seed.compound:cpd01881	inchikey	21	True	True	True	2.0	False	True	Nitrilase; Arylacetonitrilase; Indole-3-acetonitrile hydrolase; IAN hydrolase; Indole-3-acetonitrilase; EC 3.5.5.1	True	T2_3_reaction
Cc1_42	4-hydroxy-1-methyl-2-quinolone	Alkaloids	RTNPPPQVXREFKX-UHFFFAOYSA-N		CHEBI:227249	False		0				0	False	False	False			False		False	T0_dark
Cc1_24	1,4-dimethylquinolin-2(1h)-one	Alkaloids	CEONKCOBRZOYJS-UHFFFAOYSA-N			False		0				0	False	False	False			False		False	T0_dark
Cc1_41	2-hydroxyquinoline	Alkaloids	LISFMEBWQUVKPJ-UHFFFAOYSA-N	C06338	CHEBI:18289	False		0		seed.compound:cpd03779	inchikey	6	True	True	True	1.0	False	True	Crystal structure of rpa3624, a beta-propeller lactonase from rhodopseudomonas palustris, with active-site bound 2-hydroxyquinoline	True	T2_3_reaction
Cc1_208	Phenylethylamine	Alkaloids	BHHGXPLMPWCGHP-UHFFFAOYSA-N	C05332	CHEBI:18397	False		0		seed.compound:cpd03161	connectivity	16	True	True	True	4.0	False	True	Primary amine oxidase; 2-phenylethylamine oxidase; Copper amine oxidase; Tyramine oxidase; EC 1.4.3.21	True	T2_3_reaction
Cc1_110	3-Indoleacrylic acid	Alkaloids, Shikimates and Phenylpropanoids	PLVPPLCLBIEYEA-AATRIKPKSA-N	C21283	CHEBI:132244	False		0		seed.compound:cpd23008	connectivity	4	True	True	False			False		True	T2_3_reaction
Cc1_143	GUANIDINEACETIC ACID	Amino acids and Peptides	BPMFZUMJYQTVII-UHFFFAOYSA-N	C00581	CHEBI:16344	False		0		seed.compound:cpd00451	inchikey	8	True	True	False			False		True	T2_3_reaction
Cc1_69	DODECANEDIOIC ACID	Fatty acids	TVIDDXQYHWJXFK-UHFFFAOYSA-N	C02678	CHEBI:4676	False		0		seed.compound:cpd01740	connectivity	2	True	True	False			False		True	T2_3_reaction
Cc1_87	TETRADECANEDIOIC ACID	Fatty acids	HQHCYKULIHKCEB-UHFFFAOYSA-N		CHEBI:76308	False		0		seed.compound:cpd40690	connectivity	1	True	False	False			False		True	T2_3_reaction
Cc1_76	Decanedioic acid/Sebacic acid	Fatty acids	CXMXRPHRNRROMY-UHFFFAOYSA-N	C08277	CHEBI:41865	False		0		seed.compound:cpd05192	connectivity	5	True	True	False			False		True	T2_3_reaction
Cc1_66	Brassylic acid	Fatty acids	DXNCZXXFRKPEPY-UHFFFAOYSA-N		CHEBI:73718	False		0				0	False	False	False			False		False	T0_dark
Cc1_54	Hexadecanedioic acid	Fatty acids	QQHJDPROMQRDLA-UHFFFAOYSA-N	C19615	CHEBI:73722	False		0		seed.compound:cpd20868	connectivity	5	True	True	False			False		True	T2_3_reaction
Cc1_8	alpha-hydroxyisobutyric acid	Fatty acids	BWLBGMIXKSTLSX-UHFFFAOYSA-N	C21297	CHEBI:50129	False		0		seed.compound:cpd33712	connectivity	5	True	True	False			False		True	T2_3_reaction
Cc1_53	12-Hydroxydodecanoic acid	Fatty acids	ZDHCZVWCTKTBRY-UHFFFAOYSA-N	C08317	CHEBI:39567	False		0		seed.compound:cpd05232	connectivity	5	True	True	True	1.0	False	True	Crystal structure of the cyp153a mutant v456a from marinobacter aquaeolei in complex with 12-hydroxydodecanoic acid	True	T2_3_reaction
Cc1_17	sn-glycero-3-phosphocholine	Fatty acids	SUHOQUVVVLNYQR-MRVPVSSYSA-N	D07349	CHEBI:16870	False		0		seed.compound:cpd00507	inchikey	69	True	True	True	1.0	False	True	Structure of rvfv envelope protein gc in postfusion conformation in complex with 1,2-dipropionyl-sn-glycero-3-phosphocholine	True	T2_3_reaction
Cc1_44	6-methylchromone	Polyketides	HTXQVFXXVXOLCF-UHFFFAOYSA-N	D76209		False		0				0	False	True	False			False		True	T3_kegg
Cc1_109	3-hydroxybenzyl alcohol	Shikimates and Phenylpropanoids	OKVJCVWFVRATSG-UHFFFAOYSA-N	C03351	CHEBI:17069	False		0		seed.compound:cpd02129	inchikey	13	True	True	True	1.0	False	True	Benzyl alcohol O-benzoyltransferase; PhBEBT1; Acetyl CoA:3-hydroxybenzyl alcohol acetyltransferase; Acetyl CoA:benzyl alcohol acetyltransferase; Acetyl CoA:geraniol acetyltransferase; Benzoyl coenzyme A:benzyl alcohol benzoyl transferase; Benzyl CoA:benzyl alcohol/phenylethanol benzoyltransferase; PhBPBT; Benzyl CoA:(3Z)-hex-3-en-1-ol benzoyltransferase; Benzyl CoA:2-phenylethanol benzoyltransferase; Benzyl CoA:3-hydroxybenzyl alcohol benzoyltransferase; Benzyl CoA:butanol benzoyltransferase; Benzyl CoA:geraniol benzoyltransferase; Benzyl CoA:octan-1-ol benzoyltransferase; EC 2.3.1.196; EC 2.3.1.-; EC 2.3.1.224	True	T2_3_reaction
Cc1_172	4-(4-Hydroxyphenyl)butan-2-one	Shikimates and Phenylpropanoids	NJGBTKGETPDVIK-UHFFFAOYSA-N	D70581	CHEBI:68656	False		0		seed.compound:cpd37286	inchikey	1	True	True	False			False		True	T2_3_reaction
Cc1_30	zingerone	Shikimates and Phenylpropanoids	OJYLAHXKWMRDGS-UHFFFAOYSA-N	C17497	CHEBI:68657	False		0		seed.compound:cpd17623	inchikey	0	False	True	False			False		True	T3_kegg
Cc1_108	3-(2-Hydroxyphenyl)propionic acid	Shikimates and Phenylpropanoids	CJBDUOMQLFKVQC-UHFFFAOYSA-N	C01198	CHEBI:16104	False		0		seed.compound:cpd00882	connectivity	11	True	True	False			False		True	T2_3_reaction
Cc1_113	6-aminochromen-2-one	Shikimates and Phenylpropanoids	ZOJAINJCZSVZGW-UHFFFAOYSA-N			False		0				0	False	False	False			False		False	T0_dark
Cc1_220	2-Hydroxychalcone 	Shikimates and Phenylpropanoids	UDOOPSJCRMKSGL-ZHACJKMWSA-N	D90823		False		0		seed.compound:cpd34810	inchikey	1	True	True	False			False		True	T2_3_reaction
Cc1_33	7-hydroxyflavanone	Shikimates and Phenylpropanoids	SWAJPHCXKPCPQZ-UHFFFAOYSA-N	D90988	CHEBI:34483	False		0		seed.compound:cpd09989	inchikey	0	False	True	False			False		True	T3_kegg
Cc1_112	4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	RGHHSNMVTDWUBI-UHFFFAOYSA-N	C00633	CHEBI:17597	False		0		seed.compound:cpd00484	inchikey	34	True	True	True	3.0	False	True	4-hydroxybenzaldehyde synthase, chloroplastic; 4-coumarate hydratase/lyase; EC 4.1.2.66	True	T2_3_reaction
Cc1_38	salicylic acid	Shikimates and Phenylpropanoids	YGSDEFSMJLZEOE-UHFFFAOYSA-N	C00805	CHEBI:16914	False		0		seed.compound:cpd00599	connectivity	67	True	True	True	45.0	False	True	6-methylsalicylic acid synthase acuA; 6MSAS; Aculin biosynthesis cluster protein A; Non-reducing polyketide synthase acuA; EC 2.3.1.165	True	T2_3_reaction
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	IJFXRHURBJZNAO-UHFFFAOYSA-N	C00587	CHEBI:30764	False		0		seed.compound:cpd00456	connectivity	19	True	True	True	1.0	False	True	Crystal structure of mqna complexed with 3-hydroxybenzoic acid	True	T2_3_reaction
Cc1_58	2-Hydroxyphenylacetic acid	Shikimates and Phenylpropanoids	CCVYRRGZDBSHFU-UHFFFAOYSA-N	C05852	CHEBI:28478	False		0		seed.compound:cpd03480	connectivity	17	True	True	False			False		True	T2_3_reaction
Cc1_142	guaiacol	Shikimates and Phenylpropanoids	LHGVFZTZFXWLCP-UHFFFAOYSA-N	C01502	CHEBI:28591	False		0		seed.compound:cpd01063	inchikey	12	True	True	True	3.0	True	True	Structure of bacillus pumilus catalase with guaiacol bound	True	T2_3_reaction
Cc1_129	Cinnamic acid	Shikimates and Phenylpropanoids	WBYWAXJHAXSJNI-VOTSOKGWSA-N	C00423	CHEBI:27386	False		0		seed.compound:cpd00333	connectivity	45	True	True	True	19.0	False	True	Trans-cinnamate:CoA ligase, peroxisomal; Cinnamic acid:CoA ligase; Ph-CNL; PhCNL; (E)-caffeate:CoA ligase CNL; 4-coumarate:CoA ligase CNL; Protein ACYL-ACTIVATING ENZYME; PhAAE; EC 6.2.1.-; EC 6.2.1.12	True	T2_3_reaction
Cc1_3	caffeic acid	Shikimates and Phenylpropanoids	QAIPRVGONGVQAS-DUXPYHPUSA-N	C01197	CHEBI:36281	False		0		seed.compound:cpd22503	connectivity	4	True	True	True	11.0	False	True	Caffeic acid 3-O-methyltransferase; CAOMT; COMT; S-adenosysl-L-methionine:caffeic acid 3-O-methyltransferase; EC 2.1.1.68	True	T2_3_reaction
Cc1_118	ANETHOLE	Shikimates and Phenylpropanoids	RUVINXPYWBROJD-ONEGZZNKSA-N	D02377	CHEBI:2716	False		0		seed.compound:cpd07316	inchikey	4	True	True	True	1.0	True	True	Crystal structure of t-anethole oxygenase from stenotrophomonas maltophilia	True	T2_3_reaction
Cc1_175	Benzylideneacetone	Shikimates and Phenylpropanoids	BWHOZHOGCMHOBV-BQYQJAHWSA-N	D70186	CHEBI:217301	False		0		seed.compound:cpd32137	inchikey	1	True	True	False			False		True	T2_3_reaction
Cc1_104	(±)-Dihydroactinidiolide	Terpenoids	IMKHDCBNRDRUEB-LLVKDONJSA-N			False		0				0	False	False	False			False		False	T0_dark
Cc1_117	Abscisic acid	Terpenoids	JLIDBLDQVAYHNE-YKALOCIXSA-N	C06082	CHEBI:2365	False		0		seed.compound:cpd24848	connectivity	6	True	True	True	120.0	False	True	Cytochrome P450 monooxygenase aba1; Abscisic acid biosynthesis cluster protein 2; EC 1.-.-.-	True	T2_3_reaction
Cc1_100	(S)-(-)-Perillic acid	Terpenoids	CDSMSBUVCWHORP-MRVPVSSYSA-N	C13419		False		0		seed.compound:cpd35762	connectivity	1	True	True	False			False		True	T2_3_reaction
Cc1_126	CARVEOL	Terpenoids	BAVONGHXFVOKBV-UHFFFAOYSA-N	D77822	CHEBI:23046	False		0		seed.compound:cpd43985	inchikey	0	False	True	True	26.0	True	True	Cytochrome P450 71D178; (+)-trans-isopiperitenol synthase; Carvacrol synthase; Carveol synthase; Gamma-terpinene hydroxylase; Limonene hydroxylase; Thymol synthase; EC 1.14.14.-; EC 1.14.14.51	True	T3_kegg
Cc1_99	(1R)-(-)-Nopol	Terpenoids	ROKSAUSPJGWCSM-UWVGGRQHSA-N		CHEBI:171826	False		0				0	False	False	False			False		False	T0_dark
Cc1_36	ketopinic acid	Terpenoids	WDODWBQJVMBHCO-UHFFFAOYSA-N			False		0				0	False	False	False			False		False	T0_dark
Cc1_49	(+)-Nootkatone	Terpenoids	WTOYNNBCKUYIKC-JMSVASOKSA-N	C17914	CHEBI:81377	False		0		seed.compound:cpd17903	inchikey	4	True	True	False			False		True	T2_3_reaction
ZJTJUVIJVLLGSP-UHFFFAOYSA-N	lumichrome	Alkaloids	ZJTJUVIJVLLGSP-UHFFFAOYSA-N			False		0		seed.compound:cpd01191	inchikey	1	True	False	False			False		True	T2_3_reaction
GDNYELSKMFYCBB-UHFFFAOYSA-N	2,3-dihydro-1H-indole-7-carboxylic acid	Alkaloids	GDNYELSKMFYCBB-UHFFFAOYSA-N			False		0				0	False	False	False			False		False	T0_dark
OLNJUISKUQQNIM-UHFFFAOYSA-N	INDOLE-3-CARBOXALDEHYDE	Alkaloids	OLNJUISKUQQNIM-UHFFFAOYSA-N	C08493	CHEBI:28238	False		0		seed.compound:cpd05401	inchikey	6	True	True	False			False		True	T2_3_reaction
OVYWMEWYEJLIER-UHFFFAOYSA-N	6-Hydroxyquinoline	Alkaloids	OVYWMEWYEJLIER-UHFFFAOYSA-N		CHEBI:48994	False		0		seed.compound:cpd33636	inchikey	2	True	False	False			False		True	T2_3_reaction
QNRXNRGSOJZINA-UHFFFAOYSA-N	(2S)indoline-2-carboxylic acid	Alkaloids	QNRXNRGSOJZINA-UHFFFAOYSA-N		CHEBI:167001	False		0				0	False	False	False			False		False	T0_dark
IPCSVZSSVZVIGE-UHFFFAOYSA-N	Palmitic Acid	Fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	C00249	CHEBI:15756	False		0		seed.compound:cpd00214	connectivity	206	True	True	True	9.0	False	True	Palmitoyl-monogalactosyldiacylglycerol delta-7 desaturase, chloroplastic; Acyl-lipid desaturase 3; Fatty acid desaturase 5; FAD5; Fatty acid desaturase B; FADB; Monogalactosyldiacylglycerol-specific palmitic acid desaturase; EC 1.14.19.42	True	T2_3_reaction
POULHZVOKOAJMA-UHFFFAOYSA-N	lauric acid	Fatty acids	POULHZVOKOAJMA-UHFFFAOYSA-N	C02679	CHEBI:30805	True	Lauric acid	1	Putida	seed.compound:cpd01741	connectivity	73	True	True	True	11.0	False	True	Lauric acid 10-hydroxylase; Capric acid 12-hydroxylase; Cytochrome P450 76B9; EC 1.14.14.-	True	T1_measured
FVMDYYGIDFPZAX-UHFFFAOYSA-N	3-Hydroxyphenylacetic acid	Shikimates and Phenylpropanoids	FVMDYYGIDFPZAX-UHFFFAOYSA-N	C05593	CHEBI:17445	False		0		seed.compound:cpd03320	connectivity	7	True	True	False			False		True	T2_3_reaction
KKEYFWRCBNTPAC-UHFFFAOYSA-N	TEREPHTHALIC ACID	Shikimates and Phenylpropanoids	KKEYFWRCBNTPAC-UHFFFAOYSA-N	C06337	CHEBI:15702	False		0		seed.compound:cpd03778	connectivity	9	True	True	True	2.0	False	True	Polyester hydrolase leipzig 7 (phl7) bound to terephthalic acid (tpa) and mg2+	True	T2_3_reaction
XNGIFLGASWRNHJ-UHFFFAOYSA-N	phthalic acid	Shikimates and Phenylpropanoids	XNGIFLGASWRNHJ-UHFFFAOYSA-N	C01606	CHEBI:29069	False		0		seed.compound:cpd01129	connectivity	14	True	True	True	2.0	False	True	Polyester hydrolase leipzig 7 (phl7) bound to terephthalic acid (tpa) and mg2+	True	T2_3_reaction
CRDAMVZIKSXKFV-YFVJMOTDSA-N	Farnesol	Terpenoids	CRDAMVZIKSXKFV-YFVJMOTDSA-N	C01126	CHEBI:16619	False		0		seed.compound:cpd00829	inchikey	14	True	True	True	15.0	False	True	Aldo-keto reductase family 1 member B15; Estradiol 17-beta-dehydrogenase AKR1B15; Farnesol dehydrogenase; Testosterone 17beta-dehydrogenase; EC 1.1.1.-; EC 1.1.1.300; EC 1.1.1.54; EC 1.1.1.216; EC 1.1.1.64	True	T2_3_reaction
DSSYKIVIOFKYAU-XCBNKYQSSA-N	D-camphor	Terpenoids	DSSYKIVIOFKYAU-XCBNKYQSSA-N	C00808	CHEBI:15396	False		0		seed.compound:cpd00601	inchikey	14	True	True	False			False		True	T2_3_reaction
FQTLCLSUCSAZDY-SDNWHVSQSA-N	NEROLIDOL	Terpenoids	FQTLCLSUCSAZDY-SDNWHVSQSA-N		CHEBI:7524	False		0		seed.compound:cpd38093	inchikey	3	True	False	True	23.0	False	True	Acyclic sesquiterpene synthase; (3R,6E)-nerolidol synthase; (R)-linalool synthase; Beta-farnesene synthase; Ent-kaurene synthase 2.1; ZmKS2.1; Farnesyl diphosphatase; Geraniol synthase; Terpene synthase 1; ZmTPS1; EC 4.2.3.49; EC 4.2.3.26; EC 4.2.3.47; EC 4.2.3.19; EC 3.1.7.6; EC 3.1.7.11	True	T2_3_reaction
RGZSQWQPBWRIAQ-UHFFFAOYSA-N	Bisabolol	Terpenoids	RGZSQWQPBWRIAQ-UHFFFAOYSA-N		CHEBI:167422	False		0		seed.compound:cpd23805	connectivity	1	True	False	True	7.0	False	True	Alpha-bisabolol synthase; SspiBS; EC 4.2.3.-	True	T2_3_reaction
VZJHQHUOVIDRCF-DGMCESFYSA-N	(-)-Isolongifolol	Terpenoids	VZJHQHUOVIDRCF-DGMCESFYSA-N			False		0				0	False	False	False			False		False	T0_dark
NVEQFIOZRFFVFW-UHFFFAOYSA-N	b-Caryophyllene oxide	Terpenoids	NVEQFIOZRFFVFW-UHFFFAOYSA-N		CHEBI:156179	False		0		seed.compound:cpd17186	connectivity	0	False	False	False			False		False	T0_dark
XVULBTBTFGYVRC-HHUCQEJWSA-N	Sclareol	Terpenoids	XVULBTBTFGYVRC-HHUCQEJWSA-N	C09183	CHEBI:9053	False		0		seed.compound:cpd06079	inchikey	2	True	True	True	1.0	False	True	Sclareol synthase, chloroplastic; ScSCS; SsSS; Diterpene synthase 1132; SsTps1132; EC 4.2.3.141	True	T2_3_reaction
IBRKLUSXDYATLG-LURJTMIESA-N	SALSOLINOL	Alkaloids	IBRKLUSXDYATLG-LURJTMIESA-N	C09642	CHEBI:113	False		0		seed.compound:cpd06536	connectivity	1	True	True	False			False		True	T2_3_reaction
QWJIWJWEGVAMEB-UHFFFAOYSA-N	1H-pyrrolo[3,2-b]pyridine-5-carboxylic acid	Alkaloids	QWJIWJWEGVAMEB-UHFFFAOYSA-N			False		0				0	False	False	False			False		False	T0_dark
WJJMNDUMQPNECX-UHFFFAOYSA-N	2,6-Pyridinedicarboxylic acid	Alkaloids	WJJMNDUMQPNECX-UHFFFAOYSA-N		CHEBI:46837	False		0		seed.compound:cpd15596	connectivity	7	True	False	False			False		True	T2_3_reaction
WVMBPWMAQDVZCM-UHFFFAOYSA-N	N-methylanthranilic acid 	Alkaloids	WVMBPWMAQDVZCM-UHFFFAOYSA-N	C03005	CHEBI:16394	False		0		seed.compound:cpd01928	connectivity	3	True	True	False			False		True	T2_3_reaction
AFDXODALSZRGIH-QPJJXVBHSA-N	4-Methoxycinnamic acid	Shikimates and Phenylpropanoids	AFDXODALSZRGIH-QPJJXVBHSA-N		CHEBI:48541	False		0		seed.compound:cpd23124	connectivity	0	False	False	False			False		False	T0_dark
