genus	env_class	source	n_present	n_class	prevalence	mean_relab	mean_present	max_relab	n_compounds	pathways
Pigmentiphaga	plant	NMDC	19	119	0.15966386554621848	3.109999266989805e-05	0.0001947841646167299	0.000576422451129892	3	Shikimates and Phenylpropanoids
Polaromonas	periphyton	NMDC	458	472	0.9703389830508474	0.007647570840008784	0.007881339380969752	0.15579259630824427	4	Shikimates and Phenylpropanoids
Polaromonas	plant	NMDC	19	119	0.15966386554621848	0.0004927992270712891	0.0030864793695517577	0.014554369557466489	4	Shikimates and Phenylpropanoids
Polaromonas	soil	NMDC	1015	2260	0.4491150442477876	0.00030503710546565295	0.0006791959195589909	0.0488055051656782	4	Shikimates and Phenylpropanoids
Polaromonas	freshwater	NMDC	86	723	0.11894882434301521	0.00023026356464954777	0.0019358204330421282	0.045067150864934194	4	Shikimates and Phenylpropanoids
Polaromonas	marine	PlanetMicrobe	33	302	0.10927152317880795	0.0001631987770194455	0.0001631987770194455	0.0367699	4	Shikimates and Phenylpropanoids
Pseudacidovorax	periphyton	NMDC	433	472	0.9173728813559322	0.00016231073659554287	0.00017692994843671186	0.0013178553575557035	1	Shikimates and Phenylpropanoids
Pseudacidovorax	soil	NMDC	797	2260	0.3526548672566372	1.1733906131861227e-05	3.327305879298165e-05	0.0011420836179549408	1	Shikimates and Phenylpropanoids
Pseudacidovorax	freshwater	NMDC	71	723	0.09820193637621023	9.182202853539648e-06	9.350327694519952e-05	0.0005890793994886567	1	Shikimates and Phenylpropanoids
Pseudacidovorax	plant	NMDC	18	119	0.15126050420168066	6.295764452954347e-06	4.162199832786485e-05	0.00015521589428501735	1	Shikimates and Phenylpropanoids
Pseudarthrobacter	soil	NMDC	941	2260	0.41637168141592923	7.362279734263515e-05	0.00017681989584947443	0.007974415893554687	1	Shikimates and Phenylpropanoids
Pseudarthrobacter	periphyton	NMDC	347	472	0.7351694915254238	2.2073092709992464e-05	3.0024494983044504e-05	0.00023959297943572223	1	Shikimates and Phenylpropanoids
Pseudarthrobacter	marine	PlanetMicrobe	10	302	0.033112582781456956	1.1257104814814835e-05	1.1257104814814835e-05	0.00322899	1	Shikimates and Phenylpropanoids
Pseudarthrobacter	freshwater	NMDC	64	723	0.08852005532503458	1.0790755217222142e-05	0.00012190181284455639	0.00037750526408232706	1	Shikimates and Phenylpropanoids
Pseudarthrobacter	plant	NMDC	18	119	0.15126050420168066	1.0431677943056386e-05	6.896498195687277e-05	0.0006794874333501806	1	Shikimates and Phenylpropanoids
Pseudomonas	marine	PlanetMicrobe	206	302	0.6821192052980133	0.010809940078033436	0.010809940078033436	0.5433889119999998	3	Shikimates and Phenylpropanoids
Pseudomonas	periphyton	NMDC	456	472	0.9661016949152542	0.00300564177249367	0.003111102887318009	0.17590123165450472	3	Shikimates and Phenylpropanoids
Pseudomonas	plant	NMDC	19	119	0.15966386554621848	0.000698266263986349	0.004373351863914501	0.03323269823672889	3	Shikimates and Phenylpropanoids
Pseudomonas	soil	NMDC	1040	2260	0.46017699115044247	0.0006399834765654835	0.0013907333240749929	0.011336743175133538	3	Shikimates and Phenylpropanoids
Pseudomonas	freshwater	NMDC	87	723	0.12033195020746888	0.0002257829912780759	0.0018763345137246996	0.005130443610404649	3	Shikimates and Phenylpropanoids
Pseudoxanthomonas	periphyton	NMDC	448	472	0.9491525423728814	0.0005440814603174025	0.0005732286814058348	0.016252137985473897	1	Shikimates and Phenylpropanoids
Pseudoxanthomonas	soil	NMDC	1006	2260	0.4451327433628319	0.0001542907993147805	0.0003466175014427475	0.039797914673078014	1	Shikimates and Phenylpropanoids
Pseudoxanthomonas	plant	NMDC	19	119	0.15966386554621848	7.677139673889715e-05	0.00048083137957519796	0.0029724645721621442	1	Shikimates and Phenylpropanoids
Pseudoxanthomonas	freshwater	NMDC	78	723	0.1078838174273859	3.3963542831285645e-05	0.00031481591624384005	0.002044895388488019	1	Shikimates and Phenylpropanoids
Pseudoxanthomonas	marine	PlanetMicrobe	21	302	0.0695364238410596	9.243016233409429e-06	9.243016233409429e-06	0.000635078	1	Shikimates and Phenylpropanoids
