compound_id	name	npc_pathway	resolved_via	cid	inchikey	molecular_formula	smiles	iupac_name	kegg_id	chebi_id
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	name	7420	IJFXRHURBJZNAO-UHFFFAOYSA-N	C7H6O3	C1=CC(=CC(=C1)O)C(=O)O	3-hydroxybenzoic acid	C00587	CHEBI:30764
Cc1_58	2-Hydroxyphenylacetic acid	Shikimates and Phenylpropanoids	name	11970	CCVYRRGZDBSHFU-UHFFFAOYSA-N	C8H8O3	C1=CC=C(C(=C1)CC(=O)O)O	2-(2-hydroxyphenyl)acetic acid	C05852	CHEBI:28478
Cc1_142	guaiacol	Shikimates and Phenylpropanoids	name	460	LHGVFZTZFXWLCP-UHFFFAOYSA-N	C7H8O2	COC1=CC=CC=C1O	2-methoxyphenol	C01502	CHEBI:28591
Cc1_129	Cinnamic acid	Shikimates and Phenylpropanoids	name	444539	WBYWAXJHAXSJNI-VOTSOKGWSA-N	C9H8O2	C1=CC=C(C=C1)/C=C/C(=O)O	(E)-3-phenylprop-2-enoic acid	C00423	CHEBI:27386
Cc1_3	caffeic acid	Shikimates and Phenylpropanoids	name	689043	QAIPRVGONGVQAS-DUXPYHPUSA-N	C9H8O4	C1=CC(=C(C=C1/C=C/C(=O)O)O)O	(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid	C01197	CHEBI:36281
Cc1_118	ANETHOLE	Shikimates and Phenylpropanoids	name	637563	RUVINXPYWBROJD-ONEGZZNKSA-N	C10H12O	C/C=C/C1=CC=C(C=C1)OC	1-methoxy-4-[(E)-prop-1-enyl]benzene	D02377	CHEBI:2716
Cc1_175	Benzylideneacetone	Shikimates and Phenylpropanoids	name	637759	BWHOZHOGCMHOBV-BQYQJAHWSA-N	C10H10O	CC(=O)/C=C/C1=CC=CC=C1	(E)-4-phenylbut-3-en-2-one	D70186	CHEBI:217301
Cc1_104	(±)-Dihydroactinidiolide	Terpenoids	name	6432173	IMKHDCBNRDRUEB-LLVKDONJSA-N	C11H16O2	C[C@@]12CCCC(C1=CC(=O)O2)(C)C	(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-1-benzofuran-2-one		
Cc1_117	Abscisic acid	Terpenoids	name	5280896	JLIDBLDQVAYHNE-YKALOCIXSA-N	C15H20O4	CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid	C06082	CHEBI:2365
Cc1_100	(S)-(-)-Perillic acid	Terpenoids	name	2724160	CDSMSBUVCWHORP-MRVPVSSYSA-N	C10H14O2	CC(=C)[C@H]1CCC(=CC1)C(=O)O	(4S)-4-prop-1-en-2-ylcyclohexene-1-carboxylic acid	C13419	
Cc1_126	CARVEOL	Terpenoids	name	7438	BAVONGHXFVOKBV-UHFFFAOYSA-N	C10H16O	CC1=CCC(CC1O)C(=C)C	2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-ol	D77822	CHEBI:23046
Cc1_99	(1R)-(-)-Nopol	Terpenoids	name	1272250	ROKSAUSPJGWCSM-UWVGGRQHSA-N	C11H18O	CC1([C@H]2CC=C([C@@H]1C2)CCO)C	2-[(1R,5S)-6,6-dimethyl-2-bicyclo[3.1.1]hept-2-enyl]ethanol		CHEBI:171826
Cc1_36	ketopinic acid	Terpenoids	name	297888	WDODWBQJVMBHCO-UHFFFAOYSA-N	C10H14O3	CC1(C2CCC1(C(=O)C2)C(=O)O)C	7,7-dimethyl-2-oxobicyclo[2.2.1]heptane-1-carboxylic acid		
Cc1_49	(+)-Nootkatone	Terpenoids	name	1268142	WTOYNNBCKUYIKC-JMSVASOKSA-N	C15H22O	C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C	(4R,4aS,6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one	C17914	CHEBI:81377
ZJTJUVIJVLLGSP-UHFFFAOYSA-N	lumichrome	Alkaloids	inchikey	506	ZJTJUVIJVLLGSP-UHFFFAOYSA-N	C12H10N4O2	CC1=CC2=C(C=C1C)N=C3C(=NC(=O)NC3=O)N2	7,8-dimethyl-10H-benzo[g]pteridine-2,4-dione		
GDNYELSKMFYCBB-UHFFFAOYSA-N	2,3-dihydro-1H-indole-7-carboxylic acid	Alkaloids	inchikey	12701147	GDNYELSKMFYCBB-UHFFFAOYSA-N	C9H9NO2	C1CNC2=C1C=CC=C2C(=O)O	2,3-dihydro-1H-indole-7-carboxylic acid		
OLNJUISKUQQNIM-UHFFFAOYSA-N	INDOLE-3-CARBOXALDEHYDE	Alkaloids	inchikey	10256	OLNJUISKUQQNIM-UHFFFAOYSA-N	C9H7NO	C1=CC=C2C(=C1)C(=CN2)C=O	1H-indole-3-carbaldehyde	C08493	CHEBI:28238
OVYWMEWYEJLIER-UHFFFAOYSA-N	6-Hydroxyquinoline	Alkaloids	inchikey	11374	OVYWMEWYEJLIER-UHFFFAOYSA-N	C9H7NO	C1=CC2=C(C=CC(=C2)O)N=C1	quinolin-6-ol		CHEBI:48994
QNRXNRGSOJZINA-UHFFFAOYSA-N	(2S)indoline-2-carboxylic acid	Alkaloids	inchikey	86074	QNRXNRGSOJZINA-UHFFFAOYSA-N	C9H9NO2	C1C(NC2=CC=CC=C21)C(=O)O	2,3-dihydro-1H-indole-2-carboxylic acid		CHEBI:167001
IPCSVZSSVZVIGE-UHFFFAOYSA-N	Palmitic Acid	Fatty acids	inchikey	985	IPCSVZSSVZVIGE-UHFFFAOYSA-N	C16H32O2	CCCCCCCCCCCCCCCC(=O)O	hexadecanoic acid	C00249	CHEBI:15756
POULHZVOKOAJMA-UHFFFAOYSA-N	lauric acid	Fatty acids	inchikey	3893	POULHZVOKOAJMA-UHFFFAOYSA-N	C12H24O2	CCCCCCCCCCCC(=O)O	dodecanoic acid	C02679	CHEBI:30805
FVMDYYGIDFPZAX-UHFFFAOYSA-N	3-Hydroxyphenylacetic acid	Shikimates and Phenylpropanoids	inchikey	12122	FVMDYYGIDFPZAX-UHFFFAOYSA-N	C8H8O3	C1=CC(=CC(=C1)O)CC(=O)O	2-(3-hydroxyphenyl)acetic acid	C05593	CHEBI:17445
KKEYFWRCBNTPAC-UHFFFAOYSA-N	TEREPHTHALIC ACID	Shikimates and Phenylpropanoids	inchikey	7489	KKEYFWRCBNTPAC-UHFFFAOYSA-N	C8H6O4	C1=CC(=CC=C1C(=O)O)C(=O)O	terephthalic acid	C06337	CHEBI:15702
XNGIFLGASWRNHJ-UHFFFAOYSA-N	phthalic acid	Shikimates and Phenylpropanoids	inchikey	1017	XNGIFLGASWRNHJ-UHFFFAOYSA-N	C8H6O4	C1=CC=C(C(=C1)C(=O)O)C(=O)O	phthalic acid	C01606	CHEBI:29069
CRDAMVZIKSXKFV-YFVJMOTDSA-N	Farnesol	Terpenoids	inchikey	445070	CRDAMVZIKSXKFV-YFVJMOTDSA-N	C15H26O	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-ol	C01126	CHEBI:16619
DSSYKIVIOFKYAU-XCBNKYQSSA-N	D-camphor	Terpenoids	inchikey	159055	DSSYKIVIOFKYAU-XCBNKYQSSA-N	C10H16O	C[C@@]12CC[C@@H](C1(C)C)CC2=O	(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one	C00808	CHEBI:15396
FQTLCLSUCSAZDY-SDNWHVSQSA-N	NEROLIDOL	Terpenoids	inchikey	5284507	FQTLCLSUCSAZDY-SDNWHVSQSA-N	C15H26O	CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C	(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol		CHEBI:7524
RGZSQWQPBWRIAQ-UHFFFAOYSA-N	Bisabolol	Terpenoids	inchikey	10586	RGZSQWQPBWRIAQ-UHFFFAOYSA-N	C15H26O	CC1=CCC(CC1)C(C)(CCC=C(C)C)O	6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol		CHEBI:167422
VZJHQHUOVIDRCF-DGMCESFYSA-N	(-)-Isolongifolol	Terpenoids	inchikey	16217350	VZJHQHUOVIDRCF-DGMCESFYSA-N	C15H26O	C[C@@]12CCCC([C@@H]3[C@H]1CC[C@@H]3[C@@H]2CO)(C)C	[(1R,2S,7R,8S,9S)-3,3,7-trimethyl-8-tricyclo[5.4.0.02,9]undecanyl]methanol		
NVEQFIOZRFFVFW-UHFFFAOYSA-N	b-Caryophyllene oxide	Terpenoids	inchikey	14350	NVEQFIOZRFFVFW-UHFFFAOYSA-N	C15H24O	CC1(CC2C1CCC3(C(O3)CCC2=C)C)C	4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane		CHEBI:156179
XVULBTBTFGYVRC-HHUCQEJWSA-N	Sclareol	Terpenoids	inchikey	163263	XVULBTBTFGYVRC-HHUCQEJWSA-N	C20H36O2	C[C@]12CCCC([C@@H]1CC[C@@]([C@@H]2CC[C@](C)(C=C)O)(C)O)(C)C	(1R,2R,4aS,8aS)-1-[(3R)-3-hydroxy-3-methylpent-4-enyl]-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol	C09183	CHEBI:9053
IBRKLUSXDYATLG-LURJTMIESA-N	SALSOLINOL	Alkaloids	inchikey	91588	IBRKLUSXDYATLG-LURJTMIESA-N	C10H13NO2	C[C@H]1C2=CC(=C(C=C2CCN1)O)O	(1S)-1-methyl-1,2,3,4-tetrahydroisoquinoline-6,7-diol	C09642	CHEBI:113
QWJIWJWEGVAMEB-UHFFFAOYSA-N	1H-pyrrolo[3,2-b]pyridine-5-carboxylic acid	Alkaloids	inchikey	26076443	QWJIWJWEGVAMEB-UHFFFAOYSA-N	C8H6N2O2	C1=CC(=NC2=C1NC=C2)C(=O)O	1H-pyrrolo[3,2-b]pyridine-5-carboxylic acid		
WJJMNDUMQPNECX-UHFFFAOYSA-N	2,6-Pyridinedicarboxylic acid	Alkaloids	inchikey	10367	WJJMNDUMQPNECX-UHFFFAOYSA-N	C7H5NO4	C1=CC(=NC(=C1)C(=O)O)C(=O)O	pyridine-2,6-dicarboxylic acid		CHEBI:46837
WVMBPWMAQDVZCM-UHFFFAOYSA-N	N-methylanthranilic acid 	Alkaloids	inchikey	67069	WVMBPWMAQDVZCM-UHFFFAOYSA-N	C8H9NO2	CNC1=CC=CC=C1C(=O)O	2-(methylamino)benzoic acid	C03005	CHEBI:16394
AFDXODALSZRGIH-QPJJXVBHSA-N	4-Methoxycinnamic acid	Shikimates and Phenylpropanoids	inchikey	699414	AFDXODALSZRGIH-QPJJXVBHSA-N	C10H10O3	COC1=CC=C(C=C1)/C=C/C(=O)O	(E)-3-(4-methoxyphenyl)prop-2-enoic acid		CHEBI:48541
