orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS04955	MMP_RS04955		DNA topoisomerase I	14	0.435227710948502	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS02765	MMP_RS02765		ABC transporter ATP-binding protein	15	0.426452553472771	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS03570	MMP_RS03570		uracil-xanthine permease family protein	16	0.426056540868675	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS07180	MMP_RS07180		DEAD/DEAH box helicase	17	0.422912817812811	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS04465	MMP_RS04465		nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	18	0.415266950830325	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS06900	MMP_RS06900		coenzyme F420-reducing hydrogenase  FrhD protein	19	0.414226600882896	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS04455	MMP_RS04455		nitrogenase subunit alpha	20	0.407578947726098	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS05800	MMP_RS05800		B12-binding domain-containing radical SAM protein	1	0.824041284379813	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS00895	MMP_RS00895		hypothetical protein	2	0.785989800208342	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS03095	MMP_RS03095		diphthine synthase	3	0.774158949196299	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS02190	MMP_RS02190		sulfopyruvate decarboxylase subunit alpha	4	0.741091175890498	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS08820	MMP_RS08820		hypothetical protein	5	0.739703252413415	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS07425	MMP_RS07425		GTP-binding protein	6	0.731485433223173	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS01045	MMP_RS01045		diphthamide biosynthesis enzyme Dph2	7	0.729390518395501	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS01840	MMP_RS01840		TIGR00289 family protein	8	0.713655033420767	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS07750	MMP_RS07750		DUF357 domain-containing protein	9	0.712719884589848	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS02195	MMP_RS02195		tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase	10	0.703780807976097	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS03400	MMP_RS03400		archease	11	0.698830116294684	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS00110	MMP_RS00110		hypothetical protein	12	0.696105037441159	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS06925	MMP_RS06925		ribonuclease VapC4	13	0.693652593887007	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS07580	MMP_RS07580		DUF356 domain-containing protein	14	0.68984348282447	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS04775	MMP_RS04775		adenosylhomocysteinase	15	0.686488408248582	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS06215	MMP_RS06215		30S ribosomal protein S6e	16	0.68622054199434	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS00325	MMP_RS00325		RNA-binding protein	17	0.667643071031345	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS00115	MMP_RS00115		radical SAM protein	18	0.654381084372818	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS06980	MMP_RS06980		tRNA 2-thiocytidine biosynthesis TtcA family protein	19	0.65121840384166	FALSE
Methanococcus_S2	MMP_RS00050	MMP_RS00050		AarF/UbiB family protein	MMP_RS07755	MMP_RS07755		DUF555 domain-containing protein	20	0.650104374054789	FALSE
