orgId	locusId	sysName	geneName	desc	set1IT067 CPG	set1IT068 M63_quarter_strength	set1IT071 CPG	set1IT072 M63_quarter_strength	set2IT036 CPG	set2IT037 M63_quarter_strength
RalstoniaUW163	UW163_RS00480	UW163_RS00480		hydrolase	-0.123	0.269	-0.170	0.359	0.138	0.493
RalstoniaUW163	UW163_RS00485	UW163_RS00485		pyridoxamine 5'-phosphate oxidase	-0.319	-0.769	0.182	0.430	0.019	0.253
RalstoniaUW163	UW163_RS00490	UW163_RS00490		class I SAM-dependent methyltransferase	-0.084	-0.215	0.119	-0.220	0.115	-0.083
RalstoniaUW163	UW163_RS00495	UW163_RS00495		DUF72 domain-containing protein	-0.145	0.051	-0.324	0.023	-0.475	-0.117
RalstoniaUW163	UW163_RS00500	UW163_RS00500		peptide-methionine (S)-S-oxide reductase	0.368	-0.655	-0.474	-0.434	0.714	0.724
RalstoniaUW163	UW163_RS00505	UW163_RS00505		flavin reductase	-0.393	-1.047	-0.856	-0.146	0.235	0.805
RalstoniaUW163	UW163_RS00510	UW163_RS00510		DUF3079 domain-containing protein	0.158	0.158	-0.278	0.099	0.373	0.461
RalstoniaUW163	UW163_RS00515	UW163_RS00515		Lrp/AsnC family transcriptional regulator	0.023	-0.060	-0.153	0.055	0.086	-0.065
RalstoniaUW163	UW163_RS00520	UW163_RS00520		arylformamidase	0.392	0.098	0.387	0.537	-0.358	-0.247
RalstoniaUW163	UW163_RS00525	UW163_RS00525		kynureninase	0.143	0.064	0.251	-0.027	0.011	-0.099
RalstoniaUW163	UW163_RS00530	UW163_RS00530		tryptophan 2,3-dioxygenase	0.247	0.123	-0.019	-0.221	-0.003	-0.010
RalstoniaUW163	UW163_RS00535	UW163_RS00535		IclR family transcriptional regulator	-0.117	0.119	0.041	0.083	-0.092	0.185
RalstoniaUW163	UW163_RS00540	UW163_RS00540		acyl-CoA dehydrogenase	-0.487	-0.081	-0.287	-0.036	-0.106	0.240
RalstoniaUW163	UW163_RS00545	UW163_RS00545		NCS2 family permease	0.071	0.079	0.174	0.214	0.048	0.106
RalstoniaUW163	UW163_RS00550	UW163_RS00550		peroxiredoxin	0.166	-0.293	0.178	-0.135	0.693	0.097
RalstoniaUW163	UW163_RS00555	UW163_RS00555		DUF883 domain-containing protein	0.495	-0.314	0.373	-0.065	0.165	-0.275
RalstoniaUW163	UW163_RS00560	UW163_RS00560		membrane protein	0.505	-0.967	0.586	0.146	0.242	-0.536
RalstoniaUW163	UW163_RS00565	UW163_RS00565		DUF3318 domain-containing protein	0.024	0.392	0.325	-0.055	0.344	-0.196
RalstoniaUW163	UW163_RS00570	UW163_RS00570		hypothetical protein	0.081	-0.628	0.293	0.639	0.185	-0.061
RalstoniaUW163	UW163_RS00575	UW163_RS00575		ABC transporter ATP-binding protein	-0.046	-0.052	-0.077	-0.118	0.129	-0.089
RalstoniaUW163	UW163_RS00580	UW163_RS00580		iron export ABC transporter permease subunit FetB	-0.206	-0.126	-0.294	0.141	0.076	-0.292
RalstoniaUW163	UW163_RS00585	UW163_RS00585		NUDIX hydrolase	-0.801	-0.668	0.197	0.076	-0.236	-0.259
RalstoniaUW163	UW163_RS00590	UW163_RS00590		TauD/TfdA family dioxygenase	0.104	0.130	-0.022	0.077	0.172	-0.066
RalstoniaUW163	UW163_RS00595	UW163_RS00595		acyl-CoA dehydrogenase	0.221	-0.149	-0.205	-0.437	0.150	0.095
RalstoniaUW163	UW163_RS00600	UW163_RS00600		nucleoside 2-deoxyribosyltransferase	0.016	0.145	0.544	-0.315	-0.083	0.092
RalstoniaUW163	UW163_RS00605	UW163_RS00605		DNA/RNA non-specific endonuclease	0.163	0.182	-0.014	0.023	0.099	-0.018
RalstoniaUW163	UW163_RS00610	UW163_RS00610		3-deoxy-7-phosphoheptulonate synthase	0.183	-0.129	-0.174	-0.026	-0.076	-0.242
RalstoniaUW163	UW163_RS00620	UW163_RS00620		YeeE/YedE family protein	0.020	-0.039	0.016	-0.160	0.004	-0.125
RalstoniaUW163	UW163_RS00625	UW163_RS00625		7-cyano-7-deazaguanine synthase QueC	-1.365	-2.103	-1.396	-2.122	-1.240	-1.066
RalstoniaUW163	UW163_RS00630	UW163_RS00630		tol-pal system protein YbgF	-0.194	-0.310	-0.413	-0.860	-0.860	-0.926
RalstoniaUW163	UW163_RS00655	UW163_RS00655		protein TolQ	-1.669	-2.005	-2.612	-2.745	-1.971	-1.462
RalstoniaUW163	UW163_RS00660	UW163_RS00660		tol-pal system-associated acyl-CoA thioesterase	-0.452	-0.466	-0.495	-0.398	0.206	0.038
RalstoniaUW163	UW163_RS00665	UW163_RS00665		NAD(P)-dependent oxidoreductase	-0.241	0.516	-0.121	0.204	-0.590	-0.158
RalstoniaUW163	UW163_RS00675	UW163_RS00675		transcriptional regulator NrdR	0.007	-0.399	-0.139	-0.547	0.188	-0.353
RalstoniaUW163	UW163_RS00680	UW163_RS00680		type IV pilus modification protein PilV	0.037	-0.241	-0.178	-0.125	0.477	0.178
