orgId	locusId	sysName	geneName	desc	set1IT076 CPG	set1IT077 M63_quarter_strength	set1IT080 CPG	set3IT039 CPG	set3IT040 M63_quarter_strength	set4IT039 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT042 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT045 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi
RalstoniaBSBF1503	RALBFv3_RS00175	RALBFv3_RS00175		DUF1857 domain-containing protein	0.452	0.070	1.138	0.039	1.667	-0.813	0.986	0.715
RalstoniaBSBF1503	RALBFv3_RS00180	RALBFv3_RS00180		acyl-CoA-binding protein	1.515	0.130	0.326	-0.762	1.274	-1.296	0.915	-1.834
RalstoniaBSBF1503	RALBFv3_RS00200	RALBFv3_RS00200		lysophospholipid transporter LplT	-1.307	-2.678	-4.192	-3.131	-1.139	-2.519	-3.432	-2.677
RalstoniaBSBF1503	RALBFv3_RS00210	RALBFv3_RS00210		DNA repair protein RadA	-0.688	-0.811	-0.287	-1.129	0.351	2.227	-0.078	-0.176
RalstoniaBSBF1503	RALBFv3_RS00215	RALBFv3_RS00215		disulfide bond formation protein B	-0.648	-0.631	-0.679	-1.720	-1.393	-1.155	-1.255	-1.213
RalstoniaBSBF1503	RALBFv3_RS00220	RALBFv3_RS00220		CoA transferase	0.314	1.282	0.358	0.630	-1.059	-0.000	1.236	-0.498
RalstoniaBSBF1503	RALBFv3_RS00225	RALBFv3_RS00225		glutathione ABC transporter ATP-binding protein	-0.111	-1.395	-0.374	0.384	0.895	-0.565	-1.009	0.467
RalstoniaBSBF1503	RALBFv3_RS00230	RALBFv3_RS00230		MurR/RpiR family transcriptional regulator	-0.065	-0.330	-0.697	0.321	0.288	-0.247	0.604	1.154
RalstoniaBSBF1503	RALBFv3_RS00235	RALBFv3_RS00235		isoaspartyl peptidase/L-asparaginase	0.123	2.520	-0.965	-1.702	0.346	1.527	0.956	0.169
RalstoniaBSBF1503	RALBFv3_RS00240	RALBFv3_RS00240		glutathione ABC transporter ATP-binding protein	1.559	0.428	0.842	-0.106	0.797	0.861	0.076	-0.694
RalstoniaBSBF1503	RALBFv3_RS00245	RALBFv3_RS00245		glutathione ABC transporter substrate-binding protein GsiB	0.568	0.738	0.912	-0.011	0.621	-0.621	1.335	0.571
RalstoniaBSBF1503	RALBFv3_RS00250	RALBFv3_RS00250		glutathione ABC transporter permease GsiC	1.706	0.568	0.223	0.563	-0.748	0.144	-0.759	0.876
RalstoniaBSBF1503	RALBFv3_RS00255	RALBFv3_RS00255		glutathione ABC transporter permease GsiD	-0.398	0.150	0.352	1.538	0.662	0.726	0.174	1.011
RalstoniaBSBF1503	RALBFv3_RS00260	RALBFv3_RS00260		S58 family peptidase	-0.474	2.319	-1.888	-3.220	1.099	3.059	4.451	5.824
RalstoniaBSBF1503	RALBFv3_RS00265	RALBFv3_RS00265		D-aminopeptidase	0.847	1.558	-0.408	0.145	-0.458	0.618	0.908	0.506
RalstoniaBSBF1503	RALBFv3_RS00275	RALBFv3_RS00275		AcrB/AcrD/AcrF family protein	0.574	0.000	0.203	0.816	0.208	0.126	-0.019	-1.050
RalstoniaBSBF1503	RALBFv3_RS00280	RALBFv3_RS00280		efflux RND transporter periplasmic adaptor subunit	-1.017	-1.542	-0.071	-0.754	-1.245	0.695	-0.027	-0.804
RalstoniaBSBF1503	RALBFv3_RS00285	RALBFv3_RS00285		TolC family protein	1.703	1.353	1.084	1.816	0.810	0.108	1.181	1.155
RalstoniaBSBF1503	RALBFv3_RS00290	RALBFv3_RS00290		50S ribosomal protein L3 N(5)-glutamine methyltransferase	2.114	-0.194	-0.279	-0.576	-0.365	0.044	0.686	-1.649
RalstoniaBSBF1503	RALBFv3_RS00320	RALBFv3_RS00320		succinyldiaminopimelate transaminase	0.367	-0.111	0.523	1.085	-0.392	3.534	1.968	1.026
RalstoniaBSBF1503	RALBFv3_RS00330	RALBFv3_RS00330		alpha/beta hydrolase	3.038	-0.263	-0.662	-1.319	-0.097	-0.310	-0.710	-0.268
RalstoniaBSBF1503	RALBFv3_RS00340	RALBFv3_RS00340		cell division protein FtsZ	-0.823	-1.556	-0.631	-1.935	-2.338	-1.863	-1.050	-1.963
RalstoniaBSBF1503	RALBFv3_RS00350	RALBFv3_RS00350		peptide deformylase	1.205	2.157	-0.096	2.196	1.177	0.501	-0.024	0.946
RalstoniaBSBF1503	RALBFv3_RS00355	RALBFv3_RS00355		hypothetical protein	0.255	-0.314	-0.278	1.086	0.660	1.478	1.371	-0.626
RalstoniaBSBF1503	RALBFv3_RS00360	RALBFv3_RS00360		16S rRNA pseudouridylate synthase	0.255	0.218	-0.021	0.993	0.333	-2.638	-0.388	0.376
RalstoniaBSBF1503	RALBFv3_RS00365	RALBFv3_RS00365		[protein-PII] uridylyltransferase	-0.728	1.356	-1.244	-0.872	0.319	-0.033	1.119	-0.615
RalstoniaBSBF1503	RALBFv3_RS00410	RALBFv3_RS00410		RIP metalloprotease RseP	1.066	0.803	2.142	-0.961	0.141	3.767	0.195	1.057
RalstoniaBSBF1503	RALBFv3_RS00455	RALBFv3_RS00455		hypothetical protein	0.592	-0.685	0.292	-0.748	0.010	-0.642	0.512	0.964
RalstoniaBSBF1503	RALBFv3_RS00460	RALBFv3_RS00460		short chain dehydrogenase	0.108	-0.208	-0.664	-0.905	0.848	-0.433	0.342	0.576
RalstoniaBSBF1503	RALBFv3_RS00465	RALBFv3_RS00465		metal-dependent hydrolase	0.028	-0.314	-0.196	0.478	1.234	0.372	-1.648	-1.265
RalstoniaBSBF1503	RALBFv3_RS00485	RALBFv3_RS00485		SPFH/Band 7/PHB domain protein	0.622	0.580	0.810	-2.052	-0.780	1.186	-1.444	-0.072
RalstoniaBSBF1503	RALBFv3_RS00505	RALBFv3_RS00505		DUF4124 domain-containing protein	1.015	0.536	0.956	-0.972	-0.015	-0.179	-0.725	0.122
RalstoniaBSBF1503	RALBFv3_RS00510	RALBFv3_RS00510		EamA/RhaT family transporter	-0.638	-0.497	1.065	0.273	-0.176	0.002	-1.721	-0.367
RalstoniaBSBF1503	RALBFv3_RS00520	RALBFv3_RS00520		hypothetical protein	0.062	2.226	-0.063	-0.923	-0.363	1.098	0.623	-0.266
RalstoniaBSBF1503	RALBFv3_RS00555	RALBFv3_RS00555		ribbon-helix-helix protein, CopG family	0.592	1.148	0.493	-0.322	-0.849	0.116	0.321	-0.021
RalstoniaBSBF1503	RALBFv3_RS00560	RALBFv3_RS00560		hypothetical protein	-0.199	0.337	0.338	1.407	1.347	-1.851	-0.188	-0.002
RalstoniaBSBF1503	RALBFv3_RS00565	RALBFv3_RS00565		pca operon transcription factor PcaQ	0.037	-0.024	0.257	0.119	0.873	-1.146	-0.995	-0.011
RalstoniaBSBF1503	RALBFv3_RS00570	RALBFv3_RS00570		protocatechuate 3,4-dioxygenase subunit beta	-0.910	1.626	0.662	1.671	-0.006	0.465	-1.381	-0.972
RalstoniaBSBF1503	RALBFv3_RS00575	RALBFv3_RS00575		protocatechuate 3,4-dioxygenase subunit alpha	1.409	0.685	0.004	0.930	1.237	1.214	0.479	0.997
RalstoniaBSBF1503	RALBFv3_RS00580	RALBFv3_RS00580		RNA 2',3'-cyclic phosphodiesterase	0.394	-1.015	1.159	1.139	1.098	-0.623	0.406	-1.452
RalstoniaBSBF1503	RALBFv3_RS00585	RALBFv3_RS00585		DsbA family protein	-1.752	-1.082	-0.213	-0.248	0.089	-1.605	0.634	-0.151
RalstoniaBSBF1503	RALBFv3_RS00590	RALBFv3_RS00590		MBL fold metallo-hydrolase	0.356	1.189	0.007	-0.073	0.181	0.619	0.176	-0.387
RalstoniaBSBF1503	RALBFv3_RS00595	RALBFv3_RS00595		LysR family transcriptional regulator	0.852	0.521	-0.988	-0.170	-0.567	1.043	0.068	0.095
RalstoniaBSBF1503	RALBFv3_RS00600	RALBFv3_RS00600		MFS transporter	1.193	1.127	1.111	0.344	0.872	0.648	-0.033	1.425
RalstoniaBSBF1503	RALBFv3_RS00605	RALBFv3_RS00605		type II toxin-antitoxin system HipA family toxin	-0.017	0.885	-0.808	1.281	1.171	0.082	1.339	-0.198
RalstoniaBSBF1503	RALBFv3_RS00635	RALBFv3_RS00635		ABC-F family ATPase	0.746	-0.642	0.921	0.568	0.719	-0.290	0.020	0.423
RalstoniaBSBF1503	RALBFv3_RS00640	RALBFv3_RS00640		hypothetical protein	-0.831	-0.881	-0.203	-1.141	-0.575	-0.635	-1.267	0.058
RalstoniaBSBF1503	RALBFv3_RS00645	RALBFv3_RS00645		aldehyde dehydrogenase family protein	1.953	0.072	1.535	1.071	0.956	1.243	0.877	0.059
RalstoniaBSBF1503	RALBFv3_RS00655	RALBFv3_RS00655		glycoside hydrolase family 15 protein	1.000	-1.222	-0.115	0.933	-0.154	0.371	1.354	1.104
RalstoniaBSBF1503	RALBFv3_RS00660	RALBFv3_RS00660		DUF2252 domain-containing protein	0.666	0.843	-1.023	1.918	0.421	-0.125	-1.378	0.423
RalstoniaBSBF1503	RALBFv3_RS00670	RALBFv3_RS00670		methyltransferase	-0.483	-1.879	-1.460	-0.450	-1.307	-0.709	-0.624	-1.144
RalstoniaBSBF1503	RALBFv3_RS00675	RALBFv3_RS00675		hypothetical protein	1.346	-0.906	0.052	0.257	-0.220	-0.793	-1.990	-1.028
RalstoniaBSBF1503	RALBFv3_RS00680	RALBFv3_RS00680		carbon monoxide dehydrogenase accessory protein	0.041	-1.969	-1.439	-0.513	-0.709	0.607	1.123	-1.541
RalstoniaBSBF1503	RALBFv3_RS00685	RALBFv3_RS00685		carbon monoxide dehydrogenase	0.350	-0.317	0.333	-0.912	0.052	-0.210	0.513	0.614
RalstoniaBSBF1503	RALBFv3_RS00690	RALBFv3_RS00690		VWA domain-containing protein	-0.813	-0.056	0.077	-0.031	-1.795	0.715	0.093	-0.815
RalstoniaBSBF1503	RALBFv3_RS00695	RALBFv3_RS00695		MoxR family ATPase	0.015	-0.990	0.883	0.441	-0.369	0.167	-0.027	0.421
RalstoniaBSBF1503	RALBFv3_RS00700	RALBFv3_RS00700		xanthine dehydrogenase family protein subunit M	0.665	0.624	-1.302	1.204	1.057	0.653	-1.589	-0.388
RalstoniaBSBF1503	RALBFv3_RS00705	RALBFv3_RS00705		xanthine dehydrogenase family protein molybdopterin-binding subunit	0.257	-0.819	0.175	1.232	1.606	-1.629	1.343	0.451
RalstoniaBSBF1503	RALBFv3_RS00710	RALBFv3_RS00710		(2Fe-2S)-binding protein	0.199	-0.573	0.538	-0.727	0.230	-1.041	0.797	0.129
RalstoniaBSBF1503	RALBFv3_RS00715	RALBFv3_RS00715		crea protein	1.792	0.111	1.240	-0.685	-0.233	1.937	-0.785	0.558
RalstoniaBSBF1503	RALBFv3_RS00720	RALBFv3_RS00720		LysR family transcriptional regulator	0.608	0.928	0.672	0.264	0.060	-0.251	0.326	0.828
RalstoniaBSBF1503	RALBFv3_RS00725	RALBFv3_RS00725		MFS transporter	-0.783	-0.857	-0.520	0.441	0.460	0.619	-0.223	-1.099
RalstoniaBSBF1503	RALBFv3_RS00730	RALBFv3_RS00730		type III effector protein	0.460	-0.718	-0.043	0.347	-0.192	1.038	0.534	-0.409
RalstoniaBSBF1503	RALBFv3_RS00740	RALBFv3_RS00740		type III effector protein	-0.673	-1.451	-0.943	-0.811	-0.925	0.287	0.379	-0.111
RalstoniaBSBF1503	RALBFv3_RS00745	RALBFv3_RS00745		nitroreductase	1.871	1.007	0.826	0.307	-0.537	0.272	1.194	-0.293
RalstoniaBSBF1503	RALBFv3_RS00750	RALBFv3_RS00750		MarR family transcriptional regulator	-1.316	-1.103	0.031	-1.148	-0.600	-1.496	0.283	-0.168
RalstoniaBSBF1503	RALBFv3_RS00755	RALBFv3_RS00755		penicillin-binding protein	1.274	0.626	0.450	-0.207	-0.381	-0.207	-0.054	1.294
RalstoniaBSBF1503	RALBFv3_RS00760	RALBFv3_RS00760		LysR family transcriptional regulator	-0.348	-1.410	-2.305	-0.046	-0.816	-0.720	0.353	-0.132
RalstoniaBSBF1503	RALBFv3_RS00765	RALBFv3_RS00765		muconate cycloisomerase	0.298	-1.233	-0.134	-0.828	-1.397	0.019	-0.292	0.170
RalstoniaBSBF1503	RALBFv3_RS00770	RALBFv3_RS00770		muconolactone delta-isomerase	-0.737	-0.937	-1.130	-0.738	-2.192	-1.615	-0.632	-1.226
RalstoniaBSBF1503	RALBFv3_RS00775	RALBFv3_RS00775		catechol 1,2-dioxygenase	1.343	0.236	-1.185	0.732	0.463	-1.212	-0.363	0.938
RalstoniaBSBF1503	RALBFv3_RS00780	RALBFv3_RS00780		benzoate 1,2-dioxygenase large subunit	0.144	0.358	-0.486	-0.351	-0.582	-0.316	-0.658	0.733
RalstoniaBSBF1503	RALBFv3_RS00785	RALBFv3_RS00785		benzoate 1,2-dioxygenase small subunit	1.297	0.259	-0.014	0.776	-0.042	0.250	-0.111	-0.815
RalstoniaBSBF1503	RALBFv3_RS00790	RALBFv3_RS00790		NADH oxidase	0.624	0.226	1.394	-0.413	0.111	-0.272	-0.271	-0.040
RalstoniaBSBF1503	RALBFv3_RS00795	RALBFv3_RS00795		1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	0.234	-0.572	-0.038	-0.896	-0.458	-0.862	-0.146	0.125
RalstoniaBSBF1503	RALBFv3_RS00800	RALBFv3_RS00800		hypothetical protein	-2.167	-0.947	0.915	0.145	0.344	-1.440	0.530	0.107
RalstoniaBSBF1503	RALBFv3_RS00805	RALBFv3_RS00805		hypothetical protein	0.521	-0.976	0.583	-0.839	-1.763	0.022	1.322	0.052
RalstoniaBSBF1503	RALBFv3_RS00810	RALBFv3_RS00810		LysR family transcriptional regulator	0.062	-0.097	1.414	1.054	0.380	0.570	0.886	-0.333
RalstoniaBSBF1503	RALBFv3_RS00815	RALBFv3_RS00815		adenosylmethionine--8-amino-7-oxononanoate transaminase	0.636	0.107	1.103	0.298	0.211	0.030	0.488	0.398
RalstoniaBSBF1503	RALBFv3_RS00820	RALBFv3_RS00820		8-amino-7-oxononanoate synthase	0.753	0.942	1.706	1.318	-0.183	-1.812	-0.093	-0.127
RalstoniaBSBF1503	RALBFv3_RS00830	RALBFv3_RS00830		hypothetical protein	1.057	0.110	0.725	0.663	0.402	0.438	-0.826	-1.148
RalstoniaBSBF1503	RALBFv3_RS00835	RALBFv3_RS00835		hypothetical protein	1.534	0.853	-0.687	0.714	0.046	-0.081	0.001	0.961
RalstoniaBSBF1503	RALBFv3_RS00840	RALBFv3_RS00840		DUF817 domain-containing protein	0.460	-0.523	0.302	-0.816	-1.159	-0.504	0.457	-0.329
RalstoniaBSBF1503	RALBFv3_RS00845	RALBFv3_RS00845		DUF1653 domain-containing protein	-0.457	1.041	1.463	-0.549	-0.095	0.054	1.271	0.102
RalstoniaBSBF1503	RALBFv3_RS00855	RALBFv3_RS00855		hypothetical protein	0.094	-0.281	-1.132	-0.762	-0.475	1.888	0.136	-0.331
RalstoniaBSBF1503	RALBFv3_RS00860	RALBFv3_RS00860		flavin reductase	-0.409	0.388	-1.156	0.417	-1.170	0.359	-0.604	-1.369
RalstoniaBSBF1503	RALBFv3_RS00865	RALBFv3_RS00865		hypothetical protein	-0.614	-0.956	-1.111	-0.290	-0.269	0.255	-1.756	0.081
RalstoniaBSBF1503	RALBFv3_RS00870	RALBFv3_RS00870		DUF1794 domain-containing protein	0.809	-0.324	0.107	-1.392	-2.044	0.174	0.538	0.843
RalstoniaBSBF1503	RALBFv3_RS00885	RALBFv3_RS00885		hypothetical protein	-0.167	-0.576	0.457	-1.193	0.060	-0.535	-0.060	-0.084
RalstoniaBSBF1503	RALBFv3_RS00895	RALBFv3_RS00895		hypothetical protein	0.061	-1.243	1.121	1.092	1.648	-0.694	0.356	0.883
RalstoniaBSBF1503	RALBFv3_RS00900	RALBFv3_RS00900		hypothetical protein	-0.657	0.183	-0.308	-0.003	-1.214	0.292	-0.975	0.173
RalstoniaBSBF1503	RALBFv3_RS00905	RALBFv3_RS00905		membrane protein	-2.608	-1.566	0.160	-0.994	-0.505	-1.478	0.315	0.255
RalstoniaBSBF1503	RALBFv3_RS00910	RALBFv3_RS00910		alpha/beta hydrolase	0.081	-0.018	-0.580	-0.965	-1.490	2.153	0.011	-0.820
RalstoniaBSBF1503	RALBFv3_RS00920	RALBFv3_RS00920		DJ-1/PfpI family protein	1.035	-0.221	-1.433	-0.326	-0.727	-1.348	-0.410	0.055
RalstoniaBSBF1503	RALBFv3_RS00925	RALBFv3_RS00925		hypothetical protein	0.019	1.058	-1.051	0.276	0.097	0.123	-1.656	1.244
RalstoniaBSBF1503	RALBFv3_RS00930	RALBFv3_RS00930		GALA protein	1.023	-1.123	-0.542	-0.104	-0.490	0.381	-0.294	0.924
RalstoniaBSBF1503	RALBFv3_RS00935	RALBFv3_RS00935		GALA protein	-0.168	-0.507	0.593	0.004	-0.994	-1.263	-0.045	-0.380
RalstoniaBSBF1503	RALBFv3_RS00945	RALBFv3_RS00945		alpha-ketoacid dehydrogenase subunit beta	0.984	-0.125	2.168	-1.426	-0.237	0.710	-1.236	1.637
RalstoniaBSBF1503	RALBFv3_RS00950	RALBFv3_RS00950		pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	-0.519	-0.830	-1.083	-0.756	-0.530	0.310	-0.527	0.248
RalstoniaBSBF1503	RALBFv3_RS00955	RALBFv3_RS00955		glutathione S-transferase	-0.631	1.169	-0.267	1.991	0.971	0.218	-1.252	0.324
RalstoniaBSBF1503	RALBFv3_RS00960	RALBFv3_RS00960		polyhydroxyalkanoate depolymerase	-0.095	0.250	1.746	-0.699	-0.839	0.669	0.465	0.441
RalstoniaBSBF1503	RALBFv3_RS00970	RALBFv3_RS00970		ABC transporter ATP-binding protein	-1.333	-1.616	-1.112	-1.200	-0.261	-1.601	0.853	-1.032
RalstoniaBSBF1503	RALBFv3_RS00975	RALBFv3_RS00975		ABC transporter permease	-0.224	-1.569	0.753	0.351	-0.209	-0.782	0.560	1.048
RalstoniaBSBF1503	RALBFv3_RS00980	RALBFv3_RS00980		ABC transporter permease	1.783	-0.262	0.214	-0.056	-1.133	0.157	-0.290	-0.446
RalstoniaBSBF1503	RALBFv3_RS00985	RALBFv3_RS00985		ABC transporter substrate-binding protein	-1.025	-0.173	1.394	-0.369	-1.767	-0.434	0.714	1.033
RalstoniaBSBF1503	RALBFv3_RS00990	RALBFv3_RS00990		LacI family transcriptional regulator	-0.334	0.748	-0.490	-0.575	0.355	-0.125	-1.090	1.518
RalstoniaBSBF1503	RALBFv3_RS00995	RALBFv3_RS00995		ergothioneine biosynthesis protein EgtB	-0.098	0.552	-2.201	-1.161	-0.771	0.416	0.388	-1.326
RalstoniaBSBF1503	RALBFv3_RS01000	RALBFv3_RS01000		hypothetical protein	-1.363	-0.033	-0.596	-0.077	-0.279	-0.109	0.295	-0.452
RalstoniaBSBF1503	RALBFv3_RS01005	RALBFv3_RS01005		ankyrin repeat domain-containing protein	-2.648	-0.739	-0.841	-0.896	0.490	-0.182	-0.278	0.640
RalstoniaBSBF1503	RALBFv3_RS01010	RALBFv3_RS01010		TatD family deoxyribonuclease	0.001	0.931	-1.161	0.929	1.424	0.833	0.767	0.604
RalstoniaBSBF1503	RALBFv3_RS01015	RALBFv3_RS01015		pilus assembly protein	0.437	-0.431	0.000	1.883	-0.875	-0.457	0.304	-0.772
RalstoniaBSBF1503	RALBFv3_RS01030	RALBFv3_RS01030		endolytic transglycosylase MltG	-1.486	-1.738	-1.836	-0.711	-1.411	0.559	-1.333	-1.395
RalstoniaBSBF1503	RALBFv3_RS01045	RALBFv3_RS01045		hypothetical protein	-0.019	0.880	-3.853	0.646	0.250	-0.333	0.561	0.673
RalstoniaBSBF1503	RALBFv3_RS01050	RALBFv3_RS01050		NAD(P)-dependent oxidoreductase	-0.522	-0.841	-0.282	-0.335	0.636	0.378	-0.153	0.144
RalstoniaBSBF1503	RALBFv3_RS01060	RALBFv3_RS01060		acyl-CoA thioesterase	0.081	1.281	-0.637	-1.018	-0.654	0.271	-0.419	1.136
RalstoniaBSBF1503	RALBFv3_RS01065	RALBFv3_RS01065		alpha/beta hydrolase	-0.851	-1.077	0.640	0.173	0.847	0.585	-0.867	1.060
RalstoniaBSBF1503	RALBFv3_RS01070	RALBFv3_RS01070		4-hydroxybutyrate dehydrogenase	-0.756	-0.279	-0.404	1.550	0.216	-1.309	-1.397	-0.384
RalstoniaBSBF1503	RALBFv3_RS01075	RALBFv3_RS01075		alpha/beta hydrolase	-0.267	0.653	-0.192	1.146	-0.002	-1.205	1.459	0.653
RalstoniaBSBF1503	RALBFv3_RS01080	RALBFv3_RS01080		NAD(P)-dependent oxidoreductase	-0.642	-0.291	-0.661	-0.939	-1.574	0.122	-0.502	0.110
RalstoniaBSBF1503	RALBFv3_RS01085	RALBFv3_RS01085		glutathione S-transferase family protein	0.302	-0.328	-0.276	1.043	1.742	0.436	-0.799	0.519
RalstoniaBSBF1503	RALBFv3_RS01090	RALBFv3_RS01090		class II aldolase/adducin family protein	-1.176	-1.433	0.502	1.135	0.160	-1.132	-0.162	1.623
RalstoniaBSBF1503	RALBFv3_RS01095	RALBFv3_RS01095		NADP-dependent oxidoreductase	-0.205	-0.003	-0.750	-0.125	0.344	0.536	-0.723	0.221
RalstoniaBSBF1503	RALBFv3_RS01100	RALBFv3_RS01100		6-aminohexanoate-dimer hydrolase	0.835	-0.037	-0.788	0.241	0.037	0.272	0.599	-0.727
RalstoniaBSBF1503	RALBFv3_RS01110	RALBFv3_RS01110		gluconate 2-dehydrogenase	-0.631	-1.201	0.519	0.940	-0.889	-0.851	0.213	1.786
RalstoniaBSBF1503	RALBFv3_RS01115	RALBFv3_RS01115		acyl-CoA dehydrogenase	0.798	-0.207	1.548	-0.551	-0.982	-0.037	0.620	0.220
RalstoniaBSBF1503	RALBFv3_RS01120	RALBFv3_RS01120		acetyl-CoA acetyltransferase	-0.271	-1.402	-0.346	0.208	0.549	-0.350	0.298	-1.008
RalstoniaBSBF1503	RALBFv3_RS01125	RALBFv3_RS01125		bifunctional pyrazinamidase/nicotinamidase	1.207	0.859	-0.247	0.490	0.982	1.874	1.010	-0.088
RalstoniaBSBF1503	RALBFv3_RS01130	RALBFv3_RS01130		3-hydroxyacyl-CoA dehydrogenase	0.354	1.728	0.555	0.165	0.523	1.053	-0.273	-0.013
