orgId	carbon_source	cpd_id	growth_rate	fba_status	predicted_growth	observed_growth	correct
Phaeo	Sodium L-Lactate	cpd00159	37.394149	optimal	True	True	True
Phaeo	D-Fructose	cpd00082	37.549958	optimal	True	True	True
Phaeo	D-Glucose	cpd00027	37.549958	optimal	True	True	True
Phaeo	Sodium D-Lactate	cpd00221	37.394149	optimal	True	True	True
Phaeo	N-Acetyl-D-Glucosamine	cpd00122	37.549958	optimal	True	True	True
Phaeo	D-Maltose monohydrate	cpd00179	37.549958	optimal	True	False	False
Phaeo	Glycerol	cpd00100	37.394149	optimal	True	True	True
Phaeo	a-Ketoglutaric acid disodium salt hydrate	cpd00024	37.549958	optimal	True	True	True
Phaeo	D-Xylose	cpd00154	37.394149	optimal	True	True	True
Phaeo	L-Proline	cpd00129	37.394149	optimal	True	True	True
Phaeo	D-Trehalose dihydrate	cpd00794	37.705767	optimal	True	True	True
Phaeo	L-Fucose	cpd00751	37.394149	optimal	True	False	False
Phaeo	Trisodium citrate dihydrate	cpd00137	37.473691	optimal	True	True	True
Phaeo	Potassium acetate	cpd00029	37.394149	optimal	True	True	True
Phaeo	L-Rhamnose monohydrate	cpd00396	37.394149	optimal	True	False	False
Phaeo	D-Sorbitol	cpd00588	37.549958	optimal	True	True	True
Phaeo	D-Galactose	cpd00108	37.394149	optimal	True	False	False
Phaeo	D-Cellobiose	cpd00158	37.705767	optimal	True	True	True
Phaeo	D-Mannose	cpd00138	37.394149	optimal	True	True	True
Phaeo	D-Gluconic Acid sodium salt	cpd00222	37.394149	optimal	True	False	False
Phaeo	D-Ribose	cpd00105	37.705767	optimal	True	False	False
Phaeo	D-Raffinose pentahydrate	cpd30716	37.394149	optimal	True	False	False
Phaeo	m-Inositol	cpd00121	37.394149	optimal	True	True	True
Phaeo	L-Glutamic acid monopotassium salt monohydrate	cpd00023	37.549958	optimal	True	True	True
Phaeo	Sodium Fumarate dibasic	cpd00106	37.549958	optimal	True	True	True
Phaeo	Sodium propionate	cpd00141	37.394149	optimal	True	True	True
Phaeo	D-Glucosamine Hydrochloride	cpd00276	37.394149	optimal	True	False	False
Phaeo	a-Cyclodextrin	cpd24451	37.394149	optimal	True	False	False
Phaeo	Ethanol	cpd00363	37.394149	optimal	True	False	False
Phaeo	D-Glucose-6-Phosphate sodium salt	cpd00079	37.705767	optimal	True	False	False
Phaeo	D-Galacturonic Acid monohydrate	cpd00280	37.394149	optimal	True	False	False
Phaeo	L-Alanine	cpd00035	37.394149	optimal	True	False	False
Phaeo	L-Asparagine	cpd00132	37.629306	optimal	True	True	True
Phaeo	Sodium butyrate	cpd00211	37.394149	optimal	True	True	True
Phaeo	L-Leucine	cpd00107	37.394149	optimal	True	False	False
Phaeo	L-Arabinose	cpd00224	37.394149	optimal	True	False	False
Keio	Sodium pyruvate	cpd00020	18.657777	optimal	True	True	True
Keio	Sodium D,L-Lactate	cpd00159	18.657777	optimal	True	True	True
Keio	L-Glutamine	cpd00053	19.022424	optimal	True	False	False
Keio	L-Malic acid disodium salt monohydrate	cpd00130	18.718551	optimal	True	True	True
