bacdive_id	compound_name	chebi_id	utilization	genus	species_epithet
148061	maltose		+	Klebsiella	pneumoniae subsp. ozaenae
148061	Potassium 5-ketogluconate		-	Klebsiella	pneumoniae subsp. ozaenae
148061	D-galacturonic acid		+	Klebsiella	pneumoniae subsp. ozaenae
148061	L-arabitol		-	Klebsiella	pneumoniae subsp. ozaenae
148061	urea		+	Klebsiella	pneumoniae subsp. ozaenae
148061	lysine		-	Klebsiella	pneumoniae subsp. ozaenae
148061	arginine		-	Klebsiella	pneumoniae subsp. ozaenae
148061	ornithine		-	Klebsiella	pneumoniae subsp. ozaenae
148061	palatinose		+	Klebsiella	pneumoniae subsp. ozaenae
148061	indole		produced	Klebsiella	pneumoniae subsp. ozaenae
148077	malate		+	Cupriavidus	basilensis
148077	adipate		+	Cupriavidus	basilensis
148077	decanoate		+	Cupriavidus	basilensis
148077	gluconate		+	Cupriavidus	basilensis
148077	maltose		+	Cupriavidus	basilensis
148077	N-acetylglucosamine		+	Cupriavidus	basilensis
148077	D-mannitol		+	Cupriavidus	basilensis
148077	D-mannose		+	Cupriavidus	basilensis
148077	L-arabinose		-	Cupriavidus	basilensis
148077	D-glucose		-	Cupriavidus	basilensis
148077	gelatin		-	Cupriavidus	basilensis
148077	esculin		-	Cupriavidus	basilensis
148077	urea		-	Cupriavidus	basilensis
148077	arginine		-	Cupriavidus	basilensis
148077	D-glucose		-	Cupriavidus	basilensis
148077	tryptophan		-	Cupriavidus	basilensis
148077	nitrate		-	Cupriavidus	basilensis
148077	indole		produced	Cupriavidus	basilensis
148152			produced	Shewanella	putrefaciens
148154			produced	Escherichia	coli
148186			produced	Escherichia	coli
148187			produced	Escherichia	coli
148195	sorbitol		+	Klebsiella	pneumoniae
148195	myo-inositol		+	Klebsiella	pneumoniae
148195	L-rhamnose		+	Klebsiella	pneumoniae
148195	trehalose		+	Klebsiella	pneumoniae
148195	D-arabitol		+	Klebsiella	pneumoniae
148195	L-arabinose		+	Klebsiella	pneumoniae
148195	sucrose		+	Klebsiella	pneumoniae
148195	D-glucose		+	Klebsiella	pneumoniae
148195	malonate		+	Klebsiella	pneumoniae
148195	tryptophan		-	Klebsiella	pneumoniae
148195	palatinose		+	Klebsiella	pneumoniae
148195	ribitol		+	Klebsiella	pneumoniae
148195	maltose		+	Klebsiella	pneumoniae
148195	D-mannitol		+	Klebsiella	pneumoniae
148195	Potassium 5-ketogluconate		-	Klebsiella	pneumoniae
148195	D-galacturonic acid		+	Klebsiella	pneumoniae
148195	L-arabitol		-	Klebsiella	pneumoniae
148195	lysine		+	Klebsiella	pneumoniae
148195	urea		+	Klebsiella	pneumoniae
148195	arginine		-	Klebsiella	pneumoniae
148195	ornithine		+	Klebsiella	pneumoniae
148195	cellobiose		+	Klebsiella	pneumoniae
148195	indole		produced	Klebsiella	pneumoniae
148222	sorbitol		-	Escherichia	coli
148222	cellobiose		-	Escherichia	coli
148222	L-rhamnose		-	Escherichia	coli
148222	myo-inositol		-	Escherichia	coli
148222	trehalose		-	Escherichia	coli
148222	D-arabitol		-	Escherichia	coli
148222	L-arabinose		+	Escherichia	coli
148222	sucrose		-	Escherichia	coli
148222	tryptophan		+	Escherichia	coli
148222	malonate		-	Escherichia	coli
148222	palatinose		-	Escherichia	coli
148222	maltose		+	Escherichia	coli
148222	ribitol		-	Escherichia	coli
148222	D-mannitol		+	Escherichia	coli
148222	Potassium 5-ketogluconate		+	Escherichia	coli
148222	D-galacturonic acid		+	Escherichia	coli
