orgId	carbon_source	cpd_id	observed_growth	status	growth_after_gf	n_gapfilled_rxns	gapfilled_rxns
Smeli	D-Raffinose pentahydrate	cpd30716	True	already_grows	5.801	0	
Smeli	m-Inositol	cpd00121	True	already_grows	5.801	0	
Smeli	L-Glutamic acid monopotassium salt monohydrate	cpd00023	False	already_grows	6.8452	0	
Smeli	Sodium Fumarate dibasic	cpd00106	False	already_grows	6.4972	0	
Smeli	Sodium propionate	cpd00141	False	already_grows	5.801	0	
Smeli	D-Glucosamine Hydrochloride	cpd00276	True	already_grows	5.801	0	
Smeli	a-Cyclodextrin	cpd24451	False	already_grows	5.801	0	
Smeli	Ethanol	cpd00363	False	already_grows	6.4972	0	
Smeli	D-Glucose-6-Phosphate sodium salt	cpd00079	False	already_grows	7.1933	0	
Smeli	D-Galacturonic Acid monohydrate	cpd00280	False	already_grows	5.801	0	
Smeli	L-Alanine	cpd00035	False	already_grows	6.4972	0	
Smeli	L-Asparagine	cpd00132	False	already_grows	5.8832	0	
Smeli	Sodium butyrate	cpd00211	False	already_grows	5.801	0	
Smeli	L-Leucine	cpd00107	True	already_grows	6.2059	0	
Smeli	L-Arabinose	cpd00224	True	already_grows	5.801	0	
Phaeo	Sodium pyruvate	cpd00020	True	gapfilled	0.7566	13	EX_cpd15378_e0;rxn03436_c0;rxn00340_c0;rxn10213_c0;rxn12376_c0;rxn01539_c0;rxn09310_c0;rxn00704_c0;rxn02185_c0;rxn05464_c0;rxn15949_c0;rxn15947_c0;rxn20627_c0
Phaeo	Sodium D,L-Lactate	cpd00159	True	already_grows	0.7566	0	
Phaeo	L-Glutamine	cpd00053	True	gapfilled	0.7756	1	rxn19346_c0
Phaeo	L-Malic acid disodium salt monohydrate	cpd00130	True	already_grows	0.7566	0	
Phaeo	Sodium succinate dibasic hexahydrate	cpd00036	True	already_grows	0.7566	0	
Phaeo	Sodium L-Lactate	cpd00159	True	already_grows	0.7566	0	
Phaeo	D-Fructose	cpd00082	True	already_grows	1.5132	0	
Phaeo	D-Glucose	cpd00027	True	already_grows	1.5132	0	
Phaeo	Sodium D-Lactate	cpd00221	True	already_grows	0.7566	0	
Phaeo	N-Acetyl-D-Glucosamine	cpd00122	True	gapfilled	2.0176	1	rxn00892_c0
