orgId	locusId	sysName	geneName	desc	set1IT091 1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	set2IT075 1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT079 1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT083 1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT091 MOKA	set2IT092 Xantho_MME_glucose_casamino	set2IT093 Xantho_MME_glucose_dropout_LTH	set2IT094 Clovis xylem sap	set3IT072 MOKA	set3IT073 Xantho_MME_glucose_casamino	set3IT074 Xantho_MME_glucose_dropout_LTH	set3IT075 Clovis xylem sap	set3IT081 Xantho_MME_glucose_casamino	set3IT082 Xantho_MME_glucose_dropout_LTH	set3IT083 Clovis xylem sap	set3IT088 MOKA	set3IT089 Xantho_MME_glucose_casamino	set3IT090 Xantho_MME_glucose_dropout_LTH	set3IT091 Clovis xylem sap
Xantho	Xcc-8004.3376.1	Xcc-8004.3376.1		Butyryl-CoA dehydrogenase (EC 1.3.99.2)	0.114	-0.500	0.494	1.008	-0.168	-0.528	0.511	-0.188	0.436	0.195	-0.001	0.231	0.012	0.656	-0.589	0.142	0.329	0.197	0.175
Xantho	Xcc-8004.3378.1	Xcc-8004.3378.1		hypothetical protein	-0.094	-0.068	-0.173	-0.048	0.037	0.022	0.040	0.035	-0.056	-0.125	0.021	-0.057	0.253	0.107	0.076	0.081	-0.049	-0.079	0.001
Xantho	Xcc-8004.3379.1	Xcc-8004.3379.1		Transcriptional regulator, ArsR family / Methyltransferase fusion	-0.392	-0.219	-1.039	0.475	0.094	0.173	-0.441	0.074	0.115	-0.115	-0.116	-0.396	-0.433	-0.109	-0.243	-0.219	-0.460	-0.713	-0.376
Xantho	Xcc-8004.338.1	Xcc-8004.338.1		FIG01213664: hypothetical protein	-0.112	0.450	-0.086	0.456	-0.081	-0.004	-0.024	-0.061	0.095	0.144	0.225	0.002	-0.104	-0.013	0.002	0.145	-0.037	0.126	-0.225
Xantho	Xcc-8004.3380.1	Xcc-8004.3380.1		5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	0.052	-0.226	0.108	0.281	0.142	0.253	0.251	-0.207	-0.124	-0.114	0.035	0.146	-0.108	0.187	0.245	0.363	-0.209	0.113	0.087
Xantho	Xcc-8004.3381.1	Xcc-8004.3381.1		5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	-0.050	0.178	0.294	0.226	0.032	0.101	0.031	0.039	-0.185	0.090	-0.023	0.131	-0.020	0.152	-0.055	0.083	0.264	0.035	0.150
Xantho	Xcc-8004.3383.1	Xcc-8004.3383.1		D-mannose isomerase (EC 5.3.1.7)	-0.303	-0.015	0.096	-0.141	0.096	0.189	0.103	0.202	-0.253	-0.069	0.051	-0.113	0.197	-0.042	0.082	-0.033	0.276	0.053	0.153
Xantho	Xcc-8004.3385.1	Xcc-8004.3385.1		Fructokinase in mannoside utilization gene cluster (EC 2.7.1.4)	-0.899	-0.050	-0.400	-0.958	0.250	-0.204	-0.476	-0.182	0.183	-0.085	-0.432	-0.801	-0.005	-0.533	0.645	0.291	-0.144	0.385	0.075
Xantho	Xcc-8004.3386.1	Xcc-8004.3386.1		Predicted mannose transporter, GGP family	0.106	-0.246	-0.261	-0.217	0.140	-0.150	-0.148	0.152	0.077	0.013	-0.233	0.170	-0.519	-0.268	-0.160	-0.065	-0.489	-0.344	0.034
Xantho	Xcc-8004.3387.1	Xcc-8004.3387.1		transcriptional regulator	-0.117	0.028	0.019	-0.426	0.122	-0.065	-0.101	-0.057	0.079	-0.045	0.082	0.010	-0.007	0.010	0.223	-0.019	-0.105	-0.089	-0.097
