orgId	locusId	sysName	geneName	desc	set1IT091 1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	set2IT075 1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT079 1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT083 1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT091 MOKA	set2IT092 Xantho_MME_glucose_casamino	set2IT093 Xantho_MME_glucose_dropout_LTH	set2IT094 Clovis xylem sap	set3IT072 MOKA	set3IT073 Xantho_MME_glucose_casamino	set3IT074 Xantho_MME_glucose_dropout_LTH	set3IT075 Clovis xylem sap	set3IT081 Xantho_MME_glucose_casamino	set3IT082 Xantho_MME_glucose_dropout_LTH	set3IT083 Clovis xylem sap	set3IT088 MOKA	set3IT089 Xantho_MME_glucose_casamino	set3IT090 Xantho_MME_glucose_dropout_LTH	set3IT091 Clovis xylem sap
Xantho	Xcc-8004.4966.1	Xcc-8004.4966.1		ABC-type antimicrobial peptide transport system, permease component	0.270	-3.647	-1.373	-0.225	0.231	-1.440	0.784	0.426	1.404	-0.183	-2.015	-0.727	-0.855	-1.853	0.432	0.151	-0.837	-1.110	-0.640
Xantho	Xcc-8004.4967.1	Xcc-8004.4967.1		ABC-type antimicrobial peptide transport system, permease component	1.142	1.185	0.162	0.945	-0.806	-0.757	-0.170	0.109	-1.164	-0.172	-1.546	-0.263	0.201	-0.575	-1.202	-0.097	0.478	-0.168	-0.272
Xantho	Xcc-8004.4968.1	Xcc-8004.4968.1		FIG01210546: hypothetical protein	-0.059	-2.347	-3.026	-0.614	-0.250	-0.134	-0.981	-0.985	1.093	-0.084	0.064	-0.122	0.032	0.049	1.199	-0.300	0.065	0.788	-0.084
Xantho	Xcc-8004.4969.1	Xcc-8004.4969.1		RarD protein, chloamphenicol sensitive	-1.091	-0.574	-0.021	0.683	-0.836	-0.212	0.111	-0.794	0.062	0.127	0.602	0.465	-0.366	-0.222	-0.239	-0.379	0.716	0.547	0.077
Xantho	Xcc-8004.497.1	Xcc-8004.497.1		Fe(2+)/alpha-ketoglutarate-dependent dioxygenase LpxO	0.706	0.490	-1.425	0.035	-0.682	0.373	-0.170	-2.258	1.051	-0.808	0.863	0.895	1.209	0.571	0.351	-0.110	0.461	0.454	0.828
Xantho	Xcc-8004.4970.1	Xcc-8004.4970.1		Permease of the drug/metabolite transporter (DMT) superfamily	-0.254	-0.109	-0.226	0.458	-0.570	-0.100	-0.453	0.772	1.892	0.313	0.322	1.591	1.016	-0.009	2.096	-0.237	0.059	-0.489	-0.270
Xantho	Xcc-8004.4971.1	Xcc-8004.4971.1		FIG01211775: hypothetical protein	-0.245	-0.230	-1.691	0.500	-1.188	-0.076	-1.093	-0.204	0.640	-0.592	-0.498	0.335	-0.949	-0.276	1.004	0.450	-1.024	0.430	-0.408
Xantho	Xcc-8004.4973.1	Xcc-8004.4973.1		hypothetical protein	1.126	0.999	-0.766	0.678	-0.249	-0.438	-0.370	0.815	-0.618	-0.465	-0.971	-1.345	0.170	-0.074	-0.018	0.345	-0.583	-0.239	-0.289
Xantho	Xcc-8004.4976.1	Xcc-8004.4976.1		hypothetical protein	-10.518	-7.966	-7.199	-7.847	-2.536	-1.187	1.479	-5.008	-3.832	-0.269	2.612	-4.909	-0.108	4.023	-1.563	-1.564	-0.208	2.988	-5.434
Xantho	Xcc-8004.4977.1	Xcc-8004.4977.1		Peptidase	-0.340	0.656	-0.016	-0.242	0.119	0.066	0.460	-0.734	-0.447	-0.148	0.183	0.085	-0.956	0.277	1.239	-0.079	-0.345	-0.202	0.407
Xantho	Xcc-8004.4979.1	Xcc-8004.4979.1		Beta-lactamase related protein	0.244	0.988	-1.484	0.741	0.017	1.054	1.774	0.921	-1.213	-0.207	-0.487	0.119	-0.760	-0.909	-1.841	-0.869	-0.070	0.056	0.296
Xantho	Xcc-8004.4982.1	Xcc-8004.4982.1		Protein yjbJ	-0.293	-0.175	-0.042	-1.542	2.911	-0.429	-1.589	-2.111	1.917	0.637	1.269	1.074	0.767	-0.036	-0.564	-0.483	-0.276	-2.116	0.723
Xantho	Xcc-8004.4984.1	Xcc-8004.4984.1		hypothetical protein	-2.357	0.837	0.252	0.102	0.836	-0.580	-1.009	-0.913	-0.112	1.044	-0.705	0.614	1.310	-0.831	0.575	-0.617	-1.630	-2.371	-1.535
Xantho	Xcc-8004.4985.1	Xcc-8004.4985.1		Arginase (EC 3.5.3.1)	-1.023	-0.048	-0.458	0.541	-0.482	-0.224	-6.939	-0.182	1.196	0.533	-5.758	-0.566	0.723	-6.377	-4.544	-0.319	-0.021	-9.369	-0.580
Xantho	Xcc-8004.4986.1	Xcc-8004.4986.1		FIG01209754: hypothetical protein	0.663	-0.584	-1.101	-0.052	-0.641	-0.210	-0.556	-2.105	0.288	1.219	-1.611	0.008	0.097	0.563	0.585	-0.576	-0.270	-0.837	-2.555
Xantho	Xcc-8004.4987.1	Xcc-8004.4987.1		FIG01212434: hypothetical protein	-0.906	-0.561	0.190	1.322	-0.231	-0.501	-0.633	0.541	1.812	-2.295	-0.203	-0.959	-0.442	-0.058	-0.385	0.638	1.107	-0.861	0.760
