ko_id,description,kegg_l1_code,kegg_l1_name,kegg_l2_code,kegg_l2_name,broad_category,simplified_category,in_mgnify,in_spire,in_nb15,in_nb15b,in_cme_pangenome,in_cme_levinsb
K00069,HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141],09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,False,True,False,False,False,False
K00070,HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1],09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,False,True,False,False,False,False
K00073,allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350],09100,Metabolism,09104,Nucleotide metabolism,Nucleotide metabolism,Metabolism,True,True,True,True,False,False
K00074,"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00075,murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],09100,Metabolism,09107,Glycan biosynthesis and metabolism,Glycan biosynthesis / metabolism,Metabolism,True,True,True,True,False,False
K00076,hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159],09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,True,True,True,True,False,False
K00077,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]",09100,Metabolism,09108,Metabolism of cofactors and vitamins,Cofactor biosynthesis,Cofactor biosynthesis,True,True,True,True,False,False
K00082,ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193],09100,Metabolism,09108,Metabolism of cofactors and vitamins,Cofactor biosynthesis,Cofactor biosynthesis,True,True,True,True,False,False
K00086,"dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00087,"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]",09100,Metabolism,09104,Nucleotide metabolism,Nucleotide metabolism,Metabolism,True,True,True,True,False,False
K00088,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]",09100,Metabolism,09104,Nucleotide metabolism,Nucleotide metabolism,Metabolism,True,True,True,True,True,False
K00090,ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00091,E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219],09190,Not Included in Pathway or Brite,09191,Unclassified: metabolism,Unclassified: metabolism,Metabolism,True,True,True,True,False,False
K00096,"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]",09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,True,True,True,True,False,False
K00097,pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262],09100,Metabolism,09108,Metabolism of cofactors and vitamins,Cofactor biosynthesis,Cofactor biosynthesis,True,True,True,True,False,False
K00098,idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264],09190,Not Included in Pathway or Brite,09191,Unclassified: metabolism,Unclassified: metabolism,Metabolism,True,True,True,True,True,False
K00099,dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],09100,Metabolism,09109,Metabolism of terpenoids and polyketides,Terpenoids / polyketides,Metabolism,True,True,True,True,False,False
K00100,bdhAB; butanol dehydrogenase [EC:1.1.1.-],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,False,True,True,False,False
K00101,"CYB2, FCB2; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00102,"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00103,GULO; L-gulonolactone oxidase [EC:1.1.3.8],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00104,glcD; glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00105,glpO; alpha-glycerophosphate oxidase [EC:1.1.3.21],09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,True,True,True,True,True,False
K00108,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]",09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,True
K00109,L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00111,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]",09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,True,True,True,True,True,False
K00112,glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3],09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,True,True,True,True,False,False
K00113,glpC; glycerol-3-phosphate dehydrogenase subunit C,09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,True,True,True,True,False,False
K00114,exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00116,mqo; malate dehydrogenase (quinone) [EC:1.1.5.4],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00117,gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00118,gfo; glucose-fructose oxidoreductase [EC:1.1.99.28],09190,Not Included in Pathway or Brite,09191,Unclassified: metabolism,Unclassified: metabolism,Metabolism,True,True,True,True,False,False
K00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00122,FDH; formate dehydrogenase [EC:1.17.1.9],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00124,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00125,fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6],09100,Metabolism,09102,Energy metabolism,Energy metabolism,Metabolism,True,False,True,True,False,False
