orgId	locusId	sysName	geneName	desc	set1IT006 KB	set1IT008 KB with Dimethyl Sulfoxide 0.42 vol%	set1IT012 KB with Acriflavine 1.25 ug/ml	set1IT014 KB with Ampicillin 0.775 ug/ml	set1IT016 KB with Berberine 15.6 ug/ml	set1IT018 KB with Carbenicillin 3.1 ug/ml	set1IT020 KB with Chloramphenicol 1.55 ug/ml	set1IT022 KB with Erythromycin 6.25 ug/ml	set1IT030 KB with Nalidixic 0.775 ug/ml	set1IT034 KB with Nitrofurantoin 31.25 ug/ml	set1IT038 KB with Phloretin 125 ug/ml	set1IT046 KB with Trimethoprim 15.6 ug/ml	set3IT010 KB with Acridine orange 3.125 ug/ml	set3IT020 KB with Mitomycin C 0.05 ug/ml	set4IT014 KB	set4IT016 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT018 KB with Rifampicin 0.1 mg/ml	set4IT020 KB with capsaicin 0.25 mg/ml	set4IT022 KB with capsaicin 0.125 mg/ml	set4IT026 KB with Flavone 0.125 mg/ml	set4IT028 KB with Rotenone 0.25 mg/ml	set4IT030 KB with Rotenone 0.125 mg/ml	set4IT032 KB with Nitrofurantoin 0.0625 mg/ml
SyringaeB728a_mexBdelta	Psyr_0063	Psyr_0063		Two-component response regulator AlgR	-0.011	0.600	1.492	0.790	1.249	-0.123	0.784	0.095	1.250	0.916	0.232	-0.065	-0.535	3.678	0.140	0.827	1.484	0.523	0.323	0.495	1.260	0.704	0.193
SyringaeB728a_mexBdelta	Psyr_0064	Psyr_0064		Sensory transduction protein kinase AlgZ	-2.507	-0.831	1.644	-1.423	0.201	-2.279	2.006	-0.343	2.835	0.063	-1.468	-2.711	0.002	1.611	-0.598	0.015	0.097	1.033	1.068	0.092	0.189	-1.249	0.110
SyringaeB728a_mexBdelta	Psyr_0066	Psyr_0066		bifunctional spore maturation protein, fused SpmA/SpmB	0.482	-0.148	1.037	2.076	0.119	-6.939	-0.589	-4.940	-2.243	0.019	-0.130	-0.829	-0.056	-3.212	0.989	0.983	-2.742	0.263	-0.313	0.227	1.529	1.332	-0.836
SyringaeB728a_mexBdelta	Psyr_0067	Psyr_0067		membrane protein, putative	-0.083	0.610	0.656	-0.058	-0.557	-1.131	-0.311	0.532	-0.333	1.174	0.416	-0.190	0.644	1.191	-0.882	-0.098	-0.294	-0.371	-0.229	0.333	-0.467	0.342	0.132
SyringaeB728a_mexBdelta	Psyr_0068	Psyr_0068		Insulinase-like:Peptidase M16, C-terminal	0.696	0.016	0.008	0.458	0.609	0.246	0.159	0.395	0.833	0.879	-0.210	1.423	1.075	1.189	-0.017	1.147	0.274	-0.626	-0.969	0.554	0.518	-0.152	0.583
SyringaeB728a_mexBdelta	Psyr_0069	Psyr_0069		Na+/Pi-cotransporter:Na/Pi cotransporter II-related protein	-0.736	0.176	-1.927	0.090	-0.374	-0.458	0.468	-0.978	0.375	-0.030	0.157	-0.917	-0.307	-0.576	-0.639	-1.261	-0.774	-0.075	-0.293	0.325	-1.033	-0.311	-1.042
SyringaeB728a_mexBdelta	Psyr_0070	Psyr_0070		hypothetical protein	0.739	0.640	-0.141	-0.770	-0.861	1.433	0.157	-0.165	-1.096	-0.994	-0.963	0.193	0.313	0.118	-0.775	-0.420	-1.069	1.435	-1.715	0.511	-1.107	-1.278	0.828
SyringaeB728a_mexBdelta	Psyr_0071	Psyr_0071		Histidine kinase, HAMP region:Bacterial chemotaxis sensory transducer	-0.268	-0.362	-0.402	-0.944	-0.596	1.085	0.120	0.039	-1.514	-0.465	-0.191	-0.930	2.217	1.549	1.367	1.439	0.421	0.209	0.861	0.455	0.399	0.756	0.554
SyringaeB728a_mexBdelta	Psyr_0072	Psyr_0072		transcriptional regulator, LysR family	-0.181	0.957	0.444	1.243	1.767	2.025	2.300	-1.009	0.742	1.497	0.825	1.257	1.533	1.376	-0.164	-0.272	0.094	-0.780	-1.215	-1.127	0.372	0.113	0.120
SyringaeB728a_mexBdelta	Psyr_0073	Psyr_0073		Multi antimicrobial extrusion protein MatE	-0.638	-0.211	-0.401	0.425	-0.784	-0.446	-0.369	-0.785	-0.801	-0.896	-0.901	-0.297	0.552	-0.685	0.125	-0.851	0.251	-0.030	-1.082	0.516	-2.222	-0.892	-0.142
