orgId	locusId	sysName	geneName	desc	set1IT023 D-Glucose 20 mM (C)	set1IT024 D-Glucose 20 mM (C)	set1IT031 (+)-Arabinogalactan 5 mg/ml (C)	set1IT032 (+)-Arabinogalactan 5 mg/ml (C)	set1IT035 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT036 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT037 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT038 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT041 D-Maltose 20 mM (C)	set1IT042 D-Maltose 20 mM (C)	set1IT043 D-Raffinose 20 mM (C)	set1IT044 D-Raffinose 20 mM (C)	set1IT049 D-Glucose 20 mM (C)	set1IT050 D-Glucose 20 mM (C)	set1IT067 L-Fucose 20 mM (C)	set1IT068 L-Fucose 20 mM (C)	set1IT071 D-Glucosamine Hydrochloride 20 mM (C)	set1IT072 D-Glucosamine Hydrochloride 20 mM (C)	set1IT077 D-Maltose 20 mM (C)	set1IT078 D-Maltose 20 mM (C)	set1IT085 D-Raffinose 20 mM (C)	set1IT086 D-Raffinose 20 mM (C)
Bvulgatus_CL09T03C04	HMPREF1058_RS01590	HMPREF1058_RS01590		glucuronate isomerase	0.510	-0.082	-1.281	-3.412	1.761	-1.360	0.865	-0.238	1.797	0.029	0.851	1.011	-0.701	-0.047	1.027	1.453	0.579	0.369	0.727	0.322	-0.626	0.126
Bvulgatus_CL09T03C04	HMPREF1058_RS01595	HMPREF1058_RS01595		TlpA family protein disulfide reductase	-0.147	0.421	1.134	1.825	1.818	0.739	1.526	2.154	0.788	1.955	3.082	1.298	0.292	0.795	-0.134	-0.065	1.391	2.038	1.410	0.267	1.313	1.080
Bvulgatus_CL09T03C04	HMPREF1058_RS01600	HMPREF1058_RS01600		winged helix-turn-helix transcriptional regulator	0.979	0.143	1.316	-0.621	0.145	0.950	-0.819	1.497	0.743	-0.570	0.175	0.382	-1.640	0.837	0.939	0.319	0.699	0.784	0.207	0.283	-0.348	-0.049
Bvulgatus_CL09T03C04	HMPREF1058_RS01605	HMPREF1058_RS01605		MBL fold metallo-hydrolase	0.974	0.965	0.896	4.306	-0.721	-1.374	2.893	3.320	4.371	4.857	2.492	3.047	-2.119	3.972	0.205	2.041	1.827	3.999	5.811	4.107	1.761	2.589
Bvulgatus_CL09T03C04	HMPREF1058_RS01615	HMPREF1058_RS01615		tRNA-Lys	-0.400	-1.156	-0.184	-0.131	0.508	1.370	1.257	-0.952	0.275	0.285	-0.638	-1.349	-0.643	-1.440	0.321	-0.276	0.110	-0.348	0.727	-0.191	-0.583	0.007
Bvulgatus_CL09T03C04	HMPREF1058_RS01620	HMPREF1058_RS01620		tRNA-Lys	-0.746	0.179	1.391	-0.589	1.285	0.245	0.257	-0.314	-0.324	-0.495	0.382	0.247	0.640	2.386	-0.102	-0.380	0.269	-1.548	0.415	-0.490	-0.337	0.298
Bvulgatus_CL09T03C04	HMPREF1058_RS01625	HMPREF1058_RS01625		hypothetical protein	-0.543	0.773	-0.033	-1.337	-0.120	-1.145	-0.752	0.446	0.528	0.854	-0.242	-0.472	-0.965	-0.307	-1.257	1.404	-0.234	-0.044	-1.902	-1.686	-1.608	-0.791
Bvulgatus_CL09T03C04	HMPREF1058_RS01630	HMPREF1058_RS01630		hypothetical protein	0.789	-0.227	1.716	1.394	3.049	0.638	1.338	-0.400	0.599	0.447	1.691	1.496	2.070	1.596	0.013	1.254	0.106	1.626	1.259	0.000	2.760	3.188
Bvulgatus_CL09T03C04	HMPREF1058_RS01635	HMPREF1058_RS01635		hypothetical protein	-0.704	0.545	0.256	0.348	-0.164	0.675	-0.310	-2.698	0.204	-1.122	-1.509	0.770	-0.064	0.202	-1.211	-0.041	0.515	0.477	0.085	-1.180	0.330	-1.161
Bvulgatus_CL09T03C04	HMPREF1058_RS01640	HMPREF1058_RS01640		BamA/TamA family outer membrane protein	-0.260	-5.750	-9.194	-8.075	-6.686	-4.376	-9.046	-10.035	-11.536	-10.004	-8.702	-8.069	-16.359	-6.421	-5.863	-0.427	0.587	2.982	-12.628	-11.668	-12.378	-9.471
