orgId	locusId	sysName	geneName	desc	set1IT005 KB	set1IT007 KB with Dimethyl Sulfoxide 1 vol%	set1IT011 KB with Acriflavine 7.75 ug/ml	set1IT013 KB with Ampicillin 15.6 ug/ml	set1IT015 KB with Berberine 250 ug/ml	set1IT017 KB with Carbenicillin 250 ug/ml	set1IT019 KB with Chloramphenicol 12.5 ug/ml	set1IT021 KB with Erythromycin 25 ug/ml	set1IT029 KB with Nalidixic 12.5 ug/ml	set1IT033 KB with Nitrofurantoin 125 ug/ml	set1IT037 KB with Phloretin 250 ug/ml	set1IT045 KB with Trimethoprim 125 ug/ml	set1IT049 Green bean; epiphytic	set1IT050 Green bean; epiphytic	set2IT076 apoplastic, grinding recovery; Green bean	set2IT077 apoplastic, grinding recovery; Green bean	set2IT080 epiphytic; Green bean	set2IT081 epiphytic; Green bean	set2IT095 apoplastic, chopping recovery; Green bean	set3IT009 KB with Acridine orange 62.5 ug/ml	set3IT019 KB with Mitomycin C 0.625 ug/ml	set3IT031 epiphytic; Green bean	set3IT032 epiphytic; Green bean	set3IT039 apoplastic; Lima bean	set3IT040 apoplastic; Lima bean	set4IT013 KB	set4IT015 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT017 KB with Rifampicin 0.1 mg/ml	set4IT019 KB with capsaicin 0.25 mg/ml	set4IT021 KB with capsaicin 0.125 mg/ml	set4IT025 KB with Flavone 0.125 mg/ml	set4IT027 KB with Rotenone 0.25 mg/ml	set4IT029 KB with Rotenone 0.125 mg/ml	set4IT031 KB with Nitrofurantoin 0.25 mg/ml	set5IT059 apoplastic; Lima bean	set5IT060 apoplastic; Lima bean	set6IT083 apoplastic; Green bean; 6 days	set6IT084 apoplastic; Green bean; 6 days	set7IT014 apoplastic; Lima bean	set7IT015 apoplastic; Lima bean	set7IT018 apoplastic; Pepper	set7IT019 apoplastic; Pepper	set7IT026 apoplastic; Pepper	set7IT027 apoplastic; Pepper	set7IT030 apoplastic; Pepper	set7IT031 apoplastic; Pepper
SyringaeB728a	Psyr_3270	Psyr_3270		AP endonuclease, family 2	-0.637	0.102	-0.665	-1.618	-2.165	-0.636	-0.435	1.189	0.222	-0.147	-0.026	-0.100	-0.610	-1.558	-2.327	-1.871	1.161	0.201	0.647	-1.521	-0.680	0.015	-0.546	-1.121	-0.879	0.923	0.328	1.612	-1.192	0.486	-1.111	-0.799	0.038	-0.712	-3.173	-1.978	0.111	-0.993	0.975	0.201	-1.514	0.016	1.894	1.473	2.687	0.016
SyringaeB728a	Psyr_3271	Psyr_3271		methylmalonate-semialdehyde dehydrogenase (acylating)	-0.579	0.036	-0.693	-0.244	-0.653	-0.296	-0.591	0.373	-0.063	0.289	-0.022	-1.078	-1.119	-0.586	0.602	-0.149	-0.741	-0.517	0.323	0.784	0.338	-0.467	-1.016	0.751	0.831	1.009	1.375	0.478	0.937	1.824	1.495	0.391	0.813	0.893	0.262	-0.718	0.555	-0.145	0.336	0.597	0.532	-0.726	-2.528	-2.294	0.435	-0.198
SyringaeB728a	Psyr_3272	Psyr_3272		5-deoxyglucuronate isomerase	2.588	2.024	1.219	1.481	0.879	0.832	1.153	1.466	1.576	0.782	0.849	0.175	-1.313	-0.880	-0.660	-0.085	2.346	1.499	-0.365	-0.932	-0.142	-0.348	0.388	-2.709	-3.681	1.910	0.748	1.496	0.922	0.582	1.575	1.824	0.447	0.124	1.144	0.017	-1.514	-0.605	1.533	1.072	-0.966	-1.179	-2.401	-2.251	-0.679	0.314
SyringaeB728a	Psyr_3273	Psyr_3273		2-keto-myo-inositol dehydratase	1.484	0.898	0.337	-0.424	-2.082	1.188	1.409	1.452	0.766	1.335	0.761	0.655	-0.175	-0.143	0.749	-0.037	0.992	-0.923	-1.773	-0.190	-0.410	-0.560	0.402	0.250	0.042	-0.617	-1.573	-1.876	-1.368	-1.481	-1.741	-1.451	-0.753	-1.137	-0.660	-2.051	0.930	0.045	0.217	-0.069	0.581	1.223	0.222	-0.083	-1.340	-0.313
SyringaeB728a	Psyr_3274	Psyr_3274		5-dehydro-2-deoxygluconokinase	0.332	-0.797	-1.853	-0.285	-0.926	-1.355	-0.648	0.146	-1.010	-0.765	-0.293	-0.167	0.155	0.120	-0.235	-0.746	0.425	0.602	-0.765	-0.139	0.488	1.303	-0.234	-0.214	0.729	0.417	0.557	0.852	0.522	1.148	0.672	0.499	0.977	1.232	-0.974	-1.441	-0.255	-0.716	1.457	0.987	-0.692	-1.375	-1.723	-2.300	-1.002	-1.935
SyringaeB728a	Psyr_3275	Psyr_3275		Helix-turn-helix protein RpiR:Sugar isomerase (SIS)	-0.370	-1.743	-1.954	-0.688	-3.918	-0.155	-1.327	0.037	-2.860	-1.041	-1.149	-1.477	-0.660	-1.451	-1.470	-0.087	-3.163	-2.561	0.621	-1.136	-1.716	-0.859	-0.856	0.577	-0.146	-0.098	0.092	-0.430	0.048	-0.235	-0.107	-0.245	0.010	-0.543	0.716	0.530	-0.110	0.064	-1.403	-1.119	-0.522	-0.781	-0.045	-0.985	-0.283	-0.140
SyringaeB728a	Psyr_3276	Psyr_3276		membrane protein, putative	-0.686	0.439	-0.221	0.509	-0.738	0.007	0.271	0.422	-1.727	-0.494	0.193	-0.179	0.693	2.105	1.283	2.194	0.413	0.961	-0.430	0.203	-0.378	-0.628	0.920	0.801	1.083	1.417	1.424	1.216	0.417	-0.452	0.704	0.464	0.215	0.306	-1.691	-0.892	-0.036	-0.024	1.764	1.493	-0.687	-1.237	1.009	0.137	1.118	1.842
SyringaeB728a	Psyr_3277	Psyr_3277		Phospholipase D/Transphosphatidylase	-0.186	0.135	-0.376	-0.242	-0.552	-1.483	-0.558	-0.807	-2.875	-0.398	-0.004	-1.839	-0.469	0.315	0.081	-0.706	-0.331	0.757	0.174	0.925	-0.368	-1.514	-0.895	1.178	1.501	-2.134	-0.308	-0.446	-0.081	-0.506	-0.429	-1.196	-0.187	0.636	2.397	2.071	0.484	-0.311	-1.007	-1.187	0.908	1.392	0.057	0.346	-0.119	0.102
SyringaeB728a	Psyr_3278	Psyr_3278		Endonuclease/exonuclease/phosphatase	0.680	-0.528	1.516	1.146	0.635	0.112	1.138	-0.248	-1.426	0.048	-1.150	-0.351	0.226	0.746	0.593	0.477	0.199	-0.808	0.477	1.354	0.675	-0.140	0.584	-0.506	-1.284	0.398	-0.025	0.628	0.606	0.738	0.669	0.422	-0.164	1.149	0.589	0.647	1.691	1.662	-0.111	-0.194	0.329	-0.289	-0.194	0.636	0.990	2.037
SyringaeB728a	Psyr_3279	Psyr_3279		Cytochrome B561, bacterial	-1.136	0.049	0.063	0.673	0.423	0.662	0.671	0.545	0.477	-0.185	1.235	0.138	-0.369	-0.562	0.183	-0.414	-0.660	0.832	2.838	-0.359	-0.350	-0.573	-0.929	0.808	0.318	1.430	0.805	0.781	0.622	1.074	0.956	0.523	0.957	1.428	1.487	0.431	0.102	0.053	-0.244	-0.014	1.641	2.870	-0.539	-0.706	-1.376	-1.393
SyringaeB728a	Psyr_3280	Psyr_3280		methylthioadenosine phosphorylase	0.681	-0.938	0.768	2.467	0.755	-0.638	1.753	1.150	1.084	-0.045	0.392	1.179	-0.140	-2.242	-1.904	0.633	-1.236	0.591	-0.048	-1.408	-0.686	0.246	1.355	0.029	1.517	-0.537	0.253	-1.451	-0.846	-1.312	-0.478	-0.101	0.101	-0.755	-0.235	0.509	0.250	0.259	-0.862	0.203	-1.211	-0.620	1.405	0.900	-0.183	0.209
SyringaeB728a	Psyr_3281	Psyr_3281		Glycoside hydrolase, family 3, N-terminal	-0.397	-1.389	1.996	-0.986	0.819	-0.821	-1.667	1.265	1.929	-0.758	-0.667	-0.804	-3.861	-2.374	-0.616	-0.795	-1.306	-1.193	-0.525	-3.554	-0.409	-1.998	-3.134	0.377	0.191	-0.752	0.315	-0.334	-0.592	-0.351	0.190	-1.326	-1.257	-0.093	-0.203	-0.384	-2.473	-2.531	-0.708	0.076	-0.536	-0.786	-1.595	-1.106	0.008	-1.864
SyringaeB728a	Psyr_3282	Psyr_3282		transcriptional regulator, TetR family	-1.550	-3.481	-2.866	-0.312	-0.735	-2.058	-1.162	-2.363	-1.911	-2.103	-3.126	-0.467	1.468	0.332	-0.440	-0.303	-0.392	-1.552	-2.104	-1.115	-0.782	-0.913	1.670	-0.381	0.217	-2.742	-2.219	-1.702	-1.023	-1.624	-2.364	-2.244	-0.899	-3.974	-0.953	-0.472	-1.930	-1.346	-0.079	-1.170	1.825	2.177	0.411	0.639	1.575	1.217
SyringaeB728a	Psyr_3284	Psyr_3284		SOS cell division inhibitor SulA	-2.208	-1.391	-0.432	-0.642	0.755	1.002	0.218	-1.577	-2.262	-1.221	-0.249	-1.117	-0.199	0.543	-1.409	-1.296	0.789	-1.199	-1.481	-0.372	-1.703	-0.601	-0.815	0.358	0.170	1.586	0.092	1.412	0.235	-0.648	1.740	0.781	0.123	0.432	0.206	0.425	0.476	0.915	1.875	1.258	1.586	1.750	-0.205	0.830	1.224	1.229
SyringaeB728a	Psyr_3286	Psyr_3286		conserved hypothetical protein	-1.491	-1.863	-1.462	-0.990	-2.148	0.069	-0.493	-2.030	-5.059	-1.146	-1.817	-2.275	-3.222	-4.073	1.019	-0.360	-3.657	-2.724	0.894	0.103	-2.940	-2.581	-1.735	0.974	1.257	-1.807	-1.491	-0.656	-0.810	-0.889	-0.750	0.032	-1.075	-0.871	0.610	1.630	1.304	1.524	1.119	0.932	-0.990	-0.397	1.689	0.317	-0.012	0.019
SyringaeB728a	Psyr_3287	Psyr_3287		DNA topoisomerase I	-1.347	-1.607	2.410	0.000	1.049	-0.545	-0.946	-0.063	5.166	1.209	0.751	-2.157	-3.150	-2.472	-2.364	-1.857	-0.647	-1.289	-1.693	-1.380	-0.514	0.223	-3.072	-1.241	-1.252	-2.108	-2.255	-2.441	-1.843	-2.961	-2.851	-1.770	-1.675	-0.313	-3.052	-1.741	-2.002	-0.647	-3.212	-3.519	-2.929	-2.846	-0.563	-1.563	-0.060	-1.383
SyringaeB728a	Psyr_3288	Psyr_3288		conserved hypothetical protein	0.776	-0.470	-0.066	-0.160	1.169	-0.072	0.638	0.871	1.331	0.197	0.390	1.470	-0.116	0.050	0.432	0.390	-0.373	0.299	0.053	1.281	1.658	-0.128	-1.173	-1.998	-1.969	0.734	0.592	0.579	1.068	2.000	1.875	0.464	-0.186	1.562	-0.103	-0.609	-0.712	-0.862	-1.538	-0.227	0.632	0.531	-1.383	-1.225	-0.203	-0.128
SyringaeB728a	Psyr_3289	Psyr_3289		3-ketoacyl-CoA thiolase	-1.373	-0.366	1.099	-0.658	-0.359	0.664	0.695	1.248	2.361	-0.276	0.090	0.783	-0.860	-1.756	1.121	-1.980	-1.189	-1.793	0.291	3.414	3.383	-4.602	-1.995	-0.231	-1.240	0.740	0.475	1.567	-0.945	1.682	-0.666	0.275	0.682	-0.571	1.014	0.377	-1.197	-1.727	0.201	-0.603	-0.144	-0.117	1.077	0.190	0.349	1.585
SyringaeB728a	Psyr_3290	Psyr_3290		3-hydroxyacyl-CoA dehydrogenase / short chain enoyl-CoA hydratase	-3.003	-0.749	-0.009	-1.921	0.356	-1.402	-0.628	-0.998	5.508	-2.039	-2.131	-2.642	-1.713	-0.814	1.034	-3.872	-1.525	-2.087	-1.354	1.425	1.045	-2.655	-1.894	0.541	0.423	-1.686	-0.824	0.462	0.309	-0.862	-0.264	0.377	-0.538	-0.001	-2.630	-1.991	-1.410	-2.387	-1.476	-3.463	0.713	0.598	0.336	0.315	-0.458	0.384
SyringaeB728a	Psyr_3291	Psyr_3291		hypothetical protein	0.419	1.415	2.457	0.511	1.883	1.927	0.254	-0.051	1.712	0.441	0.278	0.518	-0.660	-0.306	-1.012	-0.947	-0.027	0.019	-1.641	1.306	1.347	0.440	-0.087	-0.205	0.342	2.042	1.991	1.392	0.839	1.016	-0.063	1.147	1.476	0.125	0.344	0.085	-0.132	1.133	1.135	-0.799	1.937	1.178	0.294	0.741	0.891	0.445
SyringaeB728a	Psyr_3293	Psyr_3293		UspA	-0.178	0.349	1.538	1.137	0.409	-2.000	-1.192	0.676	-0.442	0.395	0.569	-0.102	-0.339	-0.805	-1.146	-1.307	-0.937	-2.725	1.128	-0.874	-0.716	-0.287	-0.302	-1.480	-1.534	0.285	1.701	-1.252	-0.876	0.205	-0.417	-1.777	-0.478	0.718	0.659	0.268	-0.007	0.217	-1.185	-0.528	-0.998	-0.825	0.025	0.409	0.614	0.146
SyringaeB728a	Psyr_3294	Psyr_3294		ABC transporter	-0.833	-1.443	-0.318	-1.759	-0.425	-1.451	-1.444	0.047	-2.982	-1.885	-0.852	-2.447	0.264	-0.272	-0.291	0.227	1.389	1.391	-2.400	0.243	-0.011	-0.111	-0.861	-0.787	-0.377	-3.100	-1.903	-1.815	-1.992	-1.027	-1.710	-1.755	-2.414	-0.219	-0.374	-0.812	0.218	-0.450	0.260	-0.159	1.957	1.967	-0.349	-0.737	0.096	-0.985
SyringaeB728a	Psyr_3295	Psyr_3295		SLT	-1.013	-0.106	-0.639	-0.512	-1.071	-10.896	-1.713	-1.662	-0.224	-1.919	0.310	-0.367	1.003	0.500	1.281	-0.298	-0.838	-0.561	-0.344	0.216	-0.318	0.967	-0.285	0.270	-0.074	0.899	0.526	1.006	1.471	0.751	1.195	1.284	0.042	0.860	-0.178	-1.153	0.285	0.060	0.242	0.697	-1.101	-1.866	-0.687	-2.551	-0.190	-0.480
SyringaeB728a	Psyr_3296	Psyr_3296		MOSC:MOSC, N-terminal beta barrel	-0.585	1.058	-0.425	0.064	-0.736	0.202	-0.518	-0.387	0.730	0.701	-1.100	0.394	0.112	1.135	-2.311	-1.599	0.341	0.642	-0.746	-0.861	-0.973	-2.040	-1.619	-0.137	-0.263	0.354	0.158	0.283	1.972	-0.382	1.284	-0.520	-0.106	0.685	1.036	0.833	-0.296	-0.313	-1.643	-1.308	1.832	1.874	-0.408	0.204	-0.381	0.434
SyringaeB728a	Psyr_3297	Psyr_3297		CheW protein	-0.199	-1.105	-0.205	0.763	1.408	-0.412	-0.001	-0.807	-0.938	-0.143	-0.069	-1.907	-0.819	0.345	1.383	0.000	-0.545	0.088	-1.246	-0.331	0.105	-1.837	0.470	-0.246	-0.084	-0.529	-0.668	-0.090	-0.065	-0.639	0.132	-0.065	-0.598	-0.580	0.715	-0.781	-1.253	-1.359	1.739	0.503	-2.279	-1.783	0.987	1.091	0.243	-0.136
SyringaeB728a	Psyr_3298	Psyr_3298		conserved hypothetical protein	-0.495	0.162	-0.201	-0.503	-0.543	0.186	0.660	-1.178	-0.435	-1.444	-0.665	-0.510	0.782	1.455	0.646	-0.276	-0.059	-0.149	-0.193	-1.989	-3.319	0.700	-1.132	-0.033	0.327	0.427	1.228	-0.061	0.497	0.520	0.339	0.169	-1.457	0.640	2.002	-1.264	-0.553	-0.760	-0.307	-0.568	0.649	1.254	-0.268	-0.652	-0.493	0.320
SyringaeB728a	Psyr_3299	Psyr_3299		two component transcriptional regulator, LuxR family	-0.373	-0.361	-0.017	-0.426	-1.096	-0.598	-1.200	0.616	0.106	0.611	-0.611	-0.273	0.820	-0.154	0.260	-1.275	-0.914	-0.972	-1.535	1.784	2.017	0.729	0.302	-1.792	-1.029	1.164	1.377	0.250	0.419	-0.079	1.217	0.271	0.673	1.338	-0.336	-0.738	-0.177	-0.963	2.577	0.758	4.219	3.344	-1.308	-2.337	0.545	1.425
SyringaeB728a	Psyr_3300	Psyr_3300		Conserved hypothetical protein 147	-0.076	-0.031	1.524	0.788	-0.516	-0.390	-0.711	-0.937	0.012	0.277	0.145	0.313	-0.338	0.908	-0.959	-2.464	0.885	-0.388	0.253	-2.041	-1.541	0.613	0.314	-0.409	0.063	-0.593	1.304	0.524	-0.447	0.620	-0.040	-0.380	-1.235	-0.649	-0.692	0.309	-1.100	-0.606	-1.401	-0.105	0.758	1.292	0.021	-0.500	-0.883	-0.099
SyringaeB728a	Psyr_3301	Psyr_3301		Undecaprenyl-phosphate galactosephosphotransferase	-1.791	-1.903	-0.993	-1.096	-0.362	-0.239	0.073	-1.343	-1.389	-1.348	-1.354	-1.766	3.146	3.200	0.698	1.440	2.063	1.396	-0.466	-0.065	-0.364	1.948	1.761	-0.026	0.299	-0.059	-1.076	0.376	-0.987	0.013	0.251	-0.809	-0.171	-0.608	1.288	1.561	1.290	-0.380	0.169	-0.293	1.322	0.795	-0.477	-1.461	-1.541	-0.289
SyringaeB728a	Psyr_3302	Psyr_3302		mannose-6-phosphate isomerase, type 2 / mannose-1-phosphate guanylyltransferase (GDP)	-0.721	-1.929	0.490	-0.606	-0.537	-1.025	-1.124	0.114	-0.195	-0.487	-0.400	-0.446	0.782	1.897	-0.871	-1.140	0.251	0.642	0.717	2.792	3.729	0.732	0.193	0.208	-0.350	-1.590	0.253	-0.460	-1.237	-0.266	0.298	-1.794	-1.035	-1.607	-0.204	1.102	0.043	0.703	0.596	1.109	-0.401	0.912	-0.651	-1.256	-0.739	0.068
SyringaeB728a	Psyr_3303	Psyr_3303		Polysaccharide export protein	0.110	-1.093	0.328	-1.293	0.197	0.720	-0.086	-0.310	0.564	-1.298	0.225	-0.806	1.879	0.244	-0.752	2.258	0.300	-0.016	1.558	1.597	2.148	1.931	2.073	0.462	0.868	0.377	0.077	-0.803	0.958	0.047	0.334	1.279	-0.160	0.568	0.003	0.060	0.926	1.101	0.961	-0.693	-0.489	0.051	-0.462	0.318	0.604	0.863
SyringaeB728a	Psyr_3304	Psyr_3304		Lipopolysaccharide biosynthesis	0.999	0.918	1.353	0.111	1.982	0.943	-0.110	0.766	0.646	0.883	-0.165	-0.196	3.149	3.176	-0.180	0.750	2.386	3.112	-1.416	-0.811	-0.878	0.413	-0.380	0.054	-0.242	-0.118	0.263	0.320	-0.188	0.330	0.159	0.576	0.378	0.758	-0.107	1.249	0.450	-0.654	0.972	0.605	1.326	1.051	1.543	1.839	-1.153	-0.245
SyringaeB728a	Psyr_3305	Psyr_3305		Glycosyl transferase, group 1	1.676	0.810	0.567	0.798	1.726	1.709	-0.101	1.963	1.678	0.249	0.010	1.555	1.839	3.795	0.545	-0.565	0.343	0.192	-0.957	1.972	2.259	0.423	0.696	0.373	0.365	0.093	0.588	-0.136	-0.334	-0.249	-0.994	-0.323	-0.564	-0.122	-2.807	-0.810	1.206	0.271	0.174	0.150	-1.124	-0.570	0.208	1.869	-0.323	-1.072
SyringaeB728a	Psyr_3306	Psyr_3306		Glycoside hydrolase, family 5	-0.303	0.082	0.617	-0.820	0.943	-0.353	-0.962	-0.397	-0.775	-1.258	-0.085	0.556	0.740	1.058	-0.419	-2.535	1.393	1.514	0.448	0.986	1.840	-0.407	-0.626	-0.777	0.065	-0.833	-1.913	-0.675	-2.167	-1.374	-0.320	0.309	-0.333	0.105	-0.575	-1.447	-3.123	-3.805	-2.029	-1.828	-2.535	-1.860	-0.128	0.072	-1.744	-1.169
SyringaeB728a	Psyr_3307	Psyr_3307		Glycosyl transferase, group 1	0.977	1.097	-0.664	0.287	1.006	1.137	1.958	1.232	-0.205	0.820	0.501	1.164	3.149	2.986	0.045	0.092	3.172	1.807	0.400	-0.742	0.171	0.668	1.075	0.513	0.950	0.206	0.094	1.443	-0.234	0.032	0.182	-0.054	0.112	0.797	1.022	0.143	0.482	0.369	0.361	0.552	1.014	0.431	2.055	1.944	-1.032	-1.294
SyringaeB728a	Psyr_3308	Psyr_3308		Glycosyl transferase, group 1	-0.540	1.268	2.153	0.445	0.275	1.313	0.104	-0.016	0.434	1.127	-0.948	0.401	2.647	2.284	1.371	-0.568	2.016	2.743	-0.003	1.642	1.568	1.104	1.989	0.838	0.383	-0.056	-0.086	0.265	-0.561	0.899	0.982	0.666	0.630	0.349	0.368	-0.364	-0.918	-1.762	0.370	-0.306	0.783	1.251	0.980	1.057	-0.136	-0.194
SyringaeB728a	Psyr_3309	Psyr_3309		membrane protein, putative	-1.320	-1.778	-0.212	-1.832	-0.745	-1.722	-0.631	-1.187	-0.615	-0.908	-0.689	-0.584	1.998	0.733	-0.506	2.661	0.898	0.538	-1.043	-0.826	-0.769	1.058	0.619	0.105	-0.152	-1.187	-1.673	-0.852	-1.867	-2.149	-1.775	-1.084	-0.891	-1.809	0.016	0.236	-0.662	0.408	1.365	2.587	1.861	1.042	-0.786	-1.088	1.095	0.580
SyringaeB728a	Psyr_3310	Psyr_3310		transferase hexapeptide repeat protein	0.213	-0.651	-0.228	-0.303	0.491	0.761	-0.664	0.398	0.698	-0.190	-0.337	-0.325	1.752	2.691	-1.139	-2.829	0.280	-0.732	-3.271	1.676	1.219	0.130	0.556	-0.264	0.638	-0.211	0.043	0.376	-0.351	-1.673	-0.584	0.207	-0.227	0.044	0.316	0.921	1.146	1.603	1.046	0.079	-1.676	-1.213	0.093	-0.012	1.032	0.473
SyringaeB728a	Psyr_3311	Psyr_3311		Virulence factor MVIN-like protein	-1.544	-0.959	-1.240	-0.460	-2.162	-0.037	-2.203	-0.312	-1.028	-0.558	-0.924	-1.830	-0.269	-0.252	-0.559	-0.901	-1.216	0.732	-0.893	0.321	0.465	1.170	0.653	-0.274	-0.364	0.265	0.867	0.768	-0.793	1.146	-0.007	0.060	-0.605	-0.293	-1.102	-1.637	-2.387	-0.831	-0.841	0.131	3.133	2.227	1.227	1.539	-1.853	-2.055
SyringaeB728a	Psyr_3312	Psyr_3312		transcriptional regulator, LysR family	-0.694	-0.034	-0.469	0.828	1.198	1.107	0.116	0.732	-0.941	-0.110	-0.361	0.198	-0.971	0.638	-0.747	1.066	-0.876	-0.725	0.158	0.152	-0.119	-0.102	-0.948	1.350	1.326	-1.547	0.029	-1.373	-1.955	-0.899	-1.384	-0.406	-1.242	-0.721	-0.953	-0.757	1.062	-0.021	-0.042	0.010	-0.523	0.270	0.179	0.316	-5.028	-2.973
SyringaeB728a	Psyr_3313	Psyr_3313		C4-dicarboxylate transporter/malic acid transport protein	0.773	1.929	1.105	1.552	2.102	1.099	0.560	1.382	-0.960	-0.517	0.053	-0.758	-2.000	-1.063	0.474	0.106	0.175	0.736	0.827	0.138	0.600	-0.296	-0.102	0.945	-0.158	1.396	1.545	1.358	1.501	1.360	2.148	1.531	1.459	1.098	-1.025	-0.469	1.642	0.257	-1.416	0.121	-0.016	0.395	0.162	-0.631	0.138	0.294
SyringaeB728a	Psyr_3314	Psyr_3314		conserved hypothetical protein	-0.734	0.665	1.830	0.284	1.202	1.016	-0.070	1.425	1.396	0.932	1.287	0.141	-0.450	1.022	-1.735	-0.082	-0.987	-1.708	-1.404	0.202	-0.200	1.351	0.419	0.788	0.292	-0.284	0.187	-1.190	-0.286	0.147	0.005	0.434	-0.054	0.030	-0.816	-0.085	-1.950	-2.109	1.515	0.718	-0.099	-0.234	-0.273	-0.103	0.314	0.986
SyringaeB728a	Psyr_3315	Psyr_3315		conserved hypothetical protein	0.685	0.258	1.437	-1.175	0.431	-0.315	-1.208	1.782	0.363	-0.160	0.721	0.037	1.944	2.094	0.454	0.575	0.047	-0.103	1.789	-0.129	0.505	-1.312	1.063	-1.264	-0.569	-0.020	1.527	0.990	0.164	-0.794	-0.924	0.196	-0.817	1.191	0.349	1.233	-0.052	-0.596	-0.224	0.456	-0.414	0.274	0.772	1.018	0.561	0.563
SyringaeB728a	Psyr_3318	Psyr_3318		conserved hypothetical protein	1.056	-0.226	0.129	-0.574	1.222	0.206	0.531	-0.698	1.180	-1.418	-1.499	-0.869	-0.554	0.271	-0.704	-1.020	-0.583	-0.340	-0.037	-1.357	0.098	-0.037	0.046	-0.840	-0.330	0.482	0.096	-0.257	-0.858	-0.242	-0.596	-0.098	-1.201	-0.646	0.693	0.900	0.991	1.140	-0.685	0.612	1.524	0.751	-1.495	0.737	0.365	-0.648
SyringaeB728a	Psyr_3319	Psyr_3319		ThiJ/PfpI	-0.447	-0.487	0.150	-0.088	1.341	-0.327	1.307	-1.447	0.886	0.745	-1.084	0.214	-0.574	-0.872	-0.724	-0.839	-0.059	-1.694	0.413	-0.392	-0.335	-0.412	0.176	0.218	-0.186	-0.617	0.602	-0.590	-0.819	-0.145	-0.123	-0.556	0.085	-0.109	-1.147	-0.582	-1.037	-1.351	0.153	1.125	1.715	1.369	0.917	1.292	0.188	-0.103
SyringaeB728a	Psyr_3321	Psyr_3321		transcriptional regulator, LysR family	0.804	-0.245	0.597	-1.441	-0.399	-1.080	-0.237	-2.365	-0.741	0.280	-0.195	0.197	-0.250	0.176	-0.635	-0.980	0.569	1.488	-0.355	0.958	0.001	0.458	-0.558	0.992	0.271	0.354	-0.631	0.808	0.445	-0.265	-0.502	-0.243	1.467	0.539	0.832	1.828	-0.578	-0.039	-0.356	-1.112	1.857	1.687	1.189	0.455	-0.285	0.049
SyringaeB728a	Psyr_3322	Psyr_3322		Major facilitator superfamily	-0.877	0.259	1.318	0.073	-1.068	0.336	-0.855	-0.549	-2.335	0.261	-0.883	-0.926	-1.701	0.393	0.205	0.791	-0.586	-0.372	0.687	0.580	0.905	-1.302	-0.194	1.391	1.496	1.282	0.840	0.357	0.251	0.454	0.751	0.880	0.906	1.134	0.351	-0.646	-0.326	-1.334	1.077	0.829	-1.490	-1.542	0.394	-0.350	0.495	0.831
SyringaeB728a	Psyr_3323	Psyr_3323		conserved hypothetical protein	-1.279	-1.254	-2.675	-1.754	-0.057	-0.992	-0.189	-0.014	-1.548	-0.561	-0.945	-0.952	-0.489	-0.666	1.891	-0.422	-1.088	-0.464	0.205	0.206	0.134	-1.961	-1.394	0.775	0.924	-0.856	-0.447	-0.511	-1.854	-1.049	-1.678	-1.052	-1.322	0.170	-0.864	-1.437	2.452	0.568	-1.802	-1.048	0.954	0.508	0.770	0.073	0.756	1.770
SyringaeB728a	Psyr_3324	Psyr_3324		transcriptional regulator, TetR family	-0.676	0.086	9.758	-0.166	7.388	0.856	19.806	2.000	17.255	1.261	-0.205	-0.262	-2.977	-1.057	-0.986	-2.736	-3.198	-1.485	-0.800	4.026	8.920	-1.003	-1.511	-1.617	-2.003	-1.222	-2.662	-0.384	-0.350	-1.519	-1.833	-1.693	-2.239	1.387	0.450	0.552	-1.245	-0.662	-1.821	-1.839	0.494	0.154	-0.782	-1.220	0.054	0.330
SyringaeB728a	Psyr_3325	Psyr_3325		fumarylacetoacetate hydrolase	0.331	0.984	0.875	0.436	-0.007	1.909	3.341	0.951	1.703	-0.024	0.623	0.184	-3.529	-2.921	-0.143	-3.562	-2.036	-1.459	-1.000	-0.223	0.183	-2.612	-2.680	-0.162	0.735	-0.396	-0.632	-1.139	-2.187	-0.754	-0.520	-0.265	-0.198	0.127	-1.358	-0.288	-0.899	-1.309	1.356	0.982	-1.722	-0.910	-1.599	-1.313	-0.768	-0.189
SyringaeB728a	Psyr_3326	Psyr_3326		homogentisate 1,2-dioxygenase	0.579	1.929	0.357	0.737	1.753	-0.073	0.064	-0.043	-0.283	0.827	0.049	-0.490	-1.150	-1.137	-0.111	0.139	-0.800	-0.741	0.373	0.122	-2.126	0.072	0.247	-1.908	-1.548	-1.505	-1.287	-0.968	-0.985	-0.742	-1.075	-2.028	-0.920	-1.050	0.548	-1.118	-0.301	1.288	-1.295	-0.612	-1.621	-0.760	-2.179	-0.877	-1.316	-1.643
SyringaeB728a	Psyr_3327	Psyr_3327		transcriptional regulator, IclR family	0.814	0.488	0.468	0.875	-0.002	-0.253	0.833	0.561	1.591	0.083	1.493	1.863	-2.388	-0.092	0.162	0.008	-0.576	-1.057	-0.196	0.626	0.807	-0.308	-0.783	-1.763	-2.711	-2.483	-0.646	-0.191	-0.806	-0.601	-1.272	-1.560	-0.612	-0.457	-0.213	0.220	-1.759	-2.305	0.368	1.989	-0.155	-0.651	1.751	1.122	0.689	0.059
