orgId	locusId	sysName	geneName	desc	set1IT005 KB	set1IT007 KB with Dimethyl Sulfoxide 1 vol%	set1IT011 KB with Acriflavine 7.75 ug/ml	set1IT013 KB with Ampicillin 15.6 ug/ml	set1IT015 KB with Berberine 250 ug/ml	set1IT017 KB with Carbenicillin 250 ug/ml	set1IT019 KB with Chloramphenicol 12.5 ug/ml	set1IT021 KB with Erythromycin 25 ug/ml	set1IT029 KB with Nalidixic 12.5 ug/ml	set1IT033 KB with Nitrofurantoin 125 ug/ml	set1IT037 KB with Phloretin 250 ug/ml	set1IT045 KB with Trimethoprim 125 ug/ml	set1IT049 Green bean; epiphytic	set1IT050 Green bean; epiphytic	set2IT076 apoplastic, grinding recovery; Green bean	set2IT077 apoplastic, grinding recovery; Green bean	set2IT080 epiphytic; Green bean	set2IT081 epiphytic; Green bean	set2IT095 apoplastic, chopping recovery; Green bean	set3IT009 KB with Acridine orange 62.5 ug/ml	set3IT019 KB with Mitomycin C 0.625 ug/ml	set3IT031 epiphytic; Green bean	set3IT032 epiphytic; Green bean	set3IT039 apoplastic; Lima bean	set3IT040 apoplastic; Lima bean	set4IT013 KB	set4IT015 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT017 KB with Rifampicin 0.1 mg/ml	set4IT019 KB with capsaicin 0.25 mg/ml	set4IT021 KB with capsaicin 0.125 mg/ml	set4IT025 KB with Flavone 0.125 mg/ml	set4IT027 KB with Rotenone 0.25 mg/ml	set4IT029 KB with Rotenone 0.125 mg/ml	set4IT031 KB with Nitrofurantoin 0.25 mg/ml	set5IT059 apoplastic; Lima bean	set5IT060 apoplastic; Lima bean	set6IT083 apoplastic; Green bean; 6 days	set6IT084 apoplastic; Green bean; 6 days	set7IT014 apoplastic; Lima bean	set7IT015 apoplastic; Lima bean	set7IT018 apoplastic; Pepper	set7IT019 apoplastic; Pepper	set7IT026 apoplastic; Pepper	set7IT027 apoplastic; Pepper	set7IT030 apoplastic; Pepper	set7IT031 apoplastic; Pepper
SyringaeB728a	Psyr_1485	Psyr_1485		hypothetical protein	0.539	-0.539	0.056	-1.182	0.553	0.605	0.592	-0.780	-1.757	0.385	0.605	-0.174	1.206	1.789	-1.132	-0.679	0.664	-0.239	-0.888	-0.380	0.083	-1.650	-1.403	-1.517	-1.721	-0.091	0.832	0.201	-1.135	-0.124	-0.516	-0.552	0.277	-0.860	-1.163	-0.778	0.240	-0.759	-0.526	0.145	0.084	0.024	0.101	0.313	0.246	0.664
SyringaeB728a	Psyr_1486	Psyr_1486		Cl- channel, voltage gated	-1.039	-1.184	-0.289	-0.411	1.260	-0.828	-1.409	-0.791	-1.346	-1.876	0.058	-1.403	-0.377	-0.627	-0.298	-0.115	0.465	0.281	-0.569	-1.370	-2.616	-1.282	0.048	-0.255	-0.636	-1.341	-2.118	-2.106	-1.644	-1.741	-0.807	-1.912	-1.738	-1.898	-1.070	0.072	-0.644	-1.303	-0.781	0.247	-0.376	-0.774	-0.769	0.160	-0.180	-0.010
SyringaeB728a	Psyr_1487	Psyr_1487		conserved hypothetical protein	-2.703	0.026	-0.872	0.061	-0.342	-2.197	-2.147	-1.618	-0.612	-1.032	-1.998	-1.596	-1.055	-1.325	-1.270	1.147	0.197	0.512	-3.004	1.300	1.500	-2.344	1.398	0.533	0.677	0.065	-0.586	0.384	0.679	0.292	1.568	0.957	1.054	1.900	-0.310	0.272	-0.583	-0.446	-0.079	0.383	-1.181	-2.164	-0.624	-0.530	0.283	0.101
SyringaeB728a	Psyr_1488	Psyr_1488		Bile acid:sodium symporter	0.461	-0.215	-0.029	0.982	1.957	-0.892	0.179	-0.535	1.075	-0.250	0.017	-0.008	0.381	1.253	0.930	0.612	-0.313	0.912	-1.032	-1.031	-1.960	0.585	0.640	0.935	0.978	-0.951	0.326	-0.232	0.711	0.618	-0.005	-0.671	-0.269	-0.246	1.156	0.897	-0.591	0.072	1.886	1.659	-0.538	-0.219	-0.157	-0.702	-0.706	-0.597
SyringaeB728a	Psyr_1489	Psyr_1489		hypothetical protein	-1.291	0.907	1.366	1.141	1.964	1.567	0.934	0.842	-1.449	0.447	-0.476	1.418	-1.323	-1.147	-1.725	-1.296	-1.824	-0.707	1.435	0.143	-1.475	0.313	0.265	-0.181	-0.677	3.381	0.696	0.707	-0.146	1.317	-0.245	1.066	0.590	1.096	0.706	1.605	0.920	0.727	-0.180	-1.777	-0.118	0.260	0.020	0.247	0.462	1.440
SyringaeB728a	Psyr_1491	Psyr_1491		Histidine kinase, HAMP region:Bacterial chemotaxis sensory transducer	-0.021	0.123	0.141	-0.949	1.839	-0.038	-0.212	-0.448	-2.533	-0.672	-0.407	-0.377	-0.033	-0.265	-0.286	-0.499	-0.398	-0.440	-1.541	-0.514	-0.665	-0.214	0.059	0.156	0.360	-0.477	0.750	-0.312	-0.123	-0.950	0.568	0.174	-0.636	-0.510	-0.753	0.700	0.389	0.054	-0.144	-0.222	0.422	-0.195	-0.559	-1.365	0.145	0.336
SyringaeB728a	Psyr_1492	Psyr_1492		Phage integrase:Phage integrase, N-terminal SAM-like protein	-1.566	-0.605	0.706	-1.026	0.607	0.613	-0.118	-1.139	0.235	-1.241	-0.472	-0.887	-0.089	0.487	0.282	1.397	0.410	0.191	-0.093	-0.653	-0.731	-0.573	-0.242	-0.635	-1.487	-0.370	-0.038	-0.378	-0.576	-1.301	-0.614	-1.146	-0.321	-0.523	-0.350	-0.343	-1.070	-1.770	-1.022	-1.754	0.479	0.143	0.587	0.591	-1.702	-0.758
SyringaeB728a	Psyr_1493	Psyr_1493		Twin-arginine translocation pathway signal:Copper-resistance protein CopA	0.077	-0.833	1.944	0.009	1.361	0.696	-0.588	0.074	-1.010	0.796	0.202	-0.169	0.019	0.183	-0.549	0.945	0.207	-0.396	-1.080	-0.240	0.141	-0.427	-0.615	-0.446	-0.251	-0.267	0.189	0.523	-0.852	-0.326	-0.232	-0.149	-1.080	-0.577	-1.056	-0.206	-0.726	-0.526	0.416	0.690	0.455	-0.649	-0.895	-0.619	0.323	0.187
SyringaeB728a	Psyr_1494	Psyr_1494		Copper resistance B precursor	0.680	0.020	1.342	-0.714	1.653	1.603	1.053	0.707	-0.549	1.230	0.696	0.866	-0.120	0.259	1.002	1.244	-0.349	-0.409	-0.390	1.385	1.160	-0.053	1.093	-0.066	-0.211	-0.184	-0.318	0.074	0.557	-0.149	0.093	0.728	0.410	0.387	-2.891	-0.852	-0.115	0.727	0.199	-1.101	-2.006	-1.377	0.604	1.031	2.075	1.176
SyringaeB728a	Psyr_1495	Psyr_1495		Copper resistance protein CopC	0.694	-0.275	0.965	0.366	-0.225	1.029	0.971	-1.104	0.698	0.971	-0.823	0.214	0.313	1.692	1.235	-0.222	-2.403	-1.227	1.335	0.682	0.550	-1.199	0.073	0.816	0.040	-0.084	0.150	1.034	0.430	1.327	1.078	-0.161	0.305	0.610	-1.155	-0.098	0.649	1.139	0.248	2.062	0.634	0.179	0.118	0.041	-0.494	0.387
