sample_id	phb_score	matched_abundance	total_abundance	pct_matched
nmdc:bsm-13-as680w10	0.0	0.0	1638.2518110255426	0.0
nmdc:bsm-13-ay11wa90	0.0	0.0	1052.929098753924	0.0
nmdc:bsm-13-c0xjg970	0.0	0.0	867.7881061122296	0.0
nmdc:bsm-13-dd9rmc16	0.0	0.0	827.8689396997704	0.0
nmdc:bsm-13-drp3nj25	0.0	0.0	1252.391830029583	0.0
nmdc:bsm-13-fs4zf767	0.0	0.0	1094.8694755813108	0.0
nmdc:bsm-13-hvpzqc38	0.0	0.0	1423.9143589322077	0.0
nmdc:bsm-13-hxr5ks11	0.0	0.0	1022.4938619737324	0.0
nmdc:bsm-13-kcdh3w94	0.0	0.0	1156.3901811682374	0.0
nmdc:bsm-13-kem2v355	0.0	0.0	1405.5990354748017	0.0
nmdc:bsm-13-khnf9f29	0.0	0.0	1489.5054443316953	0.0
nmdc:bsm-13-mvpx4z13	0.0	0.0	1182.596022607294	0.0
nmdc:bsm-13-peafgc08	0.0	0.0	1104.7395200093486	0.0
nmdc:bsm-13-sepcxd06	0.0	0.0	975.8488994322422	0.0
nmdc:bsm-13-vqk1y255	0.0	0.0	1421.515081761217	0.0
nmdc:bsm-13-xvf06c81	0.0	0.0	1287.2288497238674	0.0
nmdc:bsm-13-yjp2dx65	0.0	0.0	1412.4221445871146	0.0
nmdc:bsm-13-zms1jq91	0.0	0.0	1368.3211114331016	0.0
nmdc:bsm-11-011z7z70	0.0	0.0	858.0573109676754	0.0
nmdc:bsm-11-06pa9m89	0.0	0.0	376.5588039547367	0.0
nmdc:bsm-11-1302r041	0.0	0.0	638.6904071185237	0.0
nmdc:bsm-11-18btad96	0.0	0.0	327.7391676915405	0.0
nmdc:bsm-11-1yvac190	0.0	0.0	494.41472400133665	0.0
nmdc:bsm-11-2ah5z651	0.0	0.0	470.6564905769904	0.0
nmdc:bsm-11-2g6d7w97	0.0	0.0	367.29224492423236	0.0
nmdc:bsm-11-2hv7wn93	0.0	0.0	485.0943657997486	0.0
nmdc:bsm-11-30npyx54	0.0	0.0	180.0512412166059	0.0
nmdc:bsm-11-3636w778	0.0	0.0	542.7773167081614	0.0
nmdc:bsm-11-39qcw250	0.0	0.0	449.2930709245236	0.0
nmdc:bsm-11-3h3w1c57	0.0	0.0	517.6103832983256	0.0
nmdc:bsm-11-3nffqc45	0.0	0.0	536.0489337464809	0.0
nmdc:bsm-11-3nhng665	0.0	0.0	263.17928362939796	0.0
nmdc:bsm-11-3xthwx28	0.0	0.0	512.3477350520468	0.0
nmdc:bsm-11-3zh6yy26	0.0	0.0	337.64225067103274	0.0
nmdc:bsm-11-407zcq77	0.0	0.0	565.0565435109155	0.0
nmdc:bsm-11-43rwvm93	0.0	0.0	404.77893476954824	0.0
nmdc:bsm-11-45z1kv27	0.0	0.0	1156.658851426492	0.0
nmdc:bsm-11-4838sk73	0.0	0.0	319.7901330368724	0.0
nmdc:bsm-11-4b8h0j70	0.0	0.0	816.8396845909122	0.0
nmdc:bsm-11-4f4btc22	0.0	0.0	2210.1675519860464	0.0
nmdc:bsm-11-4pc4k424	0.0	0.0	996.81461761164	0.0
nmdc:bsm-11-57ejpn32	0.0	0.0	719.1625424627222	0.0
nmdc:bsm-11-5ak8ja54	0.0	0.0	404.9963342615844	0.0
nmdc:bsm-11-5p55d563	0.0	0.0	281.55793451295705	0.0
nmdc:bsm-11-5pcpjc96	0.0	0.0	264.98717171285733	0.0
nmdc:bsm-11-5rgay328	0.0	0.0	647.9703781645849	0.0
nmdc:bsm-11-5snc2s56	0.0	0.0	688.6809989476944	0.0
nmdc:bsm-11-5w4ba396	0.0	0.0	378.6273846215179	0.0
nmdc:bsm-11-62fxv990	0.0	0.0	904.3113227366504	0.0
nmdc:bsm-11-67dmq694	0.0	0.0	1617.3095541550324	0.0
nmdc:bsm-11-6f7spm34	0.0	0.0	633.0562620017804	0.0
nmdc:bsm-11-6k8cmy53	0.0	0.0	432.68558236777227	0.0
nmdc:bsm-11-6ntzv433	0.0	0.0	1190.1072580183622	0.0
nmdc:bsm-11-6y2dt532	0.0	0.0	437.0704722887835	0.0
nmdc:bsm-11-6zd5nb38	0.0	0.0	1604.116057045054	0.0
nmdc:bsm-11-72f2yc02	0.0	0.0	357.7647419448643	0.0
nmdc:bsm-11-7bbm7795	0.0	0.0	442.60223982805627	0.0
nmdc:bsm-11-7j0fnc87	0.0	0.0	549.7697094908568	0.0
nmdc:bsm-11-823zf212	0.0	0.0	511.70903256624	0.0
nmdc:bsm-11-899bm454	0.0	0.0	461.9192590255751	0.0
nmdc:bsm-11-89q03t84	0.0	0.0	547.8446919756651	0.0
nmdc:bsm-11-8aktkq28	0.0	0.0	201.9505416834584	0.0
nmdc:bsm-11-8g7xbe66	0.0	0.0	331.65234640311326	0.0
nmdc:bsm-11-8r7d4q55	0.0	0.0	734.2608747499503	0.0
nmdc:bsm-11-8s8j4g78	0.0	0.0	497.32397889881275	0.0
nmdc:bsm-11-915df738	0.0	0.0	967.0009856865231	0.0
nmdc:bsm-11-97dgrv19	0.0	0.0	910.0491926319028	0.0
nmdc:bsm-11-9macc146	0.0	0.0	1069.153656162442	0.0
