genus,n_habitats,count_breadth_raw,count_breadth_std,weighted_breadth,shannon_breadth_std,cooccurrence_mean,cooccurrence_max,genus_lower_clean,mean_levins_B_std,gtdb_genus_lower,kingdom,count_breadth_ses,shannon_breadth_ses
microbacterium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,microbacterium,0.3231795495852764,microbacterium,Bacteria,,
microbulbifer,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,microbulbifer,0.1617960429925835,microbulbifer,Bacteria,,
micrococcus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,micrococcus,0.2772391363815261,micrococcus,Bacteria,,
microcoleus,2,785,0.9054209919261822,0.4647558386411889,0.9777451966543141,1.433679354094579,2,microcoleus,0.2260312237025557,microcoleus,Bacteria,,
microcystis,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,microcystis,0.0626134462759173,microcystis,Bacteria,,
mitsuokella,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,mitsuokella,0.1274172934499785,mitsuokella,Bacteria,,
mobiluncus,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,mobiluncus,0.3556323531253256,mobiluncus,Bacteria,,
modestobacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,modestobacter,0.6657653356434647,modestobacter,Bacteria,,
mogibacterium,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,mogibacterium,0.205699154278129,mogibacterium,Bacteria,,
moraxella,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,moraxella,0.1169747872078199,moraxella,Bacteria,,
morganella,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,morganella,0.3109495119825685,morganella,Bacteria,,
moritella,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,moritella,0.0310589513209675,moritella,Bacteria,,
moryella,3,860,0.9919261822376009,0.6227713178294574,0.9882456584935019,2.2549019607843137,3,moryella,0.1838895861914513,,Bacteria,,
mucilaginibacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,mucilaginibacter,0.3753880365366784,mucilaginibacter,Bacteria,0.0,1.0
mucispirillum,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,mucispirillum,0.3789234300831258,mucispirillum,Bacteria,,
muricauda,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,muricauda,0.0913079740441699,muricauda,Bacteria,,
mycobacterium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,mycobacterium,0.4555625266464975,mycobacterium,Bacteria,,
