response,ko,gene,predictor,n,lambda,beta,SE,t,p,ko_metals,resp_metal,metal_match,fdr_q
Cr_ICP_MS_mg_kg_0_5_sd,K19594,gesB,ko_freq_K19594_z,1481,0.231094845089082,-0.506857866649949,0.318623239205563,-1.59077494759554,0.111874084364414,"Cu,Au",Cr,False,0.335622253093242
Cr_ICP_MS_mg_kg_0_5_sd,K19595,gesA,ko_freq_K19595_z,1481,0.23066353006301,-0.480224345561344,0.343146184749099,-1.39947452982021,0.161880570125654,"Cu,Au",Cr,False,0.3642312827827215
Cr_MMI_ME_mg_kg_0_001_sd,K03325,ACR3,ko_freq_K03325_z,1481,0.233460275584462,-0.0019821767133038,0.0010614314646524,-1.86745614701822,0.0620357176122106,"As,Tl",Cr,False,0.13958036462747386
Cr_MMI_ME_mg_kg_0_001_sd,K03446,emrB,ko_freq_K03446_z,1481,0.221036503612683,0.0022240329627037,0.0010136287921786,2.19412962601768,0.0283812851078795,"Cu,Tl",Cr,False,0.08514385532363851
Cr_MMI_ME_mg_kg_0_001_sd,K07665,cusR,ko_freq_K07665_z,1481,0.232076584946006,0.0004163034474513,0.0009273636352017,0.448910687942544,0.653561895967969,"Cu,Ni",Cr,False,0.8402938662445315
Cr_MMI_ME_mg_kg_0_001_sd,K07785,nrsD,ko_freq_K07785_z,1481,0.229997381349431,0.0034419031062296,0.0007903668291839,4.35481725591055,1.42346113198325e-05,Ni,Cr,False,0.0001281115018784925
Cr_MMI_ME_mg_kg_0_001_sd,K07787,cusA,ko_freq_K07787_z,1481,0.233994990043733,-0.0012024129645265,0.0012389606762528,-0.970501314184669,0.331955461025619,"Cu,Ag",Cr,False,0.5975198298461142
Cr_MMI_ME_mg_kg_0_001_sd,K15726,czcA,ko_freq_K15726_z,1481,0.229208176665051,0.0006181745766077,0.0011600509096468,0.532885730675297,0.594192792969536,"Co,Ni,Zn,Cd",Cr,False,0.8402938662445315
Cr_MMI_ME_mg_kg_0_001_sd,K17686,copA,ko_freq_K17686_z,1481,0.240573699165918,-0.0022915422673819,0.0010345816909481,-2.21494569972708,0.0269158001295046,Cu,Cr,False,0.08514385532363851
Cr_MMI_ME_mg_kg_0_001_sd,K19594,gesB,ko_freq_K19594_z,1481,0.232829119784204,-0.0001007161517973,0.0009404950281724,-0.107088446807719,0.914733346167699,"Cu,Au",Cr,False,0.914733346167699
Cr_MMI_ME_mg_kg_0_001_sd,K19595,gesA,ko_freq_K19595_z,1481,0.232819518970983,0.0002822805414398,0.0010126300291266,0.27875979708333,0.780468165476274,"Cu,Au",Cr,False,0.8780266861608083
Cu_MMI_ME_mg_kg_0_01_sd,K03325,ACR3,ko_freq_K03325_z,1481,0.58131310307953,-0.0108671308849929,0.0139730647283361,-0.777719927322412,0.436858610855725,"As,Tl",Cu,False,0.750651694984463
Cu_MMI_ME_mg_kg_0_01_sd,K03446,emrB,ko_freq_K03446_z,1481,0.532251809205967,0.0603216532314714,0.0136315184812106,4.42516021341403,1.0343648564863e-05,"Cu,Tl",Cu,True,9.3092837083767e-05
Cu_MMI_ME_mg_kg_0_01_sd,K07665,cusR,ko_freq_K07665_z,1481,0.58470826450951,-0.0169001482808856,0.012024534723605,-1.40547211757886,0.160091096617759,"Cu,Ni",Cu,True,0.480273289853277
Cu_MMI_ME_mg_kg_0_01_sd,K07785,nrsD,ko_freq_K07785_z,1481,0.583117053083556,0.0099340729054047,0.0100401122632153,0.989438429070259,0.322610630029695,Ni,Cu,False,0.7258739175668137
Cu_MMI_ME_mg_kg_0_01_sd,K07787,cusA,ko_freq_K07787_z,1481,0.582857930292359,-0.0110140276097767,0.0169802288257361,-0.648638350095921,0.516672925587884,"Cu,Ag",Cu,True,0.750651694984463
Cu_MMI_ME_mg_kg_0_01_sd,K15726,czcA,ko_freq_K15726_z,1481,0.587662405410562,-0.0088030296430416,0.0160667224057441,-0.54790450850725,0.583840207210138,"Co,Ni,Zn,Cd",Cu,False,0.750651694984463
Cu_MMI_ME_mg_kg_0_01_sd,K17686,copA,ko_freq_K17686_z,1481,0.584346238754222,-0.0351983062312962,0.013515337697666,-2.60432310451072,0.0092978763605407,Cu,Cu,True,0.04184044362243315
Cu_MMI_ME_mg_kg_0_01_sd,K19594,gesB,ko_freq_K19594_z,1481,0.584279015533716,-0.0046907288744214,0.0116856834472338,-0.401408175705105,0.688177659576543,"Cu,Au",Cu,True,0.760849799034558
Cu_MMI_ME_mg_kg_0_01_sd,K19595,gesA,ko_freq_K19595_z,1481,0.584168062959464,-0.0038356857028758,0.0125999255683945,-0.304421298527132,0.760849799034558,"Cu,Au",Cu,True,0.760849799034558
Hg_AR_mg_kg_0_01_sd,K03325,ACR3,ko_freq_K03325_z,1466,0.755598714517362,-0.0052956898951328,0.0028518330861439,-1.85694244199032,0.0635202070069182,"As,Tl",Hg,False,0.32914050053771704
Hg_AR_mg_kg_0_01_sd,K03446,emrB,ko_freq_K03446_z,1466,0.755230855528665,0.0011715742809228,0.0028376134571899,0.412873105727031,0.679760085833348,"Cu,Tl",Hg,False,0.7647300965625166
Hg_AR_mg_kg_0_01_sd,K07665,cusR,ko_freq_K07665_z,1466,0.756297520739963,0.0004848138888032,0.0024339931022421,0.199184577949982,0.842146040772057,"Cu,Ni",Hg,False,0.842146040772057
Hg_AR_mg_kg_0_01_sd,K07785,nrsD,ko_freq_K07785_z,1466,0.756749813546033,0.0035599570715331,0.0019852184425685,1.79323191604405,0.073142333452826,Ni,Hg,False,0.32914050053771704
Hg_AR_mg_kg_0_01_sd,K07787,cusA,ko_freq_K07787_z,1466,0.75386977531165,0.0047741891622702,0.0035403895664321,1.34849260870508,0.1777087085584,"Cu,Ag",Hg,False,0.5331261256752001
