genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,median_soil_moisture,median_cmmi_nearest_km,ko_per_mb_primary,mean_genome_mb,ko_per_mb_z,genome_mb_z,mean_levins_B_std
chitinimonas,Proteobacteria,Bacteria,6829,78.0,62.0,283.8729858398437,47.61,5.104428959875615,4.8977075,-0.956626133050225,0.6616103557457353,0.3554628821976143
desulfatitalea,Proteobacteria,Bacteria,2249,61.0,69.0,347.3320007324219,53.23,7.588387642158956,4.6123105,-0.31840151764444224,0.48816817608730567,0.1105904928392305
desulfurispirillum,Chrysiogenetes,Bacteria,171,139.0,67.0,176.44400024414062,49.89,10.541761528351389,2.940685,0.4404339356618773,-0.5277162596026725,0.5282167383153002
euzebyella,Bacteroidetes,Bacteria,787,57.0,65.0,314.0660095214844,25.0,5.326499918165592,4.318032545454546,-0.8995675543555385,0.3093288404888658,0.0851622457612906
geofilum,Bacteroidetes,Bacteria,608,63.0,66.0,223.9250030517578,47.56,7.096141721304001,2.818433,-0.4448784456881605,-0.6020115512406448,0.2228025284558068
haloactinopolyspora,Actinobacteria,Bacteria,526,126.0,70.0,192.9320068359375,39.11,3.792363408099477,5.537444,-1.2937462865141875,1.050392623839146,0.3619277862819525
hydrogenobacter,Aquificae,Bacteria,707,79.0,61.0,335.0920104980469,18.28,15.110259564038792,1.654505,1.6142569636393107,-1.3093567906281542,0.1237806472662348
kaistia,Proteobacteria,Bacteria,7196,80.0,57.0,558.260986328125,17.65,6.1795900884782125,5.178337,-0.6803758464831126,0.8321552183632658,0.3519557071958934
kerstersia,Proteobacteria,Bacteria,2988,81.0,65.0,283.8729858398437,64.77,9.1296872067722,3.833647222222222,0.07761767899780667,0.014956978640397208,0.5031514466997647
kineococcus,Actinobacteria,Bacteria,17478,99.0,66.0,248.1009979248047,53.45,4.337780039849739,4.841186,-1.153607755822226,0.6272609681993916,0.410547249247016
marinilactibacillus,Firmicutes,Bacteria,73,63.0,65.0,560.7440185546875,29.45,10.940455917451656,2.559308333333333,0.5428738735573242,-0.7594874426828493,0.1339765270649861
methylovirgula,Proteobacteria,Bacteria,8566,62.0,58.0,295.1090087890625,20.39,6.978883718446342,3.295656,-0.4750065409382339,-0.3119923944060079,0.4369321780645275
novosphingobium,Proteobacteria,Bacteria,55569,79.0,63.0,277.4840087890625,19.5,8.463956388901686,4.371478100775193,-0.0934341980843904,0.34180890723052126,0.4489700042625262
pelosinus,Firmicutes,Bacteria,8553,80.0,57.0,558.260986328125,17.65,5.063873295657683,5.1344096666666665,-0.9670464445403592,0.8054595893275164,0.6549004721939029
psychroflexus,Bacteroidetes,Bacteria,34,156.0,81.0,148.3489990234375,55.05,7.884708103870408,2.7902110909090907,-0.24226538298909014,-0.6191626405192616,0.1349319738581857
reinekea,Proteobacteria,Bacteria,5341,63.0,67.0,353.89898681640625,20.39,8.388092521950993,3.099632,-0.11292654618709458,-0.4311205906567185,0.0630748183169263
rhodobium,Proteobacteria,Bacteria,707,101.0,65.0,162.90899658203125,30.83,7.378338479724423,5.150211,-0.37237123415673756,0.8150624151975946,0.3787869379769167
ruminobacter,Proteobacteria,Bacteria,517,99.0,61.0,233.7469940185547,64.77,6.959916612010851,2.442558,-0.4798799207961567,-0.8304392476744278,0.2249960362634488
saccharopolyspora,Actinobacteria,Bacteria,4394,90.0,63.0,262.1969909667969,17.65,5.6230683971105,7.469231571428572,-0.8233676945244958,2.2243834051915647,0.3185551656770693
shimwellia,Proteobacteria,Bacteria,153,91.0,64.0,213.19000244140625,67.54,11.394882061455387,4.12465875,0.6596334449043453,0.19181123318234242,0.3233798784500552
thermosipho,Thermotogae,Bacteria,49,99.0,81.0,189.96600341796875,68.16,10.581387367466382,1.8901113157894736,0.4506153392857292,-1.166173530286179,0.0577542624474705
winogradskyella,Bacteroidetes,Bacteria,10577,77.0,79.0,178.0070037841797,41.21,7.7409781201177985,3.487931315789474,-0.279195149275889,-0.19514235791284493,0.049956426792804
acinetobacter,Proteobacteria,Bacteria,34616,91.0,62.0,280.3710021972656,64.77,16.95406023088738,3.8928728045780656,2.0880003394359834,0.050949697888803346,0.2569934734607408
acuticoccus,Proteobacteria,Bacteria,1920,79.0,69.0,347.3320007324219,17.65,7.126323609335199,6.174291599999999,-0.43712355668041536,1.4374192423888845,0.2772545318797952
anaerovibrio,Firmicutes,Bacteria,790,99.0,61.0,233.7469940185547,64.77,11.16988271652855,2.148634914893617,0.6018224509426898,-1.0090629211285331,0.0782265219736035
arthrobacter,Actinobacteria,Bacteria,26384,91.0,63.0,291.7300109863281,17.65,9.31972602197083,4.50657024691358,0.12644596692682508,0.42390744463973357,0.3488958137948422
frederiksenia,Proteobacteria,Bacteria,18,79.0,59.0,277.4840087890625,,10.32565714594143,2.130615,0.3849084000179765,-1.020014028941188,0.2090867221750473
geobacter,Proteobacteria,Bacteria,30916,76.0,62.0,385.8169860839844,17.65,10.989146741991608,3.548956157894737,0.5553844209297286,-0.15805618802301305,0.1870235955227984
geodermatophilus,Actinobacteria,Bacteria,28948,71.0,63.0,353.89898681640625,17.65,5.6713214037087605,5.46609825,-0.8109696394368651,1.0070342059533046,0.4031428440500597
kitasatospora,Actinobacteria,Bacteria,1775,76.0,58.0,365.4580078125,17.65,3.4405919831594494,8.719429722222221,-1.384129908429636,2.9841569566955717,0.4074000448537305
leptospirillum,Nitrospirae,Bacteria,506,68.0,63.0,361.5750122070313,6.41,6.337062826829064,1.89362175,-0.6399150374577055,-1.1640401604153632,0.2194287408267406
psychromonas,Proteobacteria,Bacteria,6101,57.0,63.0,416.53900146484375,20.39,12.324440162305628,4.138119,0.8984727080708015,0.19999133002550235,0.0722609881292283
rickettsia,Proteobacteria,Bacteria,23284,91.0,61.0,283.8729858398437,40.63,9.131726745776886,1.3140997682119204,0.07814171508832421,-1.5162287106849788,0.4778088235430064
robiginitalea,Bacteroidetes,Bacteria,5411,69.0,65.0,258.31201171875,37.03,7.001507268925949,2.570875,-0.46919367983593574,-0.7524581190457781,0.0623584865856656
