response,n_full,lam_full,b_r_full,se_r_full,p_r_full,b_c_full,se_c_full,p_c_full,n_386,lam_386,b_r_386,se_r_386,p_r_386,b_c_386,se_c_386,p_c_386,outcome_full,outcome_386,changed
Cu_ICP_MS_mg_kg_0_2_sd,1530,0.249002860733118,0.0862325346925316,0.0782509576256227,0.270635559928653,0.0336547425916836,0.0825910272133861,0.68370773849909,386,0.408545858143094,-0.0497320967668155,0.11092908480553,0.654174041473801,0.0270429679237567,0.0954700858739958,0.777130086381582,neither,neither,False
Ni_ICP_MS_mg_kg_0_5_sd,1530,0.226361630468541,0.387531937261888,0.0980642033203106,8.11025611927512e-05,-0.0208676940142224,0.103327926824575,0.839978046608036,386,-0.0845342349781214,0.253558055879406,0.0544173028172745,4.38437079424805e-06,0.0661269904946217,0.0732050525224747,0.366929679530936,resist_only,resist_only,False
Zn_ICP_MS_mg_kg_0_9_sd,1526,0.379650432423939,0.574962149659723,0.222965066191569,0.0100102033663069,0.0455653682856603,0.237152052034322,0.847661566107537,386,0.308390970369982,-0.172765240990057,0.306635895842441,0.573478504056748,0.423206943835576,0.263038815543033,0.108461137361033,resist_only,neither,True
Pb_ICP_MS_mg_kg_0_1_sd,1530,0.335475250636775,0.215380245626436,0.169382815567832,0.203723610338932,0.0855209184237858,0.179829486074026,0.634451157523843,386,0.381409173104644,-0.230115591151445,0.307023488283791,0.454014291623371,-0.0978809866193532,0.263905841070621,0.710922378682237,neither,neither,False
As_ICP_MS_mg_kg_0_4_sd,1527,0.291947475490574,0.626465713832577,0.2569217878853,0.0148680426695473,-0.0109492213840677,0.272077164292969,0.967904612117988,386,0.172715297401629,-0.30830046179583,0.514954696564148,0.549731573524103,-0.250199222566155,0.444130440581847,0.573529641760993,resist_only,neither,True
Co_ICP_MS_mg_kg_0_1_sd,1529,0.111321257782695,-0.0391559876289394,0.0615545647071946,0.524794746061492,-0.0349498743288924,0.0641242440062804,0.585810033226548,386,0.271799587280588,0.0757233148799503,0.0695408588080049,0.276882728139851,-0.0084655073343621,0.0596496063735338,0.88721754808941,neither,neither,False
Cr_ICP_MS_mg_kg_0_5_sd,1530,0.1795896528323,2.09438624727247,0.418245035888123,6.1530063659519e-07,-0.0327820059098297,0.43901839314004,0.940486153776607,386,0.400071423839626,-1.37929599512884,0.843066601174942,0.102653505131634,0.292661758229042,0.725274899014543,0.68679268468437,resist_only,neither,True
Hg_AR_mg_kg_0_01_sd,1511,0.720283953038737,0.0096455845626438,0.0033842634230589,0.0044296302549701,-0.0018243615366375,0.0036776634218794,0.619920616235438,386,0.200261372109467,-0.0043396533699905,0.0069965661184499,0.535459916748921,0.0047327120522323,0.0060181133981691,0.43211416457743,resist_only,neither,True
Cu_MMI_ME_mg_kg_0_01_sd,1530,0.608657760154569,0.0705233955946661,0.0167596206727891,2.72729581694872e-05,-0.0065394571377146,0.0180821570815213,0.717661802241728,386,0.553947900296151,-0.0505135317204611,0.0307831946535706,0.101631874248541,-0.036219481730107,0.0267706726419557,0.176870588540244,resist_only,neither,True
Ni_MMI_ME_mg_kg_0_005_sd,1530,0.360591738306873,0.0579643324587015,0.0103615326268486,2.62290539775005e-08,-0.0054917466046383,0.0110179358722621,0.618247913316095,386,0.525508815872504,0.0175846614723932,0.0154605769305793,0.256089390666283,0.0223737060644224,0.0134115808187403,0.0960879492491079,resist_only,neither,True
Zn_MMI_ME_mg_kg_0_02_sd,1530,0.461959606721257,0.09216488002284,0.0245234974608728,0.0001775689310041,0.0005503194491207,0.0262349604906282,0.983267089422089,386,0.30503975540829,0.0226460948241674,0.0274692661771616,0.410217847672005,0.0526023288843217,0.0235628518349446,0.0261658250485624,resist_only,cofactor_only,True
Pb_MMI_ME_mg_kg_0_01_sd,1525,0.314949186862285,0.0187614733441256,0.0107523054083406,0.0812078721608074,0.0152908362025878,0.0113802712744055,0.179269544217195,386,0.318623140296506,-0.0177468891287232,0.0149519736920866,0.23599433251157,0.0013711510908174,0.0128280102184057,0.914934517759888,neither,neither,False
As_MMI_ME_mg_kg_0_01_sd,1470,0.177481377812742,0.0166573059851297,0.0040513229015615,4.14770472901364e-05,-0.0005599108069243,0.0042623300980374,0.895506489610343,384,-0.0834556207229946,0.005351310617913,0.0030530040117077,0.0804424578765484,0.0137477244649909,0.0042796188638936,0.0014287283704871,resist_only,cofactor_only,True
Co_MMI_ME_mg_kg_0_005_sd,1529,0.369416418227606,1.32518461527995e-05,0.0030985851600746,0.996588224159066,0.0043620024414121,0.0032930801761757,0.185503481620555,386,0.41934809260766,-0.0039502907425094,0.003228508208676,0.221870434334296,-0.0040941854856264,0.0027801529601391,0.14166952470646,neither,neither,False
Cr_MMI_ME_mg_kg_0_001_sd,1530,0.214661264445871,0.0085573651406405,0.0012128068538172,2.59385315585577e-12,-0.0025218441798467,0.0012767428699198,0.0484234970774672,386,0.0,0.0016439992265524,0.0016690506165572,0.32525212070229,0.0015651387732407,0.0017543225663687,0.372868095653691,both,neither,True
Hg_MMI_ME_mg_kg_0_001_sd,1072,0.275574209320612,0.0018535433747179,0.0007762916060593,0.0171277207880162,0.0004132694346196,0.0008347700630699,0.62065269618966,350,0.0876613525543664,-7.09784670818227e-05,0.0012953992680448,0.95633521357211,0.0018315257104901,0.0011174784376109,0.102126173371844,resist_only,neither,True
