genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,ko_per_mb_tier1_z,ko_per_mb_tier2_z,genome_mb_z,mean_levins_B_std
bacteriovorax,Proteobacteria,Bacteria,13440,80.0,60.0,0.6207953786509092,0.8156929119348869,-0.3422355664042061,0.038265655141207
cellvibrio,Proteobacteria,Bacteria,18169,163.0,83.0,1.02310599318803,0.8359623956121067,0.20676567211877622,0.1442656873983629
flavobacterium,Bacteroidetes,Bacteria,83255,91.0,67.0,-0.0942411370627719,-0.7605869305444118,-0.5200597943770838,0.1982943979198404
formosa,Bacteroidetes,Bacteria,336,64.0,65.0,-0.1816207022130027,-0.3962302080086804,-0.05231609742734274,0.0069644980465432
granulicatella,Firmicutes,Bacteria,943,57.0,56.0,0.2332484913016558,-1.9561578569726168,-1.4383519704152397,0.0728667305848513
loktanella,Proteobacteria,Bacteria,833,57.0,60.0,-0.4506227504725065,0.7368570392469209,-0.40198817599327313,0.0047370225237218
luteolibacter,Verrucomicrobia,Bacteria,49126,75.0,70.0,-0.743937850312439,-1.1770884520204274,0.10809797856000257,0.0662852866944564
nostoc,Cyanobacteria,Bacteria,1454,80.0,57.0,-1.0032108057398033,-0.8349765984586838,2.2494945748968607,0.0099022521110123
paracraurococcus,Proteobacteria,Bacteria,16895,101.0,67.0,0.1440500598196815,-0.3516745589432066,1.4025938553395165,0.271582592271976
rhodomicrobium,Proteobacteria,Bacteria,41968,80.0,59.0,-0.5519663125329991,0.9096205330120272,-0.40603055692365875,0.0468155259686322
roseivivax,Proteobacteria,Bacteria,15,58.0,61.0,-0.1905525839845767,0.7433715717892266,-0.13517855003670964,0.0717180153966078
sediminibacterium,Bacteroidetes,Bacteria,37177,91.0,61.0,0.0819201363122646,-0.8641583596461626,-1.0029863249638706,0.2276971505689494
stenotrophomonas,Proteobacteria,Bacteria,21301,80.0,63.0,2.2975932850177743,1.0446423315688729,0.022963524868974135,0.2620142513713986
acidovorax,Proteobacteria,Bacteria,11749,79.0,59.0,2.026738223301996,1.48228736838564,0.17113445266939542,0.2153122608183204
modestobacter,Actinobacteria,Bacteria,1857,79.0,64.0,-1.0776302917601446,-0.5130385309936705,0.2240237070596289,0.2261480742808303
nonomuraea,Actinobacteria,Bacteria,2623,99.0,72.0,-1.2386201194680362,-0.9572568442334192,3.0471775973516637,0.1724407376980598
pullulanibacillus,Firmicutes,Bacteria,65,101.0,61.0,-0.913931839864694,-0.4657820325742179,0.04715093506031827,0.1693700310626777
thiobacillus,Proteobacteria,Bacteria,6617,65.0,63.0,1.6491963349716614,1.7455863747469222,-0.7639886565268798,0.0930999905105914
archangium,Proteobacteria,Bacteria,2633,99.0,64.0,-1.100016495315608,-1.4564315283647933,4.329160536490134,0.1613798870032335
finegoldia,Firmicutes,Bacteria,1226,79.0,59.0,-0.080460191800885,-0.1084081504565715,-1.3867395776040967,0.1333547171324325
janthinobacterium,Proteobacteria,Bacteria,9457,91.0,70.0,1.2105681258200212,0.087057750380437,0.9609748345934843,0.1444675236357699
jiangella,Actinobacteria,Bacteria,17028,101.0,70.0,-1.3868023051805831,-1.2017985971976264,1.6788029628162242,0.1812893594299417
shewanella,Proteobacteria,Bacteria,3687,57.0,55.0,0.4777504403323017,-0.345785286360765,0.17607228896206314,0.2584769316286827
tatlockia,Proteobacteria,Bacteria,211,72.0,59.0,0.2501306425596591,-0.5225401047858481,-0.59969447060225,0.2535941547859903
thermincola,Firmicutes,Bacteria,69,69.0,61.0,-0.8600395708723164,-0.5311719873940924,-0.695365726070049,0.3434566519055443
georgenia,Actinobacteria,Bacteria,2752,163.0,83.0,-0.8888712426773939,-0.405237351464992,-0.03989615131202411,0.0937281621816166
glaciecola,Proteobacteria,Bacteria,2551,63.0,63.0,1.304539733438773,0.4929173512881012,-0.853000350342909,0.0215170855951746
herbaspirillum,Proteobacteria,Bacteria,3771,101.0,58.0,1.063967928293068,0.4940062113120914,0.5275293405178483,0.2870058271993066
pigmentiphaga,Proteobacteria,Bacteria,8846,79.0,66.0,2.344177335225233,-0.4956429089649678,0.91786402106742,0.1971142881150443
rhodanobacter,Proteobacteria,Bacteria,9259,80.0,64.0,1.6189515045623106,1.0261613568691736,-0.29320996780848363,0.2188930541968094
bdellovibrio,Proteobacteria,Bacteria,48724,91.0,63.0,-0.5780150414407366,-0.4681173440961958,-0.3550612984939027,0.2402595962940711
kribbella,Actinobacteria,Bacteria,12677,97.0,69.0,-1.2586515556685944,-0.9619673752137874,2.275568466726015,0.2693837142897949
afipia,Proteobacteria,Bacteria,4525,80.0,57.0,2.8621291156987394,0.4429669846925401,0.07305319810221238,0.0433393051744633
acidiphilium,Proteobacteria,Bacteria,3897,79.0,59.0,1.6896038642592357,0.7091341237425668,-0.38240371752944424,0.0343306328707789
amaricoccus,Proteobacteria,Bacteria,25052,80.0,59.0,0.5974440417335228,-0.0838955736002896,-0.4142093335444624,0.0373658132706976
denitratisoma,Proteobacteria,Bacteria,34904,82.0,66.0,0.4174476010543618,0.5477251335244493,-0.1353187347983301,0.0135746606334841
donghicola,Proteobacteria,Bacteria,45,79.0,68.0,-0.2229339851477875,-0.3361514648803293,-0.13190632254170273,0.0672268907563024
erythrobacter,Proteobacteria,Bacteria,13275,91.0,69.0,0.2093918223268641,0.1717217473347899,-0.7721100643437934,0.0207143126716459
filimonas,Bacteroidetes,Bacteria,1503,84.0,63.0,-0.9959507843410454,-1.459466175216252,1.7670426816104383,0.1343073991643227
hahella,Proteobacteria,Bacteria,4360,57.0,55.0,-0.370678002126856,-1.2042027817601428,1.3194546237841138,0.0860392705089915
methylocella,Proteobacteria,Bacteria,3288,75.0,63.0,0.6488576593052423,0.4568007415428891,-0.18458975805429167,0.2814691448720215
pseudomonas,Proteobacteria,Bacteria,60443,79.0,63.0,3.882418042457276,4.1109404393024205,1.165535430275876,0.1248172148765136
ruminococcus,Firmicutes,Bacteria,11318,99.0,61.0,-0.9856504292078886,-1.3828380368749895,-0.9699773597182877,0.1034869753041163
saccharibacillus,Firmicutes,Bacteria,2286,79.0,59.0,-0.6839708084548881,0.0514427610090098,0.4867971689862677,0.0605042016806722
sphingopyxis,Proteobacteria,Bacteria,3647,80.0,59.0,1.3921429884792378,0.686642000513215,-0.20235490529005687,0.0011769685571888
staphylococcus,Firmicutes,Bacteria,4533,122.0,55.0,-0.4347028616000363,1.9467353689947096,-0.9107202882796891,0.271483531749508
sulfobacillus,Firmicutes,Bacteria,250,72.0,63.0,-0.5336541271587917,-0.6005754960910742,-0.4403551808735788,0.0305347592391703
thalassobacillus,Firmicutes,Bacteria,49,95.0,79.0,0.6884006983651771,0.6547257580945932,-0.2227765806654195,0.0933297551957539
xanthobacter,Proteobacteria,Bacteria,2380,57.0,57.0,0.6858182404609012,0.0206992851563843,0.32048566038512644,0.084694095726809
geothrix,Acidobacteria,Bacteria,27566,68.0,61.0,0.7441065468280645,-1.0632080411942648,-0.5050673008105888,0.1954450679306886
rhizobium,Proteobacteria,Bacteria,31865,90.0,68.0,-0.2986621563244731,-1.0480573317086317,1.3763962200435496,0.0765876787150272
viridibacillus,Firmicutes,Bacteria,1187,99.0,70.0,-0.565998280039348,0.5120622848009724,0.022035367700666462,0.1555058565789865
frondihabitans,Actinobacteria,Bacteria,525,118.0,78.0,-1.376255555807908,-0.0432221283591055,-0.45323179639041583,0.0447686950754435
anabaena,Cyanobacteria,Bacteria,6056,91.0,62.0,-1.0663082571596538,-0.6002132118233763,1.148682851458667,0.0189650906446683
arenimonas,Proteobacteria,Bacteria,38485,63.0,70.0,0.490685451799447,1.0139364159798612,-1.2004385823852244,0.2580415367520302
