genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,ko_per_mb_tier1_z,ko_per_mb_tier2_z,genome_mb_z,mean_levins_B_std
sporomusa,Firmicutes,Bacteria,6613,75.0,60.0,-0.9431785096947384,0.105687235685174,0.31608785943105805,0.2108875219763744
ahrensia,Proteobacteria,Bacteria,2755,57.0,56.0,0.6841966300640964,-0.6316042243364568,-0.5795763102348169,0.1491098567086408
balneola,Balneolaeota,Bacteria,1039,65.0,79.0,-0.1186950978584416,0.0224556019182079,-0.6169955778212081,0.0249251048532055
citrobacter,Proteobacteria,Bacteria,6977,88.0,65.0,3.697111389844672,2.243798903011524,0.4012219435158254,0.2820061084911104
curvibacter,Proteobacteria,Bacteria,27891,79.0,62.0,0.9727855382153808,0.3190503901214017,-0.7428057712165284,0.1136613322211584
kibdelosporangium,Actinobacteria,Bacteria,2190,91.0,66.0,-1.1960263818675396,-0.9365055734622552,3.882049536961331,0.2621745030501024
lactobacillus,Firmicutes,Bacteria,8671,122.0,55.0,-0.8329112721335535,-1.3312196117806332,-1.3994320187213458,0.2333057495310466
mariprofundus,Proteobacteria,Bacteria,1153,57.0,61.0,0.1483999871820924,-0.6233898657484087,-0.8886263187349258,0.0111747748887507
oceanobacillus,Firmicutes,Bacteria,10484,99.0,57.0,0.3156309386846102,2.412744188872071,-0.2304257900076482,0.2516367709693502
paludibacter,Bacteroidetes,Bacteria,11685,77.0,57.0,-0.5970424567882666,-1.3543678418207172,-0.45396620899191886,0.2459321527278515
perlucidibaca,Proteobacteria,Bacteria,1827,62.0,70.0,1.121150131610933,2.268593538075698,-1.3243935797872204,0.362576156209526
phyllobacterium,Proteobacteria,Bacteria,28449,65.0,69.0,0.0022787113373901,-0.5793647966421371,0.42274080366480965,0.1192107645703445
psychrobacter,Proteobacteria,Bacteria,3216,79.0,59.0,0.1087430723038895,0.9615258622387352,-0.7173107587375902,0.0030822022322049
reichenbachiella,Bacteroidetes,Bacteria,2587,65.0,63.0,-0.5263864654002193,-0.6293816392588346,0.3183138377205264,0.0713285124749177
skermanella,Proteobacteria,Bacteria,6321,80.0,59.0,-0.5064096063692014,-0.2075294991791155,2.1627269032419867,0.2082419259708618
thiohalocapsa,Proteobacteria,Bacteria,4014,61.0,69.0,-0.1005761015480056,-1.0908040965442505,0.4636337527778113,0.0637002341920374
legionella,Proteobacteria,Bacteria,36555,91.0,63.0,0.6191253774977046,0.2001452590124973,-0.514025674935627,0.2588273210613446
gelidibacter,Bacteroidetes,Bacteria,240,116.0,63.0,0.4499765199052232,-0.727775491385746,0.02993220788556232,0.0010175792193786
sulfurimonas,Proteobacteria,Bacteria,10735,57.0,66.0,0.1203836889913956,-0.7340643050924385,-1.2439796971630959,0.0050227308503233
brochothrix,Firmicutes,Bacteria,4357,79.0,61.0,-0.0724146651327617,-0.6306288094690682,-1.0314725912677716,0.0900422850509908
halochromatium,Proteobacteria,Bacteria,161,61.0,69.0,0.3839579908448821,0.728240019010227,-0.5128606198787725,0.0046070964146386
methylococcus,Proteobacteria,Bacteria,245,42.0,62.0,1.6879093827696556,-0.5880861826706495,-0.6316425597822496,0.1632399845193608
brasilonema,Cyanobacteria,Bacteria,3051,101.0,55.0,-0.5502377763082954,-0.2713320576412625,1.9597614447562774,0.1300777292179301
castellaniella,Proteobacteria,Bacteria,2383,90.0,67.0,0.8081875875011574,0.7574631041574994,-0.41629847853795965,0.2121163426000321
corallococcus,Proteobacteria,Bacteria,54048,99.0,65.0,-1.1070666901869837,-1.1224984477896165,3.043947149945747,0.0617874368941936
desulfobacca,Proteobacteria,Bacteria,5861,71.0,64.0,-0.8519227563632813,0.2773341311789832,-0.7139648271793132,0.0480113795890218
propionivibrio,Proteobacteria,Bacteria,16679,71.0,62.0,0.4338905072389221,2.3062306891491224,-0.5083631364595359,0.2923398969208404
salinisphaera,Proteobacteria,Bacteria,113,69.0,66.0,-0.1607676284016692,2.503711872389824,-0.9478105627900281,0.0155712960372274
phenylobacterium,Proteobacteria,Bacteria,31221,83.0,58.0,0.8844947559162178,0.5804035160601008,-0.6151532352407512,0.1857445386901675
sebaldella,Fusobacteria,Bacteria,187,79.0,59.0,-0.7311750640387332,-0.991018414098498,0.0072573512404791275,0.0269662921348314
kocuria,Actinobacteria,Bacteria,1611,79.0,59.0,0.0053870639425268,2.3970827909523185,-0.7759410029146656,0.1827242524916943
maribacter,Bacteroidetes,Bacteria,6156,57.0,55.0,-0.235421034205161,-0.0310421556337809,-0.08083016064086228,0.0030768220399951
salinimicrobium,Bacteroidetes,Bacteria,1507,163.0,83.0,-0.6452297041270105,-0.9562539570531476,-0.6451452488943922,0.0929019180979232
