genus_lower,ko_per_mb_primary,mean_genome_mb,predictor_z,genome_mb_z,pH_sd,pH_n,temp_sd,temp_n,georoc_Cu_sd,georoc_Cu_n,georoc_Ni_sd,georoc_Ni_n,georoc_Zn_sd,georoc_Zn_n,georoc_Co_sd,georoc_Co_n,georoc_Cr_sd,georoc_Cr_n,georoc_Pb_sd,georoc_Pb_n,georoc_As_sd,georoc_As_n,georoc_Cd_sd,georoc_Cd_n,georoc_Hg_sd,georoc_Hg_n,total_n,PF1_As_sd,PF1_Cd_sd,PF1_Cr_sd,PF1_Cu_sd,PF1_Hg_sd,PF1_Pb_sd,PF1_As_n,PF1_Cd_n,PF1_Cr_n,PF1_Cu_n,PF1_Hg_n,PF1_Pb_n,Cu_ICP_MS_mg_kg_0_2_sd,Ni_ICP_MS_mg_kg_0_5_sd,Zn_ICP_MS_mg_kg_0_9_sd,Pb_ICP_MS_mg_kg_0_1_sd,As_ICP_MS_mg_kg_0_4_sd,Co_ICP_MS_mg_kg_0_1_sd,Cr_ICP_MS_mg_kg_0_5_sd,Hg_AR_mg_kg_0_01_sd,Cu_MMI_ME_mg_kg_0_01_sd,Ni_MMI_ME_mg_kg_0_005_sd,Zn_MMI_ME_mg_kg_0_02_sd,Pb_MMI_ME_mg_kg_0_01_sd,As_MMI_ME_mg_kg_0_01_sd,Co_MMI_ME_mg_kg_0_005_sd,Cr_MMI_ME_mg_kg_0_001_sd,Hg_MMI_ME_mg_kg_0_001_sd,Cu_ICP_MS_mg_kg_0_2_n,Ni_ICP_MS_mg_kg_0_5_n,Zn_ICP_MS_mg_kg_0_9_n,Pb_ICP_MS_mg_kg_0_1_n,As_ICP_MS_mg_kg_0_4_n,Co_ICP_MS_mg_kg_0_1_n,Cr_ICP_MS_mg_kg_0_5_n,Hg_AR_mg_kg_0_01_n
methylotenera,20.35909164532104,1.5717793582089552,3.0690135653376327,-1.3247884264964545,0.9863957011602078,586264,5.108335122494283,946405,155.16552382283456,161159,167.62153869908352,225865,107.36055046352725,326238,38.39777157246047,225720,251.90299598820465,322261,21.96599837512936,263669,5.712021326699343,118078,0.3021391973394317,4974,0.435611474899267,398,1015244,0.033850968804677,0.0590105726073057,0.0440698238536546,0.031888942229044,0.0526826169307318,0.0239887197558326,68737,68737,68737,68737,68737,68737,10.166505839546948,14.494804824834608,30.148337947647125,10.416809541508414,7.335821549888053,7.0635099467588365,48.559075387592245,0.0193296008212648,1.062132411786572,1.548216508365421,2.491763937426235,0.7850396419901916,0.1573248572881578,0.2740965450529884,0.1141764686680103,0.02899733368475,3690.0,3702.0,3510.0,3713.0,3635.0,3556.0,3713.0,2836.0
caldicellulosiruptor,7.632029558156658,2.8825884166666667,-0.2541854359478125,-0.5217069264642397,0.7329674782571616,419,6.931499602706139,538,32.00932227522481,265,57.328618489782905,430,63.81240724403099,261,18.86792411469408,69,242.14607890734757,422,6.615678455630363,235,0.5501511126726564,5,0.0311688697376316,3,,0,1058,0.0418439952132392,0.0726620512730654,0.0487315818615536,0.0405611300135231,0.0522187002256835,0.0191316432347619,185,185,185,185,185,185,0.3535533905932738,0.6363961030678921,0.0707106781186545,4.348706704297267,,0.7778174593052023,0.9192388155425136,,0.1060660171779821,0.179605122421383,0.0212132034355964,0.5020458146424487,,0.0834386001800126,0.0579827560572968,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
paeniglutamicibacter,7.684869960214653,4.424277857142857,-0.2403881298496715,0.4228259637022252,0.9295628991366224,255012,5.9148692167321295,289935,136.82030775480445,27581,197.7864898431916,47717,77.61234391818978,75063,38.95570516999259,55024,295.7490486118202,75731,14.994519994818967,122741,2.0482950029489646,30137,0.191900083100804,2138,3.160202694444097,40,309754,0.0341983295540317,0.060822955995631,0.0413121830545554,0.0311337087508335,0.0530287808489072,0.0249155875557655,19887,19887,19887,19887,19887,19887,10.697943132863603,11.326269851403111,26.28470389877756,13.759503134313334,16.042646932682608,7.035967088999746,37.19110405823311,0.1714993026347437,1.7550196083717453,0.8385578300085351,2.0482084199708037,0.8212666696881175,0.2189605141595312,0.2830955780247239,0.1648963808896255,0.0386989154965105,457.0,460.0,457.0,462.0,428.0,461.0,462.0,319.0
leptolinea,7.064955412006652,3.53859275,-0.4022557622520324,-0.1197986999061896,0.6848259400541866,25538,4.410121295856168,59921,215.81790340863952,9997,152.9538697003307,18017,69.75019901036795,17705,59.45578809111957,9794,290.1000747873716,15497,13.565943651514791,25464,54.37740981480803,140,0.314525264018522,172,0.144797395398832,7,64686,0.031460316149298,0.0587105173406043,0.0428712171102666,0.0301964178418079,0.0535724348915844,0.0204451594328339,5069,5069,5069,5069,5069,5069,9.720564805320144,11.26887695167774,25.145550888025607,10.04676725062346,3.602685367832823,6.939819121015493,38.60087272208553,0.0151861438161078,1.3600808545518883,1.3138006459946583,2.19821099144655,1.1360386606026391,0.0174894926439041,0.376648785102109,0.0986188338192485,0.0003535533905932,104.0,104.0,104.0,104.0,104.0,104.0,104.0,68.0
floricoccus,8.553407356738148,2.1044245,-0.0136018857865675,-0.9984575572562614,0.5730638137016215,1178,6.9947697755104,1319,57.66505946111515,181,217.0354842191846,419,41.5221656761795,239,31.42311885840897,439,374.1864906494003,431,17.271496886228075,460,1.2135695594709643,15,0.0968288645488576,19,,1,1861,0.0521714986165164,0.0548418871623834,0.0550299000551469,0.0495430457874584,0.0552934151305304,0.0189081412974187,338,338,338,338,338,338,15.009031469119703,15.012761902562096,50.31032275287623,14.412508812015009,3.5707725587982595,9.554070148908076,33.93443065745445,0.6459396993822993,1.1360627014115292,1.3885859016523991,2.1490409972769733,0.8516298401391209,0.0084327404271156,0.5830032570413288,0.0621524410295036,0.0,27.0,27.0,27.0,27.0,24.0,27.0,27.0,22.0
silanimonas,6.2837637755156805,1.9096835,-0.6062349090825911,-1.117767759904528,0.567240823158633,101169,4.579259921799744,341139,167.1154777200243,87706,135.37067901678014,102144,47.8382460351847,108718,26.29666744544709,36666,259.0758621523059,100682,26.45962570667304,120761,15.217025480975444,2959,0.1725772918255607,1099,0.0117321604955616,48,348744,0.0345197007653138,0.0564809108204362,0.0407539106143285,0.0317312985257826,0.053797289538835,0.022185891175274,12715,12715,12715,12715,12715,12715,8.329739989144365,12.814750475300404,24.74769170206461,6.329430193488313,2.625632665373391,6.401819663833209,49.63801647351914,0.015977427884044,1.6183289127868368,1.468086893673508,1.3803024472264882,0.5444307944921665,0.0144392696010502,0.2662615329715542,0.1209498328876378,0.0004472135954999,312.0,315.0,311.0,316.0,311.0,314.0,316.0,259.0
propioniciclava,6.712999791225707,2.979294,-0.4941558849563627,-0.4624591936051147,0.5110261228716368,30508,5.174078825941897,30769,37.64233238684097,14281,122.63782765664826,20232,23.7051773235572,14119,19.4889465133991,14010,906.5914906687505,10912,8.920322467502379,19629,1.2697534854671917,344,0.0936905260983919,62,,1,33488,0.0326949734236619,0.0597229802291955,0.0437359413164737,0.0319326728917719,0.0556368561731359,0.0186847904419846,2280,2280,2280,2280,2280,2280,7.568139357420247,9.74247230771875,33.648501700174805,13.883380508123134,5.079885169305832,7.967973393529875,32.865077716830875,0.0227680116158872,1.298551500711466,1.2053234697236532,1.7094904698964153,0.2889232258486372,0.0186839746598765,0.248025213772041,0.061386752099564,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,17.0
ethanoligenens,6.621483429472858,3.0204712,-0.518051979742061,-0.4372315318570069,0.8361005642964153,11698,7.276281877012653,15625,149.2058643747529,2226,163.71435677241362,9278,66.51528804730593,2736,32.252445095412114,6229,290.16780575134675,9174,16.63669739427304,6187,31.856291754211018,854,0.1359093413205243,146,0.111499519537722,7,18319,0.0353936338156131,0.0605640430523287,0.0424042390834549,0.0327393608852563,0.053404957513382,0.0231320257498537,2852,2852,2852,2852,2852,2852,11.888108095654236,13.585889381522868,41.47760846561486,18.88461925242473,18.82135571040823,8.463608162873435,31.213637083106,0.2796419685873229,1.6149589624294256,1.107584075949999,1.968377624442572,0.9989776273567668,0.0169534378941037,0.295613153333611,0.0798815668603327,0.0005163977794943,150.0,151.0,150.0,151.0,148.0,151.0,151.0,118.0
peribacillus,8.793202906324318,5.572485989690722,0.0490118050589527,1.126288228847592,0.7443340638768104,210505,7.072174325727261,219952,163.42407457643102,26402,232.4338465906113,56487,118.91152909630368,28622,32.697174201606444,42132,421.7801679669086,56517,18.066543077792367,68176,9.887095375842618,3994,0.4892122941925411,1786,1.8579751899412769,231,242003,0.0365686850106506,0.060568450579891,0.0440566988750561,0.0334044545936527,0.0519878174011373,0.0248443816249552,25063,25063,25063,25063,25063,25063,11.897066603531986,13.12185452823616,34.824966807545806,19.005382118576343,20.639625292283934,7.144676484700234,53.03743862117058,0.186767427347048,1.867669987464984,0.9941529675540376,2.3717198923885814,0.9730947490796654,0.1112393256747446,0.3142316425975346,0.0985006182994325,0.025215094885822,2297.0,2304.0,2296.0,2329.0,2220.0,2311.0,2329.0,1604.0
rhodoblastus,9.511457426127755,4.731136142857142,0.2365572642177329,0.610826047161133,0.7237379555281769,194256,6.65374718422848,221804,158.85883358216327,31641,191.7075604118866,86272,217.82670019539225,45989,51.33177688408408,39838,370.981432716828,78316,16.241345595097293,84760,21.82888934133414,3798,0.1816096379393244,1383,0.1593480340556984,102,245814,0.0318306507537572,0.0635650412169047,0.042950832290841,0.0300471061252611,0.0539395138437414,0.0229226829713,25555,25555,25555,25555,25555,25555,10.42921372702531,12.09536802934332,29.96050327446578,15.65015449204627,16.120479820892204,6.863594462454415,46.32409077080946,0.1054810655943024,1.6735942762525218,0.9757180476335487,2.0096690758877576,0.9501599214941344,0.1237728951816746,0.2979928411857176,0.1118452678041594,0.0207652341545899,1244.0,1244.0,1233.0,1250.0,1218.0,1238.0,1250.0,863.0
halobacillus,9.735539929041364,3.9032247083333336,0.2950680772229641,0.1035970556911651,0.745430910997367,58462,8.19060456765421,76046,227.76978402514845,12765,199.26038953858247,41330,48.81884276517229,18525,39.95588670182927,38449,400.99313462845896,41834,14.964086780082852,40916,24.636855719083147,1798,0.4570739392994896,392,1.0896910331002303,21,81281,0.0441175336854137,0.0552264529241562,0.0504488520530737,0.0424880350322017,0.0512643025019825,0.0253291536273261,7957,7957,7957,7957,7957,7957,10.418005461938806,12.499079153651053,31.12477813624557,14.096161642231207,16.431043461028292,7.288823472533995,40.266636767483874,0.2526808776166299,0.7765003657475477,1.1616249743877054,3.0179977640689617,1.1016974689492027,0.3144649655123462,0.2997748359606752,0.0909648166793932,0.0527046276694729,424.0,425.0,424.0,426.0,410.0,425.0,426.0,289.0
cellulophaga,5.252438473107001,4.3789185,-0.8755271614101308,0.395036057659279,0.41888614092701,23517,3.0771112361765085,113525,20.396958560582704,45334,95.63464916877442,55099,27.37363298989145,81241,69.49434834163597,20150,207.89299051340123,49713,12.967105239887236,64317,13.392565929994523,491,0.1578913163141894,115,1.510784719798529,28,116521,0.03848180016111,0.0570582858561611,0.0501475234164714,0.0354740399047025,0.04990900410471,0.0233880583098031,2695,2695,2695,2695,2695,2695,9.016331309787804,10.825304987351508,29.01562174364423,10.264054191910208,3.329629739198881,5.544761003610658,29.866984871201424,0.0175413303578014,0.6985309803386669,1.253751328085492,2.6659931501166603,0.5166454753841851,0.0481214885023069,0.2861001129066122,0.0700759177770609,0.0,188.0,188.0,183.0,190.0,189.0,183.0,190.0,130.0
gulosibacter,16.13527025623736,2.293113125,1.9661196746912355,-0.8828554083190943,0.950490995824321,163001,5.388704242340896,202130,93.47222130300186,51961,138.98184698393283,72242,46.12718526822227,84392,38.94812128484956,46169,251.3529039567813,92007,12.642374220334062,84580,3.4030354444604063,25972,0.2080943331159661,546,0.153640304261088,48,212224,0.032992995248972,0.0598921299022281,0.0423861417898026,0.0307221564081284,0.0553213051711684,0.0237516818053968,11580,11580,11580,11580,11580,11580,10.45498234717511,12.94657774641742,28.731695384868605,14.741072920021352,17.039600150552406,7.142978195796364,40.37286156771934,0.0183809108355784,1.4604551059495972,1.1260880691968471,2.3563986243085697,0.7423961327557926,0.1614980096176611,0.2971639281307897,0.0990294059085222,0.0241068394005177,392.0,393.0,390.0,395.0,374.0,395.0,395.0,249.0
oceanococcus,5.975429035804771,3.681744,-0.6867450607618464,-0.0320955215983204,0.9875089108677424,199,6.049883554240827,2661,174.46345364043117,661,252.23936311042476,1437,54.46347850434102,1369,31.55918957183596,229,368.1093234735517,1428,14.43099858390023,1164,0.7037541049445684,16,0.8036645769592794,9,,1,3123,0.027633799198144,0.0546004658145997,0.0318072445976346,0.0264264019139254,0.0532269199546081,0.0221880445456222,364,364,364,364,364,364,10.724237390513572,13.275916445264553,32.789407171708135,9.03659516575127,3.3523077679486484,6.504344571698197,36.183116567148495,0.0221589251560597,0.4235510290366998,1.4200503540682146,2.576034153413672,0.5176035268346196,0.0385801708731285,0.1776125003316536,0.099222778008541,0.0,240.0,240.0,209.0,240.0,239.0,211.0,240.0,168.0
turneriella,4.690170427216517,4.0510255,-1.0223425533490484,0.1941488265320473,0.8479255898562206,346091,5.172774610757821,442337,135.06105685175115,106279,150.10646443856783,154964,89.57151469240308,143306,35.351633558613514,102246,294.9412713277247,168615,15.192161529404345,185639,6.99112762501093,23895,0.1847386736302304,1438,0.5826811121497857,81,479232,0.0317148691586418,0.0599498108205293,0.0388669885729325,0.0291376576615437,0.0535108322905757,0.0237843838453196,39244,39244,39244,39244,39244,39244,9.927714107528942,14.0139334540866,25.972404663764785,12.791410142590378,12.38112858536654,6.782060212791147,42.99535630100427,0.0194315293494173,1.2700103884343417,1.254347775215029,2.0021941940690398,0.8987108472297497,0.1485267390283831,0.3271883857988117,0.0911448582414266,0.0290125691152415,1126.0,1123.0,1112.0,1130.0,1107.0,1120.0,1130.0,890.0
runella,2.982900405058936,7.040127777777778,-1.4681326338642244,2.025455015254828,0.6213715499033154,45710,4.351879972875199,56061,127.87437897109682,14825,166.09920131065817,26020,59.532485424477954,16009,26.23845797000224,11239,387.6737773034956,18568,57.58138863758652,20958,18.718746827062407,1257,0.2379934468838865,258,0.0080474781616295,21,64234,0.0301859852847346,0.0582888664647305,0.0369180091388356,0.0277993946904513,0.0550316114013545,0.0202515622275621,8049,8049,8049,8049,8049,8049,8.01244291944106,10.114279372072936,18.56295337045372,6.586023315089186,3.7844390872599303,4.627881211368209,40.99991986870796,0.0162219715257028,1.0324983533953715,1.205379859390818,1.5692250424488334,0.6121484961227666,0.0086773439543858,0.2681138154818893,0.1090785823993301,0.0003892494720807,422.0,423.0,422.0,423.0,423.0,422.0,423.0,393.0
rhodonellum,3.280711999416419,5.181802,-1.3903702102850903,0.8869314114263329,0.7864996697692845,3122,4.85793125426961,5152,296.9614301715136,519,117.3527983117184,852,348.99357287044626,4279,18.17578951394862,2644,106.0242686673468,2833,21.956002025855348,2181,0.7944128600525858,2318,0.1895497577419921,119,0.0,9,5481,0.0598974665868439,0.0591014055234901,0.0706082912325188,0.0530299022551317,0.0506339858842832,0.0268451268502968,656,656,656,656,656,656,4.313351365237939,4.666904755831214,45.04270196158307,5.918483758531402,,3.959797974644666,27.15290039756342,0.0212132034355964,0.3040559159102154,0.8782266222336921,1.619274528917194,,,0.0502045814642448,0.0042426406871192,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
fischerella,7.727468934273149,5.56456458974359,-0.2292649918404881,1.1214350965695905,0.770854358637575,25099,6.433896830455423,34028,88.76663759146308,5305,147.9349491299249,14613,187.53096892977743,8395,25.847987425687663,7399,284.6755046385413,13447,20.93625092698784,12267,4.184641534047588,430,0.2587211183564492,284,,1,36736,0.0379770920259147,0.0537741075280695,0.0478800270839661,0.0353289653243309,0.0528249313168613,0.0216533665371008,2775,2775,2775,2775,2775,2775,7.006860615069517,11.525334948669055,23.47167349785957,7.209043923442516,2.2720616718096207,6.170403022233648,35.61227294863249,0.0217455332667254,2.607529203936691,1.125731803958849,1.222706267706438,0.4285846592291683,0.0148026229790136,0.2538960277381955,0.1442755273002936,,81.0,81.0,81.0,81.0,80.0,81.0,81.0,43.0
extensimonas,8.474029245025719,3.1862056666666665,-0.0343285279416891,-0.3356924989681834,0.4810910647424103,10917,4.143534288999067,32303,42.70183046057883,2932,154.198740631609,6715,52.15644704207518,3688,21.098128717414788,4783,323.99407022076906,5966,11.880549919204595,6585,10.45301962208985,62,0.1030671132340112,57,0.0775671751881339,6,34244,0.0323528812800044,0.055128938721202,0.0363454866165487,0.0287492252526029,0.051026729408266,0.0208913476428708,1465,1465,1465,1465,1465,1465,6.303055307204098,5.971596110453467,16.578170193068793,4.9770560766095775,2.313212704051314,3.1685224592020944,19.132446981039028,0.0219404789233192,0.9474955556698852,0.6196674464885086,0.9523509311694356,0.2696757825343106,0.0081121175788386,0.1484379422352501,0.061706749719888,0.0002236067977499,48.0,48.0,48.0,48.0,48.0,48.0,48.0,26.0
wenyingzhuangia,6.779587893505001,3.245035,-0.4767688781611955,-0.2996500647521606,0.8304031045827831,3179,3.2263456811488505,49124,16.80068589502722,36910,40.506948708504886,38773,41.97671411372668,38820,24.01405494698313,2409,79.86186220140483,38949,13.686841209794167,6441,42.76079984056959,93,0.2493680796552864,134,1.2834362632524563,15,52650,0.0398739181200838,0.0522113468408787,0.0474262434983498,0.0358011542405683,0.0552169884328457,0.0257104096477751,3272,3272,3272,3272,3272,3272,10.198164485375043,12.61681411542422,31.638182122605677,11.24842496829872,3.3778044226295165,5.959967497659603,37.0968971464923,0.0191414544963539,0.903484637033958,1.387702947247652,2.8587028909636305,0.6890407379118729,0.0335542879345317,0.2680578695188368,0.0897506876384848,0.0004216370213557,322.0,323.0,299.0,323.0,323.0,298.0,323.0,226.0
