genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,median_soil_moisture,env_gradient_breadth,ko_per_mb_primary,mean_genome_mb,ko_per_mb_z,genome_mb_z,mean_levins_B_std
robiginitalea,Bacteroidetes,Bacteria,5411,69.0,65.0,258.31201171875,0.3600411831189065,7.001507268925949,2.570875,-0.4672525085025146,-0.761944089176388,0.0623584865856656
tabrizicola,Proteobacteria,Bacteria,8434,63.0,60.0,353.89898681640625,0.678799939870383,12.58978668757307,3.415466923076923,0.9610375122018118,-0.2502017863727187,0.1131720422667886
thermoanaerobaculum,Acidobacteria,Bacteria,3980,64.0,64.0,371.6130065917969,0.5229702344226129,5.590995143222326,2.5040265,-0.8277606796763631,-0.8024479164026109,0.1904313687283694
wenxinia,Proteobacteria,Bacteria,1292,79.0,67.0,192.9320068359375,0.5113262544678291,8.1396015074542,4.177108666666666,-0.17637073224650232,0.21128060426638604,0.4716134067901192
acidothermus,Actinobacteria,Bacteria,19117,79.0,63.0,248.1009979248047,0.2750422617557596,7.732568658102545,2.19849325,-0.2804029241386823,-0.9875719800669625,0.6100101558853356
alcanivorax,Proteobacteria,Bacteria,8742,82.0,69.0,181.5829925537109,0.6005783228721729,13.067264850807476,3.5202470084745765,1.0830745909807096,-0.18671502936701995,0.1729655386880221
blastococcus,Actinobacteria,Bacteria,21048,98.0,66.0,248.1009979248047,0.3879011225996865,6.727636567177951,4.459218285714285,-0.5372502235352848,0.38221217743198177,0.3829855511309066
bordetella,Proteobacteria,Bacteria,2499,101.0,65.0,277.4840087890625,0.2949254997000242,13.68364881650087,4.16555560321489,1.2406141485383317,0.20428054763109363,0.2960708447689271
crossiella,Actinobacteria,Bacteria,2292,126.0,70.0,192.9320068359375,1.1173802029436526,3.209025544796016,9.9718745,-1.4365604822955784,3.7223570551927847,0.2423005817501391
dietzia,Actinobacteria,Bacteria,9702,79.0,59.0,309.7279968261719,0.3844187938425343,13.81347180615256,3.5472617375,1.2737951809610804,-0.17034667529760952,0.1762396739684411
dolosigranulum,Firmicutes,Bacteria,803,79.0,59.0,277.4840087890625,0.383703604330731,12.979965197614858,1.926045225806452,1.0607619587508503,-1.1526495465054207,0.2079001024317492
edwardsiella,Proteobacteria,Bacteria,1471,79.0,59.0,277.4840087890625,0.383703604330731,10.925096637351873,3.8443595873015872,0.535564838383305,0.009666338870933298,0.2755942073603751
filifactor,Firmicutes,Bacteria,94,99.0,61.0,233.7469940185547,0.51116624068529,7.523192929058441,1.860912,-0.33391658048405237,-1.1921140808592372,0.1144553872612212
haemophilus,Proteobacteria,Bacteria,1434,79.0,59.0,277.4840087890625,0.383703604330731,20.38391117284727,1.8642153450226244,2.953112243701086,-1.1901125682439206,0.1146422288794734
ketogulonicigenium,Proteobacteria,Bacteria,1018,57.0,60.0,416.53900146484375,0.9404995468453271,9.744122486762924,3.181405,0.2337235259450809,-0.392021029774518,0.3290580311734318
neisseria,Proteobacteria,Bacteria,1896,79.0,59.0,277.4840087890625,0.383703604330731,20.88448119019456,2.154709977719144,3.0810512937878136,-1.0141004750348745,0.1195360804717098
oceanisphaera,Proteobacteria,Bacteria,930,122.0,55.0,356.5710144042969,1.1204624390741047,11.376209318236324,2.98869325,0.6508632499427652,-0.5087860047023485,0.1032413750220169
rivicola,Proteobacteria,Bacteria,1958,69.0,61.0,280.3710021972656,0.41302254895536294,6.785838660442876,3.684143,-0.5223745412784159,-0.08740966090226358,0.1074171158162477
roseburia,Firmicutes,Bacteria,4627,57.0,57.0,335.697998046875,0.8520534706634336,7.717489464104833,3.368971233576642,-0.2842569659096304,-0.2783737479617368,0.1178798646869575
saccharospirillum,Proteobacteria,Bacteria,746,61.0,69.0,347.3320007324219,0.7151635189689701,5.67151630824259,3.7027135,-0.8071805390215904,-0.0761577057573527,0.1803257873413186
telmatospirillum,Proteobacteria,Bacteria,7378,83.0,56.0,457.7330017089844,0.9035542965561972,3.8997295050122087,6.154273,-1.2600257209259373,1.4092539702384523,0.2962304340507981
vannielia,Proteobacteria,Bacteria,2543,61.0,69.0,347.3320007324219,0.7151635189689701,7.750309151220587,4.257894666666667,-0.27586868964813,0.2602292296850219,0.0842091653401154
aeromonas,Proteobacteria,Bacteria,5331,79.0,59.0,277.4840087890625,0.383703604330731,11.896951288536997,4.707088281848929,0.7839579833701108,0.5323977986202234,0.1644945576698541
caminicella,Firmicutes,Bacteria,226,98.0,61.0,314.4989929199219,0.3858250014400482,7.269192536073873,2.4762035,-0.39883570842605914,-0.8193060057376776,0.1724265228058833
geminicoccus,Proteobacteria,Bacteria,1952,80.0,59.0,286.6839904785156,0.3436706475215657,6.39355586400516,5.6306695,-0.6226368154904702,1.0920000946983033,0.3733987866426746
halorhodospira,Proteobacteria,Bacteria,646,57.0,65.0,353.89898681640625,0.5943446546330099,11.902938676853466,2.7724246,0.7854882803259072,-0.6398242184849836,0.1770635903633798
lacimicrobium,Proteobacteria,Bacteria,29,148.0,81.0,109.13999938964844,2.1876699655733676,5.561458167986162,4.315415,-0.8353099383678366,0.2950810759243251,0.1961494407048046
lewinella,Bacteroidetes,Bacteria,5366,57.0,70.0,335.7959899902344,0.7839995641532836,3.0982454544866376,5.4869765,-1.4648744024896254,1.0049358158346393,0.071698489429352
macrococcus,Firmicutes,Bacteria,1514,122.0,55.0,356.5710144042969,1.1204624390741047,15.278334286997104,2.029017,1.6481945812689773,-1.0902584539436861,0.0883508987411244
metabacillus,Firmicutes,Bacteria,3812,92.0,66.0,182.1959991455078,0.49769498522423167,7.204557333788092,5.413240285714285,-0.4153556079326833,0.9602586894407135,0.3360929857246137
methylovorus,Proteobacteria,Bacteria,11565,87.0,68.0,248.1009979248047,0.3367936777776654,6.778136127793172,2.9506636666666664,-0.5243432063528592,-0.531828311901741,0.3972052465762758
nannocystis,Proteobacteria,Bacteria,26587,80.0,63.0,283.8729858398437,0.15821654166673663,2.530713431720171,10.27378275,-1.6099280520696106,3.9052847139461053,0.4388854312861249
nitratiruptor,Proteobacteria,Bacteria,92,83.0,61.0,356.0469970703125,0.3677106817148054,9.331632211342807,1.928923,0.1282964884110912,-1.1509058892994766,0.1181472426550937
ochrobactrum,Proteobacteria,Bacteria,2838,80.0,64.0,248.1009979248047,0.2132026676793023,9.940775428605296,4.828597159722222,0.2839854068092281,0.6060206113360227,0.4490823481707068
paracnuella,Bacteroidetes,Bacteria,471,92.0,80.0,62.44300079345703,1.5213022004848982,3.067017397145016,4.890745,-1.4728558793138138,0.6436762862590801,0.2964073253894973
propionibacterium,Actinobacteria,Bacteria,622,57.0,56.0,309.7279968261719,0.8253949627275815,10.91302829267148,2.6573742156862745,0.5324803297211386,-0.709533798932618,0.3005470105489847
proteiniphilum,Bacteroidetes,Bacteria,5700,107.0,63.0,280.3710021972656,0.3871955123259416,8.96794704031176,3.0107225074626864,0.03534338754636291,-0.4954383717982348,0.2255195592590325
pseudoalteromonas,Proteobacteria,Bacteria,8323,65.0,55.0,457.7330017089844,1.1939610260614166,9.889508315843427,4.651394036072144,0.27088221348933733,0.49865238760220976,0.0536242390424967
pseudofulvimonas,Proteobacteria,Bacteria,2732,107.0,70.0,152.25900268554688,0.9794672859484628,6.265603488688023,3.511234,-0.6553397437264968,-0.19217605449163352,0.3301198532741041
singulisphaera,Planctomycetes,Bacteria,50898,76.0,63.0,295.1090087890625,0.1889276055505327,2.976849299621781,9.7418435,-1.4959016478286435,3.58298016744399,0.449287259699033
sporolactobacillus,Firmicutes,Bacteria,99,122.0,65.0,245.48699951171875,0.669744091346447,11.416677545985165,3.1532816666666665,0.661206391636144,-0.4090610925187652,0.3420426404047709
sulfuricurvum,Proteobacteria,Bacteria,8285,71.0,66.0,353.89898681640625,0.4545073645076183,13.397101053402892,2.015361375,1.1673763449449188,-1.0985324627197408,0.1784902421134058
thalassobaculum,Proteobacteria,Bacteria,5916,57.0,55.0,457.7330017089844,1.3015220309690694,6.317049256521588,5.223958,-0.6421908885423834,0.845571643395462,0.2259388017794622
