genus_lower,Cu_mean,Cu_sd,Cu_n,Zn_mean,Zn_sd,Zn_n,Pb_mean,Pb_sd,Pb_n,Ni_mean,Ni_sd,Ni_n,Co_mean,Co_sd,Co_n,As_mean,As_sd,As_n,Cr_mean,Cr_sd,Cr_n,Hg_mean,Hg_sd,Hg_n,pH_mean,pH_sd,pH_n,ko_per_mb_primary,mean_genome_mb,mean_levins_B_std,phylum,kingdom,Cu_sd_01,Zn_sd_01,Pb_sd_01,Ni_sd_01,Co_sd_01,composite_metal_sd,ko_z,genome_z
nakamurella,27.6,11.214704632757831,51,69.08823529411764,22.41222565528755,51,12.306470588235294,3.264489438506066,51,45.725490196078425,35.25942054621576,51,20.660784313725497,8.651082670541822,51,4.46078431372549,2.983627217423286,51,157.36078431372547,253.57281800574083,51,0.0509302325581395,0.0178370872980417,43,,,0,4.680840772619578,4.4863735,0.4316802172124949,Actinobacteria,Bacteria,0.23350796433918863,0.35292511093187634,0.027460474216098093,0.560391947190048,0.6244501855493724,0.3597471364453167,-0.8787717653030999,-0.1147967496091466
nannocystis,19.72008733624454,16.375134604810807,229,46.63389121338911,30.61057209315874,239,18.22312757201646,25.376177041710854,243,25.109663865546214,26.29287238555653,238,11.213580246913578,8.293441894122033,243,10.413991769547328,32.557018795382774,243,87.9037037037037,173.80848402324125,243,0.0333838383838383,0.0217779318613244,198,,,0,2.530713431720171,10.27378275,0.4388854312861249,Proteobacteria,Bacteria,0.39517287309786137,0.5800751720975965,0.3101485809658469,0.4003364277233032,0.589287423270074,0.4550040954309364,-1.4120779076247412,2.8410540221039677
nevskia,15.311671924290218,14.393171158340731,317,39.80857142857143,28.49475909221527,315,19.762902208201893,24.46331597023171,317,16.677917981072554,10.341523378016497,317,8.799369085173502,5.558139166401997,317,9.499047619047618,31.25605519497347,315,49.73911671924291,35.15751332960202,317,0.0288086642599278,0.0201719832977785,277,,,0,6.68246153959976,4.19007275,0.3892325766727226,Proteobacteria,Bacteria,0.33308232221898976,0.5214527344851245,0.29847805754616075,0.11560016067252102,0.32035612147734543,0.3177938792800283,-0.382300403201097,-0.2661288505050139
niastella,16.35471698113208,13.77369630296104,477,40.78659793814433,28.705551443057068,485,17.15202868852459,20.200241896390416,488,20.964049586776856,22.023886640162697,484,9.824180327868854,7.409303030695936,488,8.158178053830229,25.66123524275476,483,71.05245901639344,136.89695398498804,488,0.0295203836930455,0.0198736439268028,417,,,0,2.051352825876699,8.77469725,0.4595472315453532,Bacteroidetes,Bacteria,0.31367553896340605,0.5272931189760505,0.24397654863856075,0.32413377773665497,0.50236007402383,0.38228781166770043,-1.5309759610658034,2.075413846918682
nitratireductor,19.622580645161293,15.923352027288292,31,43.900000000000006,25.768460788890195,29,15.757741935483873,6.146783283245213,31,28.6,34.64168009782435,31,11.30645161290323,9.6127323720113,31,4.522580645161292,3.8147703886708006,31,121.85806451612902,269.9771617182876,31,0.0241379310344827,0.0145202423679374,29,,,0,10.172807763276722,4.620160047619048,0.2721164641637604,Proteobacteria,Bacteria,0.3810195196816772,0.4459156940527257,0.06430932106520386,0.5493650986646911,0.7189982966099503,0.43192158601484965,0.4834264979495244,-0.04646685397845567
nitrobacter,15.015887850467289,13.383227489562566,321,37.5463190184049,28.065407702109127,326,18.839051987767583,20.490182416925528,327,16.72676923076923,14.384213859543213,325,8.412538226299693,5.293130921173936,327,8.196594427244582,25.483223457935026,323,55.56085626911315,91.0011120231429,327,0.0267857142857142,0.0189422006019805,280,,,0,7.702945725974081,3.7647935,0.4249141397527427,Proteobacteria,Bacteria,0.3014430107762135,0.5095567753105179,0.24768330943814024,0.18776337370281287,0.29430086563573915,0.3081494669726847,-0.129184936789757,-0.48333519362064425
nitrosomonas,19.82413793103448,13.510688560697048,58,51.46551724137931,28.10217917331628,58,16.970000000000002,23.064328195022707,58,23.09827586206897,13.102276370845017,58,12.517241379310349,6.374762133327276,58,7.793103448275862,29.66355707378689,58,61.14137931034483,25.476725081358936,58,0.0452941176470588,0.0186925590732216,51,,,0,18.368120012279498,2.885434108910891,0.2389025110981861,Proteobacteria,Bacteria,0.3054360854903039,0.5105755956296099,0.2805926200962143,0.16488041283524987,0.40064539817912836,0.3324260224461012,2.5161481314545986,-0.9324575940736479
nitrosospira,20.7375,7.778592417655009,16,43.94210526315789,29.55646791011465,19,11.407368421052633,4.654525685472705,19,23.15,17.37795256335215,18,12.036842105263156,8.214905864498576,19,4.531578947368422,2.0666808148921483,19,60.43157894736842,36.6017615336806,19,0.0471428571428571,0.0172887564301513,14,,,0,10.715111042548724,3.266415052631579,0.2600816195809464,Proteobacteria,Bacteria,0.12586213429255702,0.5508693033937021,0.04523147035261972,0.2412024892688425,0.5815658659922537,0.308946252659995,0.6179365171170159,-0.7378760865528542
nocardia,15.91906300484653,14.707469815582924,619,38.394568690095845,29.20463200339416,626,17.59611374407583,21.767013105997385,633,19.546496815286623,21.194910853347075,628,9.104265402843602,7.135552199744086,633,8.334664536741213,27.42292231778525,626,68.14233807266983,135.48840686392606,633,0.0288593155893536,0.0200340467040539,526,,,0,6.488347152576545,7.397877898832684,0.4622578458033106,Actinobacteria,Bacteria,0.34292860712571394,0.5411210513117117,0.26400702278878413,0.3093363163494211,0.47544525885962796,0.38656765128705184,-0.43044750265111237,1.3722196600452623
nocardioides,16.93449920508744,15.491338311672855,629,40.48207547169812,30.567340289572904,636,18.07755832037325,24.32935570485454,643,20.384796238244515,21.449747870554987,638,9.524727838258164,7.38145322792407,643,9.391522762951336,31.11871906828962,637,69.56127527216174,134.5070270301501,643,0.029628252788104,0.0209337720670801,538,,,0,10.693574968769331,4.488676625,0.3916372147727358,Actinobacteria,Bacteria,0.3674854811818427,0.5788773565498826,0.2967654350417763,0.3138852319898373,0.499621918704418,0.4113270846935514,0.6125948239951389,-0.11362045577635743
