genus_lower,ko_per_mb_primary,mean_genome_mb,predictor_z,genome_mb_z,pH_sd,pH_n,temp_sd,temp_n,georoc_Cu_sd,georoc_Cu_n,georoc_Ni_sd,georoc_Ni_n,georoc_Zn_sd,georoc_Zn_n,georoc_Co_sd,georoc_Co_n,georoc_Cr_sd,georoc_Cr_n,georoc_Pb_sd,georoc_Pb_n,georoc_As_sd,georoc_As_n,georoc_Cd_sd,georoc_Cd_n,georoc_Hg_sd,georoc_Hg_n,total_n,PF1_As_sd,PF1_Cd_sd,PF1_Cr_sd,PF1_Cu_sd,PF1_Hg_sd,PF1_Pb_sd,PF1_As_n,PF1_Cd_n,PF1_Cr_n,PF1_Cu_n,PF1_Hg_n,PF1_Pb_n,Cu_ICP_MS_mg_kg_0_2_sd,Ni_ICP_MS_mg_kg_0_5_sd,Zn_ICP_MS_mg_kg_0_9_sd,Pb_ICP_MS_mg_kg_0_1_sd,As_ICP_MS_mg_kg_0_4_sd,Co_ICP_MS_mg_kg_0_1_sd,Cr_ICP_MS_mg_kg_0_5_sd,Hg_AR_mg_kg_0_01_sd,Cu_MMI_ME_mg_kg_0_01_sd,Ni_MMI_ME_mg_kg_0_005_sd,Zn_MMI_ME_mg_kg_0_02_sd,Pb_MMI_ME_mg_kg_0_01_sd,As_MMI_ME_mg_kg_0_01_sd,Co_MMI_ME_mg_kg_0_005_sd,Cr_MMI_ME_mg_kg_0_001_sd,Hg_MMI_ME_mg_kg_0_001_sd,Cu_ICP_MS_mg_kg_0_2_n,Ni_ICP_MS_mg_kg_0_5_n,Zn_ICP_MS_mg_kg_0_9_n,Pb_ICP_MS_mg_kg_0_1_n,As_ICP_MS_mg_kg_0_4_n,Co_ICP_MS_mg_kg_0_1_n,Cr_ICP_MS_mg_kg_0_5_n,Hg_AR_mg_kg_0_01_n,ko_per_mb_tier1_z,ko_per_mb_tier2_z
nostoc,5.635804330002904,8.69441114893617,-0.7754254235512206,3.03896980798243,0.8343924037379578,217835,6.731570523333607,256560,202.23096584757545,39486,171.07050118114765,109849,114.29274230808754,58356,38.761657895198574,63657,317.07846204412465,108400,17.16605212978149,99254,5.126307000848244,8133,0.2264365504142133,1611,0.1399579660079562,105,283282,0.0347635471118457,0.0582409393802426,0.0441499730627602,0.0306828464434855,0.0515887912062635,0.0236099396689549,24448,24448,24448,24448,24448,24448,12.483643657767992,15.023891970620303,33.5901359809132,19.58065793887804,22.61818970605628,7.326929339836252,44.37729605410095,0.2163325442129594,1.80153186818322,1.23601160887839,2.155689034795919,1.113166952531509,0.1092631092656477,0.3137537106001764,0.101701226219398,0.022339250329032,822.0,827.0,825.0,841.0,811.0,838.0,841.0,595.0,-1.0032108057398033,-0.8349765984586838
sediminibacterium,12.737431821628483,2.590789137254902,1.0789005179771718,-0.7004809450799184,1.037618836463398,532668,5.605635068249704,875982,169.8843023928112,180616,193.26114533418328,276127,74.25629983711872,302989,34.359561135904265,209548,289.41597809630616,361590,20.272166029497377,308353,6.099306129420682,100848,0.2823135791839191,5534,1.7977599825773072,400,938158,0.032688030600968,0.059335330835735,0.0447416402766935,0.0311146185147354,0.0529416252433053,0.0231714518721298,67510,67510,67510,67510,67510,67510,10.400887844953644,14.899593547828212,31.06185458508447,14.363497908876898,14.215025835341278,7.100490341193488,60.059281178479424,0.1094605175093558,1.488647197172949,1.4330385812683613,2.095498966218255,0.7802694043402348,0.1460646464369173,0.2959007934523966,0.1254642736210653,0.0269091532577652,3003.0,3012.0,2962.0,3035.0,2960.0,2990.0,3035.0,2377.0,0.0819201363122646,-0.8641583596461626
loktanella,11.832329589387044,3.718625285714286,0.8425667267497784,-0.0094997987022684,0.913981340268014,27613,5.226857596084949,141918,33.53947115178528,61477,104.18997311395316,74693,34.23525786666264,95815,71.57646827869624,19096,203.6438200907505,69919,15.362981148278829,62184,18.80313122853649,532,0.6697255089113084,310,0.0399573334870542,142,153593,0.0376117864991512,0.0565170582566583,0.0487389205141864,0.0373667349735259,0.0514659346334375,0.0227646237381522,9615,9615,9615,9615,9615,9615,10.27216348720729,13.754187083244055,33.45673922346133,14.631140587956256,11.670891922577756,6.965344386752639,48.796209929260456,0.1436836347296541,1.5250249250633854,1.4009423776490717,2.3884293803562366,0.9610030524605244,0.2706675133112547,0.2851732089097584,0.1118483113693127,0.0509647191437625,1311.0,1317.0,1260.0,1319.0,1300.0,1293.0,1319.0,906.0,-0.4506227504725065,0.7368570392469209
cellvibrio,6.582986189904863,4.861015818181818,-0.5281041023142947,0.6903982501532004,1.0495686696910442,569525,5.388506713582317,784518,191.8897072049612,136322,217.00294972723776,198937,107.41702018475738,312653,36.19276530120106,243462,288.7637930908318,336135,23.192532481188053,240815,4.498159888300091,144071,0.1725101713736039,5020,0.0934525368437942,339,842623,0.033277146580687,0.0589527123054576,0.0411094773649916,0.0302677408552746,0.0529234447778302,0.0251699029116602,63076,63076,63076,63076,63076,63076,10.228024378027795,13.922902693065454,30.69126335323863,13.63264405234538,12.652236371011218,7.125440626811079,51.953469689248045,0.0775573952924563,1.658520408999149,1.339229042649274,2.1821335292525523,0.750831383609672,0.0994065523328257,0.2985879175597037,0.1183425250942638,0.0195540477731268,2076.0,2079.0,2111.0,2140.0,2053.0,2123.0,2140.0,1628.0,1.02310599318803,0.8359623956121067
rhodomicrobium,10.77865158709357,3.711039333333333,0.5674378980447178,-0.0141474153615828,0.9297102659166276,385561,5.939718218567343,425845,140.65974550671726,49928,157.22292164384825,138844,166.0073419771416,102153,38.72155631619847,120852,281.0545304028771,168944,16.928790151472153,132221,7.622927838954197,42775,0.1797317656923115,2216,2.8496002102473392,341,472415,0.0318771343991931,0.0623374198422621,0.0403748498065868,0.0300266584987069,0.053518172959213,0.0228192501844369,45019,45019,45019,45019,45019,45019,11.049283669872311,13.088870081339584,32.5915355811748,16.2700758451229,16.198201886480255,7.085599246485564,51.504884631634845,0.1568567636297194,1.826446590454148,0.9848534328980032,2.1504150465615823,0.8464979032825486,0.081463587948555,0.3091549080602244,0.1258742453728322,0.0191917601452967,2729.0,2732.0,2690.0,2740.0,2658.0,2705.0,2740.0,1915.0,-0.5519663125329991,0.9096205330120272
flavobacterium,13.15393842296123,3.497051492935636,1.187655728889022,-0.145249405194819,0.9538255745946328,960273,5.656041053636556,1403318,145.49343173525105,279239,186.71435687925543,425629,90.19330750207168,476905,36.8191790035628,346419,302.3618250125787,539061,19.623428949335267,444884,7.646871495847287,154608,0.2674019349086818,6756,0.803200389417493,772,1514044,0.0338809757812401,0.0595209863334016,0.043652262671908,0.0319229398352588,0.0531456533137726,0.0239051034287962,114485,114485,114485,114485,114485,114485,10.407327126889095,14.21799064893571,31.286773039033644,13.778862472901402,12.655347300458748,7.132501704230541,50.60333243737143,0.0982542050901077,1.606746347936718,1.4094786721087451,2.284228235346572,0.8054829922636774,0.1120493762495054,0.2889446382016655,0.1252115411801156,0.0223527051326833,5272.0,5278.0,5203.0,5334.0,5199.0,5236.0,5334.0,3986.0,-0.0942411370627719,-0.7605869305444118
stenotrophomonas,12.62153267052257,4.516091784409257,1.048637764439303,0.4790767699941072,0.98236494310364,557294,5.42862128262243,640598,149.64286844723318,115526,219.91189490672187,207250,94.28296342671884,207835,33.504359694991244,187149,351.9657984510445,270643,15.932872365404627,222025,12.557014946465785,80550,0.43186290702263,2588,1.5198692795220914,174,700928,0.0349468360726474,0.0579879078596871,0.0415141534769509,0.0320958835329228,0.0530137204692561,0.0251827706976997,60460,60460,60460,60460,60460,60460,10.426703792877156,14.16724836581257,31.82750068825077,14.165160256345526,13.396485944289864,7.228353224502706,46.61697325910387,0.1333540785419106,1.5241412711472344,1.27091944577764,2.391113814108706,0.7857539454137177,0.2331291926259915,0.2975202913856059,0.133114396661792,0.0347320246365445,2219.0,2226.0,2212.0,2248.0,2169.0,2228.0,2248.0,1597.0,2.2975932850177743,1.0446423315688729
luteolibacter,10.693230297078555,4.675855528301887,0.545133304594773,0.5769577743007274,0.9484439804323698,783230,6.341958020444852,1055957,137.6340425265678,243582,173.2489979888113,322813,94.8338509201804,417092,35.6288155719079,257569,263.0406725635504,452452,20.404625244528937,321724,5.766088598447677,149735,0.2527500925054584,4456,0.635821478413109,511,1131961,0.0349559525785585,0.0598663262596474,0.0446892260734291,0.0325547935713067,0.0526129761183698,0.0252331868213115,78587,78587,78587,78587,78587,78587,10.722309535086502,14.929203390238712,32.02876508543186,15.16341968251528,14.261778985471963,7.26784802979949,58.34043032964076,0.1305988534120008,1.82036815067466,1.3781201006946415,2.1774341554140992,0.9188308008901948,0.131770661690572,0.3111164482119659,0.1358396006661281,0.0261866862606446,2993.0,2994.0,2993.0,3030.0,2929.0,3011.0,3030.0,2205.0,-0.743937850312439,-1.1770884520204274
roseivivax,9.006187216760067,4.219321571428572,0.1046247377909597,0.2972572545828951,0.7020246926703628,11204,8.468224760393195,41464,36.0806781377034,5279,160.5793896744803,14312,85.21594712122318,20404,84.58971394529505,9190,310.58051501297484,12090,8.245850819804348,24805,4.503947643995468,354,0.3983439366694075,356,0.0927105069301106,7,45264,0.037989669907406,0.0597905362875023,0.0489865116542633,0.0390908506174232,0.0512140125436985,0.0238462092564766,4203,4203,4203,4203,4203,4203,9.243739045941137,13.741883672209848,27.656859084327632,7.507485539426538,3.794879816326727,7.276300101529919,49.761632582904,0.0178246985901614,0.8598238931619036,1.5690897963984036,1.944670487988141,0.8341733616669633,0.3222876514686736,0.2857482181696297,0.1083642165058404,0.0545912080833535,265.0,266.0,263.0,266.0,263.0,265.0,266.0,197.0,-0.1905525839845767,0.7433715717892266
pullulanibacillus,4.603766933641303,4.561482,-1.0449036127349618,0.5068855818025095,0.6110189592395611,83588,6.333405560623136,89803,203.1050233815804,16124,204.5141208857061,39476,195.16586750809435,16793,33.74671486354687,29872,351.5907535847393,38160,14.480856329845826,37440,8.631648308444152,2714,0.3991636893157064,1009,0.0398605484020136,109,101745,0.0353861363059195,0.0573018721349583,0.0386512951625663,0.0316726452866909,0.0520568795364889,0.024494957295491,14440,14440,14440,14440,14440,14440,11.848684855688076,15.205660905550245,34.78321343296549,17.719399540961486,19.43394578584907,7.734436847801549,63.65635898950276,0.1780510956237304,1.8209823825672096,1.067172167464106,2.2366875313871994,0.9513087698773248,0.1495741610048075,0.3066286491661004,0.1239360911986599,0.0314264910326358,1316.0,1317.0,1301.0,1322.0,1261.0,1309.0,1322.0,885.0,-0.913931839864694,-0.4657820325742179
modestobacter,6.948130908508307,4.893402333333333,-0.4327601371574486,0.7102402027250699,0.890688068345012,531146,5.479763009595956,575648,176.5617240358405,98014,214.0581419850904,184804,128.04537198918484,153445,41.66528105606569,142240,338.89256053270776,216207,16.95049043966837,167782,4.2365639018930485,43878,0.3882691567847572,2315,0.3200596566179682,256,619769,0.0358811860460826,0.0575732577315306,0.0435630690386383,0.0320076337739507,0.0511059897123439,0.0277280228255663,54030,54030,54030,54030,54030,54030,11.382131894105862,13.8674047015338,34.17081904953101,16.00153680177043,16.28743942077729,7.427673667742884,50.71477995399424,0.1711883700504129,1.6373899819555675,1.0919668195860557,2.371854770624957,0.9001259916837008,0.1816595623085048,0.3242311274213142,0.1532089266962125,0.0327945710506245,2694.0,2698.0,2737.0,2772.0,2613.0,2754.0,2772.0,1921.0,-1.0776302917601446,-0.5130385309936705
acidovorax,10.429377269029322,4.794150092592592,0.4762378978391421,0.6494322323640653,0.9350810603116811,646813,4.976684255864821,824913,157.80200540616264,122617,180.23803977480856,207506,51.5478820692963,269456,36.02870420976593,210507,306.90572535357273,284541,15.29295527948798,231660,5.709081953284695,101297,0.3536594477073717,3913,0.6650851919822001,225,871965,0.0334286768847602,0.0605767273087938,0.0414829769798578,0.0306620060633641,0.0532761836583679,0.0237864982369853,54199,54199,54199,54199,54199,54199,9.34475414498343,14.152981977885371,27.274365095527816,10.454710673493324,9.414283290436826,6.882000288934823,54.12209404512899,0.1335611219863481,1.2838107052563856,1.396289640328683,1.8748355735355084,0.5677323175315574,0.0194772261341935,0.262386475320208,0.1132651497158662,0.0005055250296034,2092.0,2096.0,2086.0,2115.0,2067.0,2097.0,2115.0,1572.0,2.026738223301996,1.48228736838564
thiobacillus,12.502906252700424,3.0392933636363644,1.017662886613398,-0.4256999275326302,0.6707295559685313,178679,5.358597720386123,250279,157.62234587987572,76483,114.2158269037201,114593,87.58962402726128,99727,43.58838505502326,51328,208.9408870198648,111657,12.113728936887998,116685,8.567752898912476,8528,0.248415256236243,942,0.0720766862734869,49,262503,0.035502847318509,0.0590016623483906,0.0423921660729467,0.0327385074309557,0.0537842640096707,0.0218884031229316,16342,16342,16342,16342,16342,16342,8.985264574582553,12.277532227837437,27.34636328301732,10.42189672616273,9.35843728930095,6.870500530848251,43.28247496361228,0.1265784558637478,1.075070451438897,1.292598865985573,2.247256597811156,0.9935826317676514,0.2173902342146228,0.2872761763362437,0.1045534457568036,0.0454425854395254,774.0,776.0,772.0,776.0,769.0,775.0,776.0,584.0,1.6491963349716614,1.7455863747469222
thermincola,6.31298883248058,3.1680715,-0.5986038722059648,-0.3468025944275753,0.7423896377881752,7717,4.6459926234578806,8439,154.01835836785827,2683,110.38472476226534,3518,67.13092904766906,3639,23.494740454628168,1524,165.48286469559693,4220,7.529629595711722,3531,0.9791214158100996,757,0.0703507388045376,12,,0,9188,0.0291878546018029,0.0609687739794255,0.0440032050458124,0.0259972586573089,0.052909115936591,0.0214084227783111,683,683,683,683,683,683,9.305319680643668,11.404979640756077,27.314568292866007,6.858120677763639,3.837257543421532,7.490789215891946,31.66855797321002,0.0176383420737639,0.2590960617816666,1.0283026966304407,1.3447871817141046,0.9153174643838392,0.0509434794182542,0.2393730861207549,0.0545151119956424,,13.0,12.0,13.0,13.0,11.0,13.0,13.0,10.0,-0.8600395708723164,-0.5311719873940924
