genus,genus_for_tree,count_breadth_std,shannon_breadth_std,count_breadth_ses,shannon_breadth_ses,mean_levins_B_std
alicyclobacillus,alicyclobacillus,1.0,0.9861742293388294,,,0.3367781751044016
aliivibrio,aliivibrio,0.9342560553633218,0.9779814439339556,,,0.1904029111948505
alishewanella,alishewanella,0.9919261822376008,0.988245658493502,,,0.2755045998204007
alistipes,alistipes,0.9261822376009228,0.9793386826591984,,,0.2009096287669859
alkalibacterium,alkalibacterium,0.9919261822376008,0.988245658493502,,,0.1716860037954161
allobaculum,allobaculum,1.0,0.9861742293388294,,,0.4120347353542858
alloiococcus,alloiococcus,1.0,0.9861742293388294,,,0.1376655000968269
alteromonas,alteromonas,1.0,0.9861742293388294,,,0.0423166373642454
amaricoccus,amaricoccus,0.9919261822376008,0.988245658493502,,,0.3804202892607659
aminobacter,aminobacter,1.0,0.9861742293388294,,,0.614039667581298
amycolatopsis,amycolatopsis,1.0,0.9861742293388294,0.0,1.0,0.4040973705765786
anabaena,anabaena,1.0,0.9861742293388294,,,0.1251106309504119
anaerobiospirillum,anaerobiospirillum,0.9077277970011534,0.980275105936958,,,0.2362772172412973
anaerococcus,anaerococcus,1.0,0.9861742293388294,,,0.1590942410596186
anaerofilum,anaerofilum,0.9077277970011534,0.980275105936958,0.7042872697765479,0.8669412185597518,0.1420979685866183
anaerofustis,anaerofustis,0.9077277970011534,0.980275105936958,,,0.2541426233112153
anaeromyxobacter,anaeromyxobacter,1.0,0.9861742293388294,,,0.1752071643827183
anaeroplasma,anaeroplasma,0.9077277970011534,0.980275105936958,0.8385172234881939,1.0214593171070754,0.1215087706387245
anaerospora,anaerospora,1.0,0.9861742293388294,,,0.5661244700610545
anaerostipes,anaerostipes,1.0,0.9861742293388294,,,0.1165947155912339
anaerotruncus,anaerotruncus,0.9077277970011534,0.980275105936958,,,0.223749071303812
anaerovibrio,anaerovibrio,0.9077277970011534,0.980275105936958,,,0.0782265219736035
aneurinibacillus,aneurinibacillus,0.9054209919261822,0.977745196654314,,,0.3761038924954203
aquicella,aquicella,1.0,0.9861742293388294,0.0,1.0,0.4087249757380805
aquimarina,aquimarina,1.0,0.9861742293388294,,,0.0325590330622679
aquitalea,aquitalea,0.8269896193771626,0.9652768922293548,,,0.3514062754198505
arcanobacterium,arcanobacterium,0.9077277970011534,0.980275105936958,,,0.1175324174571517
arenibacter,arenibacter,1.0,0.9861742293388294,,,0.1106855583178714
arenimonas,arenimonas,1.0,0.9861742293388294,,,0.4315760179143287
arsenicicoccus,arsenicicoccus,1.0,0.9861742293388294,,,0.3273165012955201
arthrobacter,arthrobacter,1.0,0.9861742293388294,,,0.3488958137948422
asticcacaulis,asticcacaulis,1.0,0.9861742293388294,,,0.6676675192226199
atopobium,atopobium,1.0,0.9861742293388294,,,0.2452157488847923
azoarcus,azoarcus,1.0,0.9861742293388294,,,0.3046582148263519
azorhizobium,azorhizobium,0.8269896193771626,0.9652768922293548,-0.9289263584670778,-0.8880585422732964,0.3408479150124246
azospira,azospira,1.0,0.9861742293388294,,,0.2407722308689873
azospirillum,azospirillum,1.0,0.9861742293388294,,,0.3232598734354993
bacillus,bacillus,1.0,0.9861742293388294,,,0.2386321330968183
bacteriovorax,bacteriovorax,1.0,0.9861742293388294,,,0.335008304355437
bacteroides,bacteroides,1.0,0.9861742293388294,,,0.1954701746990912
balneola,balneola,1.0,0.9861742293388294,0.0,1.0,0.0654904500090408
bdellovibrio,bdellovibrio,1.0,0.9861742293388294,,,0.4319680544367266
belnapia,belnapia,0.9077277970011534,0.980275105936958,,,0.4511508040502647
bifidobacterium,bifidobacterium,1.0,0.9861742293388294,,,0.2320278387287608
bilophila,bilophila,0.9261822376009228,0.9793386826591984,,,0.3302116863742891
blastomonas,blastomonas,1.0,0.9861742293388294,,,0.3751100688324422
blautia,blautia,1.0,0.9861742293388294,,,0.1020787283372555
bosea,bosea,1.0,0.9861742293388294,0.0,1.0,0.4653771471694413
brachybacterium,brachybacterium,1.0,0.9861742293388294,,,0.239784231640659
bradyrhizobium,bradyrhizobium,1.0,0.9861742293388294,,,0.3932810723201643
brevibacillus,brevibacillus,1.0,0.9861742293388294,,,0.3189882444859792
brevibacterium,brevibacterium,1.0,0.9861742293388294,,,0.1404499860368636
brevundimonas,brevundimonas,1.0,0.9861742293388294,,,0.3779455716750405
brumimicrobium,brumimicrobium,0.9538638985005768,0.9813914120752876,0.1190020090496229,-0.0683083643492259,0.1907807116721445
buchnera,buchnera,1.0,0.9861742293388294,,,0.1533994200300694
bulleidia,bulleidia,0.9919261822376008,0.988245658493502,,,0.345119966149381
burkholderia,burkholderia,1.0,0.9861742293388294,,,0.4346008483552928
butyricicoccus,butyricicoccus,0.9919261822376008,0.988245658493502,,,0.0884340104570959
butyricimonas,butyricimonas,1.0,0.9861742293388294,,,0.2421676192648114
butyrivibrio,butyrivibrio,0.9919261822376008,0.988245658493502,1.582063989554876,1.645974946067451,0.0911218689051827
caldicellulosiruptor,caldicellulosiruptor,0.8269896193771626,0.9652768922293548,,,0.1002029204028817
caldicoprobacter,caldicoprobacter,1.0,0.9861742293388294,,,0.378439165086481
caldilinea,caldilinea,1.0,0.9861742293388294,,,0.1938718476351453
calothrix,calothrix,1.0,0.9861742293388294,0.0,1.0,0.2836548860838593
campylobacter,campylobacter,1.0,0.9861742293388294,,,0.1730175381992376
capnocytophaga,capnocytophaga,1.0,0.9861742293388294,,,0.1639363362128944
cardiobacterium,cardiobacterium,1.0,0.9861742293388294,,,0.2856660466454954
carnobacterium,carnobacterium,0.9261822376009228,0.9793386826591984,,,0.2737205588419377
catellatospora,catellatospora,1.0,0.9861742293388294,0.0,1.0,0.6690573938955718
catenibacterium,catenibacterium,0.9261822376009228,0.9793386826591984,,,0.173909732265225
catonella,catonella,0.9261822376009228,0.9793386826591984,,,0.3036275797414783
caulobacter,caulobacter,1.0,0.9861742293388294,,,0.4873606274954304
celeribacter,celeribacter,0.9342560553633218,0.9779814439339556,,,0.0356710746338891
cellulomonas,cellulomonas,1.0,0.9861742293388294,,,0.2990458512818353
cellulophaga,cellulophaga,0.81199538638985,0.9618559291207516,,,0.0620912475969461
cellulosimicrobium,cellulosimicrobium,1.0,0.9861742293388294,0.0,1.0,0.2954056204897443
cellvibrio,cellvibrio,1.0,0.9861742293388294,,,0.3789459246631995
cetobacterium,cetobacterium,1.0,0.9861742293388294,0.0,1.0,0.2167886086346793
chelativorans,chelativorans,0.9919261822376008,0.988245658493502,,,0.4077297724526669
chelatococcus,chelatococcus,0.9077277970011534,0.980275105936958,,,0.4902855983690348
