orgId	locusId	sysName	geneName	desc	set1IT076 CPG	set1IT077 M63_quarter_strength	set1IT080 CPG	set3IT039 CPG	set3IT040 M63_quarter_strength	set4IT039 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT042 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT045 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi
RalstoniaBSBF1503	RALBFv3_RS00520	RALBFv3_RS00520		hypothetical protein	0.023	0.628	-0.031	-0.208	-0.146	0.201	0.167	-0.072
RalstoniaBSBF1503	RALBFv3_RS00555	RALBFv3_RS00555		ribbon-helix-helix protein, CopG family	0.496	0.987	0.365	-0.248	-1.026	0.068	0.228	-0.015
RalstoniaBSBF1503	RALBFv3_RS00560	RALBFv3_RS00560		hypothetical protein	-0.056	0.090	0.062	0.303	0.248	-0.465	-0.040	-0.001
RalstoniaBSBF1503	RALBFv3_RS00565	RALBFv3_RS00565		pca operon transcription factor PcaQ	0.031	-0.025	0.175	0.106	0.753	-1.091	-0.828	-0.007
RalstoniaBSBF1503	RALBFv3_RS00570	RALBFv3_RS00570		protocatechuate 3,4-dioxygenase subunit beta	-0.236	0.480	0.120	0.279	-0.002	0.139	-0.195	-0.162
RalstoniaBSBF1503	RALBFv3_RS00575	RALBFv3_RS00575		protocatechuate 3,4-dioxygenase subunit alpha	0.328	0.154	0.001	0.160	0.203	0.275	0.102	0.249
RalstoniaBSBF1503	RALBFv3_RS00580	RALBFv3_RS00580		RNA 2',3'-cyclic phosphodiesterase	0.146	-0.355	0.266	0.401	0.350	-0.132	0.074	-0.264
RalstoniaBSBF1503	RALBFv3_RS00585	RALBFv3_RS00585		DsbA family protein	-0.733	-0.606	-0.177	-0.080	0.030	-0.820	0.313	-0.046
RalstoniaBSBF1503	RALBFv3_RS00590	RALBFv3_RS00590		MBL fold metallo-hydrolase	0.160	0.601	0.002	-0.028	0.056	0.223	0.052	-0.101
RalstoniaBSBF1503	RALBFv3_RS00595	RALBFv3_RS00595		LysR family transcriptional regulator	0.171	0.102	-0.163	-0.041	-0.120	0.166	0.010	0.017
RalstoniaBSBF1503	RALBFv3_RS00600	RALBFv3_RS00600		MFS transporter	0.212	0.313	0.232	0.097	0.230	0.115	-0.004	0.254
RalstoniaBSBF1503	RALBFv3_RS00605	RALBFv3_RS00605		type II toxin-antitoxin system HipA family toxin	-0.005	0.270	-0.591	0.345	0.210	0.015	0.505	-0.063
RalstoniaBSBF1503	RALBFv3_RS00635	RALBFv3_RS00635		ABC-F family ATPase	0.238	-0.262	0.228	0.141	0.177	-0.114	0.007	0.147
RalstoniaBSBF1503	RALBFv3_RS00640	RALBFv3_RS00640		hypothetical protein	-1.492	-2.313	-0.217	-1.579	-0.675	-0.918	-2.961	0.061
RalstoniaBSBF1503	RALBFv3_RS00645	RALBFv3_RS00645		aldehyde dehydrogenase family protein	0.435	0.033	0.381	0.249	0.231	0.208	0.149	0.017
RalstoniaBSBF1503	RALBFv3_RS00655	RALBFv3_RS00655		glycoside hydrolase family 15 protein	0.176	-0.243	-0.019	0.150	-0.022	0.063	0.238	0.257
RalstoniaBSBF1503	RALBFv3_RS00660	RALBFv3_RS00660		DUF2252 domain-containing protein	0.154	0.196	-0.170	0.364	0.079	-0.027	-0.227	0.088
RalstoniaBSBF1503	RALBFv3_RS00670	RALBFv3_RS00670		methyltransferase	-0.161	-0.728	-0.337	-0.099	-0.352	-0.238	-0.130	-0.210
RalstoniaBSBF1503	RALBFv3_RS00675	RALBFv3_RS00675		hypothetical protein	0.233	-0.192	0.009	0.045	-0.038	-0.145	-0.355	-0.192
RalstoniaBSBF1503	RALBFv3_RS00680	RALBFv3_RS00680		carbon monoxide dehydrogenase accessory protein	0.009	-0.453	-0.303	-0.167	-0.195	0.141	0.187	-0.330
RalstoniaBSBF1503	RALBFv3_RS00685	RALBFv3_RS00685		carbon monoxide dehydrogenase	0.174	-0.208	0.141	-0.473	0.026	-0.096	0.204	0.248
RalstoniaBSBF1503	RALBFv3_RS00690	RALBFv3_RS00690		VWA domain-containing protein	-0.180	-0.016	0.016	-0.006	-0.425	0.121	0.014	-0.211
RalstoniaBSBF1503	RALBFv3_RS00695	RALBFv3_RS00695		MoxR family ATPase	0.010	-1.769	0.685	0.417	-0.450	0.106	-0.015	0.262
RalstoniaBSBF1503	RALBFv3_RS00700	RALBFv3_RS00700		xanthine dehydrogenase family protein subunit M	0.134	0.263	-0.331	0.233	0.226	0.096	-0.310	-0.074
