feature	mean_abs_shap	level	ko_id	kegg_ko	ko_desc
L2_506	0.0	L2	724.0	K12982	opsX; heptosyltransferase I [EC:2.4.-.-]
L2_507	0.0	L2	725.0	K11211	kdkA; 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]
L2_509	0.0	L2	731.0	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]
L2_510	0.0	L2	732.0	K07040	K07040; uncharacterized protein
L2_512	0.0	L2	742.0	K02676	pilZ; type IV pilus assembly protein PilZ
L2_520	0.0	L2	750.0	K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]
L2_521	0.0	L2	751.0	K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]
L2_85	0.0	L2	105.0	K00974	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
L2_493	0.0	L2	706.0	K00675	nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]
L2_390	0.0	L2	551.0	K03928	yvaK; carboxylesterase [EC:3.1.1.1]
L2_391	0.0	L2	552.0	K07649	tctE; two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]
L2_393	0.0	L2	554.0	K02237	comEA; competence protein ComEA
L2_395	0.0	L2	557.0	K03580	hepA; ATP-dependent helicase HepA [EC:3.6.4.-]
L2_396	0.0	L2	558.0	K05838	ybbN; putative thioredoxin
L2_400	0.0	L2	563.0	K03643	lptE, rlpB; LPS-assembly lipoprotein
L2_401	0.0	L2	565.0	K00969	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
L2_402	0.0	L2	566.0	K04063	osmC; osmotically inducible protein OsmC
L2_403	0.0	L2	567.0	K06975	K06975; uncharacterized protein
L2_404	0.0	L2	568.0	K00459	ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
L2_405	0.0	L2	572.0	K07054	K07054; uncharacterized protein
L2_406	0.0	L2	573.0	K06940	K06940; uncharacterized protein
L2_407	0.0	L2	574.0	K05592	deaD, cshA; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
L2_409	0.0	L2	576.0	K11927	rhlE; ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
L2_411	0.0	L2	578.0	K03775	slyD; FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]
L2_435	0.0	L2	621.0	K03828	yjgM; putative acetyltransferase [EC:2.3.1.-]
L2_434	0.0	L2	619.0	K03392	ACMSD; aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]
L2_433	0.0	L2	618.0	K01556	KYNU, kynU; kynureninase [EC:3.7.1.3]
L2_431	0.0	L2	612.0	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
L2_430	0.0	L2	610.0	K07734	paiB; transcriptional regulator
L2_429	0.0	L2	609.0	K09065	argF; N-acetylornithine carbamoyltransferase [EC:2.1.3.9]
L2_424	0.0	L2	604.0	K02291	crtB; 15-cis-phytoene/all-trans-phytoene synthase [EC:2.5.1.32 2.5.1.99]
L2_423	0.0	L2	603.0	K22292	mupP; N-acetyl-D-muramate 6-phosphate phosphatase [EC:3.1.3.105]
L2_412	0.0	L2	579.0	K01458	hutG; N-formylglutamate deformylase [EC:3.5.1.68]
L2_421	0.0	L2	601.0	K12960	mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
L2_420	0.0	L2	599.0	K21025	fimX; multidomain signaling protein FimX
L2_87	0.0	L2	107.0	K07484	K07484; transposase
L2_418	0.0	L2	587.0	K01893	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]
L2_417	0.0	L2	585.0	K10217	dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]
L2_416	0.0	L2	584.0	K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
L2_415	0.0	L2	583.0	K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]
L2_414	0.0	L2	581.0	K15067	amnD; 2-aminomuconate deaminase [EC:3.5.99.5]
