condition	condition_class	n	accuracy	mean_confidence	error_rate	n_uncertain	growth_rate	al_score
mannosamine	other	277	0.5090252707581228	0.34019185140106933	0.49097472924187724	89	0.33574007220216606	0.3239491271099443
octanoicacid	other	58	0.5862068965517241	0.22074408176662708	0.4137931034482759	32	0.6724137931034483	0.32245072478622333
fructose-6-phosphate	carbon	277	0.3971119133574007	0.46708181508729707	0.6028880866425993	37	0.23826714801444043	0.3212900248390664
dtryptophan	amino_acid	62	0.532258064516129	0.31409996845873006	0.467741935483871	29	0.08064516129032258	0.3208242083015618
n2acetylllysine	amino_acid	62	0.532258064516129	0.31409996845873006	0.467741935483871	29	0.04838709677419355	0.3208242083015618
taurine	other	62	0.5645161290322581	0.26447162870843577	0.4354838709677419	28	0.20967741935483872	0.3203107423366489
acetate	carbon	265	0.5622641509433962	0.2712818300386963	0.4377358490566038	103	0.7471698113207547	0.3189860668509858
amygdalin	other	36	0.5833333333333334	0.23569545016461213	0.41666666666666663	13	0.05555555555555555	0.31846022909807825
glycyl-l-glutamic-acid	other	36	0.5833333333333334	0.23569545016461213	0.41666666666666663	13	0.6111111111111112	0.31846022909807825
glycyl-l-aspartic-acid	other	36	0.5833333333333334	0.23569545016461213	0.41666666666666663	13	0.1111111111111111	0.31846022909807825
n-acetyl-neuraminic-acid	other	36	0.5833333333333334	0.23569545016461213	0.41666666666666663	13	0.05555555555555555	0.31846022909807825
glucote	other	154	0.4935064935064935	0.3716790133262033	0.5064935064935066	30	0.5909090909090909	0.3182404997438711
alphacyclodextrin	other	61	0.5737704918032787	0.26745879547821577	0.42622950819672134	27	0.18032786885245902	0.312230677337154
adipicacid	other	61	0.5737704918032787	0.26745879547821577	0.42622950819672134	27	0.3442622950819672	0.312230677337154
betalactose	other	61	0.5737704918032787	0.26745879547821577	0.42622950819672134	27	0.21311475409836064	0.312230677337154
lfucopyranose	other	61	0.5737704918032787	0.26745879547821577	0.42622950819672134	27	0.3114754098360656	0.312230677337154
ketodtagatose	other	61	0.5737704918032787	0.26745879547821577	0.42622950819672134	27	0.18032786885245902	0.312230677337154
dleucine	amino_acid	62	0.5483870967741935	0.31409996845873006	0.4516129032258065	29	0.0967741935483871	0.30976130456702516
diltyrosinate	other	62	0.5806451612903226	0.26447162870843577	0.4193548387096774	28	0.7096774193548387	0.3084473815093656
glyglu	other	62	0.5806451612903226	0.26447162870843577	0.4193548387096774	28	0.45161290322580644	0.3084473815093656
glyasp	other	62	0.5806451612903226	0.26447162870843577	0.4193548387096774	28	0.16129032258064516	0.3084473815093656
chloramphenicol	antibiotic	37	0.5675675675675675	0.30008841588513047	0.43243243243243246	13	0.6216216216216216	0.3026644688064301
glucose-6-phosphate	carbon	323	0.4674922600619195	0.4346872117609114	0.5325077399380804	60	0.3157894736842105	0.30103343522329173
nacetyllglutamate2	amino_acid	62	0.5645161290322581	0.31409996845873006	0.4354838709677419	29	0.3709677419354839	0.2986984008324885
sorbose	other	36	0.6111111111111112	0.23569545016461213	0.38888888888888884	13	0.027777777777777776	0.2972295471582064
tween-80	other	36	0.6111111111111112	0.23569545016461213	0.38888888888888884	13	0.5833333333333334	0.2972295471582064
sedoheptulosan	other	36	0.6111111111111112	0.23569545016461213	0.38888888888888884	13	0.027777777777777776	0.2972295471582064
phenylethyl-amine	other	36	0.6111111111111112	0.23569545016461213	0.38888888888888884	13	0.4722222222222222	0.2972295471582064
b-d-allose	other	36	0.6111111111111112	0.23569545016461213	0.38888888888888884	13	0.08333333333333333	0.2972295471582064
inulin	other	36	0.6111111111111112	0.23569545016461213	0.38888888888888884	13	0.027777777777777776	0.2972295471582064
citramalic-acid	other	36	0.6111111111111112	0.23569545016461213	0.38888888888888884	13	0.5277777777777778	0.2972295471582064
glycolic-acid	other	36	0.6111111111111112	0.23569545016461213	0.38888888888888884	13	0.027777777777777776	0.2972295471582064
pyrrole2carboxylicacid	other	62	0.5967741935483871	0.26447162870843577	0.4032258064516129	28	0.11290322580645161	0.29658402068208234
dxylopyranose	other	106	0.6037735849056604	0.2564594080052319	0.39622641509433965	51	0.5094339622641509	0.29461042324321
formic-acid	other	330	0.5575757575757576	0.3399895915469553	0.4424242424242424	97	0.3606060606060606	0.2920046049519531
raffinosepenta	other	61	0.6065573770491803	0.26745879547821577	0.39344262295081966	27	0.5081967213114754	0.28821293292660366
subericacid	other	61	0.6065573770491803	0.26745879547821577	0.39344262295081966	27	0.18032786885245902	0.28821293292660366
leucrose	other	61	0.6065573770491803	0.26745879547821577	0.39344262295081966	27	0.21311475409836064	0.28821293292660366
dserine	amino_acid	62	0.5806451612903226	0.31409996845873006	0.4193548387096774	29	0.1935483870967742	0.2876354970979519
lornithine	amino_acid	62	0.5806451612903226	0.31409996845873006	0.4193548387096774	29	0.41935483870967744	0.2876354970979519
maleicacid	other	106	0.6132075471698113	0.2564594080052319	0.3867924528301887	51	0.1792452830188679	0.2875958893564669
nacetyllasparticacid	other	62	0.6129032258064516	0.26447162870843577	0.3870967741935484	28	0.3225806451612903	0.28472065985479905
citricacid	other	106	0.6226415094339622	0.2564594080052319	0.37735849056603776	51	0.5849056603773585	0.28058135546972385
acetic-acid	other	304	0.5822368421052632	0.3295754014668382	0.41776315789473684	100	0.8881578947368421	0.2800786974135248
dextrin	other	306	0.5849673202614379	0.33014040062411454	0.41503267973856206	100	0.37254901960784315	0.27801362457757334
stachyose	other	329	0.5866261398176292	0.3294503334165044	0.41337386018237077	111	0.47112462006079026	0.27718770411962124
raffinose	other	340	0.5823529411764706	0.3371188828504213	0.41764705882352937	103	0.4294117647058823	0.27685034892717697
dproline	amino_acid	62	0.5967741935483871	0.31409996845873006	0.4032258064516129	29	0.1774193548387097	0.2765725933634153
itaconicacid	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.29508196721311475	0.27620406072132847
4hydroxyphenylaceticacid	other	61	0.6229508196721312	0.26745879547821577	0.3770491803278688	27	0.26229508196721313	0.27620406072132847
