held_genus	n_test	n_pos	pct_pos	AUC	accuracy	F1	F1_balanced
Novosphingobium	102	42	0.4117647058823529	0.5900793650793651	0.5882352941176471	0.0	0.37037037037037035
Castellaniella	99	54	0.5454545454545454	0.574485596707819	0.46464646464646464	0.1016949152542373	0.3601999756127302
Erwinia	97	54	0.5567010309278351	0.7138242894056848	0.6391752577319587	0.6956521739130435	0.6263070996147495
Duganella	93	50	0.5376344086021505	0.5504651162790698	0.5268817204301075	0.47619047619047616	0.5224089635854341
Staphylococcus	92	78	0.8478260869565217	0.5663919413919414	0.1956521739130435	0.0975609756097561	0.18603538976566236
Dyella	89	20	0.2247191011235955	0.38514492753623186	0.6966292134831461	0.18181818181818182	0.4978056426332288
Klenkia	88	41	0.4659090909090909	0.5674623767514271	0.625	0.5352112676056338	0.6104627766599597
Devosia	87	27	0.3103448275862069	0.7799382716049383	0.8390804597701149	0.75	0.8156779661016949
Rhodococcus_B	86	54	0.627906976744186	0.6145833333333333	0.6162790697674418	0.6796116504854369	0.6006753904601098
Leifsonia_A	85	25	0.29411764705882354	0.8526666666666667	0.8588235294117647	0.7777777777777778	0.8371647509578544
Campylobacter_D	80	63	0.7875	0.48786181139122314	0.2125	0.0	0.17525773195876287
Plantibacter	80	36	0.45	0.6972853535353536	0.725	0.65625	0.7135416666666667
Bradyrhizobium	76	26	0.34210526315789475	0.4461538461538461	0.6578947368421053	0.0	0.3968253968253968
Pseudomonas_A	62	21	0.3387096774193548	0.4204413472706155	0.6612903225806451	0.0	0.39805825242718446
Zoogloea	59	28	0.4745762711864407	0.4861751152073732	0.6101694915254238	0.30303030303030304	0.5162210338680927
Sinorhizobium	59	35	0.5932203389830508	0.6803571428571428	0.6440677966101694	0.6037735849056604	0.6403483309143687
Ralstonia	59	20	0.3389830508474576	0.576923076923077	0.3559322033898305	0.5128205128205128	0.2814102564102564
Pseudomonas	59	27	0.4576271186440678	0.5920138888888888	0.6101694915254238	0.30303030303030304	0.5162210338680927
Bacteroides	59	17	0.288135593220339	0.6624649859943977	0.711864406779661	0.0	0.4158415841584158
MA-N2	58	44	0.7586206896551724	0.5892857142857143	0.7586206896551724	0.8627450980392157	0.43137254901960786
Corynebacterium	58	34	0.5862068965517241	0.5625	0.5344827586206896	0.425531914893617	0.517113783533765
Simplicispira	54	34	0.6296296296296297	0.5470588235294118	0.4074074074074074	0.15789473684210525	0.350375939849624
Enterobacter	51	26	0.5098039215686274	0.73	0.6470588235294118	0.55	0.6298387096774194
Sediminibacterium	51	10	0.19607843137254902	0.7634146341463415	0.8235294117647058	0.18181818181818182	0.5414585414585414
Azospira	51	13	0.2549019607843137	0.7530364372469636	0.7647058823529411	0.14285714285714285	0.5032467532467533
Phreatobacter	50	13	0.26	0.6476091476091477	0.82	0.47058823529411764	0.6810772501771793
