feature	mean_abs_shap	ko_desc	level
K00548	0.006722068062026001	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	KO
K11103	0.006591996689934798	dctA; aerobic C4-dicarboxylate transport protein	KO
K12267	0.006498029406997139	msrAB; peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	KO
K11410	0.006471567791003862	acdH; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]	KO
K11991	0.006394323935226856	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]	KO
K08998	0.006392319800843006	K08998; uncharacterized protein	KO
K01955	0.006367952840336497	carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	KO
K09933	0.006302889402289736	mtfA; MtfA peptidase	KO
K06152	0.006247436899654218	E1.1.99.3G; gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3]	KO
K22441	0.006243638952446699	paiA; diamine N-acetyltransferase [EC:2.3.1.57]	KO
K11178	0.006224384727535945	yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]	KO
K09125	0.006204494240983266	K09125; uncharacterized protein	KO
K15726	0.006043343671363975	czcA; cobalt-zinc-cadmium resistance protein CzcA	KO
K09472	0.006032506925039678	puuC, aldH; 4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]	KO
K08191	0.005972035244808324	exuT; MFS transporter, ACS family, hexuronate transporter	KO
K09780	0.005956830292518921	K09780; uncharacterized protein	KO
K11742	0.005948700502985093	mdtI; spermidine export protein MdtI	KO
K08289	0.005931016809752999	purT; phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]	KO
K07662	0.005917551579411116	cpxR; two-component system, OmpR family, response regulator CpxR	KO
K21757	0.005901871204375031	benM; LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes	KO
K16568	0.005696845472853193	exoZ; exopolysaccharide production protein ExoZ	KO
K07687	0.005675677219597176	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB	KO
K07726	0.005668712977837459	K07726; putative transcriptional regulator	KO
K00848	0.005655186795522273	rhaB; rhamnulokinase [EC:2.7.1.5]	KO
K07263	0.005614207122785934	pqqL; zinc protease [EC:3.4.24.-]	KO
K01046	0.005547765501724183	lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]	KO
K07448	0.005545124164447887	mrr; restriction system protein	KO
K05834	0.005471404190876576	rhtB; homoserine/homoserine lactone efflux protein	KO
K02609	0.005455953406042051	paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]	KO
K02575	0.005453074035603689	NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter	KO
K15372	0.005449009248606319	toa; taurine---2-oxoglutarate transaminase [EC:2.6.1.55]	KO
K03153	0.0054139734120657226	thiO; glycine oxidase [EC:1.4.3.19]	KO
K07787	0.005331119619869973	cusA, silA; Cu(I)/Ag(I) efflux system membrane protein CusA/SilA	KO
K03567	0.005330609190719041	gcvR; glycine cleavage system transcriptional repressor	KO
K07452	0.005269440006113399	mcrB; 5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]	KO
K00281	0.005257567565357491	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	KO
K00479	0.005237301760565027	gbcA; glycine betaine catabolism A	KO
K03194	0.00522516914590953	virB1; type IV secretion system protein VirB1	KO
K16234	0.005196230038360532	hutT; histidine transporter	KO
K16048	0.005148227182336468	hsaB; 3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase reductase component [EC:1.5.1.-]	KO
K09961	0.005071783717530745	K09961; uncharacterized protein	KO
K01187	0.00504921907652601	malZ; alpha-glucosidase [EC:3.2.1.20]	KO
K07038	0.005000951379041409	K07038; inner membrane protein	KO
K01012	0.004998805877020613	bioB; biotin synthase [EC:2.8.1.6]	KO
K09921	0.004998096268779005	K09921; uncharacterized protein	KO
K00113	0.004945414126207453	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	KO
K02029	0.004918936289795333	ABC.PA.P; polar amino acid transport system permease protein	KO
K01903	0.004855888084703933	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	KO
K00024	0.004833820290797781	mdh; malate dehydrogenase [EC:1.1.1.37]	KO
K19156	0.004807612422886115	prlF, sohA; antitoxin PrlF	KO
K07027	0.004806154914312355	K07027; glycosyltransferase 2 family protein	KO
K10545	0.004805047511798231	xylG; D-xylose transport system ATP-binding protein [EC:3.6.3.17]	KO
K01843	0.0047943714305848685	kamA; lysine 2,3-aminomutase [EC:5.4.3.2]	KO
K01048	0.004784241796991842	pldB; lysophospholipase [EC:3.1.1.5]	KO
K11072	0.00475809846496038	potA; spermidine/putrescine transport system ATP-binding protein [EC:3.6.3.31]	KO
K01531	0.004738665001495327	mgtA, mgtB; Mg2+-importing ATPase [EC:3.6.3.2]	KO
K16841	0.004692926553032294	hpxA; allantoin racemase [EC:5.1.99.3]	KO
K07496	0.00469034837190275	K07496; putative transposase	KO
K07799	0.004685077267488109	mdtA; membrane fusion protein, multidrug efflux system	KO
K09695	0.004683409052695614	nodI; lipooligosaccharide transport system ATP-binding protein	KO
K01406	0.004645378264532235	prtC; serralysin [EC:3.4.24.40]	KO
K21829	0.004637249023140851	dauR; D-arginine utilization repressor	KO
K16074	0.004552080204132256	zntB; zinc transporter	KO
K17322	0.004550175154940304	K17322, glpP; glycerol transport system permease protein	KO
K07516	0.00452791132568438	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	KO
K17947	0.004516861218223257	wbiB; dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]	KO
K02044	0.004480323761298421	phnD; phosphonate transport system substrate-binding protein	KO
K00851	0.004476493105544358	E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]	KO
K03584	0.004439115230389284	recO; DNA repair protein RecO (recombination protein O)	KO
K02291	0.0044221266803364575	crtB; 15-cis-phytoene/all-trans-phytoene synthase [EC:2.5.1.32 2.5.1.99]	KO
K22086	0.004420379614580034	mgdC; methylglutamate dehydrogenase subunit C [EC:1.5.99.5]	KO
K03304	0.004420371051598826	tehA; tellurite resistance protein	KO
K11250	0.004403814610400204	leuE; leucine efflux protein	KO
K13010	0.00438814152303425	per, rfbE; perosamine synthetase [EC:2.6.1.102]	KO
K10227	0.0043507018719153015	smoE, mtlE; sorbitol/mannitol transport system substrate-binding protein	KO
K04127	0.004350409779153036	cefD; isopenicillin-N epimerase [EC:5.1.1.17]	KO
K02431	0.004302963685673671	fucU, FUOM; L-fucose mutarotase [EC:5.1.3.29]	KO
K15540	0.004290401662646177	ecpD; chaperone protein EcpD	KO
K16554	0.0042508415185752825	exoP, vpsO; polysaccharide biosynthesis transport protein	KO
K02056	0.004245557676311301	ABC.SS.A; simple sugar transport system ATP-binding protein [EC:3.6.3.17]	KO
K01218	0.004243381460518832	gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	KO
K00151	0.004212960787638752	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	KO
K18301	0.004189182274817379	mexL; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor	KO
K00874	0.0041813816462530655	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	KO
K01658	0.004175178139300394	trpG; anthranilate synthase component II [EC:4.1.3.27]	KO
K22443	0.004174110687990338	cntA; carnitine monooxygenase subunit [EC:1.14.13.239]	KO
K21686	0.004121252701818024	prpR; XRE family transcriptional regulator, fatty acid utilization regulator	KO
K21000	0.004120281213409208	pslG; polysaccharide biosynthesis protein PslG	KO
K00067	0.00409047818812361	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	KO
K21062	0.004073213262507635	lhpC; 1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]	KO
K04095	0.004063738864597093	fic; cell filamentation protein	KO
K06871	0.004063341943795968	K06871; uncharacterized protein	KO
K05814	0.004054462966841572	ugpA; sn-glycerol 3-phosphate transport system permease protein	KO
K19293	0.004043426225936022	algX; alginate biosynthesis protein AlgX	KO
K01712	0.004041494355686946	hutU, UROC1; urocanate hydratase [EC:4.2.1.49]	KO
K11527	0.004034658027796116	K11527; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]	KO
K15256	0.0040280559064024965	cmoA; tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]	KO
K01956	0.004020431002234129	carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	KO
K11089	0.003978568995977007	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein	KO
K07485	0.003972949279293114	K07485; transposase	KO
K07009	0.003963003881001365	K07009; uncharacterized protein	KO
K03602	0.003948565777803302	xseB; exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	KO
K08303	0.003945512181314139	K08303; putative protease [EC:3.4.-.-]	KO
K07482	0.003939479040336964	K07482; transposase, IS30 family	KO
K18816	0.003913161253520207	aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]	KO
K07076	0.003910957828943625	K07076; uncharacterized protein	KO
K01633	0.003895909313585992	folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	KO
K14660	0.0038828970217398132	nodE; nodulation protein E [EC:2.3.1.-]	KO
K08482	0.003854384641159037	kaiC; circadian clock protein KaiC	KO
K01759	0.003843027596652044	GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]	KO
K04768	0.0038428949543796594	acuC; acetoin utilization protein AcuC	KO
K01555	0.0038383085835154325	FAH, fahA; fumarylacetoacetase [EC:3.7.1.2]	KO
K13771	0.0038123166014818995	nsrR; Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor	KO
K07238	0.00381167055288107	TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family	KO
K00567	0.003801180683718132	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	KO
K07004	0.0037976136506111206	K07004; uncharacterized protein	KO
K16649	0.0037944103688249604	glft1; rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]	KO
K03335	0.0037895920490248146	iolE; inosose dehydratase [EC:4.2.1.44]	KO
K03784	0.003780119036369272	deoD; purine-nucleoside phosphorylase [EC:2.4.2.1]	KO
K01114	0.003746117120977994	plc; phospholipase C [EC:3.1.4.3]	KO
K10027	0.0037299776257173887	crtI; phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]	KO
K01708	0.0037242254584935273	garD; galactarate dehydratase [EC:4.2.1.42]	KO
K06889	0.0037218798650883434	K06889; uncharacterized protein	KO
K01193	0.0037177566193638037	INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]	KO
K00332	0.003712300317319714	nuoC; NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]	KO
K03733	0.0037074369433424455	xerC; integrase/recombinase XerC	KO
K00262	0.003670896195269773	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	KO
K08319	0.003665761129761381	ltnD; L-threonate 2-dehydrogenase [EC:1.1.1.411]	KO
K02653	0.0036557994220674113	pilC; type IV pilus assembly protein PilC	KO
K01779	0.003655217010854909	racD; aspartate racemase [EC:5.1.1.13]	KO
K07506	0.003637823586979494	K07506; AraC family transcriptional regulator	KO
K02457	0.0036213475970008012	gspH; general secretion pathway protein H	KO
K18336	0.003618497187709758	K18336; 2,4-diketo-3-deoxy-L-fuconate hydrolase [EC:3.7.1.-]	KO
K03319	0.003617327736827426	TC.DASS; divalent anion:Na+ symporter, DASS family	KO
K16163	0.0036032894111755966	K16163; maleylpyruvate isomerase [EC:5.2.1.4]	KO
K00156	0.00357878507328602	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	KO
K12368	0.0035693761417115053	dppA; dipeptide transport system substrate-binding protein	KO
K03149	0.0035678100307224886	thiG; thiazole synthase [EC:2.8.1.10]	KO
K00311	0.003565405458904161	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	KO
K11621	0.0035509164723693735	liaG; lia operon protein LiaG	KO
K21758	0.0035449201221714887	benP; benzoate transport porin	KO
K07124	0.003531686972697257	K07124; uncharacterized protein	KO
K03735	0.0035279014583413843	eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]	KO
K18199	0.0035206922415593864	inhA; cyclohexyl-isocyanide hydratase [EC:4.2.1.103]	KO
K10021	0.0035194179751902406	occP, nocP; octopine/nopaline transport system ATP-binding protein [EC:3.6.3.-]	KO
K00302	0.003518955251487326	soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]	KO
K01999	0.0035150825300202374	livK; branched-chain amino acid transport system substrate-binding protein	KO
K10804	0.003510545535220455	tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.1.5]	KO
K11003	0.003494428957609632	hlyD, cyaD; hemolysin D	KO
K10710	0.0034914824491132533	frlD; fructoselysine 6-kinase [EC:2.7.1.218]	KO
K09807	0.0034890804254556064	K09807; uncharacterized protein	KO
K06934	0.003485481220978079	K06934; uncharacterized protein	KO
K06442	0.0034807267929968812	tlyA; 23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	KO
K06969	0.0034783018671322974	rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]	KO
K01115	0.003474774042105519	PLD1_2; phospholipase D1/2 [EC:3.1.4.4]	KO
K15521	0.0034672675015323595	mshA; D-inositol-3-phosphate glycosyltransferase [EC:2.4.1.250]	KO
K21064	0.0034668495065022596	ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	KO
K03929	0.0034580287520831303	pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]	KO
K07473	0.003445101983593213	dinJ; DNA-damage-inducible protein J	KO
K07282	0.0034298549634321123	capA, pgsA; gamma-polyglutamate biosynthesis protein CapA	KO
K06020	0.0034138676293655997	E3.6.3.25; sulfate-transporting ATPase [EC:3.6.3.25]	KO
K07636	0.0034064062266130324	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	KO
K07586	0.003405875820850907	ygaC; uncharacterized protein	KO
K09694	0.0034051931923180065	nodJ; lipooligosaccharide transport system permease protein	KO
K05898	0.0033935381777764053	kstD; 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]	KO
K05363	0.0033751657507239347	murM; serine/alanine adding enzyme [EC:2.3.2.10]	KO
K15461	0.0033722409993358704	mnmC; tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]	KO
K03337	0.003371830934288191	iolB; 5-deoxy-glucuronate isomerase [EC:5.3.1.30]	KO
K11755	0.0033702163175954136	hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]	KO
K04046	0.0033676551772274656	yegD; hypothetical chaperone protein	KO
K09965	0.0033605693432637593	K09965; uncharacterized protein	KO
K09781	0.0033604014462716974	K09781; uncharacterized protein	KO
K03749	0.00335649202723059	dedD; DedD protein	KO
K07157	0.003356284355489822	K07157; uncharacterized protein	KO
K01704	0.0033553613821428268	leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	KO
K05337	0.003352430849828689	fer; ferredoxin	KO
K03695	0.0033323333853213914	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB	KO
K05549	0.0033314664620277385	benA-xylX; benzoate/toluate 1,2-dioxygenase subunit alpha [EC:1.14.12.10 1.14.12.-]	KO
K22419	0.00331912104180729	VEP1; Delta4-3-oxosteroid 5beta-reductase [EC:1.3.1.3]	KO
K01478	0.003308218536119008	arcA; arginine deiminase [EC:3.5.3.6]	KO
K02837	0.0033063477021686664	prfC; peptide chain release factor 3	KO
K00208	0.003294479269510607	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	KO
K09703	0.0032764736336485935	K09703; uncharacterized protein	KO
K02495	0.003235426376068819	hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	KO
K03620	0.0032335229860829292	hyaC; Ni/Fe-hydrogenase 1 B-type cytochrome subunit	KO
K06726	0.003216038908617092	rbsD; D-ribose pyranase [EC:5.4.99.62]	KO
K01777	0.003209490428054894	prdF; proline racemase [EC:5.1.1.4]	KO
K09922	0.0032010530095034303	K09922; uncharacterized protein	KO
K07486	0.0031889481842217082	K07486; transposase	KO
