normalized	enigma_name	enigma_chebi	fb_condition	fb_n_experiments	fb_n_orgIds	csp_name	wom_compound	in_enigma	in_fb	in_csp	in_wom	n_datasets
23dihydroxybenzoate				0	0		2,3-dihydroxybenzoate	False	False	False	True	1
2aminoethanol				0	0	2-Aminoethanol		False	False	True	False	1
2deoxyadenosine				0	0	2-Deoxy-Adenosine		False	False	True	False	1
2deoxyadenosine5monophosphate			2-Deoxyadenosine 5-monophosphate	7	3			False	True	False	False	1
2deoxyadenosinemono			2-Deoxyadenosine monohydrate	2	1			False	True	False	False	1
2deoxydribonicacidlithium			2-Deoxy-D-ribonic acid lithium salt	10	4			False	True	False	False	1
2furfuraldehyde			2-Furfuraldehyde	21	12			False	True	False	False	1
2hex+c7h16o7				0	0		2Hex+C7H16O7	False	False	False	True	1
2hex+glycerol				0	0		2Hex+glycerol	False	False	False	True	1
2hydroxy4methylthiobutyricacid				0	0		2-hydroxy-4-(methylthio)butyric acid	False	False	False	True	1
2hydroxybenzoicacid				0	0	2-Hydroxy-Benzoic-Acid		False	False	True	False	1
2isopropylmalate				0	0		2-isopropylmalate	False	False	False	True	1
2mercaptopyridinenoxide			2-Mercaptopyridine N-oxide sodium salt	8	1			False	True	False	False	1
2methyl1butanol			2-methyl-1-butanol	2	1			False	True	False	False	1
2methylmaleate				0	0		2-methylmaleate	False	False	False	True	1
2nheptyl4hydroxyquinolinenoxide			2-n-Heptyl-4-hydroxyquinoline N-oxide	9	1			False	True	False	False	1
2oxobutyricacid			2-oxobutyric acid sodium salt	3	1			False	True	False	False	1
2piperidinone			2-Piperidinone	4	1			False	True	False	False	1
3'5'cyclicamp				0	0		3',5'-cyclic AMP	False	False	False	True	1
30bdgalactopyranosyldarabinose				0	0	3-0-b-D-Galacto-pyranosyl-D-Arabinose		False	False	True	False	1
3aminobutyricacid			3-aminobutyric acid	2	1			False	True	False	False	1
3hex+c7h16o7				0	0		3Hex+C7H16O7	False	False	False	True	1
3hexphosphate				0	0		3Hex phosphate	False	False	False	True	1
3hydroxy2butanone				0	0	3-Hydroxy-2-Butanone		False	False	True	False	1
3hydroxy3methylglutarate				0	0		3-hydroxy-3-methylglutarate	False	False	False	True	1
3hydroxybenzoate				0	0		3-hydroxybenzoate	False	False	False	True	1
3m2oxybutyrate				0	0	3m2-oxybutyrate		False	False	True	False	1
3methyl1butanol			3-methyl-1-butanol	2	1			False	True	False	False	1
3methyl2oxobutanoicacid			3-Methyl-2-oxobutanoic acid sodium salt	3	1			False	True	False	False	1
3methyl3butenol			3-methyl-3-butenol	2	1			False	True	False	False	1
3methylglucose				0	0	3-Methyl-Glucose		False	False	True	False	1
4acetamidobutanoate				0	0		4-acetamidobutanoate	False	False	False	True	1
4aminobutanoate				0	0		4-aminobutanoate	False	False	False	True	1
4aminobutyricacid			4-Aminobutyric acid	3	1			False	True	False	False	1
4guanidinobutanoate				0	0		4-guanidinobutanoate	False	False	False	True	1
4guanidinobutyricacid			4-Guanidinobutyric acid	2	1			False	True	False	False	1
4hex+c7h16o7				0	0		4Hex+C7H16O7	False	False	False	True	1
4hydroxy2quinolinecarboxylicacid				0	0		4-hydroxy-2-quinolinecarboxylic acid	False	False	False	True	1
4hydroxyphenylacetate				0	0		4-hydroxyphenylacetate	False	False	False	True	1
