strain	mol_norm	n_curves	n_fit_ok	any_growth	median_mu	median_A	median_lag	median_auc	normalized	enigma_name	enigma_chebi	in_fb	in_csp	in_wom	n_datasets	is_fb_anchor
FW300-N1B4	methanol	2	0	True	0.014628401079545097	0.06694495425241055	13.513488732645587	11.133063125	methanol	methanol	CHEBI:17790	True	False	False	2	True
FW300-N1B4	nacetyldglucosamine	3	1	True	0.008714126762286264	0.14081386873956975	10.090041233930105	14.062875972222223	nacetyldglucosamine	N-acetyl-D-glucosamine	CHEBI:506227	True	True	False	3	True
FW300-N1B4	nicotinicacid	1	0	False				9.156100277777778	nicotinicacid	nicotinic acid	CHEBI:15940	True	False	False	2	True
FW300-N1B4	nitrate	2	0	False				9.019785138888889	nitrate	sodium nitrate	CHEBI:63005	True	False	False	2	True
FW300-N1B4	nitrite	1	0	False				8.237045555555556	nitrite	sodium nitrite	CHEBI:78870	True	False	False	2	True
FW300-N1B4	octanoate	1	1	True	0.07356458802012263	1.1156905974395297	20.111722431611202	49.623576666666665	octanoate	sodium octanoate	CHEBI:132100	True	False	False	2	True
FW300-N1B4	octanoicacid	2	2	True	0.07770504356122157	0.7750117356155625	7.011500006186742	53.11318833333333	octanoicacid	octanoic acid	CHEBI:28837	True	False	False	2	True
FW300-N1B4	parabanicacid	1	0	False				9.366879722222222	parabanicacid	parabanic acid	CHEBI:74661	True	False	False	2	True
FW300-N1B4	propionate	1	0	False				7.933297777777778	propionate	sodium propionate	CHEBI:132106	True	True	False	3	True
FW300-N1B4	pyruvate	1	1	True	0.07886375365252732	0.1988913281397112	7.782706085803468	19.893942777777777	pyruvate	sodium pyruvate	CHEBI:50144	True	True	False	3	True
FW300-N1B4	succinatehexa	1	1	True	0.08394125355226643	0.28108008446753585	7.245865245153432	24.824978055555555	succinatehexa	sodium succinate hexahydrate	CHEBI:63686	True	False	False	2	True
FW300-N1B4	succinicacid	3	1	True	0.04695037113673034	0.28473348604430027	7.553044100458873	24.31125013888889	succinicacid	succinic acid	CHEBI:15741	True	True	False	3	True
FW300-N1B4	sucrose	3	3	True	0.028407761184730762	0.6533086594410369	5.337133936230264	38.9233825	sucrose	sucrose	CHEBI:17992	True	True	False	3	True
FW300-N1B4	thymidine	1	0	False				8.34435611111111	thymidine	thymidine	CHEBI:17748	True	True	True	4	True
FW300-N1B4	uracil	1	0	False				8.53016472222222	uracil	uracil	CHEBI:17568	True	False	True	3	True
FW300-N1B4	urea	1	0	False				8.455124166666668	urea	urea	CHEBI:16199	True	False	False	2	True
FW300-N1B4	uridine	1	1	True	0.039343469253177436	4.586233629833408	66.33277777776793	12.1807725	uridine	uridine	CHEBI:16704	True	True	True	4	True
FW300-N1B4	xylitol	1	0	False				8.179676666666666	xylitol	xylitol	CHEBI:17151	True	True	False	3	True
FW300-N2E2	2'deoxycytidine	1	0	False				10.7101825	2'deoxycytidine	2'-deoxycytidine	CHEBI:15698	True	False	False	2	True
FW300-N2E2	2deoxydribose	2	0	False				8.23609375	2deoxydribose	2-deoxy-D-ribose	CHEBI:28816	True	True	False	3	True
FW300-N2E2	acetate	6	4	True	0.059785674616730414	0.07930273373376973	10.685005795559626	14.165313472222223	acetate	sodium acetate	CHEBI:32954	True	True	False	3	True
FW300-N2E2	adeninehydrochloride	2	0	False				6.4546874999999995	adeninehydrochloride	adenine hydrochloride hydrate	ME:0000414	True	False	False	2	True
FW300-N2E2	ammoniumchloride	2	1	True	0.0015396448171414515	0.03965209834701348	1.9746186908167293e-31	10.898040000000002	ammoniumchloride	ammonium chloride	CHEBI:31206	True	False	False	2	True
FW300-N2E2	benzoicacid	2	0	False				6.254437499999998	benzoicacid	benzoic acid	CHEBI:30746	True	False	False	2	True
FW300-N2E2	betaalanine	1	1	True	0.0457466202089235	0.12920384309058816	15.398089085382848	17.57165527777778	betaalanine	beta-alanine	CHEBI:16958	True	True	False	3	True
FW300-N2E2	betalactose	2	0	False				8.649300416666666	betalactose	beta-lactose	CHEBI:36218	True	False	False	2	True
FW300-N2E2	butyrate	2	1	True	0.016942313298728834	0.1676126027967689	18.79145966834401	16.708760625	butyrate	sodium butyrate	CHEBI:64103	True	True	False	3	True
FW300-N2E2	cholinechloride	1	1	True	0.013138150112395008	0.20694648439583085	13.858369308546036	23.652373333333337	cholinechloride	choline chloride	CHEBI:133341	True	False	False	2	True
FW300-N2E2	citricacid	4	2	True	0.05085851228484249	0.2661388823680314	5.318919513634635	16.64637875	citricacid	citric acid	CHEBI:30769	True	True	False	3	True
FW300-N2E2	cobaltchloridehexa	2	2	True	0.02156064805437339	0.7435214776278367	0.9909038708206527	23.970312500000002	cobaltchloridehexa	cobalt chloride hexahydrate	CHEBI:53503	True	False	False	2	True
FW300-N2E2	cytidine	1	1	True	0.01363731071718496	3.4846828886484835	74.52833333304281	15.827026388888893	cytidine	cytidine	CHEBI:17562	True	True	True	4	True
FW300-N2E2	cytosine	1	0	False				10.576108333333334	cytosine	cytosine	CHEBI:16040	True	False	True	3	True
FW300-N2E2	dalanine	1	1	True	0.02360709634046271	0.1452302481047697	12.807893612995795	18.872955833333332	dalanine	D-alanine	CHEBI:15570	True	False	False	2	True
FW300-N2E2	darabinose	2	0	False				8.59378451388889	darabinose	D-arabinose	CHEBI:17108	True	False	False	2	True
FW300-N2E2	dfructose	2	1	True	0.05301818844282086	0.4654303714230905	18.679262533107654	32.57465756944445	dfructose	D-fructose	CHEBI:15824	True	False	False	2	True
FW300-N2E2	dglucose6phosphate	2	0	False				8.345480833333333	dglucose6phosphate	D-glucose 6-phosphate	CHEBI:14314	True	False	False	2	True
FW300-N2E2	dglucuronicacid	2	2	True	0.03725876127283782	0.2777003497958102	19.719960937081566	22.497882708333336	dglucuronicacid	D-glucuronic acid	CHEBI:4178	True	False	False	2	True
FW300-N2E2	dmannitol	4	2	True	0.03742297566440563	0.7669694070819675	9.048475609372888	40.25250027777777	dmannitol	D-mannitol	CHEBI:16899	True	False	False	2	True
FW300-N2E2	dserine	1	0	False				10.815316111111112	dserine	D-serine	CHEBI:16523	True	False	False	2	True
