orgId	locusId	sysName	geneName	desc	set11TCH513 Stem-Norland	set11TCH514 Stem-Norland	set11TCH515 Stem-Norland	set11TCH516 Stem-Norland	set11TCH518 Stem-Norland	set11TCH527 Stem-Atlantic	set11TCH529 Stem-Atlantic	set11TCH530 Stem-Atlantic	set11TCH531 Stem-Atlantic	set11TCH534 Stem-Atlantic	set15TCH690 M9+sucrose	set15TCH691 M9+sucrose	set15TCH692 M9+sucrose	set15TCH693 M9+starch	set15TCH694 M9+starch	set15TCH695 M9+starch	set15TCH696 M9+polygalacturonate	set15TCH697 M9+polygalacturonate	set15TCH698 M9+polygalacturonate	set9TCH417 LB	set9TCH418 LB	set9TCH419 LB	set9TCH420 LB	setATCH110 LB	setATCH111 LB	setATCH112 LB	setATCH128 M9+glycerol	setATCH129 M9+glycerol	setATCH130 M9+glycerol	setATCH145 PDB	setATCH146 PDB	setATCH147 PDB	setATCH148 Atlantic	setATCH149 Atlantic	setATCH150 Atlantic	setATCH151 Atlantic	setATCH152 Atlantic	setATCH153 Atlantic	setATCH154 Norland	setATCH155 Norland	setATCH156 Norland	setATCH157 Norland	setATCH158 Norland	setATCH159 Norland	setATCH160 Upstate	setATCH161 Upstate	setATCH162 Upstate	setATCH163 Upstate	setATCH164 Upstate	setATCH165 Upstate	setATCH191 LB	setATCH192 LB	setATCH194 PDB	setATCH195 PDB	setATCH196 PDB	setATCH197 M9+glycerol	setATCH198 M9+glycerol	setATCH199 M9+glycerol
Dda3937	DDA3937_RS00055	DDA3937_RS00055		ribose operon transcriptional repressor RbsR	4.839	7.689	6.060	9.389	14.152	14.229	9.438	11.201	11.265	9.258	4.256	2.954	4.391	-5.503	-3.876	-2.545	0.888	2.302	0.441	1.679	3.128	1.725	2.014	11.625	12.838	12.524	17.891	22.299	20.433	-2.941	-3.841	-2.055	4.700	8.237	3.291	4.450	3.274	1.676	7.403	8.176	9.815	7.689	9.283	9.953	20.315	7.471	9.428	6.372	9.376	10.891	-3.244	-3.400	0.987	-0.762	-0.139	28.371	22.066	24.044
Dda3937	DDA3937_RS00080	DDA3937_RS00080		molybdopterin-guanine dinucleotide biosynthesis protein B	-0.298	0.662	-1.186	0.469	1.020	0.079	0.754	-0.165	-0.901	1.076	-1.757	0.968	-1.603	-1.348	-0.040	-2.226	-0.711	-1.336	-0.870	0.818	-1.392	-0.502	0.505	-0.743	-0.392	-1.578	-1.230	-0.348	0.510	-1.151	-0.778	-0.948	0.273	1.744	1.110	-1.080	0.968	-0.418	0.542	-0.931	-0.295	-0.152	0.265	-0.399	-1.324	0.384	0.278	0.458	0.907	-0.818	-0.731	-0.039	-0.233	-0.146	-3.027	-1.099	-0.467	0.410
Dda3937	DDA3937_RS00085	DDA3937_RS00085		molybdenum cofactor guanylyltransferase MobA	-4.942	-8.450	-4.127	-3.881	-4.139	-1.455	-5.222	-2.848	-2.115	-0.731	0.302	0.251	-0.188	-0.207	0.470	0.064	-2.001	-2.019	-1.745	-1.452	-1.597	-1.046	-0.884	-2.280	-2.631	-2.359	-1.074	1.122	0.727	1.166	2.761	1.897	-1.710	-1.021	-0.796	-1.951	-3.526	-0.662	-3.106	-4.993	-2.435	-3.813	-2.284	-0.937	-5.177	-3.067	-3.062	-3.947	-3.968	-4.113	-1.115	-1.395	2.691	3.429	1.895	-1.431	-0.962	-0.240
Dda3937	DDA3937_RS00090	DDA3937_RS00090		YihD family protein	0.246	-0.773	-0.751	0.343	-0.817	-2.976	0.346	-0.550	-0.521	0.836	0.904	0.746	-0.418	0.016	-1.346	-0.898	-0.286	1.404	-1.056	-0.449	1.878	-0.117	-0.633	0.008	0.418	0.542	1.510	-1.251	-1.142	-1.976	-2.548	-2.242	1.644	-1.240	-2.032	-1.966	0.249	0.929	0.964	0.640	0.545	-0.635	-0.050	-0.409	-2.382	-1.520	1.555	1.620	-0.940	-1.976	-1.125	-0.589	0.390	-1.798	-1.024	0.734	-2.098	0.815
Dda3937	DDA3937_RS00095	DDA3937_RS00095		serine/threonine protein kinase	-0.293	-1.371	-0.008	-0.561	1.028	-1.137	-0.988	-1.728	-1.262	-1.684	-0.132	0.792	-0.177	0.281	-1.183	0.259	0.405	-0.216	0.129	-0.448	0.076	-0.806	-0.694	1.271	1.585	1.534	0.316	-0.236	-1.092	-1.557	-1.594	0.103	-0.188	-0.867	-1.914	-1.004	-2.467	-1.630	-0.820	-0.612	-1.889	-0.528	0.530	-2.188	-2.805	-3.024	-2.315	-2.871	-2.240	-1.023	0.098	-0.488	-0.903	1.552	-0.280	1.936	0.093	-2.512
Dda3937	DDA3937_RS00100	DDA3937_RS00100		thiol:disulfide interchange protein DsbA	-8.850	-9.049	-10.564	-8.602	-7.123	-8.783	-14.088	-11.157	-12.668	-14.375	-9.161	-9.054	-9.461	-0.588	-0.641	-1.975	-1.335	-1.736	-5.156	8.583	7.485	7.469	6.252	10.564	11.981	11.850	1.788	6.706	6.256	3.411	5.689	5.332	-2.583	-2.959	-4.474	-4.389	-3.861	-6.615	-1.201	-8.367	-4.819	-10.127	2.083	-3.055	-6.769	-0.826	-2.664	-8.093	-6.660	-2.589	-0.407	-1.146	5.783	8.182	5.881	6.904	6.792	8.844
Dda3937	DDA3937_RS00115	DDA3937_RS00115		Der GTPase-activating protein YihI	0.225	-1.042	-1.183	1.383	-1.176	-0.199	-2.607	-0.652	1.184	0.800	-0.628	-1.482	-1.240	0.379	0.110	0.137	-0.328	-0.096	-0.483	-2.081	-0.637	-0.239	-0.398	1.404	2.355	0.265	0.948	-0.303	-0.196	-1.129	0.825	0.514	-0.913	-0.101	0.097	0.597	-2.324	-0.465	0.231	-0.438	-1.242	-1.183	-1.068	1.565	-0.614	-0.101	3.557	-0.999	-1.242	-0.236	1.192	-0.235	-0.069	-1.441	-0.226	0.044	0.019	0.358
Dda3937	DDA3937_RS00120	DDA3937_RS00120		oxygen-independent coproporphyrinogen III oxidase	-5.576	-6.083	-3.326	-0.413	-3.528	-2.901	-1.482	-3.135	-1.478	-0.851	-0.039	0.093	-0.575	-1.117	0.076	-0.928	-0.748	-0.439	-1.141	-0.872	-0.587	-0.462	-0.896	-0.611	-0.613	-0.134	-0.101	0.398	0.166	0.807	-0.960	-0.455	-2.690	-1.917	-3.363	-1.536	-4.803	-0.852	-3.815	-5.710	-2.612	-3.832	-3.385	-4.869	-8.760	-5.515	-5.006	-6.298	-4.347	-4.911	0.253	-0.507	-0.817	-0.901	0.549	0.126	-1.090	-0.026
Dda3937	DDA3937_RS00125	DDA3937_RS00125		nitrogen regulation protein NR(I)	-0.644	0.306	-2.625	-1.623	-1.081	-2.050	-1.066	-2.541	-2.708	-1.692	-4.831	-4.725	-3.288	-4.546	-3.120	-4.345	-4.704	-2.986	-4.445	-2.028	-1.330	-0.748	-1.203	-0.005	-1.550	-1.320	-2.176	-1.699	-2.217	-1.392	-1.442	-1.020	0.133	-2.482	-1.830	0.049	-2.634	-1.372	-1.219	-1.839	-0.574	-1.184	-0.284	-1.708	-1.168	-0.976	-1.519	-0.819	-2.052	0.638	-2.517	-3.041	-1.625	-1.271	-1.199	-3.450	-2.642	-2.278
Dda3937	DDA3937_RS00130	DDA3937_RS00130		nitrogen regulation protein NR(II)	2.344	-0.563	-0.387	-0.394	-3.211	-4.002	-2.732	-3.303	-0.790	-1.987	-8.831	-9.070	-8.807	-7.186	-5.652	-8.899	-8.882	-8.935	-6.705	-1.848	-2.810	-0.586	-0.047	-1.607	-1.278	0.285	-3.488	-2.710	-2.572	-3.783	-4.841	-6.137	-0.044	0.201	-1.938	-0.499	0.433	1.191	0.371	0.275	0.032	-0.966	-0.409	-1.104	1.003	-1.071	0.265	1.179	-1.218	0.878	-0.689	0.245	-8.882	-8.297	-6.271	-2.325	0.184	-3.003
Dda3937	DDA3937_RS00135	DDA3937_RS00135		glutamate--ammonia ligase	-0.064	-0.181	-2.095	-1.607	-2.135	-1.443	-2.017	-2.696	-2.490	-1.406	-2.589	-2.592	-2.455	-2.511	-2.090	-2.936	-2.780	-1.684	-2.642	-2.943	-1.008	-1.998	-2.730	-2.440	-2.642	-2.255	-2.446	-2.149	-2.291	-0.558	-0.615	-0.098	-0.435	-1.459	-1.239	0.948	-0.945	-1.415	-1.624	-0.993	-1.284	-0.503	-0.667	-0.856	-1.360	-1.951	-1.439	-0.923	-1.699	-1.366	-1.099	-0.567	-1.267	-0.469	-1.305	-1.317	-1.201	-0.740
Dda3937	DDA3937_RS00140	DDA3937_RS00140		ribosome-dependent GTPase TypA	-6.349	-4.532	-2.893	-2.836	-6.029	-5.430	-3.126	-4.683	-3.216	-5.792	-3.603	-2.327	-4.368	-4.614	-5.750	-3.431	-1.476	-3.225	-2.492	-3.410	-4.562	-3.022	-4.478	-4.384	-3.690	-5.498	4.843	3.928	4.557	-0.880	-3.070	0.136	-4.630	-6.932	-3.101	-4.514	-4.819	-3.575	-4.974	0.241	-4.587	-5.148	-2.163	-6.437	-4.646	-5.436	-4.029	-4.685	-6.428	-4.613	-4.581	-4.435	0.497	2.459	-1.310	2.186	4.077	5.795
Dda3937	DDA3937_RS00145	DDA3937_RS00145		glucose-1-phosphatase	0.289	0.270	0.789	2.333	-1.061	0.732	0.586	-0.152	-0.908	-1.512	-0.958	-2.083	-1.912	0.120	0.135	-0.726	-1.460	-0.578	0.396	1.750	0.518	1.479	1.384	0.176	1.281	0.647	-0.382	0.289	-1.301	-0.196	-0.370	1.104	1.181	0.141	0.832	-0.309	-0.828	1.295	0.500	0.815	1.685	-0.796	1.775	-0.149	-0.123	0.340	0.020	0.997	0.973	1.785	0.812	-0.514	-1.794	-0.103	1.143	0.279	0.557	1.150
Dda3937	DDA3937_RS00150	DDA3937_RS00150		D-tyrosyl-tRNA(Tyr) deacylase	-0.133	-1.625	0.604	0.185	-2.068	0.220	-0.555	0.945	-0.342	0.969	-1.408	-0.837	-0.459	-1.258	-0.220	-0.284	0.128	-0.474	1.123	1.025	0.954	-0.920	1.115	1.039	0.131	-0.879	-1.878	-1.464	-2.697	1.149	-0.923	-2.745	0.879	0.197	-0.255	0.990	-0.937	-1.588	-1.424	-0.320	-1.494	1.758	0.334	1.047	-0.805	1.003	-0.065	0.085	-2.332	-0.119	-0.055	-0.430	0.008	-0.924	-1.539	-1.627	-2.108	-0.329
Dda3937	DDA3937_RS00155	DDA3937_RS00155		fatty acid biosynthesis protein FabY	1.468	-0.047	-1.294	-3.767	-1.986	-2.199	-1.117	-2.143	-1.069	0.635	-1.540	-3.008	-1.818	-3.432	-3.856	-5.374	-1.845	-0.859	-2.007	-2.057	-2.465	-2.017	-2.419	-2.625	-1.905	-1.783	-4.587	-3.975	-3.271	-0.058	-2.683	-4.947	0.699	-2.002	-2.388	-2.945	-1.413	-2.008	-0.290	-2.122	-1.302	-0.288	0.548	-0.683	-1.005	-1.498	-0.057	0.753	-0.487	-0.712	0.726	-0.679	-3.429	-0.712	-2.195	-5.042	-4.200	-2.706
Dda3937	DDA3937_RS00160	DDA3937_RS00160		AsmA family protein	0.070	1.224	0.804	-0.514	-0.131	0.193	1.294	1.422	-0.356	0.517	-0.387	-0.423	-1.418	-0.472	-1.477	-0.232	-1.230	0.254	-0.173	-0.535	-0.071	-0.115	0.084	0.135	0.499	-0.328	-0.327	-0.225	-0.014	-0.991	1.948	-0.961	0.012	0.571	-1.163	-0.317	0.306	-0.147	-0.575	-0.653	0.680	-0.059	-0.600	0.045	-2.387	0.466	-0.550	1.030	-0.208	-0.393	-0.404	0.893	0.412	0.103	-0.083	-0.018	-1.025	0.090
Dda3937	DDA3937_RS00165	DDA3937_RS00165		uracil-xanthine permease	-0.408	1.058	0.260	-1.987	-2.241	-3.518	-0.940	-0.173	-1.433	-0.122	0.686	-0.658	-0.794	-0.380	-1.473	-0.531	-0.155	-1.142	1.148	0.290	-0.071	1.366	1.157	-1.393	-0.306	-0.648	-1.681	-0.148	-0.488	1.167	-1.183	-0.803	0.117	-0.405	2.063	0.152	1.179	1.223	1.044	1.374	-0.501	-0.439	0.835	0.526	1.672	0.632	0.744	0.638	0.987	0.918	-0.404	-0.281	-0.581	0.904	-0.125	-1.857	-1.150	-1.606
Dda3937	DDA3937_RS00170	DDA3937_RS00170		ATP-dependent DNA helicase RecG	-1.750	-2.591	-2.383	-2.474	-3.283	0.120	-1.969	-0.621	-3.838	-0.750	-5.955	-5.584	-5.471	-1.183	-3.221	-3.079	-4.122	-3.314	-6.747	-2.579	-2.573	-2.292	-2.548	-2.054	-1.769	-1.802	-0.991	-2.217	-1.157	-3.430	-2.648	-2.046	-3.526	-1.476	-2.107	-0.754	-2.008	-1.294	-2.280	-2.024	-1.838	-0.621	-3.565	0.917	-0.426	-1.097	-0.786	-2.244	-0.226	-0.049	-3.323	-3.612	-3.994	-1.982	-1.692	-2.861	-5.520	-1.815
Dda3937	DDA3937_RS00175	DDA3937_RS00175		tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	-1.223	-0.515	0.503	-1.255	-0.230	0.653	-0.155	-0.098	-1.786	0.199	-2.684	-2.193	-2.673	-1.108	-1.464	-0.405	-3.289	-3.110	-2.838	-3.199	-3.346	-3.393	-2.899	-1.939	-1.295	-0.840	-0.189	-1.222	-2.204	0.235	-0.998	-1.774	-1.317	-1.269	-1.698	0.746	-0.096	0.730	-0.968	1.011	-0.106	-0.493	0.781	0.961	-0.820	-0.541	-0.859	0.182	-1.058	-1.514	-1.863	-0.852	-0.611	0.185	-0.562	-2.189	-1.005	-0.789
Dda3937	DDA3937_RS00185	DDA3937_RS00185		DNA-directed RNA polymerase subunit omega	-4.111	-4.297	-1.929	-2.691	-2.959	-2.583	-2.920	-4.768	-2.209	-1.836	-2.653	-1.238	-2.999	-2.395	-0.335	-2.749	-3.117	-3.750	-2.086	-1.525	-0.533	-2.653	-2.006	-0.604	-0.375	1.722	2.123	0.826	1.293	0.895	2.787	2.334	-0.342	-0.207	-1.851	0.847	-1.627	-1.580	-0.180	0.156	0.297	-0.623	0.146	-2.532	-2.199	-0.745	2.756	1.903	0.681	-2.157	0.859	-1.717	3.760	5.343	7.827	-0.534	3.928	2.784
Dda3937	DDA3937_RS00195	DDA3937_RS00195		NAD-dependent DNA ligase LigB	-2.152	-1.481	-0.247	0.714	-0.937	-0.135	0.107	-0.247	0.303	-2.682	-2.115	-1.796	-0.755	-0.859	-1.432	-1.045	-1.075	-0.955	-1.791	0.038	0.269	-0.726	-0.545	-0.146	0.327	-0.084	-0.740	-1.929	-1.072	-0.053	-1.077	0.238	-1.527	-2.186	-0.668	1.102	-2.105	-1.423	-0.872	-0.721	0.263	-0.033	-0.245	-0.114	-2.047	0.159	-0.675	-2.049	-0.895	0.057	-0.609	-0.126	-1.248	-1.169	-1.058	-1.260	-1.374	-1.194
Dda3937	DDA3937_RS00200	DDA3937_RS00200		kdo(2)-lipid A phosphoethanolamine 7''-transferase	-1.524	-1.236	-1.214	-0.600	-0.714	-0.695	-2.573	-2.149	-0.791	-2.516	-0.214	-0.671	-0.547	-0.261	-1.204	-1.474	-1.198	-0.886	-0.886	-0.193	-0.291	0.088	-1.481	-0.637	-1.685	-1.118	-0.827	-0.626	-1.683	-0.643	-0.887	-1.269	1.914	0.052	-0.709	-0.225	0.401	0.495	0.200	0.787	1.383	0.748	1.158	-0.333	1.821	1.128	0.288	-1.084	0.517	0.787	-0.568	0.410	1.239	0.335	-0.066	0.250	-0.614	-0.407
Dda3937	DDA3937_RS00210	DDA3937_RS00210		tetratricopeptide repeat protein	-0.037	-1.332	-0.822	-2.509	-0.249	-1.539	-0.378	-0.406	-0.355	0.526	1.421	-1.124	-0.614	0.640	0.990	-0.798	-1.161	-0.031	-1.138	0.274	-0.807	-0.592	0.927	0.170	-1.627	0.149	1.236	-0.304	0.154	-0.369	0.268	-0.719	0.487	0.843	-1.130	-0.353	-0.106	0.961	1.161	-1.585	-0.311	1.663	-0.047	-0.451	-0.739	0.277	-0.061	1.311	-0.399	1.075	-0.297	-0.512	-2.263	-1.101	-1.795	-0.517	0.825	-2.047
Dda3937	DDA3937_RS00215	DDA3937_RS00215		SDR family oxidoreductase	-0.884	-0.305	1.289	1.593	-0.283	-0.460	-0.635	-1.494	-1.074	-2.914	0.422	0.457	-1.053	0.273	-0.734	0.130	0.162	1.043	0.326	-0.185	0.223	-1.921	-0.900	0.230	0.855	-0.482	-1.049	-0.937	-0.837	0.116	-0.187	0.138	-0.068	-1.042	-0.927	-0.058	1.052	0.955	-0.453	0.168	-0.843	1.141	-1.905	1.143	-0.645	-1.371	-0.171	0.011	0.226	0.107	-0.043	-0.179	-0.924	-0.046	-0.885	0.549	0.768	-0.438
Dda3937	DDA3937_RS00220	DDA3937_RS00220		long-chain-fatty-acid--CoA ligase	-0.294	-0.640	-0.448	-1.274	-0.970	-2.277	1.066	-1.113	0.654	0.807	-2.181	-1.165	-1.067	-0.405	-1.357	-1.679	-0.036	-0.351	-0.517	0.855	-1.050	-0.149	-0.691	-0.110	-0.415	-0.419	-1.576	0.180	0.169	1.150	0.052	2.035	-0.446	0.170	-1.121	-0.773	0.133	0.715	1.576	-0.847	-0.869	-0.298	1.417	0.569	-1.275	-0.083	1.093	0.070	0.843	1.200	-1.170	-0.750	0.002	-0.168	0.075	-0.783	-0.998	-0.572
Dda3937	DDA3937_RS00225	DDA3937_RS00225		MFS transporter	0.334	-0.191	0.175	0.550	-0.111	-1.120	-0.782	1.823	1.281	0.147	-0.210	-0.608	0.458	0.521	-0.065	0.175	-0.143	0.739	-0.266	-0.682	0.018	0.661	-0.233	0.084	0.232	1.051	-1.643	0.819	-0.781	1.008	0.079	0.347	-2.315	1.338	-3.312	-1.455	-0.967	1.858	-2.045	-0.414	-0.256	0.690	0.119	0.368	0.007	-1.170	-0.981	-0.277	1.723	-0.290	-0.184	0.450	-2.292	0.020	-0.490	-0.332	-1.561	-0.335
Dda3937	DDA3937_RS00230	DDA3937_RS00230		LysR family transcriptional regulator	1.369	-0.934	-0.204	-1.212	1.363	0.697	2.362	-1.241	1.217	0.508	-0.398	-0.890	0.717	2.052	-0.855	-0.091	0.020	0.615	0.712	0.537	-0.129	0.540	0.810	-1.485	-0.860	-0.593	-1.786	-0.405	-1.525	0.295	1.103	-0.171	0.176	-0.558	-0.045	0.363	0.116	1.641	1.270	-0.912	1.034	-0.757	-1.953	1.056	1.290	0.855	-1.193	0.508	-0.078	-1.412	0.394	0.177	0.602	-0.170	1.513	0.086	-0.766	1.187
Dda3937	DDA3937_RS00235	DDA3937_RS00235		MFS transporter	-0.442	-0.159	0.256	0.980	1.272	0.298	1.243	0.071	-0.686	-0.494	-1.068	-0.991	-0.506	-0.605	-2.540	-2.235	-1.619	-0.219	-0.350	0.340	-0.142	-0.033	-0.025	-0.300	0.370	-0.532	0.485	-1.127	-0.341	-1.034	-0.015	0.708	0.408	0.115	1.653	1.710	1.561	-1.118	0.953	0.242	0.457	-0.179	0.493	-0.483	-1.341	-1.387	-1.255	0.404	0.382	-0.634	-0.519	0.617	-1.690	0.849	0.566	-0.397	-1.877	-0.710
Dda3937	DDA3937_RS00240	DDA3937_RS00240		histidine-type phosphatase	-0.616	0.282	-0.144	-0.546	0.175	0.722	0.009	-0.266	-1.078	-3.220	-0.583	-0.235	-0.279	0.572	-1.768	-0.865	-1.772	-0.837	-0.602	-0.721	-1.194	-0.952	-0.716	0.672	-0.164	-1.500	-0.522	-0.014	-0.598	-1.581	0.733	2.219	1.754	-0.426	0.478	1.873	0.069	-0.571	-0.379	-1.455	-0.466	-1.179	-0.936	0.884	-0.741	0.336	-0.204	-0.653	0.658	-1.936	-0.141	-0.980	0.733	-0.689	-0.859	-1.041	-0.581	-1.105
