orgId	locusId	sysName	geneName	desc	set1IT006 KB	set1IT008 KB with Dimethyl Sulfoxide 0.42 vol%	set1IT012 KB with Acriflavine 1.25 ug/ml	set1IT014 KB with Ampicillin 0.775 ug/ml	set1IT016 KB with Berberine 15.6 ug/ml	set1IT018 KB with Carbenicillin 3.1 ug/ml	set1IT020 KB with Chloramphenicol 1.55 ug/ml	set1IT022 KB with Erythromycin 6.25 ug/ml	set1IT030 KB with Nalidixic 0.775 ug/ml	set1IT034 KB with Nitrofurantoin 31.25 ug/ml	set1IT038 KB with Phloretin 125 ug/ml	set1IT046 KB with Trimethoprim 15.6 ug/ml	set3IT010 KB with Acridine orange 3.125 ug/ml	set3IT020 KB with Mitomycin C 0.05 ug/ml	set4IT014 KB	set4IT016 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT018 KB with Rifampicin 0.1 mg/ml	set4IT020 KB with capsaicin 0.25 mg/ml	set4IT022 KB with capsaicin 0.125 mg/ml	set4IT026 KB with Flavone 0.125 mg/ml	set4IT028 KB with Rotenone 0.25 mg/ml	set4IT030 KB with Rotenone 0.125 mg/ml	set4IT032 KB with Nitrofurantoin 0.0625 mg/ml
SyringaeB728a_mexBdelta	Psyr_3819	Psyr_3819		Protein of unknown function DUF1349	-0.030	-0.289	-0.076	0.037	-0.238	0.448	-0.285	-0.264	-0.155	0.061	0.023	0.076	-0.318	-0.105	-0.178	-0.269	-0.067	-0.021	-0.194	-0.269	-0.195	-0.220	-0.096
SyringaeB728a_mexBdelta	Psyr_3821	Psyr_3821		Short-chain dehydrogenase/reductase SDR	0.161	0.361	0.178	-0.062	-0.143	1.185	0.439	0.475	0.243	0.371	0.350	0.274	-0.248	-0.001	0.428	-0.195	0.135	0.154	-0.227	0.455	0.478	0.278	0.522
SyringaeB728a_mexBdelta	Psyr_3822	Psyr_3822		Protein of unknown function DUF6	0.167	0.086	-0.060	-0.008	0.159	0.232	-0.132	-0.010	0.123	-0.011	0.146	0.085	-0.127	-0.059	-0.367	-0.186	-0.107	-0.179	0.007	-0.111	-0.141	-0.169	-0.087
SyringaeB728a_mexBdelta	Psyr_3823	Psyr_3823		Hemolysin-type calcium-binding region:Putative Ig	0.035	0.009	0.045	0.099	0.056	0.149	0.044	-0.014	0.023	0.059	0.015	0.066	-0.020	0.274	0.000	0.004	-0.005	-0.097	0.032	0.079	-0.001	0.009	0.066
SyringaeB728a_mexBdelta	Psyr_3824	Psyr_3824		conserved hypothetical protein	0.449	-0.167	0.115	-0.077	-0.403	0.309	-0.316	-0.005	0.287	-0.430	-0.173	-0.078	-0.311	-0.320	-0.049	-0.476	-0.331	-0.417	-0.341	-0.308	-0.357	-0.335	0.051
SyringaeB728a_mexBdelta	Psyr_3825	Psyr_3825		transcriptional regulator, LysR family	-0.156	0.096	0.100	0.048	0.097	0.115	-0.142	0.241	-0.011	0.223	0.041	0.040	0.006	0.047	-0.306	-0.094	-0.381	-0.199	-0.320	-0.224	-0.153	-0.294	0.146
SyringaeB728a_mexBdelta	Psyr_3826	Psyr_3826		Peptidyl-prolyl cis-trans isomerase, cyclophilin type	-0.212	-0.193	-0.279	-0.640	-0.274	-0.753	-0.194	0.055	0.073	-0.093	-0.214	0.151	0.760	-0.356	0.282	0.651	0.462	0.160	0.205	0.417	0.262	0.328	-0.049
SyringaeB728a_mexBdelta	Psyr_3827	Psyr_3827		ABC transporter, transmembrane region:ABC transporter	0.051	-0.038	0.026	-0.038	-0.124	0.186	0.014	0.020	-0.038	0.122	-0.062	0.090	-0.150	-0.345	0.025	-0.012	0.011	-0.185	-0.107	0.006	-0.116	0.043	-0.055
SyringaeB728a_mexBdelta	Psyr_3828	Psyr_3828		Protein of unknown function DUF482	-0.082	-0.018	0.146	-0.029	-0.012	-0.260	0.249	-0.040	0.097	0.151	0.140	0.067	-0.433	-0.439	-0.085	-0.062	-0.268	-0.278	-0.370	-0.209	-0.072	-0.107	-0.210
SyringaeB728a_mexBdelta	Psyr_3829	Psyr_3829		Leucine-rich repeat protein	0.029	0.030	-0.088	0.051	-0.081	-0.113	-0.012	-0.127	0.008	-0.038	0.002	-0.008	-0.062	-0.016	-0.051	-0.025	-0.076	-0.021	-0.093	0.053	-0.047	-0.021	-0.023
SyringaeB728a_mexBdelta	Psyr_3830	Psyr_3830		3-oxoacyl-[acyl-carrier protein] synthase	-0.080	-0.135	-0.582	-0.192	0.067	-0.251	0.039	-0.478	0.047	-0.131	0.113	-0.256	0.171	0.696	-0.096	0.007	-0.062	-0.022	-0.380	0.183	-0.051	-0.029	-0.064
SyringaeB728a_mexBdelta	Psyr_3831	Psyr_3831		ATP-dependent helicase HrpA	-0.102	-0.147	0.192	-0.174	-0.240	0.119	-0.518	-3.358	-0.065	-0.239	-0.530	-0.047	-0.016	-0.450	-0.076	0.054	-0.034	0.084	-0.027	0.229	0.046	0.017	-0.033
SyringaeB728a_mexBdelta	Psyr_3833	Psyr_3833		Plasmid stabilization system	-0.083	0.184	0.133	0.172	0.024	-0.179	0.349	-0.005	-0.054	-0.383	-0.110	-0.295	-0.207	-0.364	-0.056	0.108	-0.483	0.092	0.098	-0.230	-0.309	-0.152	-0.094
SyringaeB728a_mexBdelta	Psyr_3834	Psyr_3834		AMP-dependent synthetase and ligase	0.085	-0.027	0.041	0.032	0.187	0.249	0.282	0.456	0.176	-0.194	-0.337	-0.040	-0.092	-0.328	-0.073	-0.051	-0.081	0.045	-0.090	0.060	-0.053	-0.053	0.137
SyringaeB728a_mexBdelta	Psyr_3835	Psyr_3835		hypothetical protein	0.641	-0.100	0.087	0.336	-0.013	-0.292	0.589	0.031	0.643	-0.128	0.084	0.666	-0.316	-0.608	0.069	-0.051	-0.048	-0.435	0.096	0.288	-0.084	0.069	-0.463
SyringaeB728a_mexBdelta	Psyr_3836	Psyr_3836		AMP-dependent synthetase and ligase	0.130	0.197	0.018	0.074	-0.103	-0.118	-0.049	-0.242	0.045	0.280	-0.032	0.097	0.263	0.097	0.132	0.030	0.199	-0.095	-0.046	0.159	0.051	-0.022	0.235
SyringaeB728a_mexBdelta	Psyr_3837	Psyr_3837		conserved hypothetical protein	1.094	1.097	0.605	0.252	0.087	-0.578	0.875	-0.100	-0.063	1.040	0.048	0.958	-0.778	-0.682	-0.182	0.163	-0.079	0.256	-0.087	-0.082	-0.185	0.319	0.051
SyringaeB728a_mexBdelta	Psyr_3839	Psyr_3839		type III helper protein HopAK1	-0.033	-0.093	-0.238	-0.180	-0.162	-0.114	0.055	-0.075	-0.048	-0.233	-0.096	-0.293	0.029	-0.200	0.002	-0.030	-0.033	-0.018	-0.141	-0.050	-0.076	-0.131	0.019
SyringaeB728a_mexBdelta	Psyr_3840	Psyr_3840		conserved hypothetical protein	0.258	0.657	0.218	-0.086	-0.074	0.237	-0.239	-0.329	-0.076	0.103	0.316	-0.166	0.003	-0.072	0.065	-0.039	0.102	0.127	0.079	0.038	-0.052	0.036	-0.164
SyringaeB728a_mexBdelta	Psyr_3841	Psyr_3841		conserved hypothetical protein	-0.106	-0.618	-0.158	-0.740	-0.487	-0.689	0.063	-0.341	-0.251	-0.585	-0.041	-0.384	1.070	0.021	0.501	0.022	0.651	0.169	-0.093	-0.073	-0.035	-0.073	0.408
SyringaeB728a_mexBdelta	Psyr_3842	Psyr_3842		SNF2-related:Helicase, C-terminal:Type III restriction enzyme, res subunit	-0.382	-0.073	-0.218	-0.520	-0.119	-1.048	0.143	-0.096	0.776	-0.367	-0.152	-0.619	-0.287	1.340	-0.703	-0.166	-0.319	-0.167	-0.414	-0.790	-0.428	-0.379	-0.519
SyringaeB728a_mexBdelta	Psyr_3843	Psyr_3843		diguanylate cyclase/phosphodiesterase	0.074	0.029	-0.013	-0.004	0.026	-0.041	-0.033	-0.088	0.123	-0.119	-0.004	0.022	0.030	0.070	-0.041	0.107	-0.147	-0.091	-0.066	0.065	-0.103	-0.240	0.020
SyringaeB728a_mexBdelta	Psyr_3844	Psyr_3844		conserved hypothetical protein	-0.560	-0.923	-0.889	-0.522	-0.191	-1.693	-0.434	-0.743	-0.759	-0.529	-1.480	-0.793	-0.321	-2.498	0.265	0.231	0.039	0.710	0.765	0.713	0.418	-0.079	0.891
SyringaeB728a_mexBdelta	Psyr_3845	Psyr_3845		L-leucine-binding protein / L-valine-binding protein / L-isoleucine-binding protein	-0.132	0.082	-0.278	0.016	-0.087	-0.111	-0.133	-0.125	-0.046	-0.089	-0.061	0.068	0.011	-0.279	0.050	-0.123	0.047	-0.097	-0.194	0.075	0.021	-0.075	-0.201
SyringaeB728a_mexBdelta	Psyr_3846	Psyr_3846		L-valine ABC transporter membrane protein / L-isoleucine ABC transporter membrane protein / L-leucine ABC transporter membrane protein	-0.011	-0.017	-0.200	-0.049	0.098	-0.140	0.033	-0.242	-0.036	-0.029	-0.101	0.052	-0.106	-0.042	0.022	-0.064	-0.187	-0.125	-0.117	-0.017	-0.195	-0.204	-0.111
SyringaeB728a_mexBdelta	Psyr_3847	Psyr_3847		L-valine ABC transporter membrane protein / L-isoleucine ABC transporter membrane protein / L-leucine ABC transporter membrane protein	0.069	0.179	-0.036	0.090	-0.123	-0.698	0.054	0.075	-0.091	-0.064	-0.097	0.017	0.054	-0.017	0.014	0.124	0.051	0.153	0.312	0.227	0.067	0.293	0.271
SyringaeB728a_mexBdelta	Psyr_3848	Psyr_3848		L-valine ABC transporter ATP-binding protein / L-isoleucine ABC transporter ATP-binding protein / L-leucine ABC transporter ATP-binding protein	0.229	0.135	-0.097	0.006	-0.157	-0.431	0.010	-0.154	-0.097	-0.181	-0.086	0.228	0.524	0.548	-0.114	0.289	0.169	0.124	-0.524	0.043	0.165	0.023	-0.142
SyringaeB728a_mexBdelta	Psyr_3849	Psyr_3849		L-isoleucine ABC transporter ATP-binding protein / L-leucine ABC transporter ATP-binding protein / L-valine ABC transporter ATP-binding protein	-0.147	0.022	-0.172	-0.114	-0.150	-0.458	0.030	-0.228	-0.065	-0.067	0.082	-0.238	0.640	0.819	-0.239	-0.198	-0.413	-0.009	-0.270	-0.017	0.022	-0.107	-0.089
