orgId	locusId	sysName	geneName	desc	set1IT085 CPG	set1IT086 M63_quarter_strength	set1IT089 CPG	set1IT090 M63_quarter_strength	set2IT016 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT019 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT022 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set3IT043 M63_quarter_strength
RalstoniaPSI07	RPSI07_RS00470	RPSI07_RS00470		GNAT family N-acetyltransferase	0.028	6.727	0.484	4.954	0.621	-1.170	-0.048	3.892
RalstoniaPSI07	RPSI07_RS00475	RPSI07_RS00475		hypothetical protein	1.148	0.052	0.295	0.094	-0.162	-0.849	-0.685	0.218
RalstoniaPSI07	RPSI07_RS00480	RPSI07_RS00480		PhoPQ-regulated protein	0.305	0.108	-0.469	0.349	-0.884	-0.039	-0.370	-2.197
RalstoniaPSI07	RPSI07_RS00485	RPSI07_RS00485		drug:proton antiporter	0.328	-0.607	-0.243	-1.213	0.508	-0.860	1.015	-0.601
RalstoniaPSI07	RPSI07_RS00490	RPSI07_RS00490		4'-phosphopantetheinyl transferase	0.173	-0.596	-0.432	-0.906	-0.792	-1.192	-1.710	-2.578
RalstoniaPSI07	RPSI07_RS00495	RPSI07_RS00495		MATE family efflux transporter	-1.177	-0.401	-1.084	-0.270	-0.366	0.786	-0.246	1.079
RalstoniaPSI07	RPSI07_RS00500	RPSI07_RS00500		MbtH family protein	0.729	0.955	0.402	1.275	0.291	0.180	1.738	-0.749
RalstoniaPSI07	RPSI07_RS00505	RPSI07_RS00505		non-ribosomal peptide synthetase	-0.236	-0.341	-0.943	0.121	-0.595	-0.508	-0.075	-0.195
RalstoniaPSI07	RPSI07_RS00510	RPSI07_RS00510		adenylyl-sulfate kinase	-0.606	-2.000	0.216	0.864	-0.311	0.649	-0.057	-0.393
RalstoniaPSI07	RPSI07_RS00515	RPSI07_RS00515		sulfotransferase	-0.288	-3.142	-0.361	0.546	-0.317	-0.676	0.095	-0.217
