orgId	locusId	sysName	geneName	desc	set10IT030 Disodium Glutarate (C)	set10IT031 Disodium Glutarate (C)	set8IT063 Sebacic (C)	set8IT064 Dodecandioic (C)	set8IT065 Protocatechuic Acid (C)	set9IT064 D-Glucose (C)	set9IT065 acetate (C)	set9IT066 propionate (C)	set9IT067 butyrate (C)	set9IT068 Valeric (C)	set9IT069 Hexanoic (C)	set9IT070 Heptanoic (C)	set9IT071 Octanoic (C)	set9IT073 Lauric (C)	set9IT074 succinate (C)	set9IT075 adipate (C)	set9IT076 Pimelic (C)	set9IT077 Suberic (C)	set9IT078 Azelaic (C)	set9IT079 Sebacic (C)	set9IT080 Dodecandioic (C)	set9IT081 Protocatechuic Acid (C)	set9IT082 D-Glucose (C)	set9IT083 acetate (C)	set9IT084 propionate (C)	set9IT085 butyrate (C)	set9IT086 Valeric (C)	set9IT087 Hexanoic (C)	set9IT088 Heptanoic (C)	set9IT089 Octanoic (C)	set9IT091 Lauric (C)	set9IT092 succinate (C)	set9IT093 adipate (C)	set9IT094 Pimelic (C)
CL21	ABZR87_RS00085	ABZR87_RS00085		ABC transporter ATP-binding protein	-0.213	0.958	2.504	0.536	1.319	-1.243	-1.199	1.402	-0.147	-1.230	0.217	0.757	-1.421	0.730	0.058	1.613	0.109	0.474	0.289	1.515	1.294	1.381	1.503	-0.744	-1.343	-0.032	-0.084	0.314	0.149	-0.692	1.085	0.207	-0.167	0.996
CL21	ABZR87_RS00090	ABZR87_RS00090		iron ABC transporter permease	0.473	0.599	-0.823	1.083	1.203	1.732	1.660	0.740	0.063	-0.633	1.770	0.738	-0.258	0.574	1.534	0.175	0.240	1.073	2.097	2.342	1.824	2.107	1.862	0.616	2.077	2.791	0.517	0.270	0.145	-0.579	0.387	0.610	0.951	0.400
CL21	ABZR87_RS00095	ABZR87_RS00095		TonB-dependent receptor	0.960	0.023	-0.851	1.749	3.372	1.780	1.415	2.160	0.507	-0.074	0.329	0.553	-1.533	1.093	-0.048	0.971	1.377	-0.185	0.877	1.909	2.455	3.364	1.239	0.016	1.685	0.552	0.001	-0.148	-0.290	-3.037	-0.321	0.452	-0.528	0.642
CL21	ABZR87_RS00100	ABZR87_RS00100		hypothetical protein	0.042	-0.305	0.374	-2.542	-0.823	1.749	-0.938	-0.843	-0.345	1.356	0.847	0.124	0.995	1.261	-0.623	0.352	0.838	-0.124	0.184	-0.991	0.596	-1.133	0.483	0.780	0.464	0.779	-1.019	0.661	0.446	0.541	1.231	0.969	-0.481	1.299
CL21	ABZR87_RS00105	ABZR87_RS00105		cell division protein ZapA	0.277	0.951	-0.410	-1.712	-1.695	0.692	0.933	1.400	1.071	0.678	0.481	0.054	-0.898	0.904	2.128	2.033	0.305	1.146	0.894	0.583	-0.170	-0.261	1.168	0.851	0.709	1.167	1.785	0.802	1.216	1.338	1.692	2.696	0.883	0.374
CL21	ABZR87_RS00115	ABZR87_RS00115		EVE domain-containing protein	1.225	0.388	-0.256	-0.870	-1.082	0.293	0.483	-0.660	0.547	-0.366	0.424	0.736	0.785	-0.781	-0.336	0.230	0.151	-0.538	-0.285	0.853	0.076	-0.915	0.023	1.718	1.279	0.058	1.266	-0.112	1.021	0.919	-0.290	0.660	0.932	1.495
CL21	ABZR87_RS00120	ABZR87_RS00120		SIMPL domain-containing protein	1.391	1.466	0.903	2.097	0.473	0.913	0.739	1.370	1.305	0.148	0.757	0.032	0.565	1.180	0.743	1.484	-0.884	1.248	0.363	1.398	1.271	0.480	1.534	0.218	-0.635	0.466	0.028	-0.574	0.089	-0.238	0.064	-0.052	0.587	-0.793
CL21	ABZR87_RS00130	ABZR87_RS00130		LysR substrate-binding domain-containing protein	0.053	-1.165	0.652	1.717	-1.963	-0.110	-0.629	-1.079	-0.683	-0.937	0.442	-0.820	-0.597	-0.761	0.381	0.033	0.724	0.745	-1.427	-0.661	0.640	1.507	0.232	-0.930	-0.494	-0.589	0.096	1.257	1.390	0.564	-0.071	-0.541	-1.703	0.131
CL21	ABZR87_RS00135	ABZR87_RS00135		dihydroxy-acid dehydratase	0.285	0.254	-0.673	1.717	0.249	0.704	0.709	0.518	0.852	0.178	0.140	-0.067	0.512	1.264	1.574	1.133	0.791	0.109	0.368	0.710	0.983	0.202	0.834	0.893	0.316	0.840	0.293	0.309	0.894	1.302	0.749	1.580	0.415	0.988
CL21	ABZR87_RS00140	ABZR87_RS00140		DUF2486 family protein	0.880	0.970	-0.437	2.663	-0.517	1.345	1.918	2.601	1.379	2.106	-0.313	1.172	1.694	0.718	0.704	2.279	1.640	1.753	0.866	0.457	1.081	-1.558	0.537	0.732	0.081	0.552	0.637	1.509	1.208	1.690	1.520	1.381	0.949	2.341
CL21	ABZR87_RS00150	ABZR87_RS00150		leucyl aminopeptidase	2.534	0.913	-0.787	-2.697	-8.773	1.446	0.687	-1.011	-2.315	1.069	-0.613	-1.195	-5.331	0.144	0.458	1.240	-0.820	-0.949	-0.027	-1.411	-1.528	-4.369	1.702	-0.796	-1.632	-0.788	-0.704	-0.189	1.096	-4.062	-0.921	0.460	1.300	-0.690
CL21	ABZR87_RS00170	ABZR87_RS00170		5-carboxymethyl-2-hydroxymuconate Delta-isomerase	1.687	-0.589	-0.636	-1.488	0.941	0.960	0.155	0.010	-0.250	1.256	1.035	0.458	0.630	0.079	0.884	1.907	1.162	1.807	0.823	1.955	-1.270	-0.712	1.199	0.400	-0.072	1.739	1.097	1.550	1.314	-0.177	0.336	1.805	-0.401	1.290
CL21	ABZR87_RS00175	ABZR87_RS00175		LysR family transcriptional regulator	-0.015	-1.422	-1.924	0.500	-0.984	-1.238	-0.084	-0.812	-1.602	0.867	-0.064	-0.901	-0.507	0.295	-0.444	0.236	-0.354	-2.589	-1.037	-0.515	-0.624	-0.598	-0.456	-1.598	-0.043	-0.947	-0.393	0.527	-0.181	1.664	-0.859	-0.333	-0.204	0.341
CL21	ABZR87_RS00180	ABZR87_RS00180		NAD(P)-dependent alcohol dehydrogenase	-1.371	-1.676	-0.523	-0.785	0.150	0.310	0.100	0.255	-1.866	-0.693	-0.289	-0.756	0.143	-0.905	-0.213	0.005	0.799	-0.165	-0.191	-0.119	-0.078	1.289	0.104	0.323	1.799	-1.333	-0.578	0.380	1.021	-0.095	0.585	0.269	0.916	-0.780
CL21	ABZR87_RS00185	ABZR87_RS00185		uroporphyrinogen-III C-methyltransferase	0.242	0.609	-2.606	-3.659	-3.566	-5.494	-4.392	-5.703	-4.824	-5.101	-4.113	-3.849	-2.542	-5.793	-5.885	-5.486	-5.577	-3.219	-2.972	-5.188	-3.630	-1.964	-5.641	-5.654	-5.099	-5.226	-5.135	-6.401	-3.159	-3.270	-5.747	-4.836	-5.067	-4.897
CL21	ABZR87_RS00190	ABZR87_RS00190		sulfate adenylyltransferase subunit 1	1.689	2.054	-8.180	-9.544	-9.751	-14.450	-11.576	-12.022	-13.908	-11.854	-12.742	-10.411	-10.267	-10.941	-13.635	-5.645	-13.660	-12.715	-11.970	-9.485	-9.407	-7.181	-12.874	-11.717	-12.615	-10.700	-13.371	-14.678	-5.969	-9.660	-14.159	-13.858	-6.982	-13.725
CL21	ABZR87_RS00195	ABZR87_RS00195		sulfate adenylyltransferase subunit CysD	-0.103	0.651	-4.462	-6.804	-3.136	-5.207	-6.274	-3.708	-4.655	-3.736	-5.359	-5.396	-2.917	-4.862	-5.846	-3.714	-5.214	-6.062	-4.564	-4.422	-6.685	-2.119	-5.586	-6.709	-5.441	-3.965	-6.240	-4.530	-4.315	-3.385	-4.446	-5.832	-4.557	-5.316
CL21	ABZR87_RS00200	ABZR87_RS00200		phosphoadenylyl-sulfate reductase	-1.006	0.049	-3.474	-5.837	-4.897	-6.202	-5.197	-5.249	-4.785	-5.221	-5.893	-3.987	-3.705	-5.118	-6.147	-4.080	-6.850	-6.310	-4.018	-5.353	-4.882	-3.025	-6.180	-3.162	-6.050	-6.938	-4.821	-6.047	-5.401	-4.474	-6.224	-5.821	-4.281	-5.368
CL21	ABZR87_RS00205	ABZR87_RS00205		DUF934 domain-containing protein	-0.634	-0.211	-2.659	-4.778	-5.537	-5.601	-4.699	-3.005	-3.101	-5.602	-4.264	-4.522	-2.431	-3.593	-4.761	-1.263	-3.249	-3.130	-3.991	-4.192	-4.147	-2.817	-4.558	-3.326	-3.959	-4.414	-4.092	-3.499	-4.747	-3.237	-4.020	-5.454	-2.810	-4.357
CL21	ABZR87_RS00210	ABZR87_RS00210		nitrite/sulfite reductase	-0.117	-0.918	-5.486	-7.659	-6.960	-11.571	-11.258	-12.146	-10.535	-8.959	-9.421	-10.744	-7.907	-11.398	-8.981	-9.654	-10.773	-10.369	-9.619	-9.951	-8.368	-4.535	-9.643	-8.936	-11.577	-12.173	-11.666	-12.055	-7.292	-7.346	-12.094	-9.939	-11.455	-11.460
CL21	ABZR87_RS00215	ABZR87_RS00215		sulfite exporter TauE/SafE family protein	-0.076	-0.550	-5.211	-4.258	-3.363	-4.223	-6.489	-2.487	-3.482	-3.920	-3.443	-4.876	-5.354	-4.254	-4.192	-2.836	-3.950	-3.546	-3.008	-3.184	-3.866	-6.208	-3.115	-3.545	-4.985	-4.310	-4.067	-4.171	-4.834	-5.292	-6.119	-3.466	-3.618	-4.333
CL21	ABZR87_RS00220	ABZR87_RS00220		CysB family HTH-type transcriptional regulator	-0.726	-0.471	-13.727	-14.560	-9.453	-13.129	-9.872	-10.620	-10.675	-9.126	-10.618	-14.372	-10.757	-9.509	-12.024	-6.841	-9.404	-9.911	-8.961	-14.678	-12.201	-7.052	-11.031	-9.164	-12.922	-9.655	-10.807	-10.803	-14.614	-14.277	-9.550	-8.779	-7.742	-10.753
CL21	ABZR87_RS00225	ABZR87_RS00225		ABC transporter substrate-binding protein	-0.556	0.054	-0.364	-0.198	0.362	0.463	0.192	0.741	0.784	1.049	-0.438	0.368	-0.096	1.174	0.912	-0.673	-1.221	0.177	0.050	0.048	0.057	0.430	0.386	-0.457	-0.550	-0.727	-0.040	0.981	0.756	-1.341	1.409	-0.355	0.290	0.508
CL21	ABZR87_RS00230	ABZR87_RS00230		NAD(P)-dependent oxidoreductase	-0.536	0.898	-1.210	-0.256	1.190	0.087	0.210	0.384	-0.277	-0.134	0.190	-0.436	-0.192	0.193	0.587	1.085	0.430	0.282	0.612	-0.632	-0.225	0.326	0.581	0.304	0.534	0.575	0.929	0.633	-0.287	1.114	0.845	0.690	0.269	0.464
CL21	ABZR87_RS00240	ABZR87_RS00240		dihydroxy-acid dehydratase	-0.509	0.783	0.075	-0.184	0.618	0.013	0.189	-0.726	0.624	0.790	0.731	-0.104	0.757	0.062	0.263	-1.224	0.008	0.116	-0.033	-0.113	-1.050	0.961	-0.373	-1.570	-0.590	0.050	-0.255	0.136	-0.927	-2.125	0.900	-0.147	0.330	0.394
CL21	ABZR87_RS00245	ABZR87_RS00245		2,5-didehydrogluconate reductase DkgB	1.306	-0.560	-0.556	-1.305	0.877	0.073	-0.320	0.778	1.392	-0.624	1.270	0.515	0.007	0.288	1.032	0.346	0.607	0.778	-0.291	1.942	1.238	0.851	-0.060	0.280	0.444	-0.258	0.061	0.296	0.138	-1.041	0.274	1.114	0.533	-0.184
CL21	ABZR87_RS00250	ABZR87_RS00250		MFS transporter	-0.587	-1.124	-0.115	1.474	-1.008	0.810	0.702	1.355	-0.329	-0.469	0.852	0.173	-0.718	-0.176	1.393	0.938	0.980	0.090	-0.793	-0.163	-0.269	0.418	0.230	1.008	0.596	1.353	0.249	-0.141	0.782	0.668	0.233	0.002	-0.330	0.786
CL21	ABZR87_RS00255	ABZR87_RS00255		TIGR03571 family LLM class oxidoreductase	-1.072	-0.141	0.419	1.400	1.273	0.670	-0.071	1.926	-0.151	0.425	0.362	-1.210	1.130	2.167	1.771	0.097	-0.260	-0.232	0.663	0.371	-1.367	-1.387	-0.059	-0.440	0.292	0.192	-1.208	0.001	-0.567	-3.268	-0.101	1.803	1.030	-0.379
CL21	ABZR87_RS00260	ABZR87_RS00260		MarR family winged helix-turn-helix transcriptional regulator	-1.851	-0.258	-1.293	-1.334	-0.917	0.596	0.903	-0.685	0.295	-0.397	0.385	-1.917	-1.078	-0.750	0.207	-0.514	-1.316	0.441	0.229	-1.891	-0.692	-0.565	1.453	-0.738	-0.179	-0.505	-1.221	1.138	-1.899	-1.652	0.492	0.930	0.759	-0.966
CL21	ABZR87_RS00265	ABZR87_RS00265		chloride channel protein	1.293	0.729	0.262	1.954	-0.023	1.550	2.410	2.024	0.821	2.599	2.146	1.765	0.363	1.072	0.792	1.199	1.901	0.645	1.581	0.805	1.889	0.039	0.936	1.689	1.596	0.148	0.936	0.854	0.467	-0.962	1.076	2.573	1.054	0.761
CL21	ABZR87_RS00270	ABZR87_RS00270		sensor domain-containing diguanylate cyclase	-0.314	-0.394	-1.303	-0.185	-0.572	0.309	1.035	1.631	0.913	0.825	0.547	-0.491	-2.842	0.355	0.463	-0.362	1.745	1.037	0.444	1.330	0.362	-0.487	0.506	1.637	1.371	0.773	0.474	1.936	0.031	-0.777	1.064	0.569	0.414	0.625
CL21	ABZR87_RS00275	ABZR87_RS00275		NAD-dependent epimerase/dehydratase family protein	-2.430	-0.467	0.625	-0.174	-1.522	0.352	-0.323	1.467	1.487	0.550	0.969	-1.370	-1.459	-0.001	-1.047	-0.703	0.129	0.420	-0.172	-0.563	0.411	-0.729	0.936	-0.890	0.075	1.415	0.497	0.793	-2.459	-2.175	-0.921	-0.758	0.707	0.206
CL21	ABZR87_RS00280	ABZR87_RS00280		CDP-6-deoxy-delta-3,4-glucoseen reductase	2.408	2.415	-3.850	-6.316	-4.450	-1.076	0.185	-5.729	0.062	0.395	-0.760	-8.177	-7.507	-0.401	-3.674	-3.549	0.724	-1.097	-2.111	-4.322	-6.465	-3.863	-0.481	0.980	-4.904	1.326	0.405	-0.330	-9.961	-7.775	0.217	-1.147	-2.787	0.030
CL21	ABZR87_RS00285	ABZR87_RS00285		acetylornithine transaminase	-1.274	-2.400	-2.380	-2.887	-3.098	-3.081	-4.469	-3.769	-3.004	-2.880	-2.972	-3.491	-1.964	-4.286	-3.151	-3.006	-3.038	-3.056	-2.808	-3.739	-2.603	-1.235	-4.356	-3.571	-2.993	-3.087	-3.061	-4.485	-3.665	-1.987	-3.087	-4.245	-2.989	-3.807
CL21	ABZR87_RS00290	ABZR87_RS00290		GNAT family N-acetyltransferase	-1.121	1.506	0.939	-0.152	-0.678	0.843	0.684	1.995	0.872	0.566	1.552	0.870	1.805	0.585	1.010	-0.774	1.325	0.039	0.598	1.242	1.359	1.541	1.622	-0.040	1.440	1.311	0.320	1.141	0.081	0.491	0.277	0.509	0.941	-0.033
CL21	ABZR87_RS00295	ABZR87_RS00295		ABC transporter ATP-binding protein	-0.858	-0.643	-2.723	-0.673	0.708	-1.680	0.020	-1.050	-1.159	-1.680	-0.243	1.134	1.648	-1.290	-0.441	-1.108	1.195	-0.198	-0.272	-0.457	-0.051	0.423	0.015	-1.096	-0.217	-1.361	-0.578	-0.251	0.738	-0.749	-0.668	0.411	1.626	-0.357
CL21	ABZR87_RS00300	ABZR87_RS00300		ABC transporter ATP-binding protein	-0.522	-1.273	-0.563	1.094	0.407	-0.239	-0.922	-2.263	-2.827	0.250	-0.101	1.027	0.459	-0.176	0.322	-0.955	0.206	0.093	0.729	0.825	0.409	1.229	-0.484	1.017	0.277	-1.231	-0.749	0.113	2.375	0.612	-0.640	1.014	0.805	-0.275
CL21	ABZR87_RS00305	ABZR87_RS00305		ABC transporter ATP-binding protein	-0.786	0.264	-1.373	-0.409	0.420	0.535	1.092	-0.911	-1.023	0.628	0.909	1.079	2.371	0.905	1.360	-0.096	1.442	-0.582	-1.169	0.046	0.256	2.157	0.145	0.949	-1.222	-0.620	0.299	1.213	1.434	1.519	-0.223	0.448	0.016	0.565
CL21	ABZR87_RS00310	ABZR87_RS00310		branched-chain amino acid ABC transporter permease	-1.129	-1.848	-0.463	-0.135	-0.226	0.523	2.038	-0.785	-0.948	-0.223	-0.496	1.831	-0.035	0.706	0.748	0.886	0.273	-0.280	-0.570	0.256	0.008	1.416	-0.007	2.453	-1.694	-1.357	0.031	-0.644	0.822	0.680	1.254	-0.072	0.078	1.504
CL21	ABZR87_RS00315	ABZR87_RS00315		branched-chain amino acid ABC transporter substrate-binding protein	-0.220	0.180	-0.713	-0.103	1.027	0.663	1.220	0.080	-2.082	-0.456	0.150	-0.250	-2.759	-0.193	0.102	-0.044	1.053	-0.132	-2.572	0.136	-0.761	0.401	0.213	1.755	-1.261	-1.087	-0.213	-0.483	0.090	0.003	-0.074	-0.145	-0.443	2.008
CL21	ABZR87_RS00325	ABZR87_RS00325		peptidylprolyl isomerase	16.455	12.569	-0.386	1.540	0.378	0.874	-2.554	-3.091	0.990	-2.896	-2.151	-2.349	-1.472	-2.577	-3.037	0.095	-1.095	-2.570	2.585	1.250	0.298	-0.102	3.304	-1.843	-2.356	0.292	-3.124	-0.111	-3.134	-1.483	-3.588	-3.073	-0.045	1.302
CL21	ABZR87_RS00330	ABZR87_RS00330		DNA repair protein RadC	0.471	0.249	-0.242	-0.593	-0.058	0.921	1.353	0.904	1.802	0.969	0.979	-0.061	-1.039	0.809	1.294	1.329	0.886	-0.035	0.383	2.107	0.536	0.359	0.157	1.440	0.427	-0.318	1.502	1.938	0.967	0.288	0.771	1.134	0.892	0.694
CL21	ABZR87_RS00340	ABZR87_RS00340		50S ribosomal protein L33	1.611	1.643	-0.659	-1.198	-0.092	-0.769	0.119	-1.481	0.251	0.127	-0.971	-1.730	-0.393	-1.928	-0.027	-0.831	-0.435	0.124	-0.538	-2.491	-1.199	-0.246	-1.423	-0.442	-0.509	-0.537	-0.136	-1.846	-1.462	-0.911	0.147	1.351	0.026	0.338
CL21	ABZR87_RS00345	ABZR87_RS00345		L-aspartate oxidase	1.608	0.380	-16.699	-18.271	-0.014	-6.293	-8.153	-4.872	-7.627	-7.120	-9.542	-13.444	-15.598	-9.433	-11.657	-1.092	-3.978	-8.018	-10.202	-12.044	-14.400	1.031	-6.312	-9.071	-5.882	-7.978	-7.591	-10.557	-14.558	-15.943	-8.004	-10.535	-1.164	-4.201
CL21	ABZR87_RS00350	ABZR87_RS00350		carboxylating nicotinate-nucleotide diphosphorylase	3.247	2.928	-6.309	-4.988	-0.607	-7.953	-5.326	-5.409	-3.219	-4.119	-5.895	-6.194	-5.083	-4.251	-4.312	-2.530	-5.316	-5.733	-2.510	-9.360	-7.574	-1.143	-5.868	-3.949	-6.369	-5.711	-6.692	-6.879	-7.075	-6.668	-6.083	-5.447	-1.721	-5.342
CL21	ABZR87_RS00355	ABZR87_RS00355		quinolinate synthase NadA	3.513	1.903	-13.156	-12.332	-1.161	-11.396	-6.741	-8.531	-8.617	-8.435	-11.872	-13.026	-11.878	-7.717	-10.418	-2.911	-9.553	-10.607	-10.143	-14.015	-9.114	-0.685	-11.014	-7.230	-11.670	-11.205	-10.103	-10.140	-13.932	-9.409	-8.544	-7.868	-3.337	-8.088
CL21	ABZR87_RS00360	ABZR87_RS00360		acyl-CoA desaturase	1.019	1.178	2.309	2.998	1.839	0.249	-2.154	-1.134	-0.555	-2.998	-2.649	-2.158	-0.158	-1.139	-1.342	-0.851	-1.349	-1.595	-1.437	-0.769	-2.210	-0.309	-0.924	-2.894	-1.981	-2.522	-1.426	-2.297	-0.878	-1.268	-1.542	-0.790	-3.087	-2.627
CL21	ABZR87_RS00365	ABZR87_RS00365		mechanosensitive ion channel domain-containing protein	1.510	1.016	-1.234	-0.289	0.097	1.980	0.069	1.920	-0.872	1.244	-1.090	0.569	-2.377	1.844	1.188	1.320	0.346	1.096	-0.724	-0.209	-0.314	1.803	1.085	-1.353	-1.080	0.261	0.189	-0.884	1.331	0.048	-0.362	1.605	0.104	1.813
CL21	ABZR87_RS00370	ABZR87_RS00370		phospholipase D family protein	1.684	1.879	-0.703	1.538	-0.101	0.240	0.306	0.392	0.675	-0.170	-0.428	-2.037	1.404	0.470	0.793	0.977	-1.036	-0.129	0.196	0.119	-0.542	0.288	0.433	0.192	-0.476	0.652	0.187	-0.561	0.102	0.909	-0.116	-0.404	-0.735	0.980
CL21	ABZR87_RS00375	ABZR87_RS00375		RsmB/NOP family class I SAM-dependent RNA methyltransferase	-0.051	-0.504	0.385	1.345	0.120	1.220	1.573	1.661	1.189	2.011	0.850	2.629	4.251	1.341	2.480	-0.741	-0.816	0.309	0.321	2.017	3.064	0.770	2.055	1.105	3.299	0.843	1.221	-0.226	3.844	2.631	1.219	1.489	0.116	-0.387
CL21	ABZR87_RS00385	ABZR87_RS00385		response regulator transcription factor	-0.270	-0.504	-0.681	1.219	-1.200	-0.945	0.071	-1.524	0.550	-0.543	-0.339	1.417	1.524	-0.495	0.167	-1.032	-0.472	-0.527	0.013	-0.184	-0.223	-1.119	1.336	0.156	1.648	0.810	0.638	-0.529	3.454	-0.820	0.870	-0.834	-0.356	-1.457
CL21	ABZR87_RS00390	ABZR87_RS00390		hybrid sensor histidine kinase/response regulator	0.057	-1.397	0.533	1.322	-3.578	-0.466	0.720	1.283	0.163	1.727	0.749	6.389	-1.723	1.373	-0.134	-2.704	-3.698	0.130	-0.360	0.841	-3.388	-0.677	-0.886	1.524	1.505	1.048	-0.090	1.429	8.641	1.925	0.247	0.152	-2.097	-3.276
CL21	ABZR87_RS00410	ABZR87_RS00410		DUF4180 domain-containing protein	-0.485	-1.177	-0.617	-0.567	0.915	0.305	0.439	-0.650	0.723	0.140	-0.123	-0.119	0.424	0.391	-0.902	-0.938	-1.960	-1.794	-0.333	0.002	-0.373	-1.264	-1.772	-0.559	0.830	0.641	1.373	-0.283	-1.315	-1.275	-0.224	0.366	-2.088	-0.080
