organism	reaction	marvin_dir	opam2_dir	changed	marvin_dg	opam2_dg
ecoli	rxn01791_c0	blocked	blocked	False	-40.61786814405457	-43.041087517989126
ecoli	rxn08062_c0	variable	variable	False	0.0	0.0
ecoli	rxn01757_c0	blocked	blocked	False	6.333847456786833	9.393697814821854
ecoli	rxn01477_c0	blocked	blocked	False	-44.372070512243255	-44.37343399781608
ecoli	rxn00011_c0	blocked	blocked	False	0.1511048911670798	0.1506286956106635
ecoli	rxn01084_c0	blocked	blocked	False	-49.926386044453	-39.20894104472425
ecoli	rxn08118_c0	blocked	blocked	False	-7.131528024476125	-7.131528024476125
ecoli	rxn01122_c0	blocked	blocked	False	-58.43334714974233	-58.45144614787776
ecoli	rxn07466_c0	blocked	blocked	False	6.423868121002954	5.758579537660978
ecoli	rxn01457_c0	blocked	blocked	False	1.3657086372260494	1.359205112690205
ecoli	rxn01015_c0	blocked	blocked	False	1.7877476111467274	1.8376324127304997
ecoli	rxn03174_c0	blocked	blocked	False	120.42200292779222	121.96956987355503
ecoli	rxn02286_c0	blocked	blocked	False	-15.20391695241608	-15.57959887655295
ecoli	rxn02949_c0	blocked	blocked	False	13.967263334137627	13.967263331932557
ecoli	rxn08812_c0	blocked	blocked	False		
ecoli	rxn40037_c0	blocked	blocked	False	-123.08988270697748	-122.88630630081772
ecoli	rxn05307_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn24830_c0	blocked	blocked	False		
ecoli	rxn03182_c0	blocked	blocked	False	-62.31802566452086	-62.22233457016489
ecoli	EX_cpd11640_e0	blocked	blocked	False		
ecoli	rxn10209_c0	blocked	blocked	False		
ecoli	rxn00675_c0	blocked	blocked	False	-72.13874117761026	-75.88726380118675
ecoli	rxn10481_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn01387_c0	blocked	blocked	False	24.68554433679624	24.573221877022945
ecoli	rxn05468_c0	blocked	blocked	False	0.0	0.0
ecoli	rxn13957_c0	blocked	blocked	False	-100.35345748856443	-101.80780934026151
ecoli	rxn03842_c0	blocked	blocked	False	14.657559415502789	13.27095192249979
ecoli	rxn03062_c0	blocked	blocked	False	24.09714653269745	23.97885206405445
ecoli	rxn00686_c0	blocked	blocked	False	25.434411226936533	27.355501035825256
ecoli	rxn01434_c0	blocked	blocked	False	1.5642652317227999	-0.3801762121376555
ecoli	rxn16583_c0	blocked	blocked	False	-341.68639435734156	-335.70130208716296
ecoli	rxn04930_c0	blocked	blocked	False	-22.612532940326957	-23.733449733402892
ecoli	EX_cpd00059_e0	blocked	blocked	False		
ecoli	rxn03047_c0	blocked	blocked	False	-21.752013106278582	-23.084845794680064
ecoli	rxn00797_c0	forward	forward	False	-8.506766783861764	-8.713785867370206
ecoli	rxn03130_c0	blocked	blocked	False	-38.57808612583409	-38.25302269235641
ecoli	EX_cpd00653_e0	blocked	blocked	False		
ecoli	rxn04601_c0	blocked	blocked	False	-265.44759098143317	-265.24538905949544
ecoli	rxn04599_c0	blocked	blocked	False	255.18304352504123	255.16201482013287
ecoli	rxn01521_c0	blocked	blocked	False	-10.916328610315588	-10.462241182431114
ecoli	EX_cpd00065_e0	blocked	blocked	False		
ecoli	rxn00368_c0	blocked	blocked	False	-12.284890477710405	-16.853606084202397
ecoli	rxn03630_c0	blocked	blocked	False	-642.8307376095757	-640.3295107309248
ecoli	rxn08551_c0	blocked	blocked	False		
ecoli	rxn08797_c0	blocked	blocked	False	-42.29540987655411	-42.28476062040942
ecoli	rxn00076_c0	blocked	blocked	False	-2.5895798216164394	-2.321944369773405
ecoli	rxn04597_c0	blocked	blocked	False	-420.1346392958649	-420.0778186400976
ecoli	rxn03250_c0	blocked	blocked	False	0.9518797873794824	0.9518797895847797
ecoli	rxn05173_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn08849_c0	blocked	blocked	False		
ecoli	rxn00616_c0	blocked	blocked	False	-36.945131624101734	-33.90875190410104
ecoli	rxn08078_c0	blocked	blocked	False		
ecoli	rxn03437_c0	blocked	blocked	False	-56.90729375118459	-56.93009919717988
ecoli	rxn10259_c0	blocked	blocked	False		
ecoli	rxn00640_c0	blocked	blocked	False	14.702198980863898	11.763586121998003
ecoli	rxn08205_c0	blocked	blocked	False		
ecoli	rxn05386_c0	blocked	blocked	False		
ecoli	rxn10570_c0	blocked	blocked	False	0.0	0.0
