rxn_id	old_deltag	old_deltagerr	new_deltag	new_deltagerr
rxn00361	-3.41	1.42	0.94	5.12
rxn00362	-3.11	0.6	29.35	127.08
rxn00363	-3.34	0.67	-9.13	3.65
rxn00364	-0.58	0.71	0.3	3.63
rxn00365	-2.82	0.67	-17.04	3.65
rxn00366	-5.58	0.72	-26.47	3.64
rxn00367	-8.0	0.56	-35.06	3.68
rxn00368	-2.15	0.74	-16.85	3.65
rxn00369	-2.22	0.74	-16.3	3.65
rxn00370	-4.22	1.37	113.87	58.32
rxn00371	-3.53	0.8	-11.98	5.42
rxn00372	-0.79	1.38	-135.54	58.33
rxn00373	-3.9	1.06	-16.04	6.48
rxn00374	-6.42	1.8	-67.09	70.1
rxn00375	-7.21	1.39	-41.09	86.23
rxn00376	-6.8	1.41	-54.16	76.14
rxn00377	-0.64	1.05	-176.26	77.12
rxn00379	11.38	0.28	46.12	3.89
rxn00380	14.07	0.29	55.82	3.9
rxn00381	-19.81	0.31	-82.29	3.94
rxn00382	-23.82	1.18	-143.3	105.39
rxn00383	-41.16	1.36	-173.16	7.75
rxn00384	-16.31	2.37	-120.31	105.38
rxn00385	-14.03	7.54	-49.21	116.06
rxn00386	-14.03	7.59	-54.15	183.15
rxn00387	-14.03	7.59	-61.26	119.07
rxn00394	-7.0	1.54	-26.2	8.51
rxn00395	-8.34	0.82	-33.0	5.5
rxn00396	1.8	0.13	6.38	3.68
rxn00397	-5.68	1.39	-95.01	99.69
rxn00399	-190.6	3.1	-793.45	16.1
rxn00400	-59.15	7.12	-317.68	113.31
rxn00401	-106.64	1.69	-462.88	9.04
rxn00402	7.53	0.71	30.18	5.12
rxn00403	3.22	1.52	39.17	71.55
rxn00404	-0.08	0.71	1.12	5.11
rxn00405	-0.83	1.48	-25.58	8.24
rxn00406	4.63	1.27	-0.86	4.43
rxn00407	-6.03	0.6	-1.17	4.01
rxn00408	-5.89	0.56	-25.07	3.64
rxn00409	-0.27	0.56	-1.1	3.62
rxn00410	-0.13	0.6	-25.01	4.02
rxn00411	6.8	0.58	27.02	3.66
rxn00412	-2.95	0.63	-36.12	4.17
rxn00413	0.79	0.7	7.13	3.82
rxn00414	-1.42	0.64	-4.24	4.86
rxn00415	-2.75	0.54	0.71	3.68
rxn00416	-7.24	0.89	-30.93	5.73
rxn00417	1.69	0.8	0.24	4.48
rxn00418	-11.13	4.37	78.29	106.99
rxn00419	9.72	0.2	44.82	3.74
rxn00420	-2.46	0.07	-9.81	3.64
rxn00421	-1.01	0.08	-6.67	3.64
rxn00422	0.94	0.19	6.31	3.74
rxn00423	-1.6	0.71	-6.87	5.12
rxn00424	-1.03	0.42	-4.71	4.12
rxn00425	-0.13	0.73	1.36	45.72
rxn00426	-1.44	0.45	-49.41	114.7
rxn00427	-69.76	1.13	-292.94	6.74
rxn00428	10000000.0	10000000.0	97.35	106.29
rxn00429	-10.51	0.47	-41.91	4.33
rxn00430	8.02	0.8	35.62	5.42
rxn00431	-2.29	0.82	-10.48	5.51
rxn00432	-23.7	1.28	-98.33	7.43
rxn00433	-17.34	1.53	-88.97	77.35
rxn00434	-15.69	1.36	-69.48	59.85
rxn00435	-18.53	1.04	-77.53	6.34
rxn00436	6.36	0.98	-26.47	3.64
rxn00437	1.05	0.3	1.62	3.62
rxn00438	-12.52	0.98	0.3	3.63
rxn00439	-7.21	0.31	-27.8	3.64
rxn00440	-1.16	0.59	-13.18	55.46
rxn00441	-6.56	0.87	-7.13	128.48
rxn00444	-74.63	2.18	-309.35	117.4
rxn00445	-32.0	1.07	-52.68	127.92
rxn00448	-120.46	1.22	-605.87	117.2
rxn00449	0.0	0.0	-25.8	122.4
rxn00450	-25.52	1.12	-102.84	74.47
rxn00451	-0.16	0.68	42.58	123.76
rxn00452	-13.15	4.96	-25.23	157.91
rxn00453	-13.64	0.72	-82.68	100.53
rxn00454	-4.55	0.6	-18.42	74.31
rxn00455	-5.28	1.38	-25.61	83.86
rxn00456	-2.23	1.11	7.42	89.24
rxn00457	-0.64	0.3	-1.1	55.22
rxn00458	-5.72	0.82	-33.69	76.72
rxn00459	-0.98	0.07	-4.27	3.64
rxn00460	7.21	0.33	26.1	3.66
rxn00461	-4.1	0.89	-39.14	88.96
rxn00462	3.79	0.71	16.79	5.12
rxn00463	-7.05	0.94	-46.61	3.81
rxn00464	-14.87	1.36	-73.57	250.05
rxn00465	-5.77	1.2	-23.17	7.06
rxn00466	7.4	6.23	39.85	68.39
rxn00467	-1.37	1.09	10.26	7.81
rxn00468	-9.44	1.27	-58.94	94.93
rxn00469	-1.62	0.84	-17.96	52.46
rxn00470	-7.26	1.32	-25.57	8.24
rxn00471	-5.45	1.01	-24.59	6.27
rxn00472	-2.31	1.18	-0.86	4.43
rxn00473	4.95	0.16	21.07	3.71
rxn00474	-11.88	0.27	-50.3	3.87
rxn00475	-0.89	1.21	-8.95	6.52
rxn00476	-0.89	1.21	-12.19	6.52
rxn00477	-32.61	1.57	-142.9	8.31
rxn00478	-82.24	1.58	-343.21	122.48
rxn00479	-115.02	1.6	-498.6	70.73
rxn00480	-94.74	1.55	-357.5	93.25
rxn00481	1.3	1.31	-16.16	71.45
rxn00482	-10.46	5.4	9.93	170.71
rxn00483	-9.6	1.21	-46.31	6.51
rxn00484	-8.82	1.37	-42.65	67.93
rxn00485	-10.07	0.96	-51.65	64.45
rxn00486	-21.24	4.5	318.0	140.54
rxn00487	5.2	1.0	37.56	4.06
rxn00488	-26.52	1.41	-96.39	6.56
rxn00489	-112.92	1.45	-452.09	70.62
rxn00490	-19.05	2.64	-34.61	192.39
rxn00491	-3.58	1.0	-0.95	4.1
rxn00492	-6.96	1.04	-27.98	80.2
rxn00493	-3.51	1.0	0.2	4.05
rxn00494	4.2	1.0	2.56	4.1
rxn00495	-0.89	0.13	-3.41	3.69
rxn00496	20.8	1.03	107.47	70.43
rxn00497	-6.72	1.22	-42.66	67.93
rxn00498	-27.33	4.38	-121.84	235.46
rxn00499	6.43	0.11	26.82	3.67
rxn00500	5.68	0.5	23.71	4.43
rxn00501	-5.96	1.28	-21.22	7.36
rxn00502	-5.96	1.28	-24.46	7.36
rxn00503	-2.27	1.28	-14.51	10.7
rxn00504	-2.26	1.28	-17.75	10.7
rxn00505	1.41	0.78	9.79	5.33
rxn00506	-11.48	0.31	-46.41	3.95
rxn00507	-11.48	0.32	-49.65	3.95
rxn00508	-8.47	0.57	-34.66	5.73
rxn00509	-8.47	0.58	-37.9	5.73
rxn00510	8.74	0.71	35.78	5.12
rxn00511	8.74	0.72	32.54	5.12
rxn00512	10.54	0.21	43.49	3.77
rxn00513	-7.03	0.36	-25.8	3.64
rxn00514	-2.25	0.71	-35.74	3.68
rxn00515	0.87	0.35	-0.38	3.62
rxn00516	-6.81	3.97	-23.89	3.64
rxn00517	5.66	0.35	26.29	3.66
rxn00518	-4.88	0.37	-15.22	3.65
rxn00519	1.7	0.82	11.77	5.27
rxn00520	-1.36	0.48	-0.12	3.67
rxn00521	-6.32	1.06	89.02	76.61
rxn00522	-22.92	1.14	-96.44	6.56
rxn00523	-90.63	6.28	-258.13	103.54
rxn00524	-102.49	1.45	-189.48	117.16
rxn00525	-5.36	2.64	25.08	192.39
rxn00526	-5.36	2.64	21.84	192.39
rxn00527	0.09	0.5	0.15	4.05
rxn00528	-16.37	1.65	-29.88	85.8
rxn00529	-16.86	1.23	-42.74	67.93
rxn00530	-9.56	1.06	-3.55	3.69
rxn00531	-11.79	0.97	-32.95	94.13
rxn00532	-2.02	1.09	-1.87	45.25
rxn00533	-0.95	0.36	2.72	45.06
rxn00534	-2.63	0.35	-2.29	56.99
rxn00535	-119.68	0.76	-499.32	57.43
rxn00536	5.03	0.11	17.73	3.64
rxn00537	-18.07	1.77	-125.46	65.06
rxn00538	-9.47	0.64	-41.8	52.29
rxn00539	-8.71	0.85	-33.36	55.34
