class,n_species,n_P,n_N,n_Metal,n_Phz_operon,frac_P,frac_N,frac_M,n_P_Metal,PM_enrichment,phi_PM
c__Desulfotomaculia,30,30,23,30,0,1.0,0.767,1.0,30,1.0,0.0
c__Cloacimonadia,29,27,1,26,0,0.931,0.034,0.897,25,1.033,0.3544
c__Methylomirabilia,29,29,2,29,0,1.0,0.069,1.0,29,1.0,0.0
c__Thermoanaerobaculia,29,27,6,24,0,0.931,0.207,0.828,22,0.985,-0.1242
c__Blastocatellia,28,25,5,28,0,0.893,0.179,1.0,25,1.0,0.0
c__SAR324,26,25,9,25,0,0.962,0.346,0.962,24,0.998,-0.04
c__Thermococci,26,12,26,26,0,0.462,1.0,1.0,12,1.0,0.0
c__Kapabacteria,26,24,3,26,0,0.923,0.115,1.0,24,1.0,0.0
c__Eremiobacteria,25,25,7,17,0,1.0,0.28,0.68,17,1.0,0.0
c__Bipolaricaulia,22,21,3,22,0,0.955,0.136,1.0,21,1.0,0.0
c__Binatia,22,21,6,21,0,0.955,0.273,0.955,20,0.998,-0.0476
c__Bacteriovoracia,22,20,3,22,0,0.909,0.136,1.0,20,1.0,0.0
c__Thermoprotei,22,12,13,22,0,0.545,0.591,1.0,12,1.0,0.0
c__Holophagae,21,21,8,18,0,1.0,0.381,0.857,18,1.0,0.0
c__UBA10030,21,20,7,20,0,0.952,0.333,0.952,19,0.998,-0.05
c__DSM-4660,20,14,9,20,0,0.7,0.45,1.0,14,1.0,0.0
c__UBA1135,20,19,5,15,0,0.95,0.25,0.75,15,1.053,0.3974
c__UBA2968,20,19,1,19,0,0.95,0.05,0.95,18,0.997,-0.0526
