species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Streptomyces_venezuelae--RS_GCF_008639165.1,Phz_genes,1,2,3,0,0.0,0.4000000000000001
s__Streptomyces_olivochromogenes--RS_GCF_001514115.1,Phz_genes,1,4,5,5,0.25,0.5804195804195804
s__Pseudomonas_E_extremorientalis--RS_GCF_001870465.1,Phz_genes,2,0,4,0,,1.0
s__Actinokineospora_terrae--RS_GCF_900111175.1,Phz_genes,2,0,2,0,,1.0
s__Bowmanella_yangjiangensis--RS_GCF_017255015.1,Phz_genes,1,1,2,0,0.0,1.0
s__Streptomyces_sp018604545--RS_GCF_018604545.1,Phz_genes,4,0,6,0,,1.0
s__Ochrobactrum_anthropi--RS_GCF_000017405.1,Phz_genes,2,2,2,8,4.0,0.5204795204795204
s__Alcanivorax_jadensis_A--GB_GCA_019431375.1,Phz_genes,2,0,2,1,inf,1.0
s__Sphaerochaeta_sp002432715--GB_GCA_002432715.1,Phz_genes,1,1,2,3,1.5,1.0
s__JABIRQ01_sp018699755--GB_GCA_018699755.1,Phz_genes,1,2,1,2,1.0,1.0
s__Methylohalobius_crimeensis--RS_GCF_000421465.1,Phz_genes,2,0,4,1,inf,1.0
s__Paraburkholderia_sp000745015--RS_GCF_013409255.1,Phz_genes,3,4,1,1,0.75,1.0
s__Pseudomonas_E_sp000242655--RS_GCF_012935715.1,Phz_genes,3,0,4,0,,1.0
s__Pseudomonas_E_sp002018875--RS_GCF_002018875.1,Phz_genes,2,0,3,0,,1.0
s__Bradyrhizobium_septentrionale--RS_GCF_011516645.4,Phz_genes,3,0,2,1,inf,1.0
s__Pseudomonas_E_mediterranea--RS_GCF_000774145.1,Phz_genes,2,2,3,1,0.333,1.0
s__Herbaspirillum_robiniae--RS_GCF_002213415.1,Phz_genes,2,0,2,1,inf,1.0
s__Lichenihabitans_psoromatis--RS_GCF_004323635.1,Phz_genes,2,0,3,3,inf,0.4642857142857143
s__Cryobacterium_flavum--RS_GCF_900103805.1,Phz_genes,0,2,3,1,0.0,0.4000000000000001
s__Streptomyces_asiaticus--RS_GCF_018138715.1,Phz_genes,3,0,5,2,inf,1.0
s__Sphingomonas_sp003050745--RS_GCF_003050745.1,Phz_genes,2,0,2,0,,1.0
s__Bradyrhizobium_jicamae_A--RS_GCF_018130215.1,Phz_genes,3,1,2,0,0.0,1.0
s__Corynebacterium_aurimucosum_C--RS_GCF_007672725.1,Phz_genes,0,2,1,1,0.0,1.0
s__Streptomyces_populi--RS_GCF_002911015.1,Phz_genes,2,4,4,0,0.0,0.07619047619047618
s__Mesorhizobium_sp004017535--GB_GCA_004017535.1,Phz_genes,2,1,6,0,0.0,0.3333333333333333
s__Mesorhizobium_sp004020365--GB_GCA_004020365.1,Phz_genes,2,0,4,3,inf,0.5
