sdt_sample_name	site_defense_score	site_mobilome_score	site_metabolism_score	site_stress_score	mapped_abundance_fraction	unmapped_abundance_fraction	mapping_mode
GW641-30-1-23-13	0.0070937874741261965	0.02751484155335509	0.1285270093961639	0.017304314513740645	0.4181571024131578	0.5818428975868422	relaxed_all_clades
GW654-0-1-7-13	0.00854389866408089	0.03149518823572733	0.16067086161617186	0.020019543449904108	0.5223185201271395	0.47768147987286047	relaxed_all_clades
GW658-63-1-23-13	0.006280569544031076	0.022972451395398823	0.09439671222859043	0.014626510469714952	0.2924887232790744	0.7075112767209256	relaxed_all_clades
GW683-53-2-18-13	0.00954616134631831	0.0325320202411901	0.1862850880931597	0.021039090793754205	0.5610483150997927	0.4389516849002073	relaxed_all_clades
GW685-6-1-8-13	0.008426571401849643	0.045593615013112224	0.18803590851941546	0.02701009320748093	0.6158711528429838	0.38412884715701623	relaxed_all_clades
GW694-33-12-3-12	0.001546112549378705	0.006103477614694611	0.03252670233595414	0.0038247950820366576	0.10001841394549472	0.8999815860545053	relaxed_all_clades
GW704-5-12-17-12	0.008981800051454665	0.03452190231755196	0.1277939541423422	0.02175185118450331	0.4586779385692951	0.5413220614307048	relaxed_all_clades
GW705-9-2-21-13	0.0024573634892580453	0.010756671676059032	0.05120349920235406	0.006607017582658539	0.16054934510941815	0.8394506548905818	relaxed_all_clades
GW706-96-12-17-12	0.006413200004989646	0.02153101600029961	0.11920060537845527	0.013972108002644628	0.3761711850718633	0.6238288149281367	relaxed_all_clades
GW714-34-2-12-13	0.004208167109724747	0.01669774353705739	0.08192764205772722	0.010452955323391067	0.26243827924138596	0.737561720758614	relaxed_all_clades
GW715-65-2-12-13	0.008537658314105861	0.031442528618941416	0.181558018480925	0.019990093466523636	0.5522698535709916	0.44773014642900844	relaxed_all_clades
GW736-14-12-3-12	0.00878680797575047	0.03258078723440342	0.18604734405471374	0.020683797605076947	0.5935906403001208	0.40640935969987924	relaxed_all_clades
GW737-12-12-12	0.0037014889982053887	0.01380232252904122	0.06911534303911081	0.008751905763623304	0.2248839017419992	0.7751160982580008	relaxed_all_clades
GW750-28-12-12-12	0.005094237607761903	0.01936294898313078	0.09015536616930928	0.01222859329544634	0.3002307009760426	0.6997692990239575	relaxed_all_clades
GW753-79-1-7-13	0.004549903145773944	0.02061613297285356	0.09663047017387595	0.012583018059313751	0.3077191756898358	0.6922808243101641	relaxed_all_clades
GW754-40-1-7-13	0.003185051726598117	0.01206155848848312	0.06195767894769147	0.007623305107540619	0.20138671742233702	0.798613282577663	relaxed_all_clades
GW755-69-1-8-13	0.005983099084166828	0.022240729637823035	0.10649270645085102	0.014111914360994932	0.35111477043745803	0.648885229562542	relaxed_all_clades
GW760-18-1-29-13	0.0069594113515943044	0.025479309318355424	0.11694608560415343	0.016219360334974862	0.3815686523292944	0.6184313476707056	relaxed_all_clades
GW761-29-1-28-13	0.011037923057728216	0.04505108099753399	0.19505463475896123	0.028044502027631105	0.6313235662409217	0.3686764337590783	relaxed_all_clades
GW763-23-1-22-13	0.0004565064453961896	0.0018455362448043372	0.010041490222027922	0.0011510213451002636	0.031131401795672097	0.9688685982043279	relaxed_all_clades
GW764-23-1-11-13	0.004684231380178675	0.01552917241916192	0.08497969458630793	0.010106701899670298	0.2714630931458699	0.7285369068541301	relaxed_all_clades
GW765-77-1-11-13	0.004457628162856036	0.014732569075817362	0.07757508140733389	0.0095950986193367	0.2464268911925504	0.7535731088074495	relaxed_all_clades
GW773-35-2-4-13	0.005562279619179977	0.020094737132650933	0.11090481752334687	0.012828508375915456	0.34451577503429354	0.6554842249657065	relaxed_all_clades
GW775-88-1-29-13	0.020072280298709076	0.05905850393690708	0.1720713141057433	0.039565392117808074	0.656393254055517	0.34360674594448304	relaxed_all_clades
GW779-8-2-18-13	0.009333396121346503	0.03372818080214955	0.1557181408585893	0.021530788461748027	0.5099993143327315	0.4900006856672685	relaxed_all_clades
GW800-12-12-12	0.004549763848341799	0.016911746599475037	0.09183978990015028	0.010730755223908418	0.29219920669898636	0.7078007933010136	relaxed_all_clades
GW803-31-1-23-13	0.0030493763995071347	0.010920086319916374	0.060074556720316155	0.006984731359711754	0.18579523829661268	0.8142047617033873	relaxed_all_clades
GW804-13-2-11-13	0.008637700652408485	0.03017610043461316	0.19099987726458342	0.019406900543510824	0.5566334503683559	0.4433665496316441	relaxed_all_clades
GW921-86-1-28-13	0.003623835755912785	0.013388983938451761	0.0705805019216657	0.008506409847182273	0.22271646354409955	0.7772835364559004	relaxed_all_clades
GW925-68-1-28-13	0.0018558756885273503	0.006541980181263661	0.03974581223752169	0.0041989279348955055	0.11702913721336913	0.8829708627866308	relaxed_all_clades
GW928-54-2-11-13	0.0078048975366058855	0.026364569731749974	0.1728998985974121	0.01708473363417793	0.481967702233991	0.518032297766009	relaxed_all_clades
GW929-2-11-13	0.006625510826219328	0.023336567364030357	0.12592154553884308	0.014981039095124844	0.3965934696505297	0.6034065303494702	relaxed_all_clades
