genus	genus_norm	gtdb_species_clade_id	species_name	mapping_tier
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_denitrificans--RS_GCF_000015165.1	s__Bradyrhizobium_denitrificans	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_japonicum--RS_GCF_000284375.1	s__Bradyrhizobium_japonicum	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_japonicum_C--RS_GCF_000426845.1	s__Bradyrhizobium_japonicum_C	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_diazoefficiens--RS_GCF_000011365.1	s__Bradyrhizobium_diazoefficiens	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp022012435--RS_GCF_022012435.1	s__Bradyrhizobium_sp022012435	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp018398895--RS_GCF_018398895.1	s__Bradyrhizobium_sp018398895	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp023073715--RS_GCF_023073715.1	s__Bradyrhizobium_sp023073715	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_campsiandrae--RS_GCF_014529705.1	s__Bradyrhizobium_campsiandrae	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_diazoefficiens_A--RS_GCF_018129965.1	s__Bradyrhizobium_diazoefficiens_A	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_sp000261685--RS_GCF_000261685.1	s__Bradyrhizobium_sp000261685	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_nitroreducens--RS_GCF_002776695.1	s__Bradyrhizobium_nitroreducens	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_niftali--RS_GCF_004571025.1	s__Bradyrhizobium_niftali	genus_exact
Bradyrhizobium	bradyrhizobium	s__Bradyrhizobium_valentinum--RS_GCF_001440405.1	s__Bradyrhizobium_valentinum	genus_exact
